MAT.1.1	La²³la³ cu³lø³¹ xi̱i̱n³ te'²³ yi²³uu'² jaa²³² 'ñée² Jesucristo, 'i³ rɨ³løn³¹ dsa³ ju̱u̱n²³ David quia̱'² Abraham.
MAT.1.2	Abraham xi̱i̱n³ jmii³ Isaac. 'E³ quie'²³ Isaac xi̱i̱n³ jmii³ Jacob. Jacob xi̱i̱n³ jmii³ Judá quia̱'² cɨ² te'²³ jó̱o̱² 'ñée². 
MAT.1.3	Judá xi̱i̱n³ jmii³ Fares quia̱'² Zara. 'E³ quie'²³ Tamar xi̱i̱n³ xóo²te'²³. Fares xi̱i̱n³ jmii³ Esrom. 'E³ quie'²³ Esrom xi̱i̱n³ jmii³ Aram. 
MAT.1.4	'E³ quie'²³ Aram xi̱i̱n³ jmii³ Aminadab. 'E³ quie'²³ Aminadab xi̱i̱n³ jmii³ Naasón. 'E³ quie'²³ Naasón xi̱i̱n³ jmii³ Salmón. 
MAT.1.5	'E³ quie'²³ Salmón xi̱i̱n³ jmii³ Booz. 'E³ quie'²³ Rahab xi̱i̱n³ xóo² Booz. 'E³ quie'²³ Booz xi̱i̱n³ jmii³ Obed. 'E³ quie'²³ Rut xi̱i̱n³ xóo² Obed. 'E³ quie'²³ Obed xi̱i̱n³ jmii³ Isaí. 
MAT.1.6	'E³ quie'²³ Isaí xi̱i̱n³ jmii³ rey David. Rey David quia̱'² mɨ́³ 'i³ ca²³lǿn²³ mɨ²³quie'² Urías xe̱'n² rɨ³løn³¹ xóo² jmii³ Salomón.
MAT.1.7	'E³ quie'²³ Salomón xi̱i̱n³ jmii³ Roboam. 'E³ quie'²³ Roboam xi̱i̱n³ jmii³ Abías. 'E³ quie'²³ Abías xi̱i̱n³ jmii³ Asa. 
MAT.1.8	'E³ quie'²³ Asa xi̱i̱n³ jmii³ Josafat. 'E³ quie'²³ Josafat xi̱i̱n³ jmii³ Joram. 'E³ quie'²³ Joram xi̱i̱n³ jmii³ Uzías. 
MAT.1.9	'E³ quie'²³ Uzías xi̱i̱n³ jmii³ Jotam. 'E³ quie'²³ Jotam xi̱i̱n³ jmii³ Acaz. 'E³ quie'²³ Acaz xi̱i̱n³ jmii³ Ezequías. 
MAT.1.10	'E³ quie'²³ Ezequías xi̱i̱n³ jmii³ Manasés. 'E³ quie'²³ Manasés xi̱i̱n³ jmii³ Amón. 'E³ quie'²³ Amón xi̱i̱n³ jmii³ Josías. 
