MAT.1.1	Ewana Yesu Kerisonu sirorari sina. Dana Deiwidinu sisia amara. Dana Eibaramunu sisia amara.
MAT.1.2	Eibaramu dana Aisikinu damama. Aisiki dana Jeikofunu damama. Jeikofu dana Judaini danu dabuemutu emanu damama. 
MAT.1.3	Juda dana Feresini Sira emanu damama. Emanu danuana Teima. Feresi dana Esaromunu damama. Esaromu dana Remunu damama. 
MAT.1.4	Remu dana Aminadabunu damama. Aminadabu dana Neisoninu damama. Neisoni dana Samoninu damama. 
MAT.1.5	Samoni dana Bouasinu damama.
MAT.1.5	(Bouasinu danuana Reiabu.) Bouasi dana Oubedinu damama.
MAT.1.5	(Oubedinu danuana Ruta.) Oubedi dana Jesinu damama. 
MAT.1.6	Jesi dana Deiwidinu damama. Deiwidi dana dera kini amara. Deiwidi dana Soromoninu damama.
MAT.1.6	(Soromoninu danuana Uraianu aweta.) 
MAT.1.7	Soromoni dana Reoboamunu damama. Reoboamu dana Abaijanu damama. Abaija dana Asanu damama. 
MAT.1.8	Asa dana Jiosefetinu damama. Jiosefeti dana Joremanu damama. Jorema dana Usaianu damama. 
MAT.1.9	Usaia dana Jotemunu damama. Jotemu dana Eiasinu damama. Eiasi dana Esikaianu damama. 
MAT.1.10	Esikaia dana Manasanu damama. Manasa dana Eimosinu damama. Eimosi dana Josaianu damama. 
MAT.1.11	Josaia dana Jekonaiaini danu dabuemutu emanu damama. I kowaro Babaronia orofa uwarama i Ju uwara mutate Babaronia orofaro dibura odinono uta.
MAT.1.12	I uwarama Ju uwara Babaronia orofaro woure oitaro Jekonaiama Sirutio yanae muni.
MAT.1.12	Sirutio dana Serubabeonu damama. 
MAT.1.13	Serubabeo dana Abaudinu damama. Abaudi dana Iriekiminu damama. Iriekimi dana Asonu damama. 
MAT.1.14	Aso dana Sadokonu damama. Sadoko dana Eikiminu damama. Eikimi dana Iriudinu damama. 
MAT.1.15	Iriudi dana Iriesanu damama. Iriesa dana Meitaninu damama. Meitani dana Jeikofunu damama. 
MAT.1.16	Jeikofu dana Jousefanu damama. Josefa dana Merinu awera. Merima Yesu muni. Yesunu mui ifuna Keriso waita.
MAT.1.17	Enoba bodere Eibaramubairoma abuamutu arebe arebe arebe are Deiwidibai fotini (14) are me sini. Nono Deiwidibairoma abuamutu are Babaronia orofaro oita kowabai mui fotini (14) are me sini. Nono i Babaronia orofaro oita kowabairoma abuamutu arebe are Godi Danu ma wiroe mune aneta Amara Yesubai mui fotini (14) are me sini.
MAT.1.18	I Yesu Keriso Danu danuama Dawa muni sinana eno, Yesunu danua Merina bodere datu mata. Josefama mubie datu mataro aweta awera mune matanawa utawa me inarebe dia muni. Godinu Imumu Kotofuma Merinu neno ubarero itariro iba dia munite ibi. 
MAT.1.19	Jousefa dana Meri ekodifie we imuirogo nono dana kobere amaraba dawa unutawa emema Meri we iruotoba iba Meri kiwuma ekodifie we imutebi. 
MAT.1.20	Eno imutebina Godinu aneru tuberoma farite wei, Deiwidinu amara Jousefa, Meriba iya da uyate dawa anu aweta mua wei. I diaro kuitana Godinu Imumu Kotofuma masinu amara wei. 
MAT.1.21	Merima i amara mubiro Danu ifu Yesu maibasuba Dana Danu uwaranu neno neno uetaroma ma wirofisu aneruma eno wei.
MAT.1.22	Godinu we bou ueta amarama weiba enanari ui. 
MAT.1.23	Godinu we bou ueta amarama eno wei,
MAT.1.23	nauawe, mui awera munawa aruma dia mubite amara mubisu. I amaranu ifuna Imanuera weboita. (I ifunu ubina Godima yabai ibinu),
MAT.1.23	Godinu we bou ueta amarama eno wei.
MAT.1.24+MAT.1.25	Jousefa nauta ainibebe ido uyarite Godinu anerunu wei sina enanari uite Meri danu aweta muni. Jousefama ido Meri muniro uruama ainawa me ibisiro Merima i Amara ido muniro Jousefama i Amara Danu ifu Yesu mami.
MAT.2.1+MAT.2.2	Merima Yesu Judia orofa Betiremu suro muni. I kowarona dera yawoeta amara Erodima i orofa yawotebi. I muni kowaro moana muinanu ubi iwata derawere uwarama i kowa amueta orofa yafawereroma Jerusaremu suro are fatate weita, i Ju uwaranu reka muninu yawoeta amara aboro? Kowa amueta afu Danu muina esiba iba Dawa guriguri ufene farisia weita. 
MAT.2.3	Erodima emanu sina nauite neno siosa ui. I Jerusaremu su uwara nesia enanari uta. 
MAT.2.4	Erodima weiro i dera fuyo ode sina weta uwaraini tarawatu tisa uwaraini dawabai fata. Fataro wei, i we bou ueta uwarama Keriso aboro mubie weita wei? I kuita, Ju uwaranu kini, aboro muninu wei? 
MAT.2.5+MAT.2.6	weiro weita, Judia orofa Betiremu suro. Godinu we bou ueta amarama eno owawa ue odi,
MAT.2.5+MAT.2.6	a Judia orofa Betiremu su, ana su kikiratu nono ana i Judia yawoeta uwarabai ana derawere, abairoma mui dera yawoeta amara uyafite Godinu Isaraero uwara yawofisu,
MAT.2.5+MAT.2.6	eno owawa ue odi weita.
MAT.2.7	Erodima i iwata derawere uwaraba kiwuma weiro dawabai fata. Fataro wei, i muina abo kowaro fariro eta wei? 
MAT.2.8	Weite wei, Betiremu suro aniawete i kuita doberegou uawe wei. Kuita doberebe atafoitana nabai are wiawero ma dari Dawabai animate guriguri umau wei. 
MAT.2.9	I uwarama Erodinu sina nautate ekoitate anita. Aneda etana i kowa amueta afu muina arite su foubai eda urero inaibiro eta. 
MAT.2.10	I muina etate emanu nenoma yaru derawere uta. 
MAT.2.11	I uwarama i su ubarero amutate etana kuitaini Danu danua etate jejerigari uteda Dawa guriguri uta. Eno utate emanu kobere me maeta ememetu ma ifegari utate Dawaba goruini bonanawere faudaini bonanawere ogoini mata.
MAT.2.12	Godima i iwata derawere uwarabai tuberoma farite wei, yanu owereta kowaro Erodibai da anibote yanu mui dabaro yanu suro ane faforo weiro enanari uta.
MAT.2.13	I uwarama ane me sitaro Godinu aneruma Jousefabai tuberoma farite wei, uyate i kuitaini Danu danua muate Ijifi orofaro sau ania. Erodima i kuita dobere ma uifie utasuba iro ane ibiaro Nana wemaro nono owere ara wei. 
MAT.2.14	I dumuro Jousefa uyarite i kuitaini Danu danua munite iroma woure Ijifi orofaro ani. 
MAT.2.15	Ijifi orofaro ane ibifiro Erodi uifiro fafie iba ani. Godinu we bou ueta amarama wei iba enanari ui. Godima Danu we bou ueta amaranu bebeturoma eno wei, Nanu amara Ijifiroma ara wei, iba eno ui.
MAT.2.16	I iwata derawere uwarama Erodibai ane farawa utaro Erodima i uwara na iruita we imuteda ibo derawere ui. Ibo uite dawa i uwarabai iwata uiba moana uwara siaia uteda eno wei, aniawete Betiremu suini nono i gigirari su suro oya sadei me sinawa masiguraratu nesia ma uiawe wei.
MAT.2.17	Erodima eno uiro Godinu we bou ueta amara Jeremaianu bodere sina i kowaro enanari ui. 
MAT.2.18	Jeremaiama eno wei,
MAT.2.18	mui wate tanana Reima subairoma farite i weda sorara ui. Reisorobairoma sirorari uta awetabo emanu koiniboroba i webita, nesia ibawa, uitaba iba i wedibebita,
MAT.2.18	Jeremaiama eno wei.
MAT.2.19+MAT.2.20	Erodi ido uiro Godinu aneruma Ijifiro Jousefabai tuberoma farite wei, uyate i kuitaini Danu danua muate Isaraero orofaro ania. I kuita ma uifitae utebita uwarana uie me sinitaya ania wei. 
