GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
GEN.1.4	Na Onyankopɔn hunuu hann no sɛ ɛyɛ. Na Onyankopɔn paee hann ne esum no mu. 
GEN.1.5	Na ɔfrɛɛ hann no sɛ adekyee, ne esum no adesae. Na adeɛ sae, na adeɛ kyee, da a ɛdi kan ne no.
GEN.1.6	Na Onyankopɔn kaa sɛ: Ewiem mmra, na ɛmmɛpae nsuo no mu. 
GEN.1.7	 Na Onyankopɔn yɛɛ ahunumu ntrɛmu. Na ɔpaee nsuo a ɛwɔ ewiem no aseɛ ne deɛ ɛwɔ ewiem no soɔ no mu. Na ɛyɛɛ saa. 
GEN.1.8	Na Onyankopɔn frɛɛ ewiem no ɔsoro. Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so mmienu ne no.
GEN.1.10	Na Onyankopɔn frɛɛ pɛsɛɛ no asase, na nsuo mmoano no, ɔfrɛɛ no ɛpo. Na Onyankopɔn hunuu sɛ ɛyɛ.
GEN.1.11	Na Onyankopɔn kaa sɛ: Asase mfifiri nwira, mfudeɛ, nnuaba sɛdeɛ wɔn su teɛ wɔ asase so. Na ɛyɛɛ saa. 
GEN.1.12	Na asase fifirii nwira ne nnuaba sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ. 
GEN.1.13	Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so mmiɛnsa ne no.
GEN.1.15	Bio, na ɛnyɛ nkanea wɔ ewiem, na ɛnhyerɛn wɔ asase so. Na ɛyɛɛ saa. 
GEN.1.16	 Na Onyankopɔn yɛɛ nkanea akɛseɛ mmienu no, sɛ kɛseɛ no nni adekyeeɛ so, na ketewa no, sɛ ɛnni anadwo so. Ɔyɛɛ nsoromma nso. 
GEN.1.17	Na Onyankopɔn de sisii ewiem sɛ ɛnhyerɛn wɔ asase so, 
GEN.1.18	na ɛnni adekyeeɛ ne adesaeɛ so, na ɛmpae hann ne esum no mu. Na Onyankopɔn hunuu sɛ ɛyɛ. 
GEN.1.19	Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nnan ne no.
GEN.1.20	Na Onyankopɔn kaa sɛ: Nsuo no nnɔre abɔdeɛ a ɛte aseɛ pii, na ntakraboa ntu mfa asase so wɔ ewiem. 
GEN.1.21	Na Onyankopɔn bɔɔ nsuboa akɛseɛ ne nketewa ahodoɔ sɛdeɛ wɔn su teɛ; ne ntakraboa nyinaa sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ. 
GEN.1.22	Na Onyankopɔn hyiraa wɔn sɛ: Monwo, na monnɔ, na monyɛ ɛpo mu ma, na ntakraboa nnɔɔso asase so. 
GEN.1.23	Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nnum ne no.
GEN.1.24	Na Onyankopɔn kaa sɛ: Abɔdeɛ a ɛtete aseɛ mfiri asase mu mmra, sɛdeɛ wɔn su teɛ: Ntɔteboa a ɛwɔ fie ne wiram ne mmoa a wɔwea ne asase so mmoadoma, sɛdeɛ wɔn su teɛ. Na ɛyɛɛ saa. 
