GEN.1.1	Du ujuni Naşibaţi apaş baţi na mboş.
GEN.1.2	Kë mboş manşë wo mnjinţ kë nin ukoolan uunwo ţi ma, bdëm bawun bnjiir, kë uyook umpënnuŋ du Naşibaţi uşë fuuţ ţi meel duuţ.
GEN.1.3	Naşibaţi aji wal mënţ : « Bjeehi bawoon » kë bjeehi bawoo. 
GEN.1.4	Naşibaţi awin kë bjeehi banuuraa, aşë paţëş bjeehi na bdëm. 
GEN.1.5	Naşibaţi adu bjeehi aji « unuur » adu bdëm « uŧejan. » Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ uŧeek.
GEN.1.6	Kë Naşibaţi aşë ji : « Uko uloŋ unnaamuŋ ji kanjan uwoon ţi pŧoof pi meel, upaţëşaan ma » kë uwo haŋ. 
GEN.1.7	Naşibaţi ado uko mënţ kë upaţëş meel, kë mloŋ manwo ţi uţeeh kë mnloŋ manwo du bko duuţ. 
GEN.1.8	Naşibaţi adu uko mënţ aji « baţi. » Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ utëbanţën.
GEN.1.9	Kë Naşibaţi aşë ji : « Meel manwoon ţi baţi uţeeh manţonkandërën ţi dko dloolan, pkay pakuţ papën pawinana » kë uwo haŋ. 
GEN.1.10	Naşibaţi adu dko dkay aji « mboş » aşë du dko di meel « bdëk ». Naşibaţi awin kë uko mënţ unuura. 
GEN.1.11	Naşibaţi aji : « Mboş mambukan ujaagal, ugof bŧi na mnko bŧi. Uko undoli uko wi ukdooŋ kabuk udo kawo na uhiib këme mbuk » kë uwo haŋ. 
GEN.1.12	Mboş kë mambuk ujaagal, ugof bŧi na mnko bŧi. Ujaagal unwooŋ, uji uwo na kanaamare ki wa, bgof banwooŋ baji bawo na kanaamare ki ba, bko bandooŋ kawo na kanaamare ki ba ; uko undoli uji uwo na mbuk këme uhiib. Naşibaţi awin kë uko mënţ unuura. 
GEN.1.13	Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ uwajanţën.
GEN.1.14	Naşibaţi kë aşë ji : « Iko iloŋ inkdooŋ kajeehan iwoon du baţi duuţ ipaţëşaan unuur na uŧejan ! Idoon kadiiman wal wi ŋfeŧtu, ŋnuur, na ŋşubal ; 
GEN.1.15	iwoon du baţi duuţ ido kajeehan mboş ! » kë uwo haŋ. 
GEN.1.16	Naşibaţi ado iko itëb iweek injaaŋ ijeehan, uweek uji upën kaşih na nfa te utaakal, umpoţi kapën kaşih na uŧejan. Ado kak ŋjah. 
GEN.1.17	Naşibaţi aţu ya du baţi duuţ ido kajeehan mboş, 
GEN.1.18	ido kaşih pnak na uŧejan, ipaţëşaan bjeehi na bdëm. Naşibaţi awin kë uko mënţ uwo unuura. 
GEN.1.19	Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ ubaakanţën.
GEN.1.20	Kë Naşibaţi aşë ji : « Meel manŧum ŋko, ŋkaŧ ŋabot ŋado kayiţ du baţi, ţi mboş duuţ ! » 
GEN.1.21	Naşibaţi apaş ŋko ŋweek ŋyibanaan ŋi bdëk na ŋko ŋanwooŋ ţi meel bŧi kë ŋaŧum maakan, akak apaş ŋkaŧ bŧi. Naşibaţi awin kë uko mënţ uwo unuura. 
GEN.1.22	Naşibaţi awul ŋa bnuura aji : « An ŋko ŋi meel, kabuk kajoobëţ na an, nabuk maakan naŧuman meel mi idëk. Kë an ŋkaŧ, nabukan naŧuman mboş ! » 
GEN.1.23	Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ uñeenanţën.
GEN.1.24	Naşibaţi aji : « Mboş manwulan ŋko bŧi : Ŋnŧaam ŋi katoh, ŋko ŋmpoţi na ŋko ŋi uţeeh bŧi » kë uwo haŋ. 
GEN.1.25	Naşibaţi ado ŋko ŋi uţeeh bŧi, ŋnŧaam ŋi katoh bŧi na ŋko ŋmpoţi bŧi. Naşibaţi awin kë uko mënţ unuura.
GEN.1.26	Naşibaţi aji : « Nawulan ŋdo ñaaŋ anaamun, awo ji un, aşih ŋţëb ŋi bdëk, ŋkaŧ ŋi baţi, ŋnŧaam ŋi katoh, na ŋko bŧi ŋanjaaŋ ŋapula ţi mboş. »
GEN.1.27	Naşibaţi apaş bañaaŋ kë banaam na a :
GEN.1.27	bapaşana anaam na Naşibaţi,
GEN.1.27	apaş baka kë bawo ñiinţ na ñaaţ.
GEN.1.28	Naşibaţi awul baka bnuura aji : « Kabuk kajoobëţ na an, nabukan maakan, naŧuman mboş nabot naşih ma. Naşihan ŋţëb ŋi bdëk, ŋkaŧ ŋi baţi na ŋko bŧi ŋanwooŋ ţi mboş. » 
GEN.1.29	Naşibaţi aji : « Natenan, dwulan ujaagal unwooŋ na mbuk na uko wi ugof na mnko bŧi manjaaŋ mambuk nado kade. 
GEN.1.30	Dwul kak iko mënţ ŋko bŧi ŋanwooŋ na uhefënţ : ŋnko bŧi ŋanwooŋ ţi mboş, ŋkaŧ bŧi ŋi baţi na ŋko bŧi ŋankmpuliiŋ ţi mboş. Dwul ya ŋa ŋado kade » kë uwo haŋ. 
GEN.1.31	Naşibaţi aten uko bŧi wi adoluŋ aşë win kë uwo unuura. Utaakal uwoo, nfa kë mankuţ awo : unuur mënţ uwooŋ upaajanţën.
GEN.2.1	Hënk di di Naşibaţi abaaŋ ppaş baţi na mboş na iko bŧi inwooŋ da. 
GEN.2.2	Unuur uţënk paaj na uloŋ uţënk kë Naşibaţi aba ulempul. Anoorfën unuur mënţ wi adoluŋ ulempul bŧi aba. 
GEN.2.3	Naşibaţi adëman unuur uţënk paaj na uloŋ akuţ ado wa kë uyimani, ţiki anoorfën unuur mënţ wi abaaŋ ppaş iko bŧi.
GEN.2.4	Kë hënk di di 
GEN.2.5	nin ugof na ujaagal uloŋ uundobi may may ţi mboş, ţiki Naşibaţi Ajugun aandobi do uşubal kë uşub ţi ma, kë nin ñaaŋ aankak awo, ankjaari ma. 
GEN.2.6	Kë meel manşë ji mampënna ţi ukumpëş uloŋ katulan mboş bŧi. 
GEN.2.7	Wi wi Naşibaţi Ajugun aţakuŋ ñaaŋ na ufuuş wi mboş, afuuţ ţi iyiş yi nul uhefënţ wi ubida, kë akak ñaaŋ ankhefënţuŋ.
GEN.2.8	Naşibaţi Nawat Kabuka aŧepi uwoorta du umbaŋ wi umayar unuur ţi uŧaak wi Eden aşë ţu da ñaaŋ i aţakuŋ. 
GEN.2.9	Naşibaţi Nawat Kabuka anaţan ţi mboş mnko bŧi manuuriiŋ bten abot alil. Akak anaţan ţi uwoorta bko bi ubida na bko bmeeni bnuura na buţaan.
GEN.2.10	Bdëk bloŋ bapënna Eden abi atulan uwoorta, aşë paţşëraan da, ado itant ibaakër. 
GEN.2.11	Kaŧeek katim ki ka kawo Pişon : kafooy uŧaak wi Hawila bŧi, unwooŋ na wuuru, 
GEN.2.12	wuuru mënţ uwo ujinţ piş. Uŧaak mënţ uwo kak na bko bloŋ banjaaŋ babomanaan mnkulan bi bajaaŋ bado bdeliyum, na mnlaak mpoţi mnloŋ mannuuriiŋ maakan aji manuur abot atam preeş ji wuuru, mi bajaaŋ bado koralin. 
GEN.2.13	Katëbanţën katim ki ka kawo Gihon : Kafooy uŧaak wi Kuş bŧi. 
GEN.2.14	Kawajanţën katim ki ka kawo Tigrë : Kawo du umayar unuur wi uŧaak wi Aşuur. Kabaakanţën katim ki ka kawo Ëfrat.
GEN.2.15	Naşibaţi Nawat Kabuka aţu ñaaŋ ţi uwoorta wi Eden ado kajaar wa abot ado kayeŋ wa. 
GEN.2.16	Naşibaţi Nawat Kabuka aţiini na a wal mënţ aji : « Ihinan kade mnko bŧi mi uwoorta, 
GEN.2.17	kë bko bi pme bnuura na buţaan iinkde ba, ţiki unuur wi ikdeeŋ ba, ikeţ. »
GEN.2.18	Naşibaţi Nawat Kabuka aji wal mënţ : « Uunnuura ñaaŋ awo aloolan. Dwo kado naţënka, annaamuŋ na a. » 
GEN.2.19	Naşibaţi Nawat Kabuka akak ajej mboş abomanaan ŋko ŋi uţeeh bŧi na ŋkaŧ ŋi baţi bŧi, aşë ţij ŋa ñaaŋ, katen itim yi akţuuŋ ŋa : undoli uwo kawo katim ki ñaaŋ akţuuŋ wa. 
GEN.2.20	Kë ñaaŋ awul ŋnŧaam ŋi katoh bŧi itim na ŋkaŧ bŧi na ŋko ŋi uţeeh bŧi. Nin uloŋ unnnaamuŋ na a, unhinanuŋ kaţënka na manjoonan uunwoo. 
GEN.2.21	Wal mënţ, kë Naşibaţi Nawat Kabuka aşë ţu ñiinţ bŋoy bweek. Wi akŋoyënţuŋ, kë aşë pënan kamoh kaloŋ ki kanŧaagan aşë tuh dko di apënanaanuŋ ka. 
GEN.2.22	Wi wi aşaaŋ ajej kamoh mënţ aţakna ñaaţ aşë ţija ñiinţ.
GEN.2.23	Kë ñiinţ aşë wuuhar aji :
GEN.2.23	« Yoow, byaaş bi kamoh ki imoh yi naan ka,
GEN.2.23	pñaak pi naan pa.
GEN.2.23	Adu'ana ñaaţ,
GEN.2.23	ţiki apënna ţi ñiinţ
