GEN.1.1	Le gɔmedzedzea me Mawu wɔ dziƒo kple anyigba. 
GEN.1.2	Ke anyigba le nyama, nɔnɔme meli nɛ o, ele ƒuƒlu, eye viviti do ɖe tsi gbana la ŋku me, eye Mawu ƒe Gbɔgbɔ le agba sam le tsia dzi.
GEN.1.3	Eye Mawu gblɔ be: Kekeli nedo! Eye kekeli do. 
GEN.1.4	Eye Mawu kpɔ kekelia bena enyo. Eye Mawu ma kekeli la kple viviti la dome. 
GEN.1.5	Mawu yɔ kekeli la be ŋkeke; ke viviti la eyɔe be zã. Ale zã do, eye ŋu ke, eya nye ŋkeke gbãtɔ.
GEN.1.6	Eye Mawu gblɔ be: Alili nenɔ tsia titina, be wòanye dometsonu anɔ tsi kple tsi dome! 
GEN.1.7	Eye Mawu wo alili la, eye wòmã tsi, si le alilia te, kple tsi, si le alilia ta me la dome. Eye wòva me nenema. 
GEN.1.8	Eye Mawu yɔ alilia be dziƒo. Ale zã do, eye ŋu ke, eya nye ŋkeke evelia. 
GEN.1.9	Eye Mawu gblɔ be: Tsi, si le dziƒoa te la, neƒo ƒu ɖe teƒe ɖeka, bena ƒuƒuiƒe nadze! Eye wòva me nenema. 
GEN.1.10	Mawu yɔ ƒuƒuiƒe la be anyigba, ke tsi ƒoƒua la eyɔe be atsiaƒu. Eye Mawu kpo bena enyo. 
GEN.1.11	Eye Mawu gblɔ be: Anyigba nemie gbe fẽwo, nu miemie, siwo tsea ku, kple ati tseku, siwo tsena wo tɔ wo tɔwoe, esiwo me ku le, le anyigba la dzi. Eye wòva me nenema. 
GEN.1.12	Anyigba mie gbe fẽwo, nu miemie, siwo tsea ku wo tɔ wo tɔwoe, kple ati, siwo tsena, siwo me ku le, wo tɔ wo tɔwoe. Eye Mawu kpo bena enyo. 
GEN.1.13	Ale zã do, eye ŋu ke, eya nye ŋkeke etɔ̃lia.
GEN.1.14	Eye Mawu gblɔ be: Nu keklẽwo nado ɖe dziƒolilia ŋu, bena woade vovo ŋkeke kple zã dome, eye woanɔ anyi anye dzesiwo, afia azãgbewo, ŋkekewo kple ƒewo, 
GEN.1.15	eye woanye nu keklẽwo anɔ dziƒolilia ŋu, bene woaklẽ ɖe anyigba dzi! Eye wòva me nenem. 
GEN.1.16	Tete Mawu wɔ nu keklẽ gã eveawo. Ewɔ gãtɔ, bena woaɖu ŋkeke dzi, kple suetɔ, bena woaɖu zã dzi, hekpe ɖe ɣletiviwo ŋu. 
GEN.1.17	Eye Mawu tsɔ wo ɖo dziƒolilia ŋu, bena woaklẽ ɖe anyigba dzi, 
GEN.1.18	woaɖu ŋkeke kple zã dzi, eye woamã kekeli kple viviti dome. Eye Mawu kpɔ bena enyo. 
GEN.1.19	Ale zã do, eye ŋu ke, eya nye ŋkeke enelia.
GEN.1.20	Tete Mawu gblɔ bena: Nu gbagbewo neƒu tsi le tsia me, eye xe dzodzoewo nedzo le ya me le dziƒolilia ƒe ŋku me. 
GEN.1.21	Eye Mawu wo ƒumelã klitsuwo kple nu gbagbe, siwo katã tana, eye woʋãna le tsia me, hamehame, kple xe, siwo katã dzona. Eye Mawu kpo bena enyo. 
GEN.1.22	Eye Mawu yra wo gblɔ bena: Midzi, ne miasɔ gbɔ, eye miayɔ atsiaƒutsia me, eye xe dzodzoeawo nasɔ gbã le anyigba dzi! 
GEN.1.23	Ale zã do, eye ŋu ke, eya nye ŋkeke atɔ̃lia.
GEN.1.24	Eye Mawu gblɔ bena: Nu gbagbewo nedo tso anyigba me hamehame, aƒemelãwo kple nu tatawo kple gbemelãwo hamehame! 
GEN.1.25	Ale Mawu wɔ gbemelãwo hamehame, aƒemelãwo hamehame kple lã, siwo katã tana le anyigba dzi hamehame. Eye Mawu kpɔ bena enyo.
GEN.1.26	Eye Mawu gblɔ be: Mine míawɔ ame ɖe míaƒe nɔnɔme, woaɖi mí, eye wòaɖu ƒumelãwo, dziƒoxe dzodzoewo, aƒemelãwo kple gbemelãwo katã kpakple lã, siwo katã tana le anyigba dzi la dzi! 
GEN.1.27	Eye Mawu wɔ ame ɖe ye ŋutɔ ƒe nɔnɔme, Mawu ƒe nɔnɔme nue wòwɔe ɖo; ŋutsu kple nyɔnu wòwɔ. 
GEN.1.28	Eye Mawu yra wo, eye Mawu gblɔ na wo bena: Midzi, ne miasɔ gbɔ, eye miayɔ anyigba la dzi, eye mianye agbo ɖe edzi, miaɖu ƒumelãwo kple dziƒoxe dzodzoewo kple lã, siwo katã zɔna le anyigba dzi la dzi! 
GEN.1.29	Eye Mawu gblɔ be: Kpɔ ɖa, metsɔ nu miemie tseku, siwo katã le anyigba blibo la dzi, kple ati, siwo katã tsena, siwo me ku le la, na mi, bena woanye nuɖuɖu na mi; 
GEN.1.30	ke gbewo kple amagbewo katã nanye nuɖuɖu na anyigba dzi lãwo katã kple dziƒoxe dzodzoewo katã kple nusiwo katã tana, siwo me agbe le, le anyigba dzi. Eye wòva me nenema. 
GEN.1.31	Eye Mawu kpo nusiwo katã wòwɔ la, eye kpɔ ɖa, wonye ŋutɔ. Ale zã do, eye ŋu ke, eya nye ŋkeke adelia.
GEN.2.1	Ale wowu dziƒo kple anyigba kple wo me nu gbogboawo katã nu enye si. 
GEN.2.2	Eye Mawu wu eƒe ɖo, si wòwɔ la nu le ŋkeke adreagbe, eye wòdzudzɔ le ŋkeke adreagbe tso eƒe do, siwo katã wòwɔ la me. 
GEN.2.3	Eye Mawu yra ŋkeke adrelia, eye wòkɔ eŋuti, elabena eya dzi wòdzudzɔ eɖokui le tso eƒe dɔwɔwɔ, siwo katã Mawu wɔ, eye wòna wodo la me.
GEN.2.4	Esia nye dziƒo kple anyigba ƒe dzɔdzɔmenyawo le wo wɔwɔ me le ɣeyiɣi, si me Yehowa Mawu wo anyigba kple dziƒo. 
GEN.2.5	Ke gbemetia ɖeke mele anyigba dzi haɖe o, eye nu miemiea ɖeke medo ɖe gbe me haɖe o; elabena Yehowa Mawu mena tsi dza ɖe anyigba dzi haɖe o, eye ame meli ade anyigba la o. 
GEN.2.6	Eye afu do tso anyigba dzi, eye wònyɔ ɖe anyigba la katã ƒe ŋku me. 
GEN.2.7	Azã Yehowa Mawu tsɔ anyi mè ame, eye wògbɔ agbegbɔgbɔ ɖe eƒe ŋɔti me; ale ame la zu luʋɔ gbagbe. 
GEN.2.8	Tete Yehowa Mawu tso abɔ ɖe Eden le ɣedzeƒe, eye wotsɔ ame, si wòmè la, ɖo afima. 
GEN.2.9	Eye Yehowa Mawu na ati vovovo, siwo nya kpɔna, siwo ƒe tsetse nyo na ɖuɖu la, mie tso anyigba me; eye agbeti la kpakple sidzedze nyui kple vɔ̃ ƒe ati la le abɔ la titina. 
GEN.2.10	Eye tɔsisia ɖe do tso Eden, be woade tsi abɔ la; eye tso afima wòdze ɖe alɔ ene me. 
GEN.2.11	Gbãtɔ ŋkɔ nye Pison; eƒo xlã Xawila-nyigba blibo la katã; afima sika le; 
GEN.2.12	eye anyigba sia ƒe sika nyo ŋutɔ; afima bedolax- kple soham-kpe hã le. 
GEN.2.13	Tɔsisi evelia ŋkɔ nye Gixon; eƒo xlã Kus-nyigba blibo la katã. 
GEN.2.14	Tɔsisi etɔ̃lia ŋkɔ nye Xidekel; esi to Asur ƒe ɣedzeƒe gome. Eye tɔsisi enelia nye Frat. 
GEN.2.15	Eye Yehowa Mawu tsɔ ame la ɖo Eɖen-bɔ me, be woaŋlɔ eme, eye wòakpɔ edzi.
GEN.2.16	Eye Yehowa Mawu de se na ame gblɔ bena: Ɖu abɔmetiawo katã ƒe tsetse faa; 
GEN.2.17	ke ati, si na wodzea si nyui kple vɔ la, megaɖu eya ƒe tsetsea ɖeke o; gbesigbe naɖu eƒe ɖe, ku ke naku. 
GEN.2.18	Eye Yehowa Mawu gblɔ bena: Menyo bena ame la natsi akogo o; mawɔ kpeɖeŋutɔ, si asɔ ɖe eŋu la nɛ. 
GEN.2.19	Tete Yehowa Mawu tsɔ anyi mè gbemelãwo katã kple dziƒoxe dzodzoewo katã, eye wòkplɔ wo va amea gbɔe, be yeakpɔ alesi wòayɔ woe; eye alesi ame la yɔ nu gbagbeawoe la, nenema anye woƒe ŋkɔ. 
GEN.2.20	Eye ame la tsɔ ŋkɔ na aƒemelãwo katã kple dziƒoxe dzodzoewo kpakple gbemelãwo katã; ke amea ya mekpɔ kpeɖeŋutɔ, si asɔ nɛ o.
GEN.2.21	Eye Yehowa Mawu na ame dɔ alɔ̃ yi me ʋĩ, eye wòɖe eƒe agbaƒutiwo dometɔ ɖeka, eye wotsɔ lã ɖo eteƒe. 
GEN.2.22	Tete Yehowa Mawu tsɔ agbaƒuti, si wòɖe le amea me la, wɔ nyɔnui, eye wòkplɔe va ame la gbɔe. 
GEN.2.23	Eye ame la gblɔ be: Azɔ ko! Esia enye ƒu tso nye ƒu me kple lã tso nye lã me; woayɔ ame sia bena nyɔnu, elabena ŋutsu mee woɖee tsoe. 
GEN.2.24	Eya ŋuti ŋutsu agblẽ fofoa kple dadaa ɖi ahaku ɖe srɔ̃a ŋuti, eye woanye ŋutilã ɖeka. 
GEN.2.25	Eye wo kpakple eve la wole ƒeƒle, ame la kple srɔ̃a, eye ŋu mekpea wo o.
GEN.3.1	Ke da dze aye wu gbemelã, siwo katã Yehowa Mawu wɔ la, eye wògblɔ na nyɔnu la bena: Vavãe Mawu gblɔ bena, migaɖu abɔmetiawo katã ƒe tsetsea ɖeke o mahã? 
GEN.3.2	Nyɔnua ɖo ŋu na da la be: Míeɖua abɔmetiawo ƒe tsetse faa; 
GEN.3.3	ke Mawu gblɔ le ati, si le abɔa titina la ƒe tsetse ŋuti bena: Migaɖu eƒe ɖeke o, eye migaka asi eŋu hã o, be miagaku o! 
GEN.3.4	Eye da la gblɔ na nyɔnua bena: Miele kuku ge akpɔ o; 
GEN.3.5	ke boŋ Mawu nyae bena, gbesigbe ke miaɖu eƒe ɖe la, miaƒe ŋkuwo laʋu, eye mianɔ abe Mawu ene, anya nyui kple vɔ̃. 
GEN.3.6	Esi nyɔnu la kpɔ bena, ati la nyo na ɖuɖu, ebiã ŋu na ame, eye wòdzroa ame, eye wònana wodzea nunya la, egbe eƒe tsetsea ɖe heɖu, eye wòna srɔ̃a, si le egbɔ hã woɖu. 
GEN.3.7	Tete wo kpakple eve ƒe ŋkuwo ʋu, eye wodze sii bena, yewole amama, eye wòtɔ amagbawo hesa ɖe ali.
GEN.3.8	Eye esi wose Yehowa Mawu ŋkɔ le anyinufaɣi le abɔa me la, amea kple srɔ̃a woɣla wo ɖokui ɖe Yehowa Mawu ɖe abɔmetia ɖe te. 
GEN.3.9	Tete Yehowa Mawu yɔ amea gblɔ nɛ bena: Afika nèle? 
GEN.3.10	Eɖo ŋu nɛ bena: Mese ŋkɔwò le abɔa me, eye meva; elabena mele amama, eye meɣla ɖokuinye. 
GEN.3.11	Egblɔ be: Ameka toe na wò be, amamae nèle? Alo ɖe nèɖu ati, si ŋuti meɖe se na wò be, megaɖu eƒe ɖeke o la ƒe ɖe mahã? 
GEN.3.12	Ame la ɖo ŋu bena: Nyɔnu, si nètsɔ nam la, eyae na atia ɖem meɖu. 
GEN.3.13	Eye Yehowa Mawu gblɔ na nyɔnua bena: Nukaŋuti nèwɔ alea? Nyɔnu la ɖo ŋu ne be: Da lae blem, eye meɖui.
GEN.3.14	Eye Yehowa Mawu gblɔ na da la bena: Esi nèwɔ alea la, eyata woaƒo fi ade wò le aƒemelãwo kple gbemelãwo katã dome: Wò ƒodo dzi nazɔ, eye ʋuʋudedie naɖu le wò agbe me ŋkekewo katã me! 
GEN.3.15	Made adikã mia kple nyɔnu la dome, wò dzidzime kple nyɔnu la ƒe dzidzime dome, eya la agbã ta na wò, eye wò la àɖu afɔkpodzi nɛ. 
GEN.3.16	Eye wògblɔ na nyɔnua bena: Mana nakpe fu geɖe le fufɔfɔ me, alé ku hafi àdzi vi, ke wò tame anɔ srɔ̃wò ŋu, eye eya anye gã ɖe dziwò. 
GEN.3.17	Eye wògblɔ na Adam bena: Esi nèse srɔ̃wo ƒe gbe, eye nèɖu ati, si ŋuti mede se na wò be, megaɖu eƒe ɖekeɖeke o la ƒe ɖe la, eyata woaƒo fi ade anyigba le tawò, àkpe fu hafi akpɔ nu àɖu tso me le wò agbe me ŋkekewo katã me. 
GEN.3.18	Ŋu kple aŋɔka amie na wò, eye naɖu anyigba dzi amagbewo! 
GEN.3.19	Fifia ate wò, hafi nakpɔ abolo aɖu, vaseɖe esime nagatrɔ azu anyi, elabena eya mee woɖe wò tsoe. Anyi nènye, eye anyi ke nagatrɔ azu!
GEN.3.20	Eye ame la tsɔ ŋkɔ na srɔ̃a bena Xawa, elabena eya ava nye ame gbagbewo katã dada. 
GEN.3.21	Eye Yehowa Mawu tsɔ lãgbalẽwu do na Adam kple srɔ̃a. 
GEN.3.22	Eye Yehowa Mawu gblɔ be: Kpɔ ɖa, ame zu sigbe mía dometɔ ɖeka ene, eye wònya nyui kple vɔ. Ke be wòagaɖo asi ɖa agbe agbetia hã ƒe ɖe aɖu, eye wòanɔ agbe ɖoɖoɖo o la, 
GEN.3.23	Yehowa Mawu ɖe ame ɖa tso Eden-bɔ la me, bene woaŋlɔ anyigba, si me woɖee tsoe. 
GEN.3.24	Tete wònyã ame la, eye wòna Kerubiwo tsɔ yi, si trɔa eɖokui, eye wòklẽna abe dzo ƒe aɖe ene la, ɖanɔ Eden-bɔ la ƒe ɣedzeƒe gome, bena woadzɔ agbeti la mɔ nu.
