MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
MAT.1.2	Abraham kūu tatá ma Isaac, ta Isaac kūu tatá ma Jacob, ta Jacob kūu tatá ma Judá chi'in ma ndra yani ra. 
MAT.1.3	Judá kūu tatá ma Fares, chi'in Zara, ta ma ma'á vi kūu Tamar. Fares kūu tatá ma Esrom, ta ma Esrom kūu tatá ma Aram. 
MAT.1.4	Aram kūu tatá ma Aminadab, ta ma Aminadab kūu tatá ma Naasón, ta Naasón kūu tatá ma Salmón. 
MAT.1.5	Salmón kūu tatá ma Booz, ta ma ma'á ra kūu Rahab. Booz kūu tatá ma Obed, ta ma ma'á ra kūu Rut. Ta Obed kūu tatá ma Isaí. 
MAT.1.6	Isaí kūu tatá ma rey David. Ta ma rey David chi'in ma ña kūu ñasi'i ma Urías, vikan kūu tatá ma Salomón.
MAT.1.7	Salomón kūu tatá ma Roboam, ta Roboam kūu tatá ma Abías, ta Abías kūu tatá ma Asa. 
MAT.1.8	Asa kūu tatá ma Josafat, ta Josafat kūu tatá ma Joram, ta ma Joram kūu tatá ma Uzías. 
MAT.1.9	Uzías kūu tatá ma Jotam, ta Jotam kūu tatá ma Acaz, ta ra'ya kūu tatá ma Ezequías. 
MAT.1.10	Ezequías kūu tatá ma Manasés, ta Manasés kūu tatá ma Amón, ta Amón kūu tatá ma Josías. 
MAT.1.11	Josías kūu tatá ma Jeconías chi'in ma ndra yani ra, ma tiempu ña tīin ma ndra ñu'u' ñuu Babilonia ma ndian israelita, ta kuà'an na chi'in ndra iti' tikan.
MAT.1.12	Ta ora yā'a, ña tā'an na takan, tajan Jeconías kūu tatá ma Salatiel, ta Salatiel kūu tatá ma Zorobabel. 
MAT.1.13	Zorobabel kūu tatá ma Abiud, ta Abiud kūu tatá ma Eliaquim, ta ra'ya kūu tatá ma Azor. 
