GEN.1.1	Pamugaan, Allah manjadiakan langit wan bumi. 
GEN.1.2	Bumi baluman bapotongan wan puang. Bumi dibungkus banyu wan kadada tarang di mana-mana. Ruh Allah malayang-layang di atas banyu. 
GEN.1.3	Lalu Allah bapirman, “Baadalah tarang!” Lalu tarang tu ada. 
GEN.1.4	Allah maanggap baik wan katuju malihat tarang nang diadaakan-Nya tu. Lalu dipisahakan-Nya ai tarang tu lawan kadap. 
GEN.1.5	Tarang tu dingarani-Nya “siang”, nang kadap tu dingarani-Nya “malam”. Imbah malam, lalu baisukan. Itu pang hari nang panambaian.
GEN.1.6	Pada hari nang kadua, Allah bapirman, “Baadalah kubah hawa ditangah-tangah samunyaan banyu gasan mahalat banyu nang ada di atas lawan banyu nang ada di bawah.” 
GEN.1.7	Lalu ada ai kubah hawa tu. 
GEN.1.8	Kubah hawa tu dingarani-Nya “angkasa”.
GEN.1.9	Pada hari nang katalu, Allah bapirman, “Bakumpul, samunyaan banyu nang ada di bawah langit sakira talihat tanah nang karing”. Lalu kalihatan ai tanah nang karing tu. 
GEN.1.10	Tanah nang karing tu dingarani-Nya 'daratan', sadangkan kumpulan banyunya dingarani-Nya 'lautan'. Allah maanggapnya baik wan katuju malihatnya. 
GEN.1.11	Lalu Allah bapirman, “Balacukan ja di tanah samunyaan tatumbuhan nang babigi wan papuhunan nang babuah buah nang babigi sakira papuhunan tu tatarusan ada di bumi.” 
GEN.1.12+GEN.1.13	Lalu balacukan ai tatumbuhan wan papuhunan di tanah tu. Allah maanggapnya baik wan katuju malihatnya.
GEN.1.14	Pada hari nang kaampat, Allah bapirman “Baadalah matahari, bulan, wan bintang-bintang gasan mamisahakan siang lawan malam, wan manjadi tanda nang manunjukakan bamulanya wan baahirnya musim, hari, wan tahun-tahun 
GEN.1.15	wan jua gasan manarangi bumi.” Ada ai lalu matahari, bulan wan bintang-bintang tu. 
GEN.1.16	Nang taganal, yaitu matahari, gasan manarangi siang. Nang tahalus, yaitu bulan, gasan manarangi malam, wan diadaakan-Nya jua bintang-bintang. 
GEN.1.17	Samunyaan nang itu diandak Allah di atas langit gasan manarangi bumi, 
GEN.1.18+GEN.1.19	yaitu gasan manarangi siang wan malam, wan gasan mamisahakan tarang lawan kadap. Allah maanggapnya baik wan katuju malihatnya.
GEN.1.20	Pada hari nang kalima, Allah bapirman, “Baadalah sagala macam makhluk hidup nang bakariapan di banyu, wan sagala macam makhluk hidup nang bahalar nang batarabangan di angkasa.” 
GEN.1.21	Maka dijadiakan-Nya binatang-binatang laut nang ganal-ganal wan sagala macam makhluk hidup nang bakunyungan, nang bakariapan dalam banyu, wan sagala macam makhluk hidup nang bahalar. Allah maanggapnya baik wan katuju malihatnya. 
GEN.1.22+GEN.1.23	Allah mambarkahi samunyaan nang itu wan manyuruh makhluk nang hidup di banyu supaya baranakan, batambah banyak sampai mahibaki lautan, wan manyuruh makhluk-makhluk nang bahalar supaya batambah banyak.
GEN.1.24	Pada hari nang kaanam, Allah bapirman, “Baadalah di bumi sagala macam makhluk nang bagarak, binatang inguan, binatang nang marayap, wan sagala macam binatang liar.” Lalu ada ai samunyaan nang itu. 
GEN.1.25	Imbah manjadiakan samunyaan nang itu, Allah maanggap baik wan katuju malihat samunyaannya. 
GEN.1.26	Lalu Allah bapirman: “Nah, Kita handak manjadiakan manusia nang kaya gambaran Kita. Maka manusia pacangan bakuasa atas iwak-iwak, burung-burung, binatang-binatang inguan, wan samunyaan binatang nang bagarak di bumi, pokoknya manusia pacangan bakuasa atas saluruh bumi.” 
GEN.1.27	Maka Allah manjadiakan manusia tu nangkaya gambaran-Nya, nangkaya gambaran Allah saurang, dijadiakan-Nya manusia, lalakian wan babinian. 
GEN.1.28	Allah mambarkahi bubuhannya wan bapirman ka bubuhannya: “Baanakcucu wan batambah banyak, hibaki wan kuasai bumi! Kuasai iwak-iwak wan burung-burung, wan sagala binatang nang bagarak di bumi. 
GEN.1.29	Nah, gasan makanan bubuhan ikam, kubariakan samunyaan tatumbuhan nang babigi wan pupuhunan nang buahnya babigi di saluruh bumi” ujar Allah bapirman ka manusia. 
GEN.1.30	“Tapi gasan sagala binatang nang banyawa di bumi wan sagala burung di angkasa, kubariakan sagala tatumbuhan hijau gasan makanannya” ujar Allah bapirman. Lalu jadi ai nang kaya itu. 
GEN.1.31	Imbah malihat samunyaan nang diadaakan-Nya tu, Allah katuju wan maanggapnya bujur-bujur baik banar.
GEN.2.1	Kaputingannya, pada hari nang kaanam tu, tuntungan ai langit, bumi lawan sagalaan isinya. 
GEN.2.2	Imbah manuntungakan gawian-Nya tu, baistirahat ai Allah pada hari nang kapitu.
GEN.2.3	Karna pada hari nang kapitu Allah sudah ampih bagawi manjadiakan samunyaan nang sudah diadaakan-Nya tu, maka hari nang kapitu tu, dibarkahi wan dikudusakan Allah.
GEN.2.4	Nang kaya itu pang kisahnya langit wan bumi wayah dijadiakan-Nya.
GEN.2.4	Wayah Allah Al Khalik
GEN.2.5	baluman ada lagi kakumpaian di bumi wan baluman ada jua papuhunan nang mancungulan di padang lantaran Allah Al Khalik baluman manurunakan hujan ka bumi, wan baluman ada jua urang nang manggawi tanah tu.
GEN.2.6	Tapi wayah itu ada banyu kaluar matan tanah nang mambasahi saluruh bumi. 
GEN.2.7	Allah Al Khalik maulah manusia nang panambaian matan tanah lalu ditiup-Nya pahinakan nang mambariꞌi hidup ka dalam hidungnya, lalu hidup ai manusia tu.
GEN.2.8	ALLAH Al Khalik manyiapakan Taman Eden
GEN.2.9	ALLAH Al Khalik manumbuhakan bamacam-macam papuhunan nang bagus-bagus gasan dilihat lawan nang buahnya nyaman-nyaman gasan dimakan. Di tangah-tangah taman tu, ada dua rapun puhun. Sarapun puhun nang mambari hidup. Sarapunnya puhun nang mambari pangatahuan sual napa nang baik wan napa nang jahat.
GEN.2.10	Ada sungai nang maalir matan daerah Eden nang mambariꞌi banyu gasan taman tu. Imbah kaluar matan situ, tabagi manjadi ampat sungai. 
GEN.2.15	Allah Al Khalik maulah manusia tu bagana di Taman Eden tu gasan bausaha wan maharagunya.
GEN.2.16	“Samunyaan pupuhunan dalam taman ini kawa haja ikam makan buahnya sakahandak hati ikam 
GEN.2.17	kacuali puhun nang mambari pangatahuan tantang napa nang baik wan napa nang jahat, jangan ikam makan buahnya, sualnya amun ikam mamakannya, ikam musti mati, hari itu jua” ujar ALLAH Al Khalik bapirman ka manusia tu.
GEN.2.18	“Kada baik amun manusia tu saurangan haja. Aku handak maulahakan pasangan nang cocok gasan mangganiꞌi inya” ujar ALLAH Al Khalik bapirman.
GEN.2.19	ALLAH Al Khalik maulah matan tanah sagala binatang hutan wan sagala burung di angkasa. Lalu samunyaan dibawa-Nya ka manusia tu, gasan malihat nangkaya apa manusia tu mangaraninya. Ngaran nang dibariakan manusia tu, itu pang nang manjadi ngaran tiap-tiap makhluk hidup tu. 
GEN.2.20	Lalu manusia tu mangarani sagala binatang inguan, sagala burung di angkasa, wan sagala binatang hutan. Manusia tu sadar amun samunyaan binatang bapasang-pasangan, lalakian wan babinian. Tagal gasan inya saurang, baluman ada pasangannya. 
GEN.2.21	Maka ALLAH Al Khalik maulah manusia tu guring janak. Parahatan inya guring tu, dicabut ALLAH Al Khalik sabilah tulang rusuknya. Lalu ditukupi-Nya pulang lawan daging. 
GEN.2.22	Matan tulang rusuk nang dicabut ALLAH Al Khalik tu, diulah-Nya saikung babinian, lalu imbah manusia tu bangun guring, babinian tu dihadapakan Allah ka manusia tu. 
GEN.2.23	“Nah ini pang, tulang matan tulangku,
GEN.2.23	wan daging matan dagingku.
GEN.2.23	Inya pacangan disambat babinian
GEN.2.23	sualnya inya diambil matan lalakian
GEN.2.24	Lantaran itu pang, lalakian pacangan maninggalakan abahnya wan umanya lalu basatu lawan bininya, makanya kaduduanya manjadi satu. 
GEN.2.25	Manusia wan bininya tu, kaduduanya batilanjang bulat, tagal biar nangkaya itu bubuhannya kada marasa supan.
GEN.3.1	Nah, di antara samunyaan binatang di darat nang diadaakan ALLAH Al Khalik, ular adalah binatang nang paliciknya.
GEN.3.1	“Bujurlah Allah manangati bubuhan ikam mamakan samunyaan bubuahan di taman ini?” ujar ular manakuni babinian tu.
GEN.3.2	“Kada nang kaya itu pang! Samunyaan buah matan pupuhunan nang ada di taman ini, bulih haja kami makan 
GEN.3.3	kacuali buah puhun nang tumbuh di tangah-tangah taman ini. Kami ditangati Allah mamakannya. Manjapainya haja gin, kada bulih! Kaina kami mati jar-Nya” ujar babinian tu manyahut.
GEN.3.4	“Bah, bubuhan ikam tu kada pacangan mati pang! 
GEN.3.5	Tapi bubuhan ikam pacangan manjadi nangkaya Allah sualnya bubuhan ikam pacangan tahu sual napa nang baik wan napa nang jahat. Allah gin sudah tahu nang itu. Makanya Inya manangati bubuhan ikam mamakan buah nang itu” ujar ular mambunguli babinian tu.
GEN.3.6	Babinian tu malihat amun buah puhun tu pina bagus-bagus kalihatannya, wan pina nyaman-nyaman, amun dimakan. Lawan pulang, buah puhun tu pina mambari kapingin lantaran bisa maulah urang batambah pintar. Diputiknya ai buah tu, lalu diigutnya. Diunjukinya jua ka lakinya nang lagi ada di situ. Lalu umpat ai jua lakinya mamakan buah tu. 
GEN.3.7	Imbah itu, langsung supan ai bubuhannya sualnya bubuhannya hanyar haja sadar amun bubuhannya tu batilanjang bulat. Lalu bubuhannya maayam daun puhun ara gasan manukupi aurat bubuhannya.
GEN.3.8	Wayah hari naung, manusia wan bininya tu mandangar ALLAH, Al Khalik, datang di taman itu. Lalu basambunyian ai bubuhannya di sasala pupuhunan di taman tu.
GEN.3.9	“Ui, Adam, lagi di mana ikam?”
GEN.3.10	“Pas mandangar Pian ada di sini, takutan ai ulun sualnya ulun batilanjang. Lantaran itu pang, ulun lalu basambunyi” ujar manusia tu manyahut.
GEN.3.11	“Siapa garang nang mamadahi ikam amun ikam tu batilanjang? Bisa bisa ikam sudah mamakannyalah, buah puhun tu nang kutangati ikam mamakannya?” ujar ALLAH Al Khalik batakun.
GEN.3.12	“Babinian nang Pian bawaakan gasan ulun tu nah, inya nang manjulungi ulun buah nang itu, makanya ulun makan” ujar manusia tu manyahut.
GEN.3.13	“Kanapa maka ikam sampai balaku nang kaya itu?” ujar ALLAH Al Khalik manakuni babinian tu.
GEN.3.13	“Ular tu nah nang mambunguli ulun sampai ulun tamakan buah puhun tu” ujar babinian tu manyahut.
GEN.3.14	“Lantaran ikam balaku nang kaya itu, takutuk ikam di antara samunyaan binatang inguan wan binatang hutan. Lawan parut ikam tu pang, ikam pacangan manjalar wan pacangan tamakan dabu tanah saumur hidup ikam. 
GEN.3.15	Aku pacangan maulah ikam wan babinian tu bamusuhan, wan antara juriat ikam wan juriat babinian tu bamusuhan jua. Juriat babinian tu pacangan maramukakan kapala ikam, wan ikam pacangan mamatuk tumit juriatnya” ujar ALLAH Al Khalik baucap ka ular tu.
GEN.3.16	Lalu ujar ALLAH Al Khalik ka babinian tu, “Aku pacangan maulah ikam ngalih wayah ikam batianan wan banyak maharit sakit wayah ikam baranak. Ikam handak manguasai laki ikam, tapi malahan inya nang pacangan bakuasa atas ikam.”
GEN.3.17	Lalu ujar ALLAH Al Khalik ka lalakian tu, “Ikam hakun maumpati pandiran bini ikam wan mamakan buah puhun nang sudah kutangati. Maka lantaran itu pang, tanah ini Ku-kutuk. Ikam pacangan ngalih wan uyuh bacari rajaki matan tanah ini saumur hidup ikam.
