MAT.1.1	Kristus Yesus, Zen teipsïn zini Daud Bak mo Auyan-tane.
MAT.1.2	Abraham Isaksa wë taka.
MAT.1.2	Isak hwëna Yakobsa wë taka. Zen hwëna beyana dua-blas enkam wei-wik gulku.
MAT.1.2	Ahana bosena Yehuda,
MAT.1.3	zen hwëna Peres ne Zera neka wë soka– wenya bosena Tamar hon.
MAT.1.3	Hwëna Peres zep Hezronsa wë taka.
MAT.1.3	Zen hwëna Ramsa wë taka.
MAT.1.4	Ram hwëna Aminadabsa wë taka.
MAT.1.4	Zen hwëna Nahasonsa wë taka.
MAT.1.4	Zen hwëna Salmonsa wë taka.
MAT.1.5	Salmon hwëna Boassa wë taka– Rahab hon.
MAT.1.5	Boas hwëna Obedsa wë taka– Rut hon.
MAT.1.5	Zen hwëna Isaesa wë taka.
MAT.1.6	Isai hwëna teipsïn zini Daud Baksa wë taka.
MAT.1.6	Teipsïn zini Daud Bak onakon hëndep in kim Israel mo auyan-azasa Babel san dep asaskam kap nulhak– zao de lowehe gwen hap, zëno mae mo bosem-sesa de aïtbinni an zen:
MAT.1.6	Daud Salomosa wë taka– Uria mo we nala Batsyeba hon.
MAT.1.7	Salomo hwëna Rehabeyamsa wë taka.
MAT.1.7	Zen hwëna Abiasa wë taka.
MAT.1.7	Abia hwëna Asa Baksa wë taka.
MAT.1.8	Zen hwëna Yosafatsa wë taka.
MAT.1.8	Hwëna Yosafat Yoramsa wë taka.
MAT.1.8	Zen hwëna Uzia Baksa wë taka.
MAT.1.9	Uzia hwëna Yotamsa wë taka.
MAT.1.9	Zen hwëna Ahas Baksa wë taka.
MAT.1.9	Ahas hwëna Hiskiasa wë taka.
MAT.1.10	Zen hwëna Manasyesa wë taka.
MAT.1.10	Manasye hwëna Amon Baksa wë taka.
MAT.1.10	Zen hwëna Yosia Baksa wë taka.
MAT.1.11	Yosia hwëna nonol Yekonyasa wë taka. Zao zep hen etan oso wal zemka wei-wik gulku. Israelk de zini kim holokam Alapsa hli dak, dekam zep Babelk de jana nabare zini teipsïn zini Yekonyasa zëre mae mo lang san dep nërhak, hen Israelk de zini beya tangankam asaskam zao kang nuk.
MAT.1.12	Yekonya hwëna Babelk zep Sealtielsa wë taka. Zao kim 70 tahun enkam lowehek, ki zep etan tapbla nuk.
MAT.1.12	Sealtiel hwëna Zerubabelsa zep wë taka.
MAT.1.13	Zerubabel hwëna Abihudsu zep wë taka.
MAT.1.13	Zen hwëna Elyakimsi zep wë taka.
MAT.1.13	Elyakim hwëna Azor Baksa zep wë taka.
MAT.1.14	Zen hwëna Zadoksa zep wë taka.
MAT.1.14	Zadok hwëna Akimsi zep wë taka.
MAT.1.14	Zen hwëna Eliudsu zep wë taka.
MAT.1.15	Eliud hwëna Eleazarsa zep wë taka.
MAT.1.15	Zen hwëna Matansa zep wë taka.
MAT.1.15	Matan hwëna aha zini Yakobsa zep wë taka.
MAT.1.16	Yakob hwëna Maria mo zini Yusupsu zep wë taka. Maria zep Yesussu wë tak– Insa “Kristus”kum en gweblananke. 
MAT.1.17	Zep Abraham onakon de auyan-azasa aïtbir hankam Daud osan dep beyana kïtak empat-blas enkam. Hen Daud onakon de aïtbir hankam Israelsa de asaskam Babelk kang gun sun dep, beyana hen empat-blas enkam. Hen dekon de etan lwan dahal zannak Kristus Yesussu de jaha gwen san dep aïtbir hankam, beyana hen empat-blas enkam.
MAT.1.18	Kristus Yesussu de jaha gwenna in, zen ausuna a kirekam mo lwakye: An zem in Maria, zen Yusup hup de golgu gweblanna. Hwëna nama de gon srëmnak zep u gwek. Hwëna Yusup hom anakan tame guꞌunka, “Zen Alap mo Enho mo sosonkam u gweꞌan.” 
MAT.1.19	Yusup man tangan Musa mo tïtï tabin ola blikip gwesïk gwibirki, zep Mariasa zë-en enlala gwibiꞌinka, “Ëe molyë gok, sap zen malinkim u gweꞌan.” Zen dekam zep enlala gweꞌanka, “Damnak de kira gwenkam, ki Maria mo bosena sa karek gwer. Zep sowëkam asa gubir, ‘Ëe ama emsa baes gwibiꞌin.’” 
MAT.1.20	Zen kim dam gulsuku, “Asa ki Mariasa baes gwibir,” hwëna dekam zep ni tannak eisirkim Alap mo dam taha nakore zini gublu zaka, “Yusup, Daud Bak mo auyan-tane, bahem Mariasa de gon hap baes gwen. Sap Walasna insa u gweꞌan, Zen Alap mo Enho mo sosonkam dena. 
MAT.1.21	Zen zi walassa sa jaha gwer. Em Yesuskum bose ta, sap Zen in Zen sa zëre mo hlï irin zini ngaya tabiri– zëno mae mo karek-kareksa de ngan gulsuzimdinkim.”
MAT.1.22	An kïtak Alap Zën ki syal gwibirki– zëre mo ol ayang gul gwen zini Yesaya mo alenak dikim zaun hup, mensa Zëna anakan gu-gublukake,
MAT.1.23	“Zi niban de gaïng ën srëm wenam seiwiri sa u gwer, hëndep zi walassa sa jaha gwer. Walasna in ‘Imanuel’kam sa bose dal.”
MAT.1.23	Yesaya insa “Imanuel”kam gubluka, zen Ibrani olkam. Zëno enlalana, “Alap Zën nësa golëlowehe gweꞌara.”
MAT.1.24+MAT.1.25	Ni tan nakon kim luweka, hëndep in kirekam Alap mo dam taha nakore zini in tonblaka, desan zep ki hëndep ang gweka. Hwëna Maria kim jaha gwe srëm gweꞌak, zen hom dekam nini apdekam laꞌak. Walasna insa kim jaha gwek, Yusup dekam zep “Yesus”kum bose taka.
MAT.2.1	Yesussu kim Yerusalem mo langnak de ëna Betlehemk jaha gwek, dekam teipsïnkïm Herodes ïrïk gïlkï. Hwëna dekam zep keis nikon de dam gulsuk gwen zini Yerusalemk yaïng gwezak. Zini in Israel kore naka hom. Zëno mae mo langna yakla hata sezan san dekam. 
MAT.2.2	Zen zao zep ëtakensïzïk, “Yahudisa de teipsïnkïm ïrïk gïn hïp de walasna in, endawe nër hom jaha gwek? Ëe keissië yakla hata sezan san hla la gweꞌan– dekon de dam tasïn hïpye. Zen in zebë yaïng gwezal– walasna insa de bokle kom tablan naban isrip-sri gweblan hap.”
MAT.2.3	Teipsïn zini Herodes kim kirekam salka, ausa zep hloka. Hen tïngare Yerusalemk de zini kim kirekam ësaladak ausa zep ëhlondak. 
MAT.2.4	Herodes dekam zep Alap mo golak de syal tan zi mo mam-mamna hen Musa mo olsa de tawa ta gwibin wenya zëbon de tagal gwen hap gubiridaka. Zao zep takensibiridaka, “Alap mo hamal hap de ola kon, nësa de ngaya tabin hip de Teipsïn Zini, Zen endawe sa an zem jaha gwer?”
MAT.2.5	Ki zep ding nulblik, “Sap diki Yerusalem mo langna Betlehemk de jaha gwen hap, sap Alap mo ol ayang gul gwen zi mo alenak man lwak,
MAT.2.6	‘Yehuda mo auyan-aza mo ëna in, Betlehem,
MAT.2.6	zen ëna sap betekna– tïngare Yehuda mo langnak de ë-ë nakonye.
MAT.2.6	Hwëna lamkam zëno bosena sa tangan yawal gwera,
MAT.2.6	sap ano hlïl irin wenya Israelsa de zaho ta gwibin hip de Zini,
MAT.2.6	Zen zëwe sa zëre mae mo ngïrïn klesnak jaha gwer.’”
MAT.2.7	Herodes kim kirekam zëbon mae salka, dekam zep yakla hata sezan nakore keis nikon de dam gulsuk gwen zini insa sowëkam gu sonebiridaka– zëbon de yaïng gwezan hap. Zao zep takensibiridaka, “Keisni in bawalkame nonol hla lak?” 
MAT.2.8	Kim takensibiridasïkï, ki zep gubiridaka, “Emki Betlehem san sek gwen. Zao walas tola insa dawem enkam lëblak. Zao de hla tankam, asa etan en gublu kïnzïk– ëe akakim hen song gwek, bokle kom soblan naban de hen isrip-sri gweblan hap.”
MAT.2.9+MAT.2.10	Ki zep hëndep sek gwek, ki zep hen keisni mensa yakla hata sezan san nonol hla dak, etan hla dak. Dekam tangan zep ëisrip-sri gweꞌak, sap keisni in man ngeirbiridaꞌanka. Hëndep walas tola in zao gola taꞌanka, zao en zep keisni in mo ngatanna zïlsïꞌïnka. 
MAT.2.11	Gola iwe kim bïtï gwek, zao zep walas tola insa an zem Maria han nakeꞌak. Zao zep hëndep ëutuk gwe hezan naban boklena kom dablazak. Dekam zep zëre mae mo honnak de kire-kire bïtï tahal zanna zëbe hap deisweblak, hëndep dekam zep zëbe hap kap dablak– emasna, ir ase dawem nabare te kïlï, hen ahana obat hap de te kïl dawemsa. 
MAT.2.12	Hwëna hla tan srëmnak Alap mes eisirkim anakan enlala sobiridaka, “Herodes osan bahem etan lwan dahan.” Zep hëndep aha ora san zëre mae mo lang san dep lwan dahak.
MAT.2.13	Keis nikon de dam gulsuk gwen wenya in kim lwan dahak, Alap mo dam taha nakore zini ki zep eisirkim Yusup hon hata zaka. Zao zep gubluka, “Em luwen. Herodes man angkam eno nik mo walasna ansa tan hap de tëblan hap kalang gweꞌara. Walas tola insa em Mesir sin dep ërheya gwen. Zao holokam ërgwë. Etan aen asa ebon hatazal– dekam de emsa anakan guzimdin hip, ‘Angkam sap esa etan ërlwa hala.’” 
MAT.2.14	Yusup kim luwe zaka, dekam zep hëndep kam ërheya gwek. 
MAT.2.15	Zao zep ërgwë gwek, hëndep Herodes tïlkï. Zen kïtak Alap mo dwam gwibin sin ki lwak– Alap mo ol ayang gul gwen zini men kirekam Yesus hup dena hamal hap anakan ayang gulkuke,
MAT.2.15	“Ëe asa etan ëre mo Walasna Mesir kon kwang ta halzal.”
MAT.2.16	Herodes kim sap keis nikon de dam gulsuk gwen wenya insa kara gwibiridaka, hen anakan kim tame gulku, “Zen hom asa nen gublu kïnzïꞌan. Man asa ahap da guk kïnzïk.” Dekam tangan zep jal gweka. Dekam zep zëre mo jana nabare zisi gubiridaka– Betlehemk hen zëno golek denak de ë-ë san de zi walassa tamerandan hap, dare tahun nakon olk san dep. Sap in kirekam keis nikon de dam gulsuk gwen zini in benna hen tahunna anakan nen gublu kïnzïkke, “Nonol tanganna dekam hata seka.” 
MAT.2.17	Zen dekam zep zauk– Alap mo ol ayang gul gwen zini Yermia Bak men desa ola anakan ayang gulkuye,
MAT.2.18	“Langna Rama kon gona sa wet so gwer, hen kamana sa nawa gwibir. Ëe ama eisirkim Rahel Swesa hlauk. Ngein sin zen sa auyan-tane wal zemka hala-hla gwibiridal. Zen molya sëwehek, sap auyan-tane wal zemka kïtak tangan sa damerasïl.”
MAT.2.19	Herodes kim tïlkï, Yusup ne dekam nama Mesirk ërgwëꞌak. Dekam zep etan Alap mo dam taha nakore zini zëbon eisirkim hata zaka. 
MAT.2.20	Zao zep gubluka, “Em luwen. Angkam sap esa walas om in han etan Israel san dep ërlwa hala. Sap teipsïn zini men zen eno nik mo walasna insa de tan hap golëalp gweꞌanka, zen mes angkam tïlkï.” 
MAT.2.21	Ki zep hëndep luweka, dekam zep hëndep etan Israel san dep ërlwahak. 
MAT.2.22	Hwëna kim etan salka, “Angkam Yerusalem mo langnak Herodes mo tanena Arkelaus Bak bi zik mo weinak teipsïnkïm ïrïk gïꞌïra,” dekam zep hwëna desan de etan ërsong gwen hap aïrïꞌanka. Hwëna Bian zep etan eisirkim gubluka, “Galilea san ërsong gwe.” Dekam zep desan ërsong gwek. 
MAT.2.23	Zao zep ë bosena Nazaret ërgwë gwek. Zen kïtak Alap mo dwam gwibin sin ki lwak– men kirekam Alap mo ol ayang gul gwen zini orep zëbe hap dena ayang nul gwekke,
MAT.2.23	“Zen Nazaret walkam sa nen gweblal.”
MAT.3.1	Zao kim lwa seꞌak, dekam zep baptis ta gwibin zini Yohanis Alap mo olsa de ayang gul gwenkam kon gwesïk hanaꞌanka. Zen zi srëm nakon syal gweꞌanka– Yerusalem mo aha ënak de eik nikon. Sane tan hap kim zë zini yaïng gwe-gwek, dekam zep ola ayang gul gwizimki, 
MAT.3.2	“Ere mae mo karek-karek nakon em ëhalen. Sap angkam Alap Zëna man kon gwesïk hanaꞌara– teipsïnkïm de nësa ïrïk gïnkïmye.” 
MAT.3.3	Yohanis zen orasa de sal tablan hap de zini men zëbe hap Yesaya Bak Alap mo olak hamal hap anakan ale gulblukake,
MAT.3.3	“Zini sa zi srëm lang nakon taken gwera,
MAT.3.3	‘Haen, nëre mae mo Teipsïn Zi hip nen orasa hamal ta gublun!
MAT.3.3	Hen nen dam-dam ta gublun!’”
MAT.3.4	Yohanis in Alap mo ol ayang gul gwen zini Elia Bak mo kim hen gwë gweka, zep unta ala nakore bajuna zëno kim hen ala so gweka. Takna hen Elia mo kim tweran sopkam denaka daul gweka. Tembanena hen zëno kim tembane gwe-gweka, zep ëkasna twenblanda gweka, hen sobwal hona otde gweka.
MAT.3.5+MAT.3.6	Dekam zini zëbon dep beya tangan nik weyana Yordan san dep sek gwe-gwek– tïngare Yerusalem mo lang nakon, hen weyana Yordan mo alp san de ë-ë nakonye. Zëwe zen nonol zëre mae mo kirekam karek-kareksa damnak ëkira-kla gwe-gwek. Ki zep hwëna Yohanis baptis ta gwibirki.
