MAT.1.1	Abraham é awut ashín, Dawiq é yhangzo yhangshu,
MAT.1.2	Abraham gi, Isak lé hkû;
MAT.1.2	Isak gi, Yakup lé hkû;
MAT.1.2	Yakup gi, Yudaq eq yhanggu yhangmâng pé lé hku é nghut lhê;
MAT.1.3	Yudaq gi, Hparet eq Zera lé hkû, haú nhik é yhângnu gi, Tamar nghut ri.
MAT.1.3	Hparet gi, Hesrun lé hkû;
MAT.1.3	Hesrun gi, Ram lé hkû;
MAT.1.4	Ram gi, Aminada lé hkû;
MAT.1.4	Aminada gi, Nashon lé hkû;
MAT.1.4	Nashon gi, Salamun lé hkû;
MAT.1.5	Salamun gi, Buaq lé hkû;
MAT.1.5	Buaq é yhângnu gi, Rahap nghut ri.
MAT.1.5	Buaq gi, Obet lé hkû;
MAT.1.5	Obet é yhângnu gi, Ruhtaq nghut ri.
MAT.1.5	Obet gi, Yese lé hkû;
MAT.1.6	Yese gi, Hkohkâm Dawiq lé hkû;
MAT.1.6	Dawiq gi, Sholumon lé hkû; Sholumon é yhângnu gi, Uriaq yhangmyi dut wú sû nghut ri.
MAT.1.7	Sholumon gi, Rehoboam lé hkû;
MAT.1.7	Rehoboam gi, Abiyaq lé hkû;
MAT.1.7	Abiyaq gi, Asa lé hkû;
MAT.1.8	Asa gi, Yehoshaphat lé hkû;
MAT.1.8	Yehoshaphat gi, Yoram lé hkû;
MAT.1.8	Yoram gi, Uzi-aq lé hkû;
MAT.1.9	Uzi-aq gi, Yohtam lé hkû;
MAT.1.9	Yohtam gi, Ahaza lé hkû;
MAT.1.9	Ahaza gi, Hezekiaq lé hkû;
MAT.1.10	Hezekiaq gi, Manase lé hkû;
MAT.1.10	Manase gi, Amon lé hkû;
MAT.1.10	Amon gi, Yosiaq lé hkû;
MAT.1.11	Yosiaq gi, Babelon má shúm dut huî é hkûn, Yehkoniaq eq yhanggu yhangmâng pé lé hku é nghut ri.
MAT.1.12	Babelon má shúm dut huî é htâng má,
MAT.1.12	Yehkoniaq gi, Shalahtila lé hkû;
MAT.1.12	Shalahtila gi, Zerubabelaq lé hkû;
MAT.1.13	Zerubabelaq gi, Abiut lé hkû;
MAT.1.13	Abiut gi, Eliakim lé hkû;
MAT.1.13	Eliakim gi, Azor lé hkû;
MAT.1.14	Azor gi, Zaduk lé hkû;
MAT.1.14	Zaduk gi, Ahkim lé hkû;
MAT.1.14	Ahkim gi, Eliut lé hkû;
MAT.1.15	Eliut gi, Eliaza lé hkû;
MAT.1.15	Eliaza gi, Mahtan lé hkû;
MAT.1.15	Mahtan gi, Yakup lé hkû;
MAT.1.16	Yakup gi, Mariq é yhanglâng Yosep lé hku é nghut ri;
MAT.1.16	Mariq gi, Hkrisduq gâ é Yesuq lé hku é sû nghut ri.
MAT.1.17	Haû mù, Abraham é pyat mai Dawiq é pyat jé shoq gi, byùxik raxe myi xik; Dawiq pyat mai Babelon má shúm dut huî é hkûn jé shoq gi, byùxik raxe myi xik; shúm dut huî é hkûn mai Hkrisduq
MAT.1.18	Yesuq Hkrisduq hku lé lo é hkyô gi, a-ô mâ é eq rajung za nghut ri: Yesuq é yhângnu Mariq gi, Yosep èq dûng tô é sû nghut ri; nghut kôlhang, yhangnhik a zùm shi má, yhang gi, Chyoiyúng Woi-nyí mai zogûng dut bê nghut ri. 
MAT.1.19	Yhâng é yhumsîng hpó Yosep gi, dingmán sû nghut luî, yhang lé byu pê hí má hoq a kâm lhoq hpu nau é yanmai, tsik za lhoq kâng pyám râ dâ ri.
MAT.1.20	Nghut kôlhang, yhang haû su myit nyi é hkûn, yhupmoq má, haû Yhumsing é maumang lagyo gi, yhang lé, lé htoq shit luî, "Dawiq é yhangzo yhangshu Yosep ê, haû náng é yhumsîng myhí Mariq lé hâng yù râ hkyô lé, hkâ-myit chiq; haî mù gâ le, yhang wun tô é zoshâng gùng gi, Chyoiyúng Woi-nyí dông lo é nghut lhê. 
MAT.1.21	Yhang gi, yuqzo rayuq hkû râ nghut luî, nàng gi, zoshâng haú lé, Yesuq nghû myìng myhíng byi ra râ nghut lhê; hkâsu mù gâ le, Yhang gi, Yhâng é byu pé lé, yhangmoq é yubak mara mai hkyi yù râ sû nghut lhê." ga taî ri.
MAT.1.22	Shí hkyô banshoq gi, Garai Gasâng èq, haû myiqhtoi dông taî é dang lé lhoq dik é nghut ri. 
MAT.1.23	Myiqhtoi dang haû gi, "Haû zomyi gyíng gi, zogûng dut luî, yuqzo rayuq hkû râ nghut lhê; Yhâng é myìng lé gi, Emanuelaq ga kó râ nghut lhê."
MAT.1.24	Yosep gi, yhup bûn lo é hkûn, haû Yhumsing é maumang lagyo taî é eq rajung za, Mariq lé, yhangmyi dông yhûm má shuî yù bê nghut ri. 
MAT.1.25	Nghut kôlhang, yhang gi, yuqzo haû hku é hkûn jé shoq, Mariq eq gungsho a zùm nghut ri. Yuqzo haú lé, yhang gi, Yesuq ga myhíng byî ri.
MAT.2.1	Herut hkohkâm up nyi é u lé, Yuda mau mâ é Betlehem wà má Yesuq lé hku é nghut ri. Hau htâng, buihtoq hkyam mâ é hpaqchyî bò bang gi, Yerusalem wà mó má jé lé kômù, 
MAT.2.2	"Haû hku lé lô bê Yudaq byu pê é Hkohkâm gi, hkâmá nghut lhê lhú? Yhâng é kyî lé, buihtoq hkyam má ngamoq myàng luî, Yhang lé noq râ matú jé lé é nghut lhê." ga luî, myî akô nghut ri.
MAT.2.3	Herut hkohkâm gi, haú hkyô lé wó gyo jáng myit myô nyi ri; hau htoq agó, Yerusalem wà mó mâ é lhunglhâng bang le, myit myô bum akô nghut ri. 
MAT.2.4	Haû mù luî, yhang gi, byu pê é hkyangjong agyi pé eq tarâ sará pé banshoq lé, ji tsîng yù mù, haû Hkrisduq hkâmá hku lé lô râ nghut é hkyô lé myî ri. 
MAT.2.5	Haú hkûn, yhangmoq gi, "Yuda mau Betlehem wà má nghut lhê. Hkâsu mù gâ le, shí hkyô eq séng luî, haû myiqhtoi kâ tô é má,
MAT.2.6	'Yudaq mau mâ é Betlehem wà ê, nàng gi, Yudaq mau mâ é wà pé má, je tiq sû a nghut;
MAT.2.6	hkâsu mù gâ le, ngá é Israelaq byu pé lé upzúng râ Zau gi, náng chyáng mai htoq lô râ nghut lhê.'
MAT.2.6	ga bo tô ri." ga tû taî akô.
MAT.2.7	Hau htâng, Herut gi, haû hpaqchyî bò bang lé haq ji yù mù, kyî lé htoq shit é ahkyíng lé, yhangmoq chyáng mai hkyak wó myî sê yù bê nghut ri. 
MAT.2.8	Haû mù, yhang gi, "Nungmoq, zoshâng haú lé rago ê ho wú keq. Ngò le, Yhang lé ê wó noq râ matú, Yhang lé nungmoq ê myâng eq yhang, ngo lé lo shit kyo keq." ga taí luî, haú bang lé Betlehem wà shut nhang kat bê nghut ri.
MAT.2.9	Yhangmoq gi, haû hkohkam é dang lé gyô yu é htâng má, htoq e ló bekô nghut ri. Haû buihtoq hkyam má yhangmoq myang é kyî gi, haû zonú nyi é ahtoq ang ang má ló nô é jé shoq, yhangmoq é hí má e ló byî ri. 
MAT.2.10	Yhangmoq gi, kyî haú lé myàng jáng, gyai yhang gabú bum akô nghut ri. 
MAT.2.11	Yhangmoq gi, haú yhûm má wang e ló kô é hkûn, zonú eq yhângnu Mariq lé myàng kômù, hkyihput htuq luî, haû zonú lé noqkuq akô; hau htâng, yhangmoq é sutdek pé lé le hpóng luî, hîng, namngón jung loban eq mura
MAT.2.12	Yhangmoq gi, Herut chyáng a dum taû ló râ matú, yhupmoq má, yhangmoq lé sidiq byî é hui kômù, hkyô gó hkat dông yhangmoq é mau shut taû ló bekô nghut ri.
MAT.2.13	Yhangmoq ló byuq é htâng má, haû Yhumsing é maumang lagyo rayuq gi, Yosep lé yhupmoq má htoq shit mù, "Toq aq! Haû zoshâng eq yhângnu lé, Egutuq ming shut shuî hpang ê aq. Ngò, nang lé dum ji yu é ahkyíng jé shoq, haú má nyi nyì keq. Haî mù gâ le, Herut gi, zoshâng haú lé sat râ matú, ho nyì bê nghut ri." ga taî ri.
MAT.2.14	Haû mù, yhang gi, toq luî, myín lé yhang, zôshang me lé shuî chûng mù, Egutuq ming shut e ló bê nghut ri. 
MAT.2.15	Yhangmoq gi, Herut shi é jé shoq, haú má nyi nyi akô. Haû gi, "Ngá zo lé, ngò, Egutuq ming mai wut htoq yû bê nghut lhê."
MAT.2.16	Herut gi, yhang lé, hpaqchyî bò bâng èq mhaû pyâm tô é lé sé jáng, nhikmo-yo bê nghut ri; haû mù, yhang gi, haû hpaqchyî bò bâng chyáng mai wó sê yu é ahkyíng lé sôn wú mù, Betlehem wà eq hau é awui ayàm mâ é wà pé má nyi é, í zân mai a-ô mâ é yuqzo pé banshoq lé, sat pyám nhang ri. 
MAT.2.17	Haû gi,
MAT.2.17	"Ramaq gâ é jowò má, yón kuq é eq ngau garû é htê lé wó gyô ri;
MAT.2.17	Rahkelaq gi, yhang zô pé a nyi byuq lo kô é yanmai, ngau nyi é eq nhik a wó tíng dut ri."
MAT.2.17	ga luî, 
MAT.2.18	myiqhtoi Yeremiaq dông taî tô é dang lé lhoq dik é nghut ri.
MAT.2.19	Herut shi byuq é htâng, Egutuq ming má, haû Yhumsing é maumang lagyo gi, Yosep chyáng yhupmoq dông lé htoq shit mù, 
MAT.2.20	"Toq aq, haû zôshang me lé shuî chûng mù, Israelaq ming má taû ló aq; hkâsu mù gâ le, haû zoshâng lé sat naû bang shi byuq bekô nghut ri." ga taî ri.
MAT.2.21	Haû mù, Yosep gi, zôshang me lé shuî chûng mù, Israelaq ming shut taû ló bê nghut ri. 
MAT.2.22	Nghut kôlhang, yhang gi, Yuda mau má, Arhkela-uq, yhângwa Herut é hkó má xoq up nyi é hkyô lé wó gyo jáng, haú má a wám ló lo nghut ri. Yhupmoq má sidiq byî é huî é eq rajung za, yhang gi, Galile mau shut e ló mù, 
MAT.2.23	Nazaret gâ é wà má ló nyi nyì bê nghut ri. Haû mù, "Yhang lé, Nazaret wà byù ga râ nghut lhê." ga luî, haû myiqhtoî pé dông taî tô é dang lé lhoq dik é nghut ri.
MAT.3.1	Haú yoq má, Wui-myhup Sará Yohan htoq lô mù, Yuda mau mâ é yoso má hko kyô é gi, 
MAT.3.2	"Myit lhîng keq; hkâsu mù gâ le, mauhkûng mingdán gi, chyâng lò bê
MAT.3.3	Haú yuq gi,
MAT.3.3	"Haû yoso má, byù rayuq garû taî é htê gi,
MAT.3.3	'Haû Yhumsing é matú, hkyô hen to keq; Yhâng é matú, hkyô lhoq nyhang to keq.' gâ ri."
MAT.3.3	ga myiqhtoi Esai-aq taî tô é sû yuq nghut ri.
MAT.3.4	Yohan gi, gola-uq shomaú èq saî é mebu wut mù, yhâng é hpyidum má gi, shokuq hpyihit hit ri. Yhâng é zoshuq gi, dinggám eq yosô byo-î pé nghut ri. 
MAT.3.5	Yerusalem wà mó mâ é bang, Yuda mau banshoq mâ é bang eq Yodan làng awui ayàm lhunglháng mâ é bang gi, yhâng chyáng htoq e bum akô. 
MAT.3.6	Yhangmoq gi, yhumsing é mara lé yín yû kôluî, yhâng chyáng mai Yodan làng má wui-myhup hkâm yu bum akô nghut ri.
MAT.3.7	Nghut kôlhang, yhang gi, yhang wui-myhup hkám byî é jang má, Hparishe pé eq Saduke pé myo myo lé lo nyì kô é lé myàng jáng, yhangmoq lé taî é gi, "Duq htân lhangmuì amyû pé ê, jé lô râ yubak dam mai wó hpang lut kó sháng gaq ga, nungmoq lé ó yuq taî pûn é lhú? 
MAT.3.8	Myit lhîng hkyô eq gingdán é ashi pé zui keq. 
MAT.3.9	'Ngamoq gi, Abraham é yhangzo yhangshû pé nghut lhê.' nghû luî, yhumsing é i-myit unghkaû má hkâlum to kó. Hkâsu mù gâ le, ngò, nungmoq lé taî kyo kôlé, Garai Gasang gi, luqgok shí pé mai, Abraham é matú yhangzô pé wó hpan htoq kat lhê. 
MAT.3.10	Ahkuî lháng, Garai Gasang gi, Yhâng é wazung lé haû sikgâm wang pé má tô to bê nghut ri; haû mù, ge é ashi a zuî é agàm hkangmó lé gi, htuq lhêng pyám mù, myi má dú kat pyám râ nghut lhê.
MAT.3.11	Ngò gi, nungmoq myit lhîng kó sháng gaq nghû, wui èq za wui-myhup hkám byî lhê. Nghut kôlhang, ngá htoq má wum-o a-tsam je bo é sû rayuq, ngá htâng má jé lé lô shirâ nghut luî, ngò gi, Yhâng é hkyî-tsung chûng byi râ lháng a gingdán; Yhang gi, Chyoiyúng Woi-nyí má le, myi má le, nungmoq lé wui-myhup hkám byi râ nghut lhê. 
