SNG.1.1	Job tshummel man pes mujeskeri tshummeppen.
SNG.1.2	Ghé, tiri kamappen hi feddidir sir i mol.
SNG.1.3	Washke tiri shukkeri sungemaskeri dshedd tro nav hi ssir jek o shukker dshedd tshordó; i rakjah tukke kamélen.
SNG.1.4	Zerdal manghe, mee nashraha pal tukke: o kral me andas trin leskeri ismja: mee rikkervaha tiri kamappen butdir har i mol: mee loshainopeha te loshainoweha pashal tudder: i tshatsho manusha tot kamena.
SNG.1.5	Oh rakkljah catter Jerusalem, me hom kalli, tami, shukker tshai: ssir i tattin an o Chedar, har i bari ismja Salomuneskero.
SNG.1.6	Na te dikjen ke me hom kalli: ghé o kám mander gattehas pashal pes jaklengheri, miri dejakri tshavi tshingérdel pral mander, jol me tshivdel pral i dráka: te, me na dikjas miri drak, ki his kolesgre.
SNG.1.7	Oh tu ke miro dsi kamela, sikker mande, gai tukke tshareha i bako, te gai tukke kereha la kirodara an o pashodiwes. Hoske me hommes ssir jek ranni ssar o glanduno tikklo, pal i laki tudder mali?
SNG.1.8	Ganna na te dshaneha les, oh feddidir andri e shukkeri raklja, dsha wri pallal o bakengheri stakkerpen, te tsharava tiri pussin pash i bersheskeri tattin.
SNG.1.9	Miri gakki, tu hal har i grasni, an o Farunesder schwengli.
SNG.1.10	Tiri tshammi hi latshi andri lesderi shukkerpen, te tiri mén andri lesderi torin.
SNG.1.11	Men kerena tudder sonnigajakri shukkerpen, pashall u rupengheri tshappi.
SNG.1.12	Dalla o kral hi andri lesde chawen, mro dshorett dijas wri pes sung.
SNG.1.13	Mro gakko man hi ssir o dikkno sungemaskri gonna, i rat tshivela job mashker miri tshutshin.
SNG.1.14	Mro gakko mander hi har o trap Cipriakri mól ani miri drakja Enghedengheri trom.
SNG.1.15	Ne dikk, miri gakki: tu hal jek shukker chai; miri chelladi, dikk tiri jak hal ssir i pillsterisderi.
SNG.1.16	Na, tu hal latshó, mro gakko, te auwa kámelo: maro tshibben ninna hi andri o sennélo buchloppen.
SNG.1.17	Mari kehreskeri dshakkerpen hi an u shcelti pabui, te mari stakkerpeskero gasht an o sennélo rukja.
SNG.2.1	Me hom i rosa Saaronasdi, o sorlet chossengheri.
SNG.2.2	Ssir i ssorlet mashder i karo, jakke hi mri gakki mashder e rakklja.
SNG.2.3	Ssir o pabui mashker jek weshereskero rukkia, jakke hi mro gakko mashder o chavi: me kamjum te atshav pallal lesde tamlopen, te me beshdjom tellesde: ninna lesde rukhenghere has gúlò an mri pralduno muj.
