MAT.1.1	ᒌᓴᔅ ᙭ ᓂᑭ ᐋᔨᒨᒫᐤ, ᐋ ᑭᓂᐙᐱᐦᑎᒥᓐ ᐊᓂᑎᐦ ᐋ ᒌ ᒥᓯᓈᐦᐄᑭᓂᐐᒡ ᐅᑖᓂᔅᑳᐅᓰᒻ ᐋ ᒌ ᒥᓯᓂᐦᐋᒥᒫᑭᓂᐐᒡ᙮ ᐊᓂᔮᐦ ᒋᐦᒋᐅᒋᒫᐤᐦ ᑌᕕᑦ ᒌᐦ ᐅᐦᒋ ᐋᓂᔅᒑ ᐱᒫᑎᓰᐤ ᐊᓂᔮᐦ ᐋᑉᕋᐦᐋᒻᐦ ᐋᐦ ᑖᔨᒡ ᐊᑰᑖᐦ ᑳ ᐅᐦᒌᑦ ᒌᓴᔅ᙮
MAT.1.2	ᐊᓂᔮ ᐋᑉᕋᐦᐋᒻ ᒫᒃ ᐋᐃᓵᒃᐦ ᒌᐦ ᐅᑯᓯᓯᐤ, ᐋᒄ ᒫᒃ ᐋᐃᓵᒃ ᒉᑭᑉᐦ ᒌᐦ ᐅᑯᓯᓯᐤ, ᒉᑭᑉ ᒫᒃ ᒍᑖᐦ ᒌᐦ ᐅᑯᓯᓯᐤ ᑭᔮᐦ ᐊᓂᔮᔨᐤ ᐐᒋᔖᓃᔨᐤᐦ, 
MAT.1.3	ᒍᑖ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐯᕃᔅᐦ ᑭᔮᐦ ᓯᕌᐦ, ᑖᒫᕐᐦ ᒫᒃ ᒌᐦ ᐅᑳᐐᐅᒡ᙮ ᐯᕃᔅ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐦᐁᔅᕈᓐᐦ, ᐦᐁᔅᕈᓐ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐋᕌᒻᐦ᙮ 
MAT.1.4	ᐋᕌᒻ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐊᒥᓂᑖᑉᐦ, ᐋᒥᓂᑖᑉ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᓈᔣᓐᐦ, ᓈᔣᓐ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᓵᓪᒧᓐᐦ᙮ 
MAT.1.5	ᓵᓪᒧᓐ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᑆᐋᔅᐦ, ᕃᐦᐋᑉ ᒌᐦ ᐅᑳᐐᔨᐤ᙮ ᑆᐋᔅ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐅᐱᑦᐦ, ᕉᕪ ᒌᐦ ᐅᑳᐐᔨᐤ᙮ ᐅᐱᑦ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᒑᓰᐦ, 
MAT.1.6	ᒑᓰ ᒫᒃ ᒋᐦᒋᐅᒋᒫᐤ ᑌᕕᑦᐦ ᒌᐦ ᐅᑯᓯᓯᐤ᙮
MAT.1.6	ᑌᕕᑦ ᒫᒃ ᔂᓚᒥᓐᐦ ᒌᐦ ᐅᑯᓯᓯᐤ, ᔪᕆᔮᐦ ᒫᒃ ᐎᐐᔨᐤ ᒌᐦ ᐅᑳᐐᔨᐤ ᔂᓚᒥᓐ᙮ 
MAT.1.7	ᔂᓚᒥᓐ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᕌᐦᐙᐳᐋᒻᐦ, ᕌᐦᐙᐳᐋᒻ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐊᐹᐃᒑᐦ᙮ ᐊᐹᐃᒑ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐊᓵᕝᐦ, 
MAT.1.8	ᐊᓵᕝ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᒉᐦᐙᔖᕚᑦᐦ, ᒉᐦᐙᔖᕚᑦ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᒋᐦᐙᕌᒻᐦ᙮ ᒋᐦᐙᕌᒻ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᔫᓵᔮᐦ, 
MAT.1.9	ᔫᓵᔮ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᒞᑖᒻᐦ, ᒞᑖᒻ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐁᐦᐋᔅᐦ᙮ ᐁᐦᐋᔅ ᒫᒃ ᒌᐦ ᐅᑯᓯᓯᐤ ᐦᐁᓯᑳᔮᐦ, 
