GEN.1.1	Dəkəcop, kɔ Kanu kəwurɛ kɔm k'antɔf. 
GEN.1.2	Tɛm tatɔkɔ antɔf ŋɛnayɔ fɛ teyi, kubump kənayi kəba kəroŋ. Mba Derkifin da Kanu dɛnayi sɔ domun kəroŋ doc-bum yi. 
GEN.1.3	Kɔ Kanu kəloku: «Pəwaŋkəra peyi!» Kɔ pəwaŋkəra peyi. 
GEN.1.4	Kɔ Kanu kənəŋk fɔ pəwaŋkəra pentesɛ. Kɔ Kanu kəŋgbɛy pəwaŋkəra kɔ kubump. 
GEN.1.5	Kɔ Kanu kəwe pəwaŋkəra «dɔsɔk», kɔ kəwe kubump «pibi.» Kɔ dɔfɔy deyi, kɔ bət-bət beyi, kɔ tɔyɔnɛ dɔsɔk dɔcɔkɔ-cɔkɔ.
GEN.1.6	Kɔ Kanu kəloku sɔ: «Pəkuymɛ peyi, ntɛ tɔŋsɔŋɛ domun deyersɛnɛ mɔ!» 
GEN.1.7	Kɔ Kanu kəyɔ kɔ pəkuymɛ peyi kɔ pɛŋgbɛy domun d'antɔf kɔ dakəroŋ, kɔ teyi tatɔkɔ. 
GEN.1.8	Kɔ Kanu kəwe pəkuymɛ mpɛ «kɔm.» Kɔ dɔfɔy deyi kɔ bət-bət beyi, kɔ tɔyɔnɛ dɔsɔk da mɛrəŋ.
GEN.1.9	Kɔ Kanu kəloku: «Domun ndɛ deyi kɔm tantɔf mɔ, doloŋkanɛ tofo tin, pəwosu peyi, pəwur, pəyi takəroŋ!» Kɔ teyi tatɔkɔ. 
GEN.1.10	Kɔ Kanu kəwe tofo towosu «antɔf,» kɔ kəwe mofo mmɛ mɛla domun mɔ «cəba.» Kɔ Kanu kənəŋk fɔ tentesɛ tatɔkɔ. 
GEN.1.11	Kɔ Kanu kəloku sɔ: «Antɔf ŋopoŋ pubuk, yika ŋa defet, kɔ tɔk yokom nyɛ yende yoc-kom antɔf kəroŋ taciŋa mɔ! Yɔyɔ sɔ defet dakayi!» Kɔ teyi tatɔkɔ. 
GEN.1.12	K'antɔf ŋompoŋ pəbuk, kɔ yika yɔyɔ defet, kɔ tɔk yokom yɔyɔ defet dakayi. Kɔ Kanu kənəŋk sɔ fɔ tentesɛ. 
GEN.1.13	Kɔ dɔfɔy deyi kɔ bət-bət beyi, kɔ tɔyɔnɛ tataka ta maas.
GEN.1.14	Kɔ Kanu kəloku sɔ: «Yomotər-motər yeyi dəpəkuymɛ, ntɛ tɔŋsɔŋɛ dɔsɔk dɛgbɛyɛnɛ kɔ pibi mɔ! Kɔ tɔyɔnɛ mɛgbɛkərɛ ma tɛm, dɔsɔk kɔ meren. 
GEN.1.15	Yɔyɔnɛ yomotər-motər ya pəkuymɛ nyɛ yende yɔc-sɔŋ antɔf pəwaŋkəra mɔ!» Kɔ teyi tatɔkɔ. 
GEN.1.16	Kɔ Kanu kəwurɛ yomotər-motər mɛrəŋ 
GEN.1.17	Kɔ Kanu kəndɛt yomotər-motər nyɛ dəkɔm yɔc-sɔŋ antɔf pəwaŋkəra. 
