GEN.1.1	Pílen-ruulendo delo, kerayalumpe Shédíbí taleng emla amongem pílen geto.
GEN.1.2	Delo amosi moi-muang atí kamato delokke mílíírupe ito, delokke eerína siyéng teyolo kamoe bííbomto, delokke Shédíke Aide siyéng teyolo gyanggo bomto.
GEN.1.3	Delo Shédíbí poto, “Angune kalangka.” Delo arope angune kakai. 
GEN.1.4	Shédíbí angundem kaala gaipe kaato. Delo bí angundem kaamo delok ipansuto. 
GEN.1.5	Shédíbí angundem longe emto delokke kaamodem yue emto. Delo yumelang roe ila de kerayalum longepe ikai.
GEN.1.6	Delo Shédíbí poto, “Asi aradelo rísuko kalangka delokke de rísude asilok asikonem ipansulangka.” 
GEN.1.7	Dekepe Shédíbí rísuko píla asidem rísu delokke rumkíng lolang teyonglo duupan sumoto. De dekepe ikai. 
GEN.1.8	Shédíbí rísudem taleng emto. Delo yumelang roe ila de longede annyinape ikai.
GEN.1.9	Delo Shédíbí poto, “Taleng rumkílo duuna aside engkol kolo eedum sulangka delokke moopíe lenlangka.” De dekepe ikai. 
GEN.1.10	Shédíbí moopídem among emto, eedumsuna asidem bí siyéng emto. Deme Shédíbí kaala gaipe kaato.
GEN.1.11	Delo Shédíbí poto, “Amode, among agí rísulo kasuna, agí ségulok atí-atípe ayé éélen suna ayékana esing kídíem lang atí-atípe amí lensuna nesi-neyang kídíem garsa sumolangka.” De dekepe ikai. 
GEN.1.12	Dekepe ila amongde agí ségulok atí-atípe ayé éésuna esing kídíem lang amí gesuna nesi-neyang kídíem garsa sumoto. Deme Shédí bí kaala gaipe kaato. 
GEN.1.13	Delo yumelang roe ila de longe angumnape ikai.
GEN.1.14	Delo Shédíbí poto, “Talengke rísu delo longem lang yuem ipansudope angun kídíe kalangka. Delokke dekede dítak lokke toodí-yaamo, gédí-ponggo longe kídíem lengkanna iyod kídípe ila, 
GEN.1.15	talengke rísulokke angun kídípe bulu ila amongeme angun bidope ilangka.” De dekepe ikai. 
GEN.1.16	Delo Shédíbí angun annyiko: angun bojéyana doonyidem longem ngunbom dope delokke angun améyana poolodem yuem ngunbom dope pílento; bí takar emkom píto. 
GEN.1.17	Shédí bí angun kídíem talengke rísudelo melíkla, amongem angun bidope delokke, 
GEN.1.18	longemla yuem ngunbommola kamuemla angunem ipansudope imoto. Deme Shédíbí gaipe kaato. 
GEN.1.19	Delo yumelang roe ila de longede appinape ikai.
GEN.1.20	Delo Shédí bí poto, “Asilo turna atíe bojéko kala asi kídíem bííbom langka delokke talenglo pettang kídíe bííbomla rísu delokke arotkon lokke ila arotkon lope yobgoo bomlangka.” 
GEN.1.21	Dekepe Shédíbí siyéng lokke bottena ato-siro kídíem pílenla, asilo turla, asi kídíem bííbomla yonggo bomna deddína ato-siro emlang atí-atípe ina pettang kídíem pílento. Deme Shédíbí kaala gaipe kaato. 
GEN.1.22	Delo Shédí bí buluke teyolo utepooroem rulíkla sipe poto, “Nolu ome-oo ola parlangka delokke asi kídí lolang siyéng kídílo bííbom langka, pettang kídíe parla goobyak langka.” 
GEN.1.23	Delo yume lang roe ila de longe pilngonape ikai.
GEN.1.24	Delo Shédíbí poto, “Amode agí ségulok ilensuna turna ato-siro, simon-sili, eggoona atí-siríelang amongke monkír-tangkír kídíem batlen molangka.” De dekepe ikai. 
GEN.1.25	Depeila Shédíbí monkír-tangkír kídíem buluke agí ségusupe yésudopelang simon-sili kídíem buluke agí ségusupe delokke amolo eggoona kídíem buluke agí ségusupe yéyinsudope píyinto. Deme Shédíbí kaala gaipe kaato.
GEN.1.26	Delo Shédíbí poto, “Kaju, amoso eggoona ato-siro takamke teyololang, simon-sili kídí tabungke teyolo delokke asarlo yobgoona pettang kídí takamke teyololang siyéng kídílo yonggona engo kídí tabungke teyonglo ruutumbomdope, ngolum gesunako, ngoluke mimanglok ngolu taniem pílaju.” 
GEN.1.27	Depeila Shédíbí agí mimang sulok tanieme pílento. Shédíke mimang sulok bí taniem píto. Milo kolang mimekope bínyim bí pílento.
GEN.1.28	Shédíbí bínyike teyolo utepooroem ruulíkdola sipe poto, “Otíng-oyin kala parlangka delokke amosime bííbomla ruutum bomlangka. Siyéng kídílo yégona engo kídí tabungke teyololang asarlo yobgoona pettang kídí takamke teyolo delokke among so yégona turna ato-siro kídí takam teyolo ruutumbomla yébomkalangka. 
GEN.1.29	Kaatola, nonyike donam-tíínampe idope amí kala ayé ééna esing tabung emlang among so garsana nesi-neyang takamem ngo bidung. 
GEN.1.30	Delokke amoso eggoona ato-siro kídí takamke legapelang, asarlo yobgoona pettang kídí takamke legape delokke kédéng so yégoona taro tabungke dope-tíípenam legape yayina nesi-neyang tabungem ngo biyinto.” De dekepe ikai. 
GEN.1.31	Delo Shédíbí bíkke pílensunam ato-siro tabungem kaayinla dekeme gaipe kaato. Delo yumelang roe ila de longe de akkénape ikai.
GEN.2.1	Dekepe taleng kuppo simlang amosim delokke sokke takamem píyinto. 
GEN.2.2	Delokke longe kínídnana longe delo, Shédíbí bíkke ibomnam agér takamem iyinto. Depeila bí longe kínídnana longe delo bíkke agér inam takamlok apééto. 
GEN.2.3	Delo Shédíke ruulenla, pílen sunam agér tabunglok bí apééla ikolok, dem longe kínídnana longe dem Shédíbí utepooroem ruulíkla deemoto.
GEN.2.4	Taleng kuppo simla among sim pílen delokke dooyinge sikepe idung: Taleng kuppo emla among sim píyinla iro longe delo, 
GEN.2.5	 Shédíke among so pedong omomape ila among so esing-ééng atíe kamape delokke nesi-neyang atí-siríe garsamape ila among sim arík ibompena tani atí kamape idoem; 
GEN.2.6	asi aapamko among ara belok saala among tabusim asipe balyin gooto. 
GEN.2.7	Delo 
GEN.2.7	Delo tanide turna amikope ikai. 
GEN.2.8	Depe irodem 
GEN.2.9	Delokke 
GEN.2.10	Delo Edenlok korongko biilenla torgoonam dem asi bito, delokke depe irodem de biipan sulangkula korong appikope ikaku. 
GEN.2.11	Kerangke korong delokke amíne Pishon: de uun kako Kabila amongem enggo bomdung. 
GEN.2.12	Among delokke uune aidung delokke teyolo nampona paaramnam Bellium elíng elang asirna Oniks elínge kato. 
GEN.2.13	Korong annyinana delokke amíne Gihon. Si korong si Kush amongem enggo bomdung. 
GEN.2.14	Korong angumnana delokke amíne Tigris. De Assiria among lokke sanggo danlok tokdung, delokke korong appinana delokke amíne Euphrates.
GEN.2.15	Delo 
GEN.2.16	Delo 
GEN.2.17	idola ainemlang atímanem kénpan sumona esing delokke ayém domapeka, kapeila ingkona longelo no deme doyédí; delo longe delo no arorupe siyé.”
GEN.2.18	Delo 
GEN.2.19	Depe emla 
