GEN.1.1	Tota hoqarero Kotiva naaruvavata vatavata autu kero vatora. 
GEN.1.2	Vatavano qumina vauvaro kia vo haikavanovata vauvaro konkira aru haikava nora namariqaa mantaaqa kovaro Kotira Maraquravano namari viraqaa vi ani vaura.
GEN.1.3	Kotiva mintima tiro: Aatitaane, tuvaro aatita vura. 
GEN.1.4	Kotiva aatitora tavovaro koqe iro vauvaro aatitora vira voqaa vatero konkiraiqura voqaa vatora.
GEN.1.5	Kotiva aatitora autu nteharo, Ikarave, tivakero konkiraiqura autu nteharo, Entaqive, tura. Entamaqiro viviro aatita vuvaro vi entava hoqarenaa enta taiqa vura.
GEN.1.6+GEN.1.7	Vi entara tonavuvanovata mamanavuvanovata nora namariqaa hihipaa iro vauvaro Kotiva tiharo, Ruqema vira virini oriniraro nora namarivano miani vairaro avutana qaqi variarire, tiro. Minti tuvaro Kotiva tunte iro, tonavuvanovata mamanavuvanovata nora namariqaahairo ruqema viro virini orini vauvaro, nora namarivano miani vauvaro avutana qaqi vauvaro 
GEN.1.8	Kotiva qaqi vaura vira autu nteharo, Naaruvave, tura. Entamaqiro viviro aatita vuvaro vi entava taara enta taiqa vura.
GEN.1.9	Vira qararaa Kotiva tiharo, Nora namari miani vairava vohaanaini otiniraro aahara vatavano qovaraiqama viro variarire, tiro. Minti tuvaro Kotiva tunte iro, namarivano vohaanaini otinuvaro aahara vatavano qovaraiqaa viro vaura.
GEN.1.10	Kotiva aahara vata autu nteharo, Vatave, tivakero namarivano vohaanaini otu vaura autu nteharo, Nora namarive, tura. Kotiva tavovaro nai autu kero vato haikava koqe iro vaura.
GEN.1.11	Mintuvaro Kotiva tiharo, Vatavano vairaro viraqihairo qampiqaarira haikava qovarai qiarire. Vo ukau vo ukauvano tava iraariravavata, vo katari vo katarivano tava iraariravavata qovaraiqiarire, tuvaro Kotiva tunte iro, vi haikava vi haikava qovaraiqama viro vaura.
GEN.1.12	Vataqihairo qampiqe vau haikava qovarama vura. Vo ukau vo ukauvano tava ireharo kia hampi tava iraraitiro, nai tavaqai iraqiro vi vauvaro, vo katari vo katarivanovata tava ireharo nai tavaqai iraqiro vi vaura. Mintiaqiro vi vauvaro Kotiva tavovaro koqe iro vaura.
GEN.1.13	Entamaqiro viviro aatita vuvaro vi entava taaramo enta taiqa vura.
GEN.1.14	Vira qararaa Kotiva tiharo, Naaruvaini ataa i vaina haikava, vo haika vo haikavano qovarama viraro hini haikavano entaqira itaarira haikava vairaro hini haikavano aatitaainaraqaa itaarira haikava variarire. Vi haikava vi haikava vaiharo kara uti entarave, kara qanti entarave, tora itaqiro viro vuru taiqaaina entarave, ihi taiqaaina entarave, numiqaqiro vuanarove.
GEN.1.15	Vi haikava vi haikava naaruvaini viri kanta itaqiro viharo vataini ataama nimitaarire, tuvaro Kotiva tunte iro, vi haikava ataa iharo vaura.
GEN.1.16	Kotiva ataama nimitaaina haikara nora haika taaraqanta autu kero vatora. Kuarivano aatitaainaraqaa itaqiro vuarire tiro, autu kero vatero, toravano entaqira itaqiro vuarire tiro, autu kero vatora. Viva makauve, quhaive, opuve, vaahoqurave, vi haikaravata autu kero vatora.
GEN.1.17	Vataini ataama nimitaqi vuarire tiro, Kotiva ekaa vi haikara naaruvaini vatora. 
GEN.1.18	Vi haikava vi haikava aatitaainaraqaavata entaqivata itaqiro vuarire tiro, naaruvaini ekaa vi haikara autu kero vatora.
GEN.1.18	Konkiraiqirava nariara vairaro aatitaarirava nariara variarire tiro, Kotiva vi haikara vi haikara autu kero naaruvaini vatora. Kotiva tavovaro nai autu kero vato haikava koqe iro vaura.
GEN.1.19	Entamaqiro viviro aatita vuvaro vi entava erakaimaante enta taiqa vura.
GEN.1.20	Vira qararaa Kotiva tiharo, Vo haika vo haika qaqi variqiro vuarira haikava nora namariqi qovaramavi mpiqaate. Vo uviri vo uvirivano ata vare vi aniha naaruvainivata mpiqaate, tiro.
