MAT.1.1	I⁴la³ ti²ton³ la⁴jang³⁴ sa¹jeun³ quian¹ Jesucristo a³lang⁴³ jon⁴³tyie¹ A³brang²³ jian³ Da³vei²³.
MAT.1.2	A³brang²³ lang⁴³ jmai³ I³sa²³. Jian³ i²con²³ I³sa²³ a⁴hyon²³ Ja³co²³. I² i²con²³ Ja³co²³ ra⁵sian³ Judá jian³ si³reunh¹i³. 
MAT.1.3	I² i²con²³ Judá jian²³ A¹ta³mar²³ ra⁵sian³ Fares jian³ Zara. Jian³ i²con²³ Fares ra⁵sian³ Esrom. Jian³ i²con²³ Esrom ja³⁴ Aram. 
MAT.1.4	I² i²con²³ Aram ja³⁴ Aminadab. I² Aminadab ja³⁴ Naasón i²con²³i³. Jian³ i²con²³ Naasón ja³⁴ Salmón. 
MAT.1.5	Jian³ i²con²³ Salmón jian²³ A¹ra³hab²³ ra⁵sian³ Booz. Jian³ i²con²³ Booz jian²³ A¹rut² ra⁵sian³ Obed. I² i²con²³ Obed ja³⁴ Isaí. 
MAT.1.6	Jian³ i²con²³ Isaí hain⁴ ra⁵sian³ re¹ Da³vei²³. Jian³ i²con²³ re¹ Da³vei²³ jian²³i³ a³m⁴ a³ma²lang⁴³ i³cúa³ Urías hain⁴ ra⁵sian³ Salomón.
MAT.1.7	Jian³ i²con²³ Salomón ra⁵sian³ Roboam. Jian³ i²con²³ Roboam ra⁵sian³ Abías. Jian³ i²con²³ Abías ra⁵sian³ Asa. 
MAT.1.8	Jian³ i²con²³ Asa ra⁵sian³ Josafat. Jian³ i²con²³ Josafat ja³⁴ Joram. Jian³ i²con²³ Joram ja³⁴ Uzías. 
MAT.1.9	Jian³ i²con²³ Uzías ja³⁴ Jotam. Jian³ i²con²³ Jotam ja³⁴ Acaz. Jian³ i²con²³ Acaz ja³⁴ Ezequías. 
MAT.1.10	Jian³ i²con²³ Ezequías ra⁵sian³ Manasés. Jian³ i²con²³ Manasés ra⁵sian³ A³mong²³. Jian³ i²con²³ A³mong²³ ra⁵sian³ Josías. 
MAT.1.11	Jian³ i²con²³ Josías hain⁴ cuan³⁴ Jeconías jian²³ si³reunh¹ ma²a⁴han⁵ Israel chion³² ta⁵jeu³ Babilonia.
MAT.1.12	I² coh⁵ a⁴húan³i³ chion³² jeu³ Babilonia jon³, jon³ ra⁵sian³ a³jon⁴³ Jeconías liah⁴ a³sain³ Salatiel. I² Salatiel hain⁴ ra⁵sian³ Zorobabel i²con²³. 
MAT.1.13	Jian³ i²con²³ Zorobabel ra⁵sian³ Abiud. Jian³ i²con²³ Abiud ja³⁴ Eliaquim. Jian³ i²con²³ Eliaquim ja³⁴ Azor. 
MAT.1.14	Jian³ i²con²³ Azor ja³⁴ Sadoc. Jian³ i²con²³ Sadoc ja³⁴ Aquim. Jian³ i²con²³ Aquim hain⁴ ja³⁴ Eliud. 
MAT.1.15	Jian³ i²con²³ Eliud ra⁵sian³ Eleazar. Jian³ i²con²³ Eleazar ra⁵sian³ Matán. Jian³ i²con²³ Matán ja³⁴ Ja³co²³. 
MAT.1.16	I² i²con²³ Ja³co²³ hain⁴ ra⁵sian³ Se¹, a³hain⁴ i³cúa³ Ma³rei² a³cuan³⁴ Jesús i²con²³, a³teh²i³ Ua⁵lion³² Chie³ hain⁴.
MAT.1.17	I² la⁴ne³ ja³⁴ quia⁵quin⁴ sa¹jeun³ liah⁴ma²sian³ A³brang²³ la⁴teg⁴ Da³vei²³; jian³ quia⁵quin⁴ liah⁴ma²sian³ Da³vei²³ la⁴teg⁴ jm² i⁴a⁴han⁵ a³jeu³ Israel chion³² ta⁵ Babilonia; conh⁴liah⁴ i²quia⁵quin⁴ liah⁴ma²tionh²i³ chion³² Babilonia la⁴teg⁴ i²cuan³⁴ A³ua⁵lion³² Chie³ hain⁴.
MAT.1.18	La⁴la³ ra⁵sian³ Jesucristo: A⁴leg³⁴ re³ i⁴sanh⁴ Ma³rei² sie²³i³ jian²³ Se¹ ma²jon³. I² jon³ ne⁵, naih⁵i² ra⁵jian²³i³, jon³ a⁴can³⁴ Ma³rei² a³jon⁴³ con⁴juah⁴ M⁴tyi⁴ quieh¹ Jon⁴dai¹. 
MAT.1.19	I² Se¹ a³lain⁴ i³cúa³i³ lang⁴³ jan³ a³ñih³ a³ni²taih⁴³, sa⁴hnie³⁴i³ sainh³i³ Ma³rei² o³hyeih² i²con²³ chie³; quie¹ hnie³⁴i³ ma⁵tyan³i³ jau²³ i⁴ma²quian¹i³ ta⁵si²hma². 
MAT.1.20	I² con³ma²júan³i³ co³hei²tsei³ nei² ne³, jon³ ma⁴jnia³² jan³ ángel quian¹ Se³ño²³ con⁴juah⁴ gui³sie⁴, a⁴sagh⁴³i³:
MAT.1.20	―Hnei³ Se¹, sa¹jeun³ Da³vei²³, a⁵júan³ hnei³ canh⁴³ i⁴hyeinh³²ˉ³ Ma³rei² i⁴lain⁴ i³cúah³ˉ³, quie¹ i⁴ua²chieh¹i³ jon³, i⁴quieh¹ M⁴tyi⁴ quieh¹ Jon⁴dai¹pa². 
MAT.1.21	Quie¹ li⁴sian³ jan³ a³jon⁴³i³, a³ñih³, a³hain⁴ a³teh³²ˉ³ jm³i⁴sain³ JESÚS, quie¹ lion⁴³i³ chie³ quian¹ i⁴hain³⁴i³ chie³² quieh¹.
