GEN.1.1	Ba pun iya kelia,
GEN.1.2	dunya endang apin bisi bakal tauka gamal sereta nadai utai nguan. Semina
GEN.1.3	 Allah Taala lalu bejaku, “Awakka penampak pegari.” Penampak lalu pegari. 
GEN.1.4	Allah Taala meda penampak nya manah; lalu Iya nyeraraka penampak nya ari pemetang. 
GEN.1.5	Iya ngumbai penampak nya “Siang” lalu pemetang nya dikumbai Iya “Malam.” Lemai abis lalu pagi pen datai. Nya hari ti keterubah.
GEN.1.7	Nya alai Allah Taala ngaga kebung nya lalu nyeraraka ai ti di baruh kebung nya ari ai ti ari atas kebung nya. Utai nya lalu nyadi. 
GEN.1.8	Iya ngumbai kebung nya “Langit.” Lemai abis lalu pagi pen datai. Nya hari ti kedua.
GEN.1.9	Udah nya Allah Taala bejaku, “Awakka ai ti di baruh langit begelumu ba siti endur, ngambika tanah pegari.” Utai nya lalu nyadi. 
GEN.1.10	Iya ngumbai tanah “Darat,” lalu ai ti begelumu dikumbai Iya “Tasik.” Lalu Allah Taala meda utai nya manah. 
GEN.1.11	Udah nya Iya bejaku, “Awakka tanah mansutka semua macham utai ti tumbuh: utai ti mansutka leka, enggau semua macham kayu ti mansutka buah ti bisi leka.” Utai nya lalu nyadi. 
GEN.1.12	Nya alai, tanah mansutka semua macham utai ti tumbuh, lalu Allah Taala meda utai nya manah. 
GEN.1.13	Lemai abis lalu pagi pen datai. Nya hari ti ketiga.
GEN.1.14	Udah nya Allah Taala bejaku, “Awakka mayuh macham penampak pegari di langit, kena nyeraraka siang ari malam, enggau kena nunjukka maya hari, taun enggau maya gawai pengarap
GEN.1.15	Sida deka manchar di langit lalu meri penampak ngagai dunya.” Utai nya lalu nyadi. 
GEN.1.16	Nya alai Allah Taala ngaga dua igi penampak ti besai, iya nya mata hari ti bekuasa lebuh siang hari, enggau bulan ti bekuasa lebuh malam hari. Iya mega ngaga bintang. 
GEN.1.17	Iya ngengkahka semua penampak nya di langit, ngambika sida manchar ngagai dunya, 
GEN.1.18	bekuasa lebuh siang enggau lebuh malam hari, sereta nyeraraka penampak ari pemetang. Lalu Allah Taala meda utai nya manah. 
GEN.1.19	Lemai abis lalu pagi pen datai. Nya hari ti keempat.
GEN.1.20	Udah nya Allah Taala bejaku, “Awakka ai penuh laban semua bansa utai ti idup, lalu awakka burung terebai di langit.” 
GEN.1.21	Nya alai Allah Taala ngaga jelu ti besai sereta nyelai di tasik, semua bansa utai ti idup dalam ai, enggau semua bansa burung. Lalu Allah Taala meda utai nya manah. 
GEN.1.22	Iya merekatka semua sida, lalu ngasuh utai ti idup dalam ai beranak betelesak, lalu ngemenuhka tasik. Iya mega ngasuh burung beranak betelesak di dunya. 
GEN.1.23	Lemai abis lalu pagi pen datai. Nya hari ti kelima.
GEN.1.24	Udah nya Allah Taala bejaku, “Awakka dunya mansutka semua bansa jelu ti idup: jelu tupi, jelu babas, enggau jelu ti ngerayap.” Utai nya lalu nyadi. 
GEN.1.25	Nya alai Allah Taala ngaga semua bansa jelu, lalu Iya meda semua utai nya manah magang.
GEN.1.28	Allah Taala merekatka sida, lalu bejaku ngagai sida, “Beranak betelesak lalu ngemenuhka dunya meh kita sereta bekuasa atas iya; perintah meh ikan, burung, enggau semua utai ti idup di dunya.” 
GEN.1.29	Ku Allah Taala bejaku, “Aku meri kita semua macham leka utai enggau semua macham buah nyadika pemakai kita; 
