GEN.1.1	Tshimolohong, Modimo o ne o hlole mahodimo le lefatshe.
GEN.1.2	Lefatshe le ne le hloka sebopeho, le le feela; lefifi le ne le le hodima bodiba, mme Moya wa Modimo o ne o solla hodima metsi.
GEN.1.3	Modimo wa re: Lesedi ha le be teng, mme lesedi la eba teng. 
GEN.1.4	Modimo wa bona hoba lesedi le molemo; mme Modimo wa arohanya lesedi le lefifi. 
GEN.1.5	Modimo wa bitsa lesedi motshehare, mme lefifi wa le bitsa bosiu. Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la pele.
GEN.1.6	Jwale Modimo wa re: Sebaka ha se be teng mahareng a metsi, mme se arohanye metsi le metsi. 
GEN.1.7	Modimo wa etsa sebaka, mme wa arohanya metsi a katlase ho sebaka le metsi a ka hodimo le sebaka. Mme ha eba jwalo. 
GEN.1.8	Modimo wa bitsa sebaka mahodimo. Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la bobedi.
GEN.1.9	Jwale Modimo wa re: Metsi a katlase ho mahodimo a bokellwe hammoho sebakeng se le seng, mme ho hlahe moo ho omileng. Mme ha eba jwalo. 
GEN.1.10	Modimo wa bitsa moo ho omileng lefatshe, pokello ya metsi wa e bitsa mawatle; mme Modimo wa bona hoba ho molemo. 
GEN.1.11	Modimo wa re: Lefatshe le hlahise jwang, le dimela tse behang peo, le difate tse behang ditholwana ka mefuta ya tsona, tse nang le peo ya tsona lefatsheng. Mme ha eba jwalo. 
GEN.1.12	Lefatshe la hlahisa jwang, le dimela tse behang peo ka mefuta ya tsona, le difate tse behang ditholwana tse nang le peo ka mefuta ya tsona, mme Modimo wa bona hoba ho molemo. 
GEN.1.13	Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la boraro.
GEN.1.14	Yaba Modimo o re: Masedi ha a be teng sebakeng sa mahodimo, ho arohanya motshehare ho bosiu, e be dipontsho tsa dinako tse beilweng, le tsa matsatsi, le tsa dilemo, 
GEN.1.15	mme e be wona masedi sebakeng sa mahodimo ho bonesa lefatshe. Mme ha eba jwalo. 
GEN.1.16	Modimo wa etsa masedi a mabedi a maholo, lesedi le leholo la wona ho busa motshehare, le lesedi le lenyenyane la wona ho busa bosiu, wa etsa le dinaledi. 
GEN.1.17	Modimo wa di bea sebakeng sa mahodimo, ho edisa lefatshe, 
GEN.1.18	le ho busa motshehare le bosiu, le ho arohanya lesedi le lefifi. Mme Modimo wa bona hoba ho molemo. 
GEN.1.19	Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la bone.
GEN.1.20	Jwale Modimo wa re: Metsi ha a hlahise ka bongata dibopuwa tse nyekenyehang, tse phelang, mme tse rurang ha di rure hodima lefatshe, sebakeng sa mahodimo. 
GEN.1.21	Modimo wa etsa dihlapi tsa ditonana, le dibopuwa tsohle tse phelang, tse nyekenyehang, tse hlahisitsweng ke metsi ka bongata ka mefuta ya tsona, le tse rurang tsohle ka mefuta ya tsona. Mme Modimo wa bona hoba ho molemo. 
GEN.1.22	Modimo wa di hlohonolofatsa, wa re: Ngatafalang, le ate, mme metsi a mawatle a tlale tsona, mme tse rurang di ate lefatsheng. 
GEN.1.23	Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la bohlano.
GEN.1.24	Jwale Modimo wa re: Lefatshe ha le hlahise dibopuwa tse phelang ka mefuta ya tsona, dikgomo, le dihahabi, le diphoofolo tsa lefatshe ka mefuta ya tsona. Mme ha eba jwalo. 
GEN.1.25	Modimo wa etsa diphoofolo tsa lefatshe ka mefuta ya tsona, le makgomo ka mefuta ya wona, le dihahabi tsohle tsa lefatshe ka mefuta ya tsona. Mme Modimo wa bona hoba ho molemo. 
GEN.1.26	Modimo wa ntoo re: A re etseng motho ka setshwantsho sa rona le ka ho tshwana ha rona, mme a buse dihlapi tsa lewatle, le tse rurang tsa mahodimo, le makgomo, le lefatshe lohle, le dihahabi tsohle tse hahabang lefatsheng. 
GEN.1.27	Yaba Modimo o etsa motho ka setshwantsho sa wona: wa mo etsa ka setshwantsho sa Modimo. Wa ba esta e le e motona le e motshehadi. 
GEN.1.28	Modimo wa ba hlohonolofatsa, mme Modimo wa re ho bona: Ngatafalang, le ate, le tlale lefatsheng, le rene hodima lona, mme le buse dihlapi tsa lewatle, le tse rurang tsa mahodimo, le tsohle tse phelang, tse hahabang lefatsheng. 
GEN.1.29	Modimo wa re: Bonang, ke le neile dimela tsohle tse beang peo, tse kahohle lefatsheng, le sefate se seng le se seng se beang ditholwana tse nang le peo, e be dijo tsa lona. 
GEN.1.30	Empa ha e le diphoofolo tsohle tsa lefatshe, le tse rurang tsohle tsa mahodimo, le dihahabi tsohle tsa lefatshe, tse utlwang ke di neile jwang bohle bo botala, e be dijo tsa tsona. Mme ha eba jwalo. 
GEN.1.31	Modimo wa bona tsohle tseo o di entseng hoba di molemo haholo. Mme ha eba mantsiboya, ha eba hosasa: e bile letsatsi la botshelela.
GEN.2.1	Mahodimo a phethwa jwalo, le lona lefatshe le dintho tsohle tsa teng. 
GEN.2.2	Modimo wa phetha ka letsatsi la bosupa mosebetsi oo o o entseng; mme ka tsatsi la bosupa wa phomola mosebetsing wohle oo o o entseng. 
GEN.2.3	Modimo wa hlohonolofatsa letsatsi la bosupa, mme wa le kgetha, hobane o phomotse ka lona mosebetsing wohle oo Modimo o o entseng ka ho o sebetsa.
GEN.2.4	Ke tsena ditaba tsa ho hlaha ha mahodimo le ha lefatshe mohla di bopjwang. Mohla Jehova Modimo a etsang lefatshe le mahodimo, 
GEN.2.5	dimela tsohle tsa naha di ne di eso ho be lefatsheng, le jwang bohle ba naha bo ne bo eso ho mele, hobane Jehova Modimo o ne a eso ho nese pula lefatsheng, mme ho bo ho se motho ya lemang lefatshe; 
GEN.2.6	empa ho ne ho nyoloha mohodi fatshe, mme o ne o kolobisa lefatshe lohle.
GEN.2.7	Jehova Modimo a bopa motho ka lerole la lefatshe, mme a budulela dinkong tsa hae phefumoloho ya ho phela, mme motho ya eba moya o phelang.
GEN.2.8	Jehova Modimo a hloma tshimo Edene ka nnqa botjhabela, mme a bea teng motho eo a mmopileng. 
GEN.2.9	Jehova Modimo a medisa lefatsheng difate tsohle tse kgahlisang mahlo, tse monate ha di jewa, mme hara tshimo a medisa sefate sa bophelo, le sefate sa ho tseba botle le bobe.
GEN.2.10	Noka e ne e tswa Edene ho nosetsa tshimo, mme e ne e arohana teng, e ikentse dinoka tse nne. 
GEN.2.11	Lebitso la ya pele ke Pisone, e teetseng naha yohle ya Havila hare, moo kgauta e leng teng. 
GEN.2.12	Kgauta ya naha eo e ntle; bedela e teng le lejwe la onikse. 
GEN.2.13	Lebitso la noka ya bobedi ke Gihone, e teetseng naha yohle ya Kushe hare. 
GEN.2.14	Lebitso la noka ya boraro ke Hiddekele, e mathelang ka nnqa botjhabela ho Assiria. Noka ya bone ke Eufrate.
GEN.2.15	Yaba Jehova Modimo o nka motho, a mmea tshimong ya Edene, ho e lema le ho e lebela. 
GEN.2.16	Jehova Modimo a laela motho, a re: Haele difate tsohle tsa tshimo, o tla di ja; 
