MAT.1.1	ھي عيسيٰ مسيح جو شجرو آھي، جيڪو دائود ۽ ابراھيم جو اولاد آھي.
MAT.1.2	ابراھيم مان اسحاق پيدا ٿيو، اسحاق مان يعقوب پيدا ٿيو ۽ يعقوب مان يھوداہ ۽ سندس ڀائر پيدا ٿيا. 
MAT.1.3	يھوداہ کي سندس زال تمر مان فارص ۽ زرح پيدا ٿيا، فارص مان حصرون پيدا ٿيو ۽ حصرون مان راما پيدا ٿيو. 
MAT.1.4	راما مان عميناداب پيدا ٿيو، عميناداب مان نحشون پيدا ٿيو ۽ نحشون مان سلمون پيدا ٿيو. 
MAT.1.5	سلمون کي سندس زال راحب مان بوعز پيدا ٿيو، بوعز کي سندس زال رُوت مان عوبيد پيدا ٿيو ۽ عوبيد مان يشي پيدا ٿيو. 
MAT.1.6	يشيءَ مان دائود بادشاھہ پيدا ٿيو. دائود کي سليمان انھيءَ زال مان پيدا ٿيو جيڪا پھريائين اورياہ جي زال ھئي. 
MAT.1.7	سليمان مان رحبعام پيدا ٿيو، رحبعام مان ابياہ پيدا ٿيو ۽ ابياہ مان آسا پيدا ٿيو. 
MAT.1.8	آسا مان يھوشافاط پيدا ٿيو، يھوشافاط مان يورام پيدا ٿيو ۽ يورام مان عُزياہ پيدا ٿيو. 
MAT.1.9	عُزياہ مان يوتام پيدا ٿيو، يوتام مان آحز پيدا ٿيو ۽ آحز مان حزقياہ پيدا ٿيو. 
MAT.1.10	حزقياہ مان منسي پيدا ٿيو، منسي مان آمون پيدا ٿيو ۽ آمون مان يوشياہ پيدا ٿيو. 
MAT.1.11	 جن ڏينھن ۾ بني اسرائيل جا ماڻھو گرفتار ٿي بابل ڏانھن ويا ھئا، تن ڏينھن ۾ يوشياہ مان يڪنياہ ۽ سندس ڀائر پيدا ٿيا.
MAT.1.12	انھن ماڻھن جي بابل ڏانھن گرفتار ٿي وڃڻ کان پوءِ يڪنياہ مان شئلتي⁠ايل پيدا ٿيو ۽ شئلتي⁠ايل مان زربابل پيدا ٿيو. 
MAT.1.13	زربابل مان ابيئود پيدا ٿيو، ابيئود مان الياقيم پيدا ٿيو ۽ الياقيم مان عازور پيدا ٿيو. 
MAT.1.14	عازور مان صدوق پيدا ٿيو، صدوق مان اخيم پيدا ٿيو ۽ اخيم مان اليئود پيدا ٿيو. 
MAT.1.15	اليئود مان اليعزر پيدا ٿيو، اليعزر مان متان پيدا ٿيو ۽ متان مان يعقوب پيدا ٿيو. 
MAT.1.16	يعقوب مان يوسف پيدا ٿيو جيڪو مريم جو مڙس ھو ۽ انھيءَ مريم جي پيٽان عيسيٰ پيدا ٿيو جيڪو مسيح سڏيو وڃي ٿو.
MAT.1.17	اھڙيءَ طرح ابراھيم کان وٺي دائود تائين ڪل چوڏھن پيڙھيون ٿيون، دائود کان وٺي بابل ڏانھن گرفتار ٿي وڃڻ تائين بہ چوڏھن پيڙھيون ٿيون ۽ بابل ڏانھن گرفتار ٿي وڃڻ کان وٺي مسيح تائين وري بہ چوڏھن پيڙھيون ٿيون.
MAT.1.19	ھن جو مڱيندو ھڪ نيڪ ماڻھو ھو، تنھنڪري ھن خيال ڪيو تہ ”ڇو نہ مريم کي چپ چاپ ۾ ڇڏي ڏيان ۽ خلق ۾ خوار نہ ڪريانس.“ 
