GEN.1.1	Qallariypeqa Dios janaj pachata kay pachatawan ruwarqa. 
GEN.1.2	Kay pachaqa chajrulla, yuyay chinkay ukhu laqhallataj karqa. Diospa Espirituntaj yaku patata muyuykachasharqa. 
GEN.1.3	Diostaj nerqa: K'anchay kachun, nispa; k'anchaytaj karqa. 
GEN.1.4	Dios rikorqa k'anchayqa sumaj kasqanta. K'anchaytataj laqhamanta t'aqarqa. 
GEN.1.5	Suticharqataj k'anchaytaqa p'unchay, nispa. Laqhatataj suticharqa tuta, nispa. Ajinamanta ch'isiyaywan sut'iyaywan ñaupaj kaj día karqa.
GEN.1.6	Chaymantá Dios nerqa: Yaku chaupipi uj jark'achina kachun, yakuta iskayman t'aqaj. 
GEN.1.7	Dios jark'achinata ruwarqa yakuta iskayman t'aqajta: Khuskan qhepakorqa urapi, khuskantaj patapi. 
GEN.1.8	Chay jark'achinata yakuta iskayman t'aqajtaqa suticharqa janaj pachata. Ajinamanta ch'isiyaywan sut'iyaywan iskay kaj día karqa.
GEN.1.9	Chaymantá Dios nerqa: Janaj pacha kaj urapi yakoqa uj cheqallapi kachun, ch'aki kaj rikhurinampaj, nispa. Ajinataj karqa. 
GEN.1.10	Chay ch'aki kajtataj Diosqa suticharqa jallp'ata. Yaku uj cheqallapi tantakojtataj mar qochata suticharqa. Chayta Dios rikorqa sumaj kasqanta. 
GEN.1.11	Chantá Dios nillarqataj: Jallp'api tukuy laya q'omerkuna wiñachun: Mujoj qhoras, poqoj sach'as ima. Ajinataj karqa. 
GEN.1.12	Jallp'api wiñarqa tukuy laya q'omerkuna: Qhoras, mujojkuna, poqoj sach'as ima. Ajinataj karqa. Chayta Dios rikorqa sumaj kasqanta. 
GEN.1.13	Ajina ch'isiyaywan sut'iyaywan kinsa kaj día karqa.
GEN.1.14	Chaymantá Dios nillarqataj: K'anchaykuna kachun cielopi, p'unchayta wajman, tutatataj wajman t'aqanampaj; jinallataj señal kanampaj tiempospaj, diaspaj, wataspajwan. 
GEN.1.15	K'anchaykuna kachun cielopi jallp'ata k'anchanampaj. Ajinataj karqa. 
GEN.1.16	Dios ruwarqa iskay jatuchaj k'anchaykunata: Sinch'i kajta p'unchaypi k'anchanampaj, pisi kajtataj tutapi k'anchanampaj. Chaymantá ruwallarqataj qoyllurkunata. 
GEN.1.17+GEN.1.18	Dios churarqa k'anchaykunata cieloman, jallp'ata p'unchaynintin, tutantin k'anchamunankupajpuni; k'anchayta wajman, laqhatapis wajman t'aqanankupaj. Chayta Dios rikorqa sumaj kasqanta. 
GEN.1.19	Ajina ch'isiyaywan sut'iyaywan tawa kaj día karqa.
GEN.1.20	Chantá Dios nillarqataj: Yakupi kausachunku ashkha animalkuna; jinallataj p'isqospis jallp'a patata phawaykachajkuna. 
GEN.1.21	Dios ruwarqa jatuchaj manchachikuna jina animalesta mar qochapi, tukuy laya khurustawan, layankuman jina yakupi kausajkunata, jinallataj tukuy laya p'isqostapis layankuman jina. Chayta Dios rikorqa sumaj kasqanta. 
GEN.1.22	Dios bendicerqa chay tukuynin animalesta, nispa: Mira castas kaychej, miraychej, mar yakuman junt'achiychej. P'isqospis jallp'a patapi mirachunku. 
GEN.1.23	Ajina ch'isiyaywan sut'iyaywan phishqa kaj día karqa.
GEN.1.24	Chantá Dios nerqa jallp'a patapi kausachunku tukuy laya animales: Monte animales, uywas, pampata qhatatakojkuna ima, layankuman jina. Ajinataj karqa. 
GEN.1.25	Dios ruwarqa monte animalesta layankuman jina, uywasta layankuman jina, jinallataj pampata qhatatakoj animalestapis layankuman jina. Chayta Dios rikorqa sumaj kasqanta.
GEN.1.26	Chay qhepata Dios nerqa: Runata ruwanachej noqanchejman rijch'akojta; tukuynin animalesmanta aswan atiyniyoj kachun, mundontimpi atipanampaj challwasta, p'isqosta, tawa chakiyojkunata, qhatatakojkunatawan jallp'a patapi. 
GEN.1.27	Diosqa runata ruwashaspa payman rijch'akojta ruwarqa; qharita warmitawan ruwarqa. 
GEN.1.28	Chantá bendicerqataj nispa: Mira casta kaychej, miraychej, mundoman junt'aychej; atiyniyojtaj kaychej, atipaspa mar qochapi kaj challwasta, tukuy p'isqosta, tukuy qhatatakojkunatawan jallp'a patapi.
GEN.1.29	Chaymantá paykunaman nerqa: Qhawariychej, qankunaman qoykichej jallp'a patapi tukuy mujoj plantasta, tukuy sach'astawan. Chaykunataj mikhunaykichejpaj kanqa. 
GEN.1.30	Tukuy monte animalesman, p'isqosman, tukuy qhatatakojkunamampis jallp'a patapi, q'omer qhorasta qoni mikhunankupaj. Ajinataj karqa. 
GEN.1.31	Dios rikorqa tukuy ima ruwasqanqa sumajpuni kasqanta. Ajinamanta junt'akorqa ch'isiyaywan sut'iyaywan sojta kaj día.
GEN.2.1	Ajinata janaj pachata, kay pachatapis, chaypi kajkunatawan Dios ruwayta tukorqa. 
