MAT.1.1	Cay kelkaskaka Jesucristoj ñaupaj tatasninmantamin. Jesuska Abrahammanta jamun Davidmantawan.
MAT.1.2	Abrahamka Isaacpa tatan carka. Isaactaj Jacobpa tatan carka. Jacobtaj Judajpata waukesninpatawan tatancu carka. 
MAT.1.3	Judataj Farespa tatan carka, Zarajtawan. Paycunaj mamancuri Tamar carka. Farestaj Esrompa tatan carka. Esromtaj Arampa tatan carka. 
MAT.1.4	Aramtaj Aminadabpa tatan carka. Aminadabtaj Naasonpa tatan carka. Naasontaj Salmonpa tatan carka. 
MAT.1.5	Salmontaj Boozpa tatan carka. Boozpa mamanri Rahab carka. Booztaj Rutwan Obedpa tatasnin carkancu. Obedtaj Isaipa tatan carka. 
MAT.1.6	Isaitaj camachej Davidpa tatan carka. Davidtaj Salomonpa tatan carka. Salomonpa maman ñaupajta Uriaspa warmin carka.
MAT.1.7	Salomontaj Roboampa tatan carka. Roboamtaj Abiaspa tatan carka. Abiastaj Asaj tatan carka. 
MAT.1.8	Asataj Josafatpa tatan carka. Josafattaj Jorampa tatan carka. Joramtaj Uziaspa tatan carka. 
MAT.1.9	Uziastaj Jotampa tatan carka. Jotamtaj Acazpa tatan carka. Acaztaj Ezequiaspa tatan carka. 
MAT.1.10	Ezequiastaj Manasespa tatan carka. Manasestaj Amonpa tatan carka. Amontaj Josiaspa tatan carka. 
MAT.1.11	Josiastaj Jeconiaspata waukesninpatawan tatancu carka. Chaypacha Diospa unay runasnin Babiloniaman apaskas carkancu.
MAT.1.12	Babiloniaman apaskas carkancu chay khepatataj Jeconiaska Salatielpa tatan carka. Salatieltaj Zorobabelpa tatan carka. 
MAT.1.13	Zorobabeltaj Abiudpa tatan carka. Abiudtaj Eliaquimpa tatan carka. Eliaquimtaj Azorpa tatan carka. 
MAT.1.14	Azortaj Sadocpa tatan carka. Sadoctaj Aquimpa tatan carka. Aquimtaj Eliudpa tatan carka. 
MAT.1.15	Eliudtaj Eleazarpa tatan carka. Eleazartaj Matanpa tatan carka. Matantaj Jacobpa tatan carka. 
MAT.1.16	Jacobtaj, Maríaj kosanpa Joséj tatan carka. Chay Mariamanta Jesuska nacecorka. Payka Diospa ajllaskan Cristo sutichaska carka.
MAT.1.17	Ajinapi tucuy miraycunaka Abrahammanta Davidcama chunca tawayoj yupacuncu. Davidmanta Babiloniaman Diospa runasnin apachiskas carkancu chaypachacamataj chunca tawayoj miraycuna carkancu. Babiloniaman apaskas carkancu chaymantapacha Cristoj nacecuynincamataj chunca tawayoj miraycuna carkancu.
MAT.1.18	Cayjinapimin Jesucristoka nacecorka. María, Jesuspa mamanka, mañaskaña carka Josewan casaracunanpaj. Manaraj tanta cashajtincutaj Mariaka wijsalliska riqhurerka Santo Espiritunejta. 
MAT.1.19	Parlaskan Josetaj chekanta ruwaj runa carka. Mana munaspa Mariata p'enkayman riqhurichiyta yuyarka pacayllamanta sakepuyta. 
MAT.1.20	Chay imasmanta mayta yuyashajtintaj, khaway, Señor Dios uj angelta cachamorka. Moskoyninpi Joseman riqhurispa nerka:
MAT.1.20	—José, camachej Davidpa ayllunmanta canqui. Amaña manchachicuychu parlapayaskayqui Mariata jap'icapuyta. Cay wijsallicuskanka Santo Espiritumantamin cashan. 
MAT.1.21	Mariaka uj khari wawata onkoconka. Paytajmin wiñaspa paypa cajcunanta juchamanta cacharichenka. Chayraycu Jesusta sutichanqui.
MAT.1.22	Tucuy cayka ruwacorka Señor Diospa niskan junt'acunanpaj. Chaytaka unay willajninnejta nerka:
MAT.1.23	¡Khaway! Uj sipas, mana khari rejsej, wijsalliconka. Uj khari wawata onkoconka. Payka Emanuel sutichaska canka.
MAT.1.23	Emanuel niyta munan: Dios nokanchejwan cashan yanapanawanchejpaj.
MAT.1.24	Joseka puñuskanmanta rijch'arispa, Señor Diosmanta cachamuska, chay angelpa camachiskanmanjina ruwarka. Ajinapi payka Mariata wasinman pusacaporka runas yachanancupaj warmin caskanta. 
MAT.1.25	Joserí payta mana llanqharkachu curaj wawanta onkocunancama. Wawa nacecojtintaj Jesusta suticharka.
MAT.2.1	Jesuska Judea jallp'a Belén llajtapi nacecorka, Herodes camachishajtin, chay p'unchaycunapi. Chaypacha yachaysapacuna inti llojsimuy caru llajtamanta jamuspa Jerusalén llajtaman chayamorkancu. 
MAT.2.2	Tapucorkancutaj:
MAT.2.2	—¿Maypitaj cashan israel runasta camachinanpaj nacecoj Wawarí? Ch'ascanta inti llojsimuy ladopi ricuycu. Chayta khatispataj payta yupaychanaycupaj jamuycu, —nispa.
MAT.2.3	Chayta uyariytawantaj camachej Herodeska mancharicorka. Jerusalén llajtapi caj tucuy runaspis paywan mancharicullarkancutaj. 
MAT.2.4	Chaymantataj Herodes tantachimorka yupaychana-wasimanta curajcunata, israel yachachejcunatawan. Paycunata taporka:
MAT.2.4	—¿Maypitaj Diospa ajllaskan Cristo nacecunan tiyan?
MAT.2.5	Paycunataj cuticherkancu:
MAT.2.5	—Judea jallp'a Belén llajtapi naceconka. Ajinata Dios unay willajninta kelkacherka:
MAT.2.6	Kancuna, Judá jallp'a Belén llajtapi tiyacojcunata niyquichej:
MAT.2.6	Judá jallp'api caj curajcunamanta aswan jatunpaj khawaskas canquichej.
MAT.2.6	Kancunamanta uj curaj camachej naceconka.
MAT.2.6	Paytaj, ajllaska israelcunayta michenka.
MAT.2.7	Chanta Herodes pacayllamanta yachaysapacunata wajyacherka. Ajinallatataj taporka yachananpaj mayc'ajchus chay ch'asca riqhurimuskanta. 
MAT.2.8	Paycunatataj Belén llajtaman cacharka nispa:
MAT.2.8	—Riychej. Allintataj yachamuychej chay wawitamanta. Payta tarispataj willawaj cutimuychej. Nokapis rispa payta yupaychamusaj, —nispa. [Chaytari mana cheka sonkowanchu nisharka.] 
MAT.2.9	Yachaysapacunaka camachejpa niskanmanjina riporkancu. Inti llojsimuy, chay ladopi ricuskancu ch'ascaka ñaupakencuta risharka. Jesús casharka, chaycama pusamuspa patannejpi sayacorka. 
MAT.2.10	Yachaysapacunataj chay ch'ascata ricuspa maytapuni cusicorkancu. 
MAT.2.11	Paycuna wasiman yaycuspataj Wawitata ricorkancu maman Mariatawan. Konkoricuspataj Jesusta yupaycharkancu. Apaskancuta quicharispa khapaj capuynincuta payman korkancu. Korita, inciensota, k'apayniyoj mirra jampitawan payta yupaychaspa jaywarkancu. 
