GEN.1.1	Kì ri cɑ̈gø cøn, Jwøk ɑ́cwɑ̈j-ɑ mɑl kí piny. 
GEN.1.2	O piny ɑ́bëëd e bong ngïje o bɑ ölø, o wɑ̈thi pï bɑ muudhø yøw, o wëyi Jwøk kwöd ɑ́ yømø kì kömi pï. 
GEN.1.3	 Akööb Jwøk kinni, “Wiy bëëd e dɑ cɑr.” Kɑ dɑ cɑr. 
GEN.1.4	Kɑ lidh yi Jwøk kinni cɑr døøj, ɑdɑ̈ɑ̈nge cɑr geki muudhø. 
GEN.1.5	Kɑ cɑr cɑg yi Jwøk ɑ́ “Dicɑ̈ng,” kɑ muudhø cɑge ɑ́ “Wɑ̈r.” Kɑ böörø obëënø kɑ mwøl ólunyø bëënø, bene cyɑ̈ng-ɑ mɑl.
GEN.1.6	Akööb Jwøk kinni, “Wiy bëëd e dɑ kɑɑm me dɑ̈ɑ̈ng pï gɑ kɑ̈jj ɑ́ryew.” 
GEN.1.7	 Codhe, ɑgwøøg kɑɑmɑni yi Jwøk, kɑ kwï pï cïbe wïj kɑɑmɑni, kɑ møg-ɑ kyeelø cïbe piny. 
GEN.1.8	Kɑ kɑɑmɑni cɑg yi Jwøk ɑ́ “Mɑl.” Kɑ böörø obëënø, kɑ mwøl ólunyø bëënø, bene ryeew cyɑ̈ng.
GEN.1.9	Akööb Jwøk kinni, “Wiy pïg-ɑ thɑ mɑl cøng gen ri gen kej ɑ́kyel, o bëëd e dɑ keny thwøwø me nënni.” Kɑ pï ri gen cøng gen. 
GEN.1.10	Kɑ keny-ɑ thwøwø cɑg yi Jwøk ɑ́ “Piny,” kɑ pïg-ɑ ɑ́cøng ri gen kej ɑ́kyel cɑge gɑ “Nɑ̈mmì.” Kɑ lidh yi Jwøk kinni gïgɑni døøj. 
GEN.1.11	Akööb Jwøk kinni, “Wiy piny twïye ki lùm kí yenh, o kwï gen nywøl gen kí nying mø bɑ köödh. O köödhi lùm geki yenh bënn, nyi nywøl gen ki nywøl mø bɑ kïddi gen ceth.” Kɑ løg-ɑ kinøw. 
