GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
GEN.1.5	Dieu appela la lumière « jour », et il appela les ténèbres « nuit ». Il y eut un soir et il y eut un matin : premier jour.
GEN.1.7	Dieu fit la voûte ; il sépara les eaux qui sont au-dessous de la voûte et les eaux qui sont au-dessus de la voûte. Il en fut ainsi. 
GEN.1.8	Dieu appela la voûte « ciel ». Il y eut un soir et il y eut un matin : deuxième jour.
GEN.1.10	Dieu appela la terre ferme « terre », et il appela la masse des eaux « mer ». Dieu vit que cela était bon. 
GEN.1.11	Dieu dit : Que la terre donne de la verdure, de l’herbe porteuse de semence, des arbres fruitiers qui portent sur la terre du fruit selon leurs espèces et qui ont en eux leur semence ! Il en fut ainsi. 
GEN.1.12	La terre produisit de la verdure, de l’herbe porteuse de semence selon ses espèces et des arbres qui portent du fruit et qui ont en eux leur semence selon leurs espèces. Dieu vit que cela était bon. 
GEN.1.13	Il y eut un soir et il y eut un matin : troisième jour.
GEN.1.15	qu’ils servent de luminaires dans la voûte céleste pour éclairer la terre ! Il en fut ainsi. 
GEN.1.16	Dieu fit les deux grands luminaires, le grand luminaire pour dominer le jour et le petit luminaire pour dominer la nuit, ainsi que les étoiles. 
GEN.1.17	Dieu les plaça dans la voûte céleste pour éclairer la terre, 
GEN.1.18	pour dominer le jour et la nuit, et pour séparer la lumière et les ténèbres. Dieu vit que cela était bon. 
GEN.1.19	Il y eut un soir et il y eut un matin : quatrième jour.
GEN.1.21	Dieu créa les grands monstres marins et tous les êtres vivants qui fourmillent, dont les eaux se mirent à grouiller, selon leurs espèces, ainsi que tout oiseau selon ses espèces. Dieu vit que cela était bon. 
GEN.1.22	Dieu les bénit en disant : Soyez féconds, multipliez-vous et remplissez les eaux des mers ; et que les oiseaux se multiplient sur la terre ! 
GEN.1.23	Il y eut un soir et il y eut un matin : cinquième jour.
GEN.1.25	Dieu fit les animaux sauvages selon leurs espèces, le bétail selon son espèce, et toutes les bestioles de la terre selon leur espèce. Dieu vit que cela était bon.
GEN.1.27	Dieu créa les humains à son image : il les créa à l’image de Dieu ; homme et femme il les créa. 
GEN.1.28	Dieu les bénit ; Dieu leur dit : Soyez féconds, multipliez-vous, remplissez la terre et soumettez-la. Dominez sur les poissons de la mer, sur les oiseaux du ciel et sur tous les animaux qui fourmillent sur la terre. 
GEN.1.29	Dieu dit : Je vous donne toute herbe porteuse de semence sur toute la terre, et tout arbre fruitier porteur de semence ; ce sera votre nourriture. 
GEN.1.30	A tout animal de la terre, à tout oiseau du ciel, à tout ce qui fourmille sur la terre et qui a souffle de vie, je donne toute herbe verte pour nourriture. Il en fut ainsi. 
GEN.1.31	Dieu vit alors tout ce qu’il avait fait : c’était très bon. Il y eut un soir et il y eut un matin : le sixième jour.
GEN.2.2	Le septième jour, Dieu avait achevé tout le travail qu’il avait fait ; le septième jour, il se reposa de tout le travail qu’il avait fait. 
GEN.2.3	Dieu bénit le septième jour et en fit un jour sacré, car en ce jour Dieu se reposa de tout le travail qu’il avait fait en créant.
GEN.2.4	Au jour où le S
GEN.2.5	il n’y avait encore aucun arbuste de la campagne sur la terre, et aucune herbe de la campagne ne poussait encore ; car le S
GEN.2.6	Mais un flot montait de la terre et en arrosait toute la surface. 
GEN.2.7	Le S
GEN.2.8	Le S
GEN.2.9	Le S
GEN.2.10	Un fleuve sortait d’Eden pour arroser le jardin, et de là il se divisait en quatre bras. 
GEN.2.11	Le nom du premier est Pishôn ; c’est celui qui contourne tout le pays de Havila, où l’on trouve l’or 
GEN.2.12	– et l’or de ce pays est bon. Là se trouvent aussi le bdellium et la pierre d’onyx. 
GEN.2.13	Le nom du deuxième fleuve est Guihôn ; c’est celui qui contourne tout le pays de Koush. 
GEN.2.14	Le nom du troisième fleuve est le Tigre ; c’est celui qui coule à l’est de l’Assyrie. Le quatrième fleuve, c’est l’Euphrate.
GEN.2.16	Le S
GEN.2.17	mais tu ne mangeras pas de l’arbre de la connaissance de ce qui est bon ou mauvais, car le jour où tu en mangeras, tu mourras. 
GEN.2.18	Le S
GEN.2.19	Le S
GEN.2.20	L’homme appela de leurs noms toutes les bêtes, les oiseaux du ciel et tous les animaux de la campagne ; mais, pour un homme, il ne trouva pas d’aide qui fût son vis-à-vis. 
GEN.2.21	Alors le S
GEN.2.22	Le S
GEN.2.23	L’homme dit :
GEN.2.23	Cette fois c’est l’os de mes os,
GEN.2.23	la chair de ma chair.
GEN.2.23	Celle-ci, on l’appellera « femme »,
GEN.2.23	car c’est de l’homme qu’elle a été prise.
GEN.3.2	La femme dit au serpent : Nous pouvons manger du fruit des arbres du jardin. 
GEN.3.3	Mais quant au fruit de l’arbre qui est au milieu du jardin, Dieu a dit : « Vous n’en mangerez pas, vous n’y toucherez pas, sinon vous mourrez ! » 
GEN.3.4	Alors le serpent dit à la femme : Pas du tout ! Vous ne mourrez pas ! 
GEN.3.5	Dieu le sait : le jour où vous en mangerez, vos yeux s’ouvriront et vous serez comme des dieux qui connaissent ce qui est bon ou mauvais. 
GEN.3.6	La femme vit que l’arbre était bon pour la nourriture et plaisant pour la vue, qu’il était, cet arbre, désirable pour le discernement. Elle prit de son fruit et en mangea ; elle en donna aussi à son mari qui était avec elle, et il en mangea. 
GEN.3.7	Leurs yeux à tous les deux s’ouvrirent, et ils surent qu’ils étaient nus. Ils cousirent des feuilles de figuier pour se faire des pagnes.
GEN.3.9	Le S
GEN.3.10	Il répondit : Je t’ai entendu dans le jardin et j’ai eu peur, parce que j’étais nu ; je me suis donc caché. 
GEN.3.11	Il reprit : Qui t’a dit que tu étais nu ? Aurais-tu mangé de l’arbre dont je t’avais défendu de manger ? 
GEN.3.12	L’homme répondit : C’est la femme que tu as mise auprès de moi qui m’a donné de l’arbre, et j’ai mangé. 
GEN.3.13	Alors le S
GEN.3.14	Le S
GEN.3.14	Puisque tu as fait cela,
GEN.3.14	tu seras maudit entre toutes les bêtes
GEN.3.14	et tous les animaux de la campagne,
GEN.3.14	tu te déplaceras sur ton ventre
GEN.3.14	et tu mangeras de la poussière
GEN.3.14	tous les jours de ta vie.
GEN.3.15	entre ta descendance et sa descendance :
GEN.3.15	celle-ci t’écrasera la tête,
GEN.3.15	et tu lui mordras le talon.
GEN.3.16	Je multiplierai la peine de tes grossesses.
GEN.3.16	C’est dans la peine que tu mettras des fils au monde.
GEN.3.16	Ton désir se portera vers ton mari,
GEN.3.16	et lui, il te dominera.
GEN.3.17	la terre sera maudite à cause de toi ;
GEN.3.17	c’est avec peine que tu en tireras ta nourriture
GEN.3.17	tous les jours de ta vie.
GEN.3.18	et tu mangeras l’herbe de la campagne.
GEN.3.19	jusqu’à ce que tu retournes à la terre,
GEN.3.19	puisque c’est d’elle que tu as été pris ;
GEN.3.19	car tu es poussière,
GEN.3.19	et tu retourneras à la poussière.
GEN.3.21	Le S
GEN.3.23	Le S
GEN.3.24	Après avoir chassé l’homme, il posta, à l’est du jardin d’Eden, les keroubim et l’épée flamboyante qui tournoie, pour garder le chemin de l’arbre de la vie.
GEN.4.2	Elle mit encore au monde Abel, son frère. Abel devint berger de petit bétail et Caïn cultivateur. 
GEN.4.3	Après quelque temps, Caïn apporta du fruit de la terre en offrande au S
GEN.4.4	Abel, lui aussi, apporta des premiers-nés de son petit bétail avec leur graisse. Le S
GEN.4.5	mais il ne porta pas un regard favorable sur Caïn ni sur son offrande. Caïn fut très fâché, et il se renfrogna. 
GEN.4.6	Le S
GEN.4.7	Si tu agis bien, ne relèveras-tu pas la tête ? Mais si tu n’agis pas bien, le péché est tapi à ta porte, et son désir se porte vers toi ; à toi de le dominer ! 
GEN.4.8	Caïn parla à Abel, son frère ; comme ils étaient en pleine campagne, Caïn se jeta sur Abel, son frère, et le tua. 
GEN.4.9	Le S
GEN.4.10	Alors il reprit : Qu’as-tu fait ? Le sang de ton frère crie de la terre jusqu’à moi. 
GEN.4.11	Maintenant, tu seras maudit, chassé de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère. 
GEN.4.12	Quand tu cultiveras la terre, elle ne te donnera plus sa force. Tu seras errant et vagabond sur la terre. 
GEN.4.13	Caïn dit au S
GEN.4.14	Tu me chasses aujourd’hui de cette terre ; je serai caché, tu ne me verras plus, je serai errant et vagabond sur la terre ; et si quelqu’un me trouve, il me tuera. 
GEN.4.15	Le S
GEN.4.16	Puis Caïn se retira de devant le S
GEN.4.18	D’Hénoch naquit Irad ; Irad engendra Mehouyaël, Mehouyaël engendra Metoushaël, et Metoushaël engendra Lémek. 
GEN.4.19	Lémek prit deux femmes : le nom de l’une était Ada et le nom de l’autre Tsilla. 
GEN.4.20	Ada mit au monde Yabal : c’est lui le père de ceux qui habitent dans des tentes et ont des troupeaux. 
GEN.4.21	Le nom de son frère était Youbal : c’est lui le père de tous ceux qui jouent de la lyre et du chalumeau. 
GEN.4.22	Tsilla, de son côté, mit au monde Toubal-Caïn, qui forgeait tous les outils de bronze et de fer. La sœur de Toubal-Caïn était Naama. 
GEN.4.23	Lémek dit à ses femmes :
GEN.4.23	Ada et Tsilla, écoutez-moi !
GEN.4.23	Femmes de Lémek, prêtez l’oreille à ma parole !
GEN.4.23	J’ai tué un homme pour ma blessure
GEN.4.23	et un enfant pour ma meurtrissure.
GEN.4.24	Lémek le sera soixante-dix-sept fois !
GEN.4.26	De Seth aussi naquit un fils qu’il appela du nom d’Enosh. C’est alors que l’on commença à invoquer le nom du S
GEN.5.2	Homme et femme il les créa, il les bénit et les appela du nom d’« humains » – Adam – le jour où ils furent créés.
GEN.5.4	Les jours d’Adam, après qu’il eut engendré Seth, furent de huit cents ans ; il engendra des fils et des filles. 
GEN.5.5	La totalité des jours qu’Adam vécut fut de neuf cent trente ans ; puis il mourut.
GEN.5.7	Après la naissance d’Enosh, Seth vécut huit cent sept ans ; il engendra des fils et des filles. 
GEN.5.8	La totalité des jours de Seth fut de neuf cent douze ans ; puis il mourut.
GEN.5.10	Après la naissance de Caïnân, Enosh vécut huit cent quinze ans ; il engendra des fils et des filles. 
GEN.5.11	La totalité des jours d’Enosh fut de neuf cent cinq ans ; puis il mourut.
GEN.5.13	Après la naissance de Mahalaléel, Caïnân vécut huit cent quarante ans ; il engendra des fils et des filles. 
GEN.5.14	La totalité des jours de Caïnân fut de neuf cent dix ans ; puis il mourut.
GEN.5.16	Après la naissance de Yéred, Mahalaléel vécut huit cent trente ans ; il engendra des fils et des filles. 
GEN.5.17	La totalité des jours de Mahalaléel fut de huit cent quatre-vingt-quinze ans ; puis il mourut.
GEN.5.19	Après la naissance d’Hénoch, Yéred vécut huit cents ans ; il engendra des fils et des filles. 
GEN.5.20	La totalité des jours de Yéred fut de neuf cent soixante-deux ans ; puis il mourut.
GEN.5.22	Hénoch marcha avec Dieu trois cents ans encore après la naissance de Mathusalem ; il engendra des fils et des filles. 
GEN.5.23	La totalité des jours d’Hénoch fut de trois cent soixante-cinq ans. 
GEN.5.24	Hénoch marcha avec Dieu ; puis il disparut, parce que Dieu le prit.
GEN.5.26	Après la naissance de Lémek, Mathusalem vécut sept cent quatre-vingt-deux ans ; il engendra des fils et des filles. 
