MAT.1.1	Abraham tapa, David tapa, Jesu Khrist khanggui thu bu. 
MAT.1.2	Abraham in Isaak a hing a; Isaak in Jakob a hing a; Jakob in Juda leh a sanggamte a hing a; 
MAT.1.3	Huleh Juda in Tamar lahah Phares leh Zara a hing a; Phares in Esrom a hing a; Esrom in Aram a hing a; 
MAT.1.4	Huleh Aram in Aminadab a hing a; Aminadab in Naasson a hing a; Naasson in Salmon a hing a; 
MAT.1.5	Huleh Salmon in Rahab lahah Boaz a hing a; Boaz in Ruth lahah Obed a hing a; Obed in Jesse a hing a; 
MAT.1.6	Jesse in kumpipa David a hing a, Kumpipa David in Uria ji lahah Solomon a hing a. 
MAT.1.7	Huleh Solomon in Rehoboam a hing a; Rehoboam in Abia a hing a; Abia in Asa a hing a; 
MAT.1.8	Huleh Asa in Jehosaphat a hing a; Jehosaphat in Joram a hing a; Joram in Ujia a hing a; 
MAT.1.9	Huleh Ujia in Joatham a hing a; Joatham in Achaz a hing a; Achaz in Ezekia a hing a; 
MAT.1.10	Huleh Ezekia in Manasseh a hing a; Manasseh in Amon a hing a; Amon in Josia a hing a; 
MAT.1.11	Huleh Josia in Babylon gama a puimang laiun Jekonia leh a sanggamte a hing a; 
MAT.1.12	Huleh Babylon lama a puimang nungun Jekonia in Salathiel a hing a; Salathiel in Zerubbabel a hing a; 
MAT.1.13	Huleh Zerubbabel in Abiud a hing a; Abiud in Eliakim a hing a; Eliakim in Azor a hing a; 
MAT.1.14	Huleh Azor in Sadok a hing a; Sadok in Akim a hing a; Akim in Eliud a hing a; 
MAT.1.15	Huleh Eliud in Eleazar a hing a; Eleazar in Matthan a hing a; Matthan in Jakob a hing a; 
MAT.1.16	Huleh Jakob in Mari pasal Joseph a hing a; hu Mari apatin Khrist kichi Jesu chu ahung piangta hi. 
MAT.1.17	Huchi'n khang zousiah chu Abraham apat David chiang khang sawmleli; huleh David apat Babylon gam a, a puimang chiang uh khang sawmleli; huleh Babylon gama, a puimang vapat Khrist chiang khang sawmleli ahi.
MAT.1.18	Huchi'n Jesu Khrist hung piandan chu hichi ahi; A nu Mari chu Joseph toh a kikhaam laiun, a umkhawm ma un, Hagau Siangthou apat gaai chih a kihedohta a. 
MAT.1.19	Huin a pasal Joseph chu midihtah ahi a, zapi heet a um diing ut louin a guuha khul a tumta a. 
