GEN.1.1	In het begin maakte God de hemelen en de aarde. 
GEN.1.2	De aarde was woest en leeg en over de watermassa lag een diepe duisternis. Maar de Geest van God zweefde boven de watermassa.
GEN.1.3	Toen zei God: ‘Laat er licht zijn.’ En toen was er licht. 
GEN.1.4	Het beviel God en Hij maakte een duidelijke scheiding tussen het licht en het donker. 
GEN.1.5	Het licht noemde Hij ‘dag’ en het donker ‘nacht’. Het werd avond en het werd weer morgen: de eerste dag.
GEN.1.6	Toen zei God: ‘Laat de watermassa uit elkaar gaan, zodat de wolkenhemel en de zeeën worden gevormd.’ 
GEN.1.7	Zo maakte God de wolkenhemel, door de watermassa te verdelen tussen hemel en aarde. 
GEN.1.8	Het werd avond en het werd weer morgen: de tweede dag.
GEN.1.9	Daarna zei God: ‘Laat het water onder de hemel samenstromen in zeeën en het droge land zichtbaar worden.’ En dat gebeurde. 
GEN.1.10	God noemde het droge land ‘aarde’ en het samengestroomde water ‘zeeën’. God zag dat het goed was.
GEN.1.11+GEN.1.12	 En God zei: ‘Laten er allerlei gewassen, zaaddragende planten en vruchtbomen met zaad in hun vruchten op aarde groeien. De zaden zullen steeds weer planten en bomen voortbrengen.’ Dat gebeurde en ook nu was het goed, zag God. 
GEN.1.13	Het werd avond en weer morgen: de derde dag.
GEN.1.14+GEN.1.15	 Toen zei God: ‘Ik wil dat er heldere lichten aan de hemel verschijnen om de aarde te verlichten en het verschil tussen dag en nacht aan te geven. Die lichten zullen de vaste tijden regelen en de dagen en jaren aangeven.’ En zo gebeurde het. 
GEN.1.16	God maakte twee grote lichten, de zon en de maan, die de aarde moesten verlichten. Het grootste licht, de zon, beheerste de dag en het kleinere, de maan, beheerste de nacht. Tegelijkertijd maakte God de sterren. 
GEN.1.17	Hij plaatste de lichten aan de hemel om de aarde te verlichten, 
GEN.1.18	dag en nacht aan te geven en het donker van het licht te scheiden. God zag dat het goed was. 
GEN.1.19	Het werd avond en het werd weer morgen: de vierde dag.
GEN.1.20	Vervolgens zei God: ‘Ik wil dat de zeeën wemelen van vis en ander leven en laat de lucht vol zijn met allerlei soorten vogels.’ 
GEN.1.21	Zo maakte God de grote zeedieren, allerlei vissen en vogels, elk naar hun eigen aard. En Hij keek er met welgevallen naar 
GEN.1.22	en zegende ze. ‘Vermenigvuldig je en bevolk de zeeën,’ zei Hij tegen hen en tegen de vogels zei Hij: ‘Zorg dat jullie aantal groeit, zodat de aarde vol wordt.’ 
GEN.1.23	Het werd avond en het werd weer morgen: de vijfde dag.
GEN.1.24	God zei toen: ‘Laat de aarde dieren voortbrengen: vee, kruipende dieren en allerlei wilde dieren.’ En weer gebeurde wat Hij had gezegd. 
GEN.1.25	God maakte alle soorten wilde dieren, vee en kruipende dieren, elk naar hun eigen soort. God zag dat ook dat goed was.
GEN.1.26	Toen zei God: ‘Laat Ons mensen maken die op Ons lijken en kunnen heersen over alle dieren op aarde, in de zeeën en in de lucht.’
GEN.1.27	God schiep daarop de mens als zijn evenbeeld. Als man en vrouw schiep Hij hen. 
GEN.1.28	God zegende hen en zei: ‘Vermenigvuldig je, bevolk de aarde en onderwerp haar. Heers over de vissen, de vogels en alle andere dieren. 
GEN.1.29	Kijk om je heen! Overal op aarde staan zaaddragende planten en vruchtbomen, die Ik jullie tot voedsel geef. 
GEN.1.30	Al het gras en de planten heb Ik als voedsel aan de dieren en de vogels gegeven.’
GEN.1.31	Toen overzag God alles wat Hij gemaakt had en het was heel goed. Het werd avond en het werd weer morgen: de zesde dag.
GEN.2.1	Zo werden de hemelen en de aarde en alles wat leeft gemaakt. 
GEN.2.2	Op de zevende dag rustte God na afloop van zijn scheppend werk. 
GEN.2.3	Hij zegende die zevende dag en maakte hem tot een bijzondere, heilige dag, omdat Hij die dag zijn scheppingswerk besloot.
