MAT.1.1	Anuu nanülia na koo'uliwo'ukana Jesucristo chi nuu'uliwo'ukai David chi nuu'uliwo'ukai Abraham:
MAT.1.2	Abraham, nüshi Isaac.
MAT.1.2	Isaac, nüshi Jacob.
MAT.1.2	Jacob, nashi Judá namaa na nuwalayuukana.
MAT.1.3	Judá, nashi Fares oo'ulaka Zara. Tamar sünülia tü neikat.
MAT.1.3	Fares, nüshi Esrom.
MAT.1.3	Esrom, nüshi Aram.
MAT.1.4	Aram, nüshi Aminadab.
MAT.1.4	Aminadab, nüshi Naasón.
MAT.1.4	Naasón, nüshi Salmón.
MAT.1.5	Salmón, nüshi Booz. Rahab sünülia tü niikat.
MAT.1.5	Booz, nüshi Obed. Rut sünülia tü niikat.
MAT.1.5	Obed, nüshi Isaí.
MAT.1.6	Isaí, nüshi David chi aluwataashikai.
MAT.1.6	David, nüshi Salomón. Je tü niikat, shia tü nu'wayuusekat paala Urías.
MAT.1.7	Salomón, nüshi Roboam.
MAT.1.7	Roboam, nüshi Abías.
MAT.1.7	Abías, nüshi Asa.
MAT.1.8	Asa, nüshi Josafat.
MAT.1.8	Josafat, nüshi Joram.
MAT.1.8	Joram, nüshi Uzías.
MAT.1.9	Uzías, nüshi Jotam.
MAT.1.9	Jotam, nüshi Acaz.
MAT.1.9	Acaz, nüshi Ezequías.
MAT.1.10	Ezequías, nüshi Manasés.
MAT.1.10	Manasés, nüshi Amón.
MAT.1.10	Amón, nüshi Josías.
MAT.1.11	Josías, nashi Jeconías je na nuwalayuukana wanaa sümaa no'uninnüin na wayuu Israelkana sulu'umüin tü mmakat Babilonia.
MAT.1.12	Anuu nanülia na koo'uliwo'ukana Jesucristo süchikijee no'uninnüin na wayuu Israelkana Babiloniamüin:
MAT.1.12	Jeconías, nüshi Salatiel.
MAT.1.12	Salatiel, nüshi Zorobabel.
MAT.1.13	Zorobabel, nüshi Abiud.
MAT.1.13	Abiud, nüshi Eliaquim.
MAT.1.13	Eliaquim, nüshi Azor.
MAT.1.14	Azor, nüshi Sadoc.
MAT.1.14	Sadoc, nüshi Aquim.
MAT.1.14	Aquim, nüshi Eliud.
MAT.1.15	Eliud, nüshi Eleazar.
MAT.1.15	Eleazar, nüshi Matán.
MAT.1.15	Matán, nüshi Jacob.
MAT.1.16	Jacob, nüshi José chi su'wayuusekai María tü niikat Jesús, chi Cristokai anülia.
MAT.1.17	Eesü poloo pienchimüin shi'ipapa'a nutuushiirua Jesucristo nüchikijee Abraham nünainmüin David. Je eesü poloo pienchimüin shi'ipapa'a nutuushiirua nüchikijee David sünainmüin tü o'uninnaakat Babiloniamüin. Je eesü poloo pienchimüin shi'ipapa'a nutuushiirua süchikijee tü o'uninnaakat Babiloniamüin nünainmüin Cristo chi Nüneekajalakai Maleiwa.
MAT.1.18	Otta nüchiki Jesucristo sünain jemelinjachin, müsü mayaa: María, tü niikat, achuntuushiirü shia nütüma wane wayuu José anüliai süpüla nu'wayuusee. Otta nnojoliiwa'aya José sünainpünaain, ipootkalaka shia sütüma nüpülain chi Naa'inkai Maleiwa. 
MAT.1.19	Otta José chi sümüraajüinkai, saa'u lotüin nukuaippa nu'upala Maleiwa, je saa'u nnojolüin nücheküin süpüleerua saapülijünüinjatüin sütüma wayuu süpüshua, anasü nümüin nuu'ulaale shia sujuuna wayuu.
MAT.1.20	Otta wanaa sümaa jülüjüin naa'in José tü naa'inrüinjatkat süka María, antüshi wane aapiee nüma'anajeejachi Maleiwa nünainmüin nü'lapüinru'u sünain maa nümüin: “Josée, nuu'uliwo'ukai David, nnojo mmolüin pia saa'u María, pu'wayuuse pümata. Ipootsü shia sütüma nüpülain chi Naa'inkai Maleiwa. 
MAT.1.21	Jemeyuleerü shia nümaa wane jo'uu toolo je pi'itaajeerü nünülia chi jo'uukai Jesúsüin süka niainjachin o'tte'erüin tü nüpüshikalüirua suulia saainjala”, nümakalaka chi aapieekai nümüin José.
MAT.1.22	Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma wane nünüikimaajachi, tü makat: 
MAT.1.23	“Wane majayülü, nnojotkat nünainpünaain wayuu toolo, ipooleerü shia, jemeyuleerü shia nümaa wane jo'uu toolo je ne'itaajeerü nünülia chi jo'uukai Emanuel”. (“Eeshi Maleiwa wamaa”, malu'ut tia.)
MAT.1.24	Shiasa nüchijiraapa José, naa'inrüin tü nuluwataakat anain chi aapieekai sünain naapaain María süpüla nu'wayuusein. 
MAT.1.25	Otta nnojoishi nia sünainpünaain wane'ere'eya jemeyutpa shia nümaa chi süchonkai. Je nujuittapa chi süchonkai, ni'itaakalaka nünülia Jesúsüin.
MAT.2.1	Wanaa sümaa jemelin Jesús sulu'u tü pueulokat Belén sulu'u tü mmakat Judea, nia aluwataaka Herodes sulu'u tü mmakat. Shiasa süchikijee jemelin nia, antüsü wane wayuuirua sulu'umüin tü pueulokat Jerusalén. Wattaje'ewalii naya, wüinpuje'ewalii. Atüjaashii naya saa'u sukuaippa tü jolotsükat. 
MAT.2.2	Nasakirakalaka:
MAT.2.2	—¿Jalashi chi jo'uu jemeikai aluwataainjachikai saa'u tü wayuu judíokolüirua? We'rüitpa wane jolotsü eweetüsü wanaa sümaa chajanain waya wüinpümüin, watüjaakalaka saa'u sünain jemelichipain nia, wantüinakalaka joolu'u yaamüin süpüla wee'iyatüinjatüin nujut nümüin —namakalaka.
