MAT.1.1	Книга родства Иисуса Христа, сына давидова, сына авраамля. 
MAT.1.2	Авраам роди исаака. Исаак же роди иакова. Иаков же роди иуду и братию его. 
MAT.1.3	Иуда же роди фареса и зару от фамары. Фарес же роди есрома. Есром же роди арама. 
MAT.1.4	Арам же роди аминадава. Аминадав же роди наассона. Наассон же роди салмона. 
MAT.1.5	Салмон же роди вооза от рахавы. Вооз же роди овида от руфы. Овид же роди иессеа. 
MAT.1.6	Иессей же роди давида царя. Давид же царь роди соломона от уриины. 
MAT.1.7	Соломон же роди ровоама. Ровоам же роди авию. Авиа же роди асу. 
MAT.1.8	Аса же роди иосафата. Иосафат же роди иорама. Иорам же роди озию. 
MAT.1.9	Озиа же роди иоафама. Иоафам же роди ахаза. Ахаз же роди езекию. 
MAT.1.10	Езекиа же роди манассию. Манассиа же роди амона. Амон же роди иосию. 
MAT.1.11	Иосиа же роди иехонию и братию его, в преселение вавилонское (
MAT.1.12	По преселении же вавилонстем, иехониа роди салафииля. Салафииль же роди зоровавеля. 
MAT.1.13	Зоровавель же роди авиуда. Авиуд же роди елиакима. Елиаким же роди азора. 
MAT.1.14	Азор же роди садока. Садок же роди ахима. Ахим же роди елиуда. 
MAT.1.15	Елиуд же роди елеазара. Елеазар же роди матфана. Матфан же роди иакова. 
MAT.1.16	Иаков же роди иосифа, мужа Мариина, из неяже родися Иисус, глаголемый Христос. 
MAT.1.17	Всех же родов от авраама до давида родове четыренадесяте: и от давида до преселения вавилонскаго родове четыренадесяте: и от преселения вавилонскаго до Христа родове четыренадесяте. 
MAT.1.18	Иисус Христово Рождество сице бе: обрученней бо бывши Матери его Марии иосифови, прежде даже не снитися има, обретеся имущи во чреве от Духа свята. 
MAT.1.19	Иосиф же муж ея, праведен сый и не хотя ея обличити, восхоте тай пустити ю. 
MAT.1.20	Сия же ему помыслившу, се, ангел Господень во сне явися ему, глаголя: иосифе, сыне давидов, не убойся прияти Мариам жены твоея: рождшеебося в ней, от Духа есть свята: 
MAT.1.21	родит же сына, и наречеши имя ему Иисус: той бо спасет люди своя от грех их. 
MAT.1.22	Сие же все бысть, да сбудется реченное от Господа пророком, глаголющим: 
MAT.1.23	се, Дева во чреве приимет и родит сына, и нарекут имя ему еммануил, еже есть сказаемо: с нами Бог. 
MAT.1.24	Востав же иосиф от сна, сотвори якоже повеле ему ангел Господень, и прият жену свою, 
MAT.1.25	и не знаяше ея, дондеже роди сына своего первенца, и нарече имя ему Иисус.
MAT.2.1	Иисусу же рождшуся в вифлееме иудейстем во дни ирода царя, се, волсви от восток приидоша во Иерусалим, глаголюще: 
MAT.2.2	где есть рождейся Царь иудейский? видехом бо звезду его на востоце и приидохом поклонитися ему. 
