MAT.1.1	Yisa Masia chɔɔŋkʋʋlɩŋ saara wʋnna: die ʋ yiwo Davidi haagɩŋ ta Davidi dɩaŋ dɩ yi Abarahami haagɩŋ.
MAT.1.2	Abarahami die dɩ mɩɩrɩ Aziki, ta Aziki dɩaŋ dɩ mɩɩrɩ Jakobu, ta Jakobu dɩaŋ dɩ mɩɩrɩ Juda aŋaŋ ʋ nɩmballɩ.
MAT.1.3	Juda die mɩɩrɩ wa Perezi aŋaŋ Zera ta ba nuŋ dɩ yi Tamari: Perezi die mɩɩrɩ wa Hezironi, ta Hezironi die mɩɩrɩ wa Rami.
MAT.1.4	Rami die mɩɩrɩ wa Aminadabi, Aminadabi die mɩɩrɩ wa Naasoni, ta Naasoni die dɩ mɩɩrɩ Salimoni.
MAT.1.5	Salimoni die mɩɩrɩ wa Buasi vuodieke nuŋ dɩ yine Rahabi; ta Buasi dɩaŋ dɩ mɩɩrɩ wa Obedi, vuodieke nuŋ dɩ yine Rufi; ta Obedi dɩaŋ dɩ mɩɩrɩ wa Jese.
MAT.1.6	Jese die mɩɩrɩ wa naaŋ Davidi.
MAT.1.6	Davidi dɩaŋ die mɩɩrɩ wa Solomoni, vuodieke nuŋ die dɩ yine Yuriya kpihɔgʋ.
MAT.1.7	Solomoni die mɩɩrɩ wa Rehobuami, ta Rehobuami dɩaŋ dɩ mɩɩrɩ Abia, ta Abia dɩaŋ dɩ mɩɩrɩ Asa.
MAT.1.8	Asa die mɩɩrɩ wa Jehosafati, ta Jehosafati dɩaŋ dɩ mɩɩrɩ Jorami, ta Jorami dɩaŋ dɩ mɩɩrɩ Yuzaya.
MAT.1.9	Yuzaya die mɩɩrɩ wa Jotami, ta Jotami dɩaŋ dɩ mɩɩrɩ Ahazi, ta Ahazi dɩaŋ dɩ mɩɩrɩ Hezekaya.
MAT.1.10	Hezekaya die mɩɩrɩ wa Manase, ta Manase dɩaŋ dɩ mɩɩrɩ Amoni, ta Amoni dɩaŋ dɩ mɩɩrɩ Josaya,
MAT.1.11	ta Josaya die mɩɩrɩ wa Jekonaya aŋaŋ ʋ nɩmballɩ, saŋŋa gie die ba yigi Izara vuosi a bɩrɩŋ ba yɔŋɩsɩ a yaa ba ga Babiloni tɩŋgbaŋ ma.
MAT.1.12	Die ba yalla ba ga Babiloni tɩŋgbaŋ ma kʋaŋ chaaŋ,
MAT.1.12	Jekonaya die dɩ mɩɩrɩ Salatieli, ta Salatieli dɩaŋ dɩ mɩɩrɩ Zerubabeli.
MAT.1.13	Zerubabeli die dɩ mɩɩrɩ Abuyidi, ta Abuyidi dɩaŋ dɩ mɩɩrɩ Eliakimi, ta Eliakimi dɩaŋ dɩ mɩɩrɩ Azori.
MAT.1.14	Azori die mɩɩrɩ wa Zadoki, ta Zadoki dɩaŋ dɩ mɩɩrɩ Achimi, ta Achimi dɩaŋ dɩ mɩɩrɩ Eludi.
MAT.1.15	Eludi die mɩɩrɩ wa Eliaza, ta Eliaza dɩaŋ dɩ mɩɩrɩ Matani, ta Matani dɩaŋ dɩ mɩɩrɩ Jakobu.
MAT.1.16	Jakobu die mɩɩrɩ wa Josefu, vuodieke die dɩ yine Meri chʋrʋ, ta Meri dɩ mɩɩrɩna Yisa vuodieke ba wasɩnana Ŋmɩŋ vuovʋarɩkɩŋ Masia wa.
MAT.1.17	Die dɩ nyɩnna Abarahami saŋŋa a ga tʋga Davidi saŋŋa die yiwo chɔɔŋkʋʋlɩba baŋ aŋaŋ banɩɩsa. Davidi saŋŋa a ga tʋga saŋŋa dieke die ba yigine be a bɩrɩŋ ba yɔŋɩsɩ a yaa ba ga Babiloni die yiwo chɔɔŋkʋʋlɩba baŋ aŋaŋ banɩɩsa. Die dɩ nyɩŋ saŋŋa mi a yaa a ga tʋga Masia maarɩŋ saŋŋa die yiwo chɔɔŋkʋʋlɩba baŋ aŋaŋ banɩɩsa.
MAT.1.18	Die ba mɩɩrɩna Yisa Masia die wonde. Yisa nuŋ daa die wone Josefu ama die ba ye ka faarɩ tamba, ta Meri die dɩ mɩŋŋɩ sɩba dɩ ʋ yigi wo nyuuti, die Ŋmɩŋ Halɩkasɩka die vana ʋ yigi kanɩŋ nyuuti mi. 
MAT.1.19	Josefu die yiwo daa dieke die dɩ mɩŋŋɩna a dɩɩsa Ŋmɩŋ sieŋ, ta die ʋ ka yaala ʋ nagɩ Meri a yi viivi me vuoŋ mana nine me. Naa chɩaŋ ma die ʋ yile ʋ sʋŋ ma dɩ ʋ lɔbɩrɩ a zeti wo. 
MAT.1.20	Die ʋ yilinene naa, Ŋmɩŋ malaka die dɩ nyɩŋ ʋ jigiŋ daansa ma a baarɩ, “Josefu, vuodieke dɩ nyɩnna Davidi buuriŋ ma, da zeti fʋ balla fʋ nagɩ Meri a bɩrɩŋ fʋ hɔgʋ wa. Dama Ŋmɩŋ Halɩkasɩka yɩna wa nyuutiti. 
MAT.1.21	Ʋ nan mɩɩrɩ bʋadembiŋ aŋ nɩ wa wa Yisa, 
MAT.1.22	Wɩaha gie mana die keŋ yi mɩŋ sɩba Ŋmɩŋ die dɩ vana ʋ naazʋalɩba wʋnyɩ die dɩ balɩna die wo, dɩ 
MAT.1.23	“Hɔgʋ dieke dɩ zɩna dembiŋ nan yigi nyuuti a mɩɩrɩ bʋadembiŋ aŋ ʋ saaŋ yi Emmanueli.” (Emmanueli chɩaŋ wone “Ŋmɩŋ bie tɩ jigiŋ”.)
MAT.1.24	Die wɩa die Josefu die dɩ hagɩna ʋ daansaha ma die ʋ faarɩ Meri sɩba Ŋmɩŋ malakaka die dɩ bala wa dɩ ʋ yi die wo. 
MAT.1.25	Ama die Josefu aŋaŋ Meri die ka dʋagɩ taŋ a ga tʋgɩ saŋŋa dieke die ʋ mɩɩrɩna ʋ bʋadembike. Josefu die dɩ yɩ wa saarɩ, dɩ Yisa.
MAT.2.1	Die ba mɩɩrɩna Yisa tɩŋ kaanɩ ba wasɩnana Betilehemi, Judia tɩŋgbaŋ ma ma, saŋka mi Herodi die yine naaŋ. Die ba mɩɩrɩna Yisa kʋaŋ chaaŋ die dɩ ka yʋasɩya, dembisi bataŋ die dɩ nyɩŋ ŋmɩŋ pɔsɩŋ chaaŋ a keŋ Jerusalemi, 
MAT.2.2	a dɩ dɩa a pɩasa, “Sɩa ba mɩɩrɩ bʋanyaalɩ dieke dɩ balla ʋ yi Juu vuosisi naaŋ wa? Tɩ ye wo ʋ chɩŋmarɩka dɩ nyɩnna ŋmɩŋ pɔsɩŋ chaaŋ, tɩ dɩ a keŋ dɩ tɩ jɩaŋ wa.”
MAT.2.3	Die naaŋ Herodi die dɩ wʋnna naa wa, die wʋnɩŋ aŋaŋ vuoŋ mana die dɩ benne Jerusalemi ma ma sʋgɩtɩ dɩ chʋʋsɩ. 
MAT.2.4	Die ʋ wa Ŋmɩŋ jɩamɩŋ nɩŋŋandɩɩsɩrɩba nyɩŋkʋraha aŋaŋ mɩraha dɩdagɩrɩba mana a lagɩŋ tamba a die a pɩasɩ ba dɩ, “Sɩa ba baa ba mɩɩrɩ gbɩgbatɩtaantʋ Masia wa?”
