MAT.1.1	Rodovnik Jezusa Kristusa, Davidovega sina, Abrahamovega sina.
MAT.1.2	Abrahamu se je rodil Izak, Izaku Jakob, Jakobu Juda in njegovi bratje. 
MAT.1.3	Judu je Tamára rodila Pêreca in Zêraha. Pêrecu se je rodil Hecrón, Hecrónu Rám, 
MAT.1.4	Rámu Aminadáb, Aminadábu Nahšón, Nahšónu Salmón, 
MAT.1.5	Salmónu je Rahába rodila Bóaza, Bóazu je Ruta rodila Obéda. Obédu se je rodil Jése. 
MAT.1.6	Jéseju se je rodil David, kralj.
MAT.1.6	Davidu je Urijájeva žena rodila Sálomona. 
MAT.1.7	Sálomonu se je rodil Róboam, Róboamu Abíja, Abíju Asá, 
MAT.1.8	Asáju Józafat, Józafatu Jorám, Jorámu Uzíja, 
MAT.1.9	Uzíju Jotám, Jotámu Áhaz, Áhazu Ezekíja, 
MAT.1.10	Ezekíju Manáse, Manáseju Ámos, Ámosu Jošíja, 
MAT.1.11	Jošíju Jojahín in njegovi bratje ob preselitvi v Babilon.
MAT.1.12	Po preselitvi v Babilon se je Jojahínu rodil Šealtiél, Šealtiélu Zerubabél, 
MAT.1.13	Zerubabélu Abihúd, Abihúdu Eljakím, Eljakímu Azór, 
MAT.1.14	Azórju Cadók, Cadóku Ahím, Ahímu Eliúd, 
MAT.1.15	Eliúdu Eleázar, Eleázarju Matán, Matánu Jakob, 
MAT.1.16	Jakobu pa se je rodil Jožef, mož Marije, iz katere je bil rojen Jezus, ki se imenuje Kristus.
MAT.1.17	Vseh rodov je torej: od Abrahama do Davida štirinajst rodov, od Davida do preselitve v Babilon štirinajst rodov, od preselitve v Babilon do Kristusa štirinajst rodov.
MAT.1.18	Z rojstvom Jezusa Kristusa je bilo takóle: njegova mati Marija je bila zaročena z Jožefom. Preden sta začela živeti skupaj, je bila noseča od Svetega Duha. 
MAT.1.19	Njen mož Jožef pa je bil pravičen in je ni maral osramotiti, temveč je sklenil, da jo skrivaj odslovi. 
MAT.1.20	Ko je to premišljeval, se mu je v spanju prikazal Gospodov angel in rekel: »Jožef, Davidov sin, ne boj se vzeti k sebi Marijo, svojo ženo; kar je spočela, je od Svetega Duha. 
MAT.1.21	Rodila bo sina in daj mu ime Jezus, kajti on bo odrešil svoje ljudstvo njegovih grehov.« 
MAT.1.22	Vse to pa se je zgodilo, da se je spolnilo, kar je Gospod rekel po preroku:
MAT.1.23	to pomeni: 
MAT.1.24	Ko se je Jožef zbudil, je storil, kakor mu je naročil Gospodov angel. Vzel je svojo ženo k sebi. 
MAT.1.25	Čeprav se ji ni približal, je rodila sina; in dal mu je ime Jezus.
MAT.2.1	Ko je bil Jezus rojen v Betlehemu v Judeji pod kraljem Heródom, so prišli modri z Vzhoda v Jeruzalem in 
MAT.2.2	spraševali: »Kje je novorojeni judovski kralj? Videli smo namreč, da je vzšla njegova zvezda, in smo se mu prišli poklonit.« 
MAT.2.3	Ko je kralj Heród to slišal, se je prestrašil in ves Jeruzalem z njim. 
MAT.2.4	Sklical je vse vélike duhovnike in pismouke ljudstva in jih spraševal, kje naj bi bil Kristus rojen. 
MAT.2.5	Odgovorili so mu: »V Betlehemu v Judeji, kajti takóle je zapisal prerok:
MAT.2.6	Nikakor nisi 
MAT.2.7	Tedaj je Heród skrivaj poklical modre in jih skrbno spraševal o času, kdaj se jim je zvezda prikazala. 
MAT.2.8	Nato jih je poslal v Betlehem z naročilom: »Pojdite in natančno pozvedite o detetu. Ko ga najdete, mi sporočite, da se mu pojdem tudi jaz poklonit!« 
MAT.2.9	Po kraljevih besedah so se modri odpravili na pot; in glej, zvezda, ki so jo videli vziti, je šla pred njimi, dokler ni obstala nad krajem, kjer je bilo dete. 
MAT.2.10	Ko so zagledali zvezdo, so se silno razveselili. 
MAT.2.11	Stopili so v hišo in našli dete z Marijo, njegovo materjo. Padli so predenj in ga počastili. Nato so odprli svoje zaklade in mu darovali zlata, kadila in mire. 
MAT.2.12	Ker so bili v spanju opomnjeni, naj ne hodijo nazaj k Heródu, so se po drugi poti vrnili v svojo deželo.
MAT.2.13	Ko so odšli, se je Jožefu v spanju prikazal Gospodov angel in mu rekel: »Vstani, vzemi dete in njegovo mater in béži v Egipt! Ostani tam, dokler ti ne sporočim, Heród bo namreč dete iskal, da bi ga umoril.« 
MAT.2.14	Vstal je, še ponoči vzel dete in njegovo mater in se umaknil v Egipt. 
MAT.2.15	Tam je bil do Heródove smrti, da se je spolnilo, kar je Gospod rekel po preroku: 
MAT.2.16	Ko je Heród videl, da so ga modri prevarali, se je hudo razjezil. Poslal je svoje ljudi in dal v Betlehemu in v vsej njegovi okolici pomoriti vse dečke, stare dve leti in manj, po času, kakor ga je skrbno pozvedel od modrih. 
MAT.2.17	Takrat se je spolnilo, kar je bilo povedano po preroku Jeremiju:
MAT.2.19	Ko je Heród umrl, se je v Egiptu prikazal Gospodov angel Jožefu v spanju 
MAT.2.20	in rekel: »Vstani, vzemi otroka in njegovo mater in pojdi v izraelsko deželo, kajti pomrli so, kateri so mu stregli po življenju.« 
MAT.2.21	Vstal je, vzel otroka in njegovo mater in se vrnil v izraelsko deželo. 
MAT.2.22	Ko je zvedel, da vlada v Judeji Arheláj namesto svojega očeta Heróda, se je bal iti tja. Ker je bil v spanju opomnjen, se je umaknil v galilejsko deželo. 
MAT.2.23	Ko je prišel tja, se je naselil v mestu, ki se imenuje Nazaret, da se je spolnilo, kar so govorili preroki, da bo nazaréjec.
MAT.3.1	Tiste dni nastopi Janez Krstnik v Judejski puščavi 
MAT.3.2	in pridiga: »Spreobrnite se, približalo se je namreč nebeško kraljestvo! 
MAT.3.3	To je tisti, o katerem je dejal prerok Izaija:
MAT.3.4	Janez je nosil obleko iz kamelje dlake in usnjen pas okoli ledij. Hranil se je s kobilicami in z medom divjih čebel. 
MAT.3.5	Tedaj so prihajali k njemu ljudje iz Jeruzalema in vse Judeje in iz vse jórdanske doline. 
MAT.3.6	Dajali so se mu krstiti v reki Jórdan in se spovedovali svojih grehov. 
MAT.3.7	Ko je videl, da prihaja k njegovemu krstu precéj farizejev in saducejev, jim je rekel: »Gadja zalega! Kdo vam je zagotovil, da ubežite prihodnji sodbi? 
MAT.3.8	Obrodite vendar vreden sad spreobrnjenja. 
MAT.3.9	Ne govorite si: ‘Abrahama imamo za očeta,’ kajti povem vam, da more Bog iz teh kamnov Abrahamu obuditi otroke. 
MAT.3.10	Sekira je že nastavljena drevesom na korenino. Vsako drevo, ki ne rodi dobrega sadu, posekajo in vržejo v ogenj. 
MAT.3.11	Jaz vas krščujem z vodo, da bi se spreobrnili; toda on, ki pride za menoj, je močnejši od mene in jaz nisem vreden, da bi mu nosil sandale. On vas bo krstil v Svetem Duhu in ognju. 
MAT.3.12	Velnico ima v roki in počistil bo svoj skedenj. Svoje žito bo spravil v kaščo, pleve pa sežgal v ognju, ki nikoli ne ugasne.«
MAT.3.13	Tedaj pride Jezus iz Galileje k Jórdanu do Janeza, da bi se mu dal krstiti. 
MAT.3.14	Janez ga je hotel od tega odvrniti, zato mu je rekel: »Jaz bi se ti moral dati krstiti, pa ti hodiš k meni.« 
MAT.3.15	Jezus mu je odgovoril: »Pústi zdaj, kajti spodobi se nama, da spolniva vso pravico.« Tedaj mu je pustil. 
MAT.3.16	Po krstu je Jezus takoj stopil iz vode in prècej so se nad njim odprla nebesa. Zagledal je božjega Duha, ki se je spuščal kakor golob in prišel nadenj. 
MAT.3.17	Pri tem se je zaslišal glas iz nebes: »To je moj ljubljeni Sin, zelo sem ga vesel.«
MAT.4.1	Tedaj je Duh odvedel Jezusa v puščavo, da bi ga hudič skušal. 
MAT.4.2	Ko se je postil štirideset dni in štirideset noči, je bil naposled lačen. 
MAT.4.3	Pristopil je skušnjavec in mu rekel: »Če si Božji Sin, reci, naj bodo ti kamni kruh.« 
MAT.4.4	On pa je odgovoril: »Pisano je:
MAT.4.5	Nato ga hudič vzame s seboj v sveto mesto in ga postavi vrh templja 
MAT.4.6	ter mu reče: »Če si Božji Sin, vrzi se dol, kajti pisano je:
MAT.4.6	in 
MAT.4.7	Jezus mu je odgovoril: »Pisano je tudi: 
MAT.4.8	Zopet ga hudič vzame s seboj na zelo visoko goro. Pokaže mu vsa kraljestva sveta in njihovo slavo 
MAT.4.9	ter mu reče: »Vse to ti bom dal, če predme padeš in me počastiš.« 
MAT.4.10	Tedaj mu Jezus reče: »Poberi se, satan, kajti pisano je:
MAT.4.11	Tedaj ga je hudič pustil in angeli so pristopili in mu stregli.
MAT.4.12	Ko je zvedel, da so Janeza vrgli v ječo, se je umaknil v Galilejo. 
MAT.4.13	Zapustil je Nazaret in se nastanil v Kafarnáumu, ki leži ob jezeru, v Zábulonovi in Néftalijevi pokrajini, 
MAT.4.14	da se je spolnilo, kar je bilo povedano po preroku Izaiju:
MAT.4.17	Po tistem času je Jezus začel pridigati: »Spreobrnite se, približalo se je namreč nebeško kraljestvo.«
MAT.4.18	Ko je hodil ob Galilejskem jezeru, je zagledal dva brata: Simona, ki se imenuje Peter, in njegovega brata Andreja, ko sta metala mrežo v jezero; bila sta namreč ribiča. 
MAT.4.19	Reče jima: »Hodíta za menoj! Naredil vaju bom za ribiča ljudi.« 
MAT.4.20	Ta dva sta takoj pustila mreže in šla za njim. 
MAT.4.21	Ko je šel od tam naprej, je zagledal dva druga brata: Jakoba, Zebedéjevega sina, in njegovega brata Janeza, ko sta s svojim očetom Zebedéjem v čolnu popravljala mreže. Poklical ju je. 
MAT.4.22	Ta dva sta takoj pustila čoln in očeta ter šla za njim.
MAT.4.23	Jezus je obhodil vso Galilejo. Učil je po njihovih shodnicah in oznanjal blagovest kraljestva. Ozdravljal je vsakovrstne bolezni in slabosti med ljudmi. 
MAT.4.24	Glas o njem se je razširil po vsej Siriji. Prinašali so k njemu vse bolnike, ki so jih mučile različne bolezni in nadloge, tudi obsedene, božjastne in hrome, in jih je ozdravil. 
