MAT.1.1	Knige rodstva Jezuš Kristuša, siná Dávidovoga, siná Abrahámovoga. 
MAT.1.2	Abrahám je porôdo Ižáka; Ižák je pa porôdo Jákoba; Jákob je pa porôdo Juda, i brate njegove. 
MAT.1.3	Juda je pa porôdo Fáreša i Zára z Támare; Fáreš je pa porôdo Ešroma; Ešrom je pa porôdo Arama. 
MAT.1.4	Aram je pa porôdo Aminadába; Aminadáb je pa porôdo Naaššona; Naaššon je pa porôdo Šalmona. 
MAT.1.5	Šalmon je pa pôrodo Boózá z Ráhabe; Boóz je pa porôdo Obeda z Rute; Obed je pa porôdo Ješšea. 
MAT.1.6	Ješše je pa porôdo Dávid Krála: Dávid Král je pa porôdo Šalamona z Uriášove žené. 
MAT.1.7	Šalamon je pa porôdo Roboáma; Roboám je pa porôdo Abia; Abia je pa porôdo Aša. 
MAT.1.8	Aša je pa porôdo Jošafáta; Jošafát je pa porôdo Joráma; Jorám je pa porôdo Oziáša. 
MAT.1.9	Oziáš je pa porôdo Joatama; Joatam je pa porôdo Aháza; Aház je pa porôdo Ezekiáša. 
MAT.1.10	Ezekiáš je pa porôdo Manaššešša; Manaššeš je pa porôdo Amona; Amon je pa porôdo Jóšiáša. 
MAT.1.11	Jošiáš je pa porôdo Jehoniáša, i brate njegove za vrêmena Babilonskoga seljenjá. 
MAT.1.12	Po Babilonskom seljenjé je pa Jehoniáš porôdo Šalatiela; Šalatiel je pa porôdo Zorobábela. 
MAT.1.13	Zorobábel je pa porôdo Abiuda; Abiud je pa porôdo Eliákima; Eliákim je pa porôdo Azora. 
MAT.1.14	Azor je pa porôdo Šádoka; Šádok je pa porôdo Ahima; Ahim je pa porôdo Eliuda. 
MAT.1.15	Eliud je pa porôdo Eleázara; Eleázar je pa porôdo Mátána; Mátán je pa porôdo Jákoba. 
MAT.1.16	Jákob je pa porôdo Jožefa možá Marie, z štere je porôdjen Jezuš, ki se zové Kristuš. 
MAT.1.17	Záto vsa eta pokolênja od Abraháma notri do Dávida so štirinájsetera pokolênja; i od Dávida notri do Babilonskoga seljenjá je štirinájset pokolênj, i od Babilonskoga seljenjá je štirinájset pokolênj notri do Kristuša.
MAT.1.18	Jezuš Kristuša rodjenjé je pa etak bilô: zaročena mati njegova Mária Jožefi prvle, liki sta vküp prišla, nájdena je noséča z Dühá svétoga. 
MAT.1.19	Jožef pa njé môž, pravičen bodôči nej jo je šteo osramotiti; nego jo je šteo skrivomá odpüstiti. 
MAT.1.20	Gda bi pa eta v sebi premišlávao: ovo, Angel Gospodnov se je njemi skázao vu sne, erkôči: Jožef Sin Dávidov, neboj se k sebi prijéti Mário ženo tvojo. Ár ka se je v njê popríjalo, z Svétoga Dühá je. 
MAT.1.21	Porodi pa Sina, i zváo boš imé njegovo Jezuš; ár on zveliča lüdstvo svoje od grêhov njegovi. 
MAT.1.22	(Tô se je pa celô záto zgôdilo: da bi se spunilo, ka je povêdano od Gospodna po Proroki erkôčem: 
MAT.1.23	Ovo, dêva bode noséča, i porodi Sina, i zváli bodo imé njegovo: Emmánuel, štero je razklajeno: znami Bôg.) 
MAT.1.24	Obüdjen pa Jožef zesna včíno je tak, liki je zapovedao njemi Angel Gospodnov; i k sebi je prijao ženo svojo. 
MAT.1.25	I nej jo je spoznao: dokeč je nej parodila sina svojega prvorodjenoga; i zváo je imé njegovo Jezuš.
MAT.2.1	Gda se je pa Jezuš porôdo v Betlehemi Júde, vu dnévi Herodeš Krála; ovo môdri so prišli od sunčenoga zhoda v Jerušálem erkôči: 
MAT.2.2	Gde je te porodjeni kral Židovski? Ár smo vidili njegovo zvêzdo na sunčenom zhodi, i prišli smo ga molit. 
MAT.2.3	Tô pa slišavši Herôdeš Král, zburkao se je, i žnjim ves Jerušálem. 
MAT.2.4	I, vküp spravivši vse vládnike popovske, i pisáče lüdstva spítávao je od njih: gde bi se meo Kristuš poroditi? 
MAT.2.5	Oni so pa erkli njemi: v Betlehemi Júde. Ár je tak pisano po proroki: 
MAT.2.6	I ti Betlehem, zemla Júde, znikakšim tálom si nej nájménša med poglavniki Júde. Ar z tébe bode zhájao voj; šteri bode páso lüdstvo moje Izráelsko. 
MAT.2.7	Teda je Herodeš skrivomá zvao te môdre, i skrblivo je zvedávao od njih ono vrêmen; v kom se je skázala ta zvêzda. 
MAT.2.8	I, poslao je v Betlehem, i erčé: idôči skrblivo spitávajte od deteta; gda je pa nájdete, nazvêstite mi, da je i jas, tá idôči, molim. 
MAT.2.9	Oni pa poslühnovši Krála, šli so tá. I ovo, zvêzda, štero so vidili na zhodi pred njimi je šla; dokeč pridôč je stánola, gde je bilô to dête. 
MAT.2.10	Vidivši pa zvêzdo, radüvali so se jáko zvelikom radostjom. 
MAT.2.11	I idôči vu hižo, naišli so to dête z Máriom materjom njegovom: i pokleknovši molili so je; i ôdprli so kinče svoje i darüvali so njemi dári, zláto, i kadilo, i miro. 
MAT.2.12	I opômenjeni od Bogá vu sne, naj se ne vrnéjo nazá k Herôdeši, po drügoj pôti so šli nazâ vu svoje domovine.
MAT.2.13	Gda so pa oni odíšli; ovo Angel Gospodnov skázao se je vu sne Jožefi, erkôči: gori stánovši vzemi to dête i mater njegovo i bêži v Egiptom, i boj tam, dokeč ti povêm. Ár Herodeš bode ískao to dête na pogübel. 
MAT.2.14	On pa gori stánovši vzéo je to dête, i mater njegovo v noči, i odíšao je v Egiptom. 
MAT.2.15	I bio je tam notri do smrti Herodešove; da bi se spunilo; ka je povêdano od Gospodna po proroki erkôčem: z Egiptoma sem zvao sina mojega.
MAT.2.16	Teda Herodeš gda bi vido, kâ je ošpotan od ti môdri, rasrdo se je jáko, i poslavši vojsko spomôro je vso deco, v Betlehemi i vu vsê krainaj njegovi, od dvê let i niže staro poleg vrêmena, štero je paščlivo zeznao od ti môdri. 
MAT.2.17	Teda se je spunilo ka je povêdano od Jeremiáš proroka erkôčega: 
MAT.2.18	Glás je v Rámi slišani, plač i joč i cvil vnôgi. Ràhel je jôkala svoje Sini, i nej se je štela obeseliti záto; kâ ji je nej bilô.
