MAT.1.1	Jesucrist ngol lo raz chaan rey David, ne lo raz chaan Abraham kuu ngok tey re zha Israel ndala.
MAT.1.2	Abraham ngok xut Isaac,
MAT.1.2	Isaac ngok xut Kob,
MAT.1.2	ne Kob ngok xut Judá ne re wets Judá.
MAT.1.3	Judá ngok xut Fares ne xut Zara, ne xnaa rop zhaʼa ngok Tamar,
MAT.1.3	Fares ngok xut Esrom, Esrom ngok xut Aram.
MAT.1.4	Aram ngok xut Aminadab, Aminadab ngok xut Naasón,
MAT.1.4	ne Naasón ngok xut Salmón.
MAT.1.5	Salmón ngok xut Booz ne Rahab ngok xnaa Booz,
MAT.1.5	Booz ngok xut Obed ne Rut ngok xnaa Obed,
MAT.1.5	ne Obed ngok xut Isaí.
MAT.1.6	Isaí ngok xut rey David, ne lee rey David ngok xut Salomón,
MAT.1.6	ne lee xnaa Salomón ngok ngot kuu ngok tsaal Urías.
MAT.1.7	Salomón ngok xut Roboam, Roboam ngok xut Abías,
MAT.1.7	ne Abías ngok xut Asa.
MAT.1.8	Asa ngok xut Josafat, Josafat ngok xut Joram,
MAT.1.8	ne Joram ngok xut Uzías.
MAT.1.9	Uzías ngok xut Jotam, Jotam ngok xut Acaz,
MAT.1.9	ne Acaz ngok xut Ezequías.
MAT.1.10	Ezequías ngok xut Manasés, Manasés ngok xut Amón,
MAT.1.10	ne Amón ngok xut Josías.
MAT.1.11	Josías ngok xut Jeconías ne re wets Jeconías, ne re zhaʼa naban leettsa mndeno re zha Babilonia re zha Israel par Babilonia.
MAT.1.12	Ne leettsa mtelaa re zha Babilonia re zha Israel;
MAT.1.12	lee Jeconías ngok xut Salatiel, ne lee Salatiel ngok xut Zorobabel.
MAT.1.13	Zorobabel ngok xut Abiud, Abiud ngok xut Eliaquim,
MAT.1.13	ne Eliaquim ngok xut Azor.
MAT.1.14	Azor ngok xut Sadoc, Sadoc ngok xut Aquim,
MAT.1.14	ne Aquim ngok xut Eliud.
MAT.1.15	Eliud ngok xut Eleazar, Eleazar ngok xut Matán,
MAT.1.15	Matán ngok xut Kob;
MAT.1.16	ne lee Kob ngok xut Che tsaal Mari xnaa Jesús,
MAT.1.16	Zha Kuu Mtaal Diox Nabee.
MAT.1.17	Ne tsiida raz ngoo desde Abraham asta rey David, ne tedib tsiiday desde rey David asta leettsa mndeno re zha Babilonia re zha Israel par Babilonia, ne tedib tsiiday ngoo desde leettsa mtelaa re zha Babilonia re zha Israel, asta leettsa mzin Zha Kuu Mtaal Diox Nabee.
MAT.1.18	Tenzhee ngok leettsa ngol Jesús: Leettsa lee Mari xnaa Jesús naka diiz tseya kon Che, per bee ter yo rop zha, ne lee Mari ngoo zhiinn por yalney chaan Mbi Nayon chaan Diox. 
MAT.1.19	Tsa lee Che mtsow xgab laa Mari, tak thib mbyi wen nak zha, mtsow zha xgab laa zha Mari xgaatsta, tak nlaazt zha roo yalnathoy Mari lo re men. 
MAT.1.20	Ne leettsa ngetsow Che xgab laa Che Mari, lee thib mandad chaan Diox cha ngwani lo Che lo mkaal, ne nzhab lo Che:
MAT.1.20	―Che, lu nak thib zha raz rey David, yat leettsooʼa kaaʼa Mari, tak lee Mari ngoo zhiinn por yalney chaan Mbi Nayon, 
MAT.1.21	ne gap Mari thib mbet ne tob leʼa mbet Jesús. Tbaa role mbet tak lee mbet tuyy falt chaan re tawlaz mbet.
MAT.1.22	Ne lee le Jesús nak: Lee Zha Nabee ntelaa. Reta koree mriid tsa ngok kuu nzhab Zha Nabee, por roo profet kuu ngoo ndala, or nzhab profet:
MAT.1.23	Lee thib nzaa kuu ter gak rop thib mbyi, yo zhiinn ne gap thib mbet;
MAT.1.23	ne tob le zha mbet Emanuel,
MAT.1.23	(diiz ree nak: “Diox ndo kon lee”). [Is. 7:14]
MAT.1.24	Ne leettsa mroo mkaal lo Che, tsa mtsow Che kuu nzhab mandad chaan Diox lo Che, ne mkayaa Che Mari ngok Mari tsaal Che. 
MAT.1.25	Per ngogt rop zha, asta leettsa ngol xgann Mari kuu ner; ne mtob le Che mbet Jesús.
MAT.2.1	Leettsa ngol Jesús yez Belén chaan yezlyu Judea, re wiz kuu mban rey Herodes, tsya lee chop tson zha kuu nteed kwent chaan re mbel kuu nzib lobee, mroo lad ta nlen wiz, ne mzin re zha Jerusalén. 
MAT.2.2	Ne mnaabdiz re zha, nzhab zha:
MAT.2.2	―¿Ma mbet kuu gak rey chaan re zha Israel, kuu ngola? Tak asta ta nlen wiz mwii nee mbel chaan mbet, kona ndyaad nee gol nee lo mbet.
MAT.2.3	Per leettsa mbin rey Herodes ne re zha yez Jerusalén koree, kwathoz nda leettsoo Herodes ne noga re zha Jerusalén. 
MAT.2.4	Tsa mkaltaa Herodes re ngwleyy kuu nabee lo re ngwleyy, ne re maestr chaan ley, tsa mnaabdiz Herodes lo re zha, naa plo nzhab re profet kuu ngoo ndala ndoblo gal Zha Kuu Taal Diox Nabee. 
MAT.2.5	Tsa lee re zha nzhab:
MAT.2.5	―Yez Belén, kuu nzi yezlyu Judea; tak tabaa nkey lo xkeets Diox kuu mkee profet, or kuu nzhab profet:
MAT.2.6	Goo zha yez Belén kuu nzi yezlyu chaan Judá,
MAT.2.6	tegal laz goo nak thib yez kuu nataagt xid re yez kuu nzi yezlyuʼa,
MAT.2.6	per lo goo roo thib zha kuu nabee ne kenap re zha yez da, zha Israel. [Mi. 5:2]
MAT.2.7	Tsa xgaatsta mrez rey Herodes re zha kuu nteed kwent chaan re mbel kuu nzib lobee, ne mnaabdiz rey naa pol mloo mbel lo re zha. 
MAT.2.8	Tsa mtaal Herodes re zha yez Belén, ne nzhab rey lo re zha:
MAT.2.8	―Gwa goo, gwakwaan goo mbet, ne leettsa yetsal mbet lo goo, ko goo diize lon, tsa no na ya gol lo mbet.
MAT.2.9	Leettsa ngwalo mbin re zha kuu nzhab rey, tsa ngoo re zha net nda zha, ne lee mbel kuu mwii zha ner, mroo mndener lo re zha, ne mlet mbel asta ta nax mbet. 
MAT.2.10	Ne or mwii re zha lee mbel mlet, kwathoz naley ngoo leettsoo re zha. 
MAT.2.11	Ne leettsa mndaab re zha leen yuu, mwii zha lo mbet kon Mari xnaa mbet, tsa mtobxub re zha ne mbil zha lo mbet; ne mloo re zha re kwaa ndano zha mndelaaz zha lo mbet, mndaa zha or, straak ne mirra. 
MAT.2.12	Ne lo mkaal mni Diox lo re zha, tsa retabt raa zha lo rey Herodes, tata mod tedib net mretab re zha laz zha.
MAT.2.13	Leettsa lee re zha kuu nteed kwent chaan mbel mroo ndya, lee thib mandad chaan Diox ngwani lo Che lo mkaal ne nzhab lo Che:
MAT.2.13	―Gwache, ne teno mbet kon xnaa mbet, tyee goo par yezlyu Egipto, ne kwet goo tya asta or nin lo goo roo goo tya, tak lee rey Herodes nkwaan mbet par kuth mbet.
MAT.2.14	Tsa ngwache Che, leeka yaala ndano Che mbet ne xnaa mbet, ne ndya re zha par Egipto, 
MAT.2.15	ne tya ngoo zha asta nguth Herodes; tsa mrolo kuu nzhab Zha Nabee, por roo profet kuu ngoo ndala leettsa nzhab profet: “Asta yez Egipto mrezʼn xgann na”. [Os. 11:1]
MAT.2.16	Per leettsa bee ter gath rey Herodes, myeen rey lee re zha kuu nteed kwent chaan mbel kuu nzib lobee, mkedi zha rey, tsa kwathoz mkezhyan rey, kona lee rey mnabee ne mtaal soldad yez Belén ne re yez kuu nzi gaxta Belén, tsa kuth zha re mbet bzhizh kuu nap asta chop liin, kuu ngol tyemp kuu nzhab re zha kuu nteed kwent chaan mbel lo rey Herodes. 
