MAT.1.1	Chichato hen natontonan hen nangingganà an Jesu Cristu way ganà Arey David way narpon Abraham.
MAT.1.2	Ummanà ah Abraham wat ah Isaac way nangen-anà an Jacob. Yag anat umanà ah Jacob wat cha Juda way masosnod. 
MAT.1.3	Ah Juda, enahawana ah Tamar wat inyanàcha cha Fares an Zara. Ah Fares, inyanàna ah Esrom way nangen-anà an Ram. 
MAT.1.4	Ah Ram, inyanàna ah Aminadab. Ah Aminadab, inyanàna ah Naason, yag ah Naason, inyanàna ah Salmon. 
MAT.1.5	Cha Salmon way hen-ahawa an Rahab, inyanàcha ah Boaz. Yag cha Boaz way hen-ahawa an Ruth, inyanàcha agé ah Obed way nangen-anà an Jesse. 
MAT.1.6	Yag ah Jesse, inyanàna ah David way nan-are.
MAT.1.6	Ah David way annag enahawa hen ahawan Urias, chicha hen nangen-anà an Solomon. 
MAT.1.7	Yag ah Solomon, inyanàna ah Roboam, yah Roboam, inyanàna ah Abias, yah Abias, inyanàna ah Asa. 
MAT.1.8	Ah Asa, inyanàna ah Josafat. Ah Josafat, inyanàna ah Joram way nangen-anà an Ozias. 
MAT.1.9	Ah Ozias, inyanàna ah Jotam way nangen-anà an Ahaz, ya ah Ahaz, inyanàna ah Ezekias. 
MAT.1.10	Ah Ezekias, inyanàna ah Manasse way nangen-anà an Amon, yah Amon, inyanàna ah Josias. 
MAT.1.11	Ah Josias, inyanàna cha Jeconias way masosonod. Yag hen hiyachiy tempo, yachi hen niyéyan hen anchichay ganà Israel ad Babilonia way nan-alepan.
MAT.1.12	Angkay hiyachi way wachacha ad Babilonia, ummanà ah Jeconias wat ah Sealtiel way nangen-anà an Zorobabel. 
MAT.1.13	Ah Zorobabel, inyanàna ah Abiud way nangen-anà an Eliakim, yah Eliakim, inyanàna ah Azor. 
MAT.1.14	Ah Azor, inyanàna ah Sadoc way nangen-anà an Akim, yah Akim, inyanàna ah Eliud. 
MAT.1.15	Angkay ummanà ah Eliud wat ah Eleazar way nangen-anà an Matan, ya ah Matan, inyanàna ah Jacob. 
MAT.1.16	Ah Jacob, hiyan nangen-anà an Jose way ahawan Maria way inan Jesus. Ya ah Jesus, hiya hen anchi Cristu way empopostan Apudyus way epalena hen antoy lota way mantoray.
MAT.1.17	Wat hiyachi, nanepod an Abraham ingganan David wat ma-ahemporo ya opat way apo. Yag nanepod agé an David inggana hen anchi niyéyan hen anchichay ganà Israel ad Babilonia, wat na-ahemporo ya opat agé way apo. Yag nanepod hen anchi niyéyancha ad Babilonia inggana hen anchi niyana-an Cristu way empopostan Apudyusat na-ahemporo ya opat way apo agé.
MAT.1.18	Yato hen nekaman hen niyana-an Jesu Cristu. Ah Maria way inana, netotorag way man-ahawacha an Jose, ngém cha-ancha mantepon yag fin-énat Maria way nafugi peet way gapo hen kafaelan hen Espiritun Apudyus. 
MAT.1.19	Ngém ah Jose way katoragna, na-ammuwana way nafugi ah Maria ngém maid innilana hen nekaman, wat gapo ta annag sosolloton yanggay hen orchincha, ekatnéén masapor achina etoroy. Ngém gapo agé ta achina laychén way maustan ah Maria wat ekatnéén iyanapna hen ekamanna way achi mangentoroy way achi ma-am-ammuwan. 
MAT.1.20	Ngém angkay hiyachi way chana ham-éham-én hen ekamanna, nampàilaat agé hen ihay anghel Apudyus hen nan-in-inpana way mangaliyén, “Heay Jose way ganà David, achia cha mafiinan way mangen-ahawa an Maria, te hen anchi finuginaat maid kasen narpowana no faén yanggay hen kafaelan hen Espiritun Apudyus. 
MAT.1.21	Wat iyanàna hen larae way ngadnanyu ah Jesus te hiya hen mangenharà an chàyu way ahentaguna hen machusaanyu gapo hen fasoryu.”
MAT.1.22	Na-ammaan amin chato ah tommot-owaan hen anchi imfagan Apudyus ad namenghan way ensorat hen profetana, ekatnéén,
MAT.1.23	“Ammag an mafugi hen ihay fafarasang way cha-an matmatchà, yag iyanàna hen larae way mangadnan ah Emmanuel way hen laychén nadchiy aryénat i netape ah Apudyus an chitaaw ad uwan.”
MAT.1.24	Angkay hiyachi way fummangon ah Jose, enafurotna hen imfagan hen anchi anghel wat enteponna ah Maria. 
MAT.1.25	Ngém iggayna paat tadtad-én hiya ingganah ummanà. Yag angkay ummanà, ngenadnan Jose hen anchi utteng ah Jesus.
MAT.2.1	Angkay hiyachi way tempon hen ka-aren Herod, niyanà tot-owa ah Jesus ad Bethlehem way ihay fabréy hen anchi provinsiyan hen Judea. Angkay hiyachi yag wachacha hen naligwat hen achawwéy way fabréy way nan-apet hen cha fùnagan hen init way chicha hen anchichay nan-araeng way cha mangachar hen cha isinyar hen taraw.
MAT.2.1	Angkay inumchahcha ad Jerusalem, henanhanancha way mangaliyén, 
MAT.2.2	“Chuud hen anchi onga way niyanà way man-are an chàyu way Judio, te innilani hen anchi taraw way sinyar hen miyana-ana way fummùnag hen nan-apetan hen cha fùnagan hen init. Wat yachi hen ummaliyannihto ta ini chayawén hiya.”
MAT.2.3	Angkay hiyachi way chengngar are way Herodchi, ammag naguru way térén hen hamhamàna ya umat agé hen tapen anchichay eJerusalem. 
MAT.2.4	Wat hen enkaman Are Herod, empa-ayagna hen amin anchichay anap-apon hen papachin hen Judio ya hen anchichay siguchay cha mintudtuchu hen orchin, yag inimohna an chicha no chuud hen nesosorat way miyana-an hen anchi Cristu way hahadchén hen Judio way umale way mantoray. 
MAT.2.5	Yag anchaat ifaga an hiya way mangaliyén, “Ad Bethlehem way sakop hen provinsiyan hen Judea hen miyana-an Cristu te yaha chillu hen ensorat hen anchi profeta ad namenghan way ekatnéén,
MAT.2.6	‘Hen anchi akettoyay fabréy way Bethlehem way fabréy hen provinsiyan hen Judea, mamfalin peetchi ah kangatowan way fabréy hen aminay fabréy ad Judea, te ahchi hen miyana-an hen anchi man-ap-apo way hiya hen manalimun hen tatagù way ganà Israel.’
MAT.2.6	Yaha hen nesosorat.”
MAT.2.7	Wat angkay chengngar Herodchi, entat-allingébna way nempa-ayag hen anchichay nangachar hen taraw, yag inimohna an chicha no kamana paat hen ustoy fummùnagan hen anchi taraw. 
MAT.2.8	Angkay imfagacha an hiya yag annaat paligwatén chicha way éméy ad Bethlehem, yag imfagana way mangaliyén, “No éméy-ayuhchi, emamadyu way manganap hen anchi onga ta no ichahanyu, masapor umaleayu way mangimfaga an haén ta éméyà agé way manayaw an hiya.”
MAT.2.9+MAT.2.10	Angkay hiyachi yag naligwatcha way éméy ad Bethlehem. Yag angkay chacha éméy, ammag amchan hen laylayadcha te kasencha innila hen anchi tarawanchi way innilacha hen anchi pés-éy naligwatancha. Wat hen anchi taraw, chana epangpango ah umunuchancha, yag iggayna etàtàchég ingganah nemamang hen ininggawan hen anchi onga.
MAT.2.11	Angkay hiyachi way inumchahcha hen hiyachiy faréy, hinénggépcha yag innilacha hen anchi onga way ah Jesus yah inana way Maria, yag chachaat mampalentomang way manayaw an hiya. Yag anchaat agé epafùnag hen idchatcha an hiya way pahig nan-angina way faletò ya fangfangru way incienso ya mira.
MAT.2.12	Angkay hiyachi yag empahelap Apudyus an chicha way achicha engwa ah faréy Herod no mamfangadcha, wat safali hen chinarancha way namfangad ah fabréycha.
MAT.2.13	Angkay hiyachi way lommayaw hen anchichay nangachar hen taraw, kasen nampàila hen anghel Apudyus an Jose hen nan-in-inpana, yag imfagana way mangaliyén, “Fumangon-ayu ta elayawnowat hen annay onga yah inana te anapén angkay Are Herod hen annay onga ta pédténa. Wat mamfakwit-ayu ad Egipto yag ahchin i-inggawanyu ingganah ifagà hen lomayawanyu.” 
MAT.2.14	Yag yachi, fummangon ah Jose yag inligwatna chicha way hen-ina hen hiyachiy lafi way éméy ad Egipto, 
MAT.2.15	yag anchag ini-inggaw ahchi ingganah natéy hen anchi are way Herod.
MAT.2.15	Na-ammaanchi ah tommot-owaan hen anchi imfafaggan Apudyus ad namenghan way ensorat hen anchi profeta way ekatnéén, “Ayagà hen anào way maligwat ad Egipto.”
MAT.2.16	Angkay hiyachi way enlasin Are Herod way lenepat peet hen anchichay nangachar hen taraw hiya te safali hen enengwacha, wat ammag ommaningarngar way térén, wat annag inyurchin way mepapchit amin hen ungunga way larae ad Bethlehem ya hen senakopna way fafabréy way hen mepapchitat amin hen anchichay anat niyanà ingganah mantawén ah chuwa, te yachi hen tawnén hen onga nanepod hen nail-an hen taraw way henaphapet hen anchichay nangachar hen taraw.
MAT.2.17	Wat yaha hen tommot-owaan hen enalen hen anchi profetay Jeremias ad namenghan hen nangaryanéén,
MAT.2.18	“Mamagngar hen usengar ad Rama way ammag pararo hen ifil ya kela. Chichachi hen ganà Raquel way chacha ifilan hen anchichay a-anàcha way natéy. Ya ammag maid maka-à-arò an chicha te nan-atéycha hen anchichay a-anàcha.”
MAT.2.19	Angkay hiyachi way émmé-émméy hen tawén, natéy ah Are Herod yag kasen nampàila hen anchi anghel Apudyus an Jose ad Egipto hen nan-in-inpana way ekatnéén, 
MAT.2.20	“Fumangon-ayu agé ta ifangadno chillu cha Maria way hen-ina hen anchi lotayu way Israel, te nan-atéycha hen anchichay manlayad way mamchit hen annay onga.” 
MAT.2.21	Angkay hiyachi, enlayaw tot-owa Jose hen anchi onga yah inana wat namfangadcha chillu ad Israel.
MAT.2.22	Ngém angkay chengngar Jose way ah Arkelao peet hen neparég an amana way Herod way mantoray hen provinsiyan hen Judea, ammag émmégyat way fumabréy ahchi. Wat anat kasen epahelap Apudyus an hiya way hen provinsiyan hen Galilea hen minyapetancha. 
MAT.2.23	Wat hiyachi, incha fummabréy hen ihay fabréy ahchi way ekatchéén Nazaret. Yato hen nekaman ah tommot-owaan hen ensorat hen anchichay profeta ad namenghan way ekatchéén, “Ah hamhamà hen tatagu, anchag ekatén hiya hen ihay eNazaret.”
MAT.3.1	Angkay hiyachi way émméy hen kamanay tawén, wacha hen ihay tagu way hen ngachannaat ah Juan way nangadnan ah chan funfunyag. Émméy hen anchi chanak yag inlugina way mangintudtuchu hen anchichay tatagu way cha ummunud an hiya, ekatnéén, 
MAT.3.2	“Masapor manchùganyu hen aminay laweng way chayu ammaan, te tég-angay angkay milugi hen mantorayan Apudyus an chitaaw.” 
MAT.3.3	Ah Juananto, hiya hen cha aryén hen anchi profeta way Isaias ad namenghan hen nangaryanéén,
MAT.3.3	“Wacha hen anchi ini-inggaw hen anchi chanak way chana èngaèngaw hen anchichay tatagu way mangaliyén, ‘Naway hen Ap-apo, wat iyam-ammayu hen chayu am-ammaan ya manggadngényu hen hamhamàyu.’ ”
MAT.3.4	Hen lumfong Juananchi way chan funfunyag, wat an lawa ammag enafar way chotchot chi animar way kemér, ya nansesentoron agé ah gadchang. Yag hen chana agé iyatagu wat chuchun ya chilu. 
MAT.3.5	Wat ancha ammag cha émé-éméy hen tatagu way mangngar hen chana itudtuchu way narpocha ad Jerusalem ya hen aminay sakopon hen provinsiyan hen Judea, ya anat agé hen amin anchichay fafabréy way nehag-én hen anchi wangwang way ekatchéén Jordan. 
MAT.3.6	Yag chacha tot-owa epudnu hen fasorcha ya anat funyagan Juan chicha hen hiyachiy wangwang way Jordan.
MAT.3.7	Ngém hen émméyan hen anchichay nan-angato way Fariseo ya Saduceo an Juan way mampafunyag koma, wachan narasenna yag annaat ifaga an chicha way mangaliyén, “Chàyu way ammag nan-asilib, ay ammoh ekatyuwén hen mafunyaganyu hen manginlisiyanyu hen chusan Apudyus an chàyu. 
MAT.3.8	Te masapor angkay atofunyu paat hen a-ammayu ah mempàil-anyu way imfafawiyu tot-owa hen fasoryu. 
MAT.3.9	Yag achiyu agé ekatén gapo ta ganà chàyu an Abraham wat achi chàyu chuséén an Apudyus, te hen ifagà an chàyu, uray hen antochay fatowat mafalin mamfalinén Apudyus chicha ah ganà Abraham no laychéna. 
MAT.3.10	Ya hen anchi miyaligan hen manusaan Apudyus hen tatagu wat kaman hen na-a-awid way potaw. Wat aminay away way achi mamunga ah ammayay funga wat marngoh ta ma-apoyan.”
MAT.3.11	Entoroy Juan way mangaliyén, “Haén, chanum yanggay hen chà ifunyag an chàyu ah mepàil-an hen namfafawiyanyu. Ngém wacha hen meparég an haén way nangatngato way térén no haén te uray lawa anà an man-alepan an hiyéén achì karébféngan. Yag hiya, ifunyagna an chàyu hen Espiritun Apudyus ya hen apoy. 
MAT.3.12	Yag no umale, henhenéna hen anchichay ammayay tatagu hen anchichay laweng way kaman hen anchi mantéép way henhenéna hen anchi nafégahan hen anchi maid fégahna. Yag hen anchi nafégahan, tarpénéna ah arangna. Waman hen anchi maid fégahna, etongona hen anchi apoy way ammag achi madmachép.”
MAT.3.13	Angkay hiyachi yag lummigwat ah Jesus ad Galilea way éméy hen anchi wangwang way Jordan way mampafunyag an Juan. 
MAT.3.14	Ngém ah Juan, ommachi te ekatnéén, “Ammoh mafalin way haén hen mamunyag an hea way hea koma hen mamunyag an haén.” 
MAT.3.15	Ngém senongfatan Jesus way mangaliyén, “Tàén wat hea chillu hen mamunyag an haén, te yato hen mangammaanta hen aminay laychén Apudyus.” Yachi yag ommafun ah Juan wat finunyagana ah Jesus.
MAT.3.16	Angkay hiyachi way nafunyagan ah Jesus, tommàchangat yag ammag namfuat ad uchu yag innilana hen Espiritun Apudyus way cha émhép an hiya way kaman karopate. 
MAT.3.17	Yag hen hiyachi agé, wacha hen nan-ale ad uchu way mangaliyén, “Yaton anào way laylaychê paat ya chana agé eparaylayad haén.”
MAT.4.1	Angkay hiyachi yag enetnod hen Espiritun Apudyus ah Jesus hen anchi chanak ta ahchi hen mamachasan Chumunyu way mangawis an hiya. 
