GEN.1.1	Gër ỹanar, Kaxanu nëcëtëguk
GEN.1.2	Ebar el er hi bax ŝoɗe-ŝoɗe, do wafërëluŋ. Ecamëɗan fo xëñ bax gër ambëxw atiw̃ax aŋo, do onjën ond Kaxanu oŋ bax xerëkerarand ƴaŋ gër amen.
GEN.1.3	Kaxanu re ko: «Gil ex angoɓen aŋ!» Ata hik angoɓen aŋ. 
GEN.1.4	Kaxanu wat ko mëne angoɓen aŋ eyekax ex. Ŝapëreli ko angoɓen aŋ do gë ecamëɗan el. 
GEN.1.5	Kaxanu w̃ac ko angoɓen aŋ «Goyat», do ecamëɗan el «Gëmëɗ». Ata ga w̃ëɗëk do xeyëk, hik akey añanar aŋ.
GEN.1.6	Kaxanu re ko: «Gil ex anguxar mërëxand ir amen do ex capëreli amen aŋ ja mërëxand!» 
GEN.1.7	Ata Kaxanu ri ko ƴaŋ anguxar aŋ. Ŝapëreli ko amen and hik ɗila gër anguxar aŋ gë amen and hik ƴaŋ gër anguxar aŋ. Ata hik mondako. 
GEN.1.8	Kaxanu w̃ac ko anguxar aŋ «Orën». Ata ga w̃ëɗëk do xeyëk, hik akey akinëm aŋ.
GEN.1.9	Kaxanu re ko: «Amen and hik ɗila gër anguxar aŋ ɓarërëlex beɓët iɓat, do canayal ex eperëk el.» Ata hik mondako. 
GEN.1.10	Kaxanu w̃ac ko eperëk el «Ebar», do amara and amen aŋ w̃ac ko «Angwëngw». Ata Kaxanu wat ko mëne aye yek. 
GEN.1.11	Kaxanu re ko: «Ebar el dëw̃ëlex ɓeɓëlëg, ondës ond gë eneɗa, gë ɓatëx ɓañamb ƴamb, ɓand gë enëng gë enëng, do gë ɓeneɗa ɓendeɓën ak.» Ata hik mondako. 
GEN.1.12	Ebar el rëw̃ëk ɓeɓëlëg, ondës ond gë ɓeneɗa, ɓatëx ɓañamb ƴamb ɓand gë enëng gë enëng, do gë ɓeneɗa ɓendeɓën ak. Kaxanu wat ko mëne aye yek. 
GEN.1.13	Ata ga w̃ëɗëk do xeyëk, hik akey atasën aŋ.
GEN.1.14	Kaxanu re ko: «Gil ex ɓangoɓen gër anguxar and orën, ex pitëndëraxënënd goyat in, do gë gëmëɗ in. Ɓangoɓen ɓaŋo kë hi ɓananganëme ɓand opëna, gë ɓakey, do gë ɓëniy. 
GEN.1.15	Elod ƴaŋ gër anguxar and orën ŋoɓayindëlex ebar el!» Ata hik mondako. 
GEN.1.16	Kaxanu ri ko ɓangoɓen ɓatëm ɓaki: atëmënak aŋ ex ŋoɓaxënënd goyat, do atil aŋ do gë ow̃al oŋ ex ŋoɓaxënënd gëmëɗ. 
GEN.1.17	Kaxanu xaw̃ ko ɓangoɓen ɓaŋo gër anguxar and orën ex ŋoɓaxënënd ebar el, 
GEN.1.18	ex ŋoɓaxënënd, aŋo goyat do ɓaŋo gëmëɗ, do ex pitëndëraxënënd angoɓen aŋ do gë ecamëɗan el. Kaxanu wat ko mëne aye yek. 
GEN.1.19	Ata ga w̃ëɗëk do xeyëk, hik akey anaxën aŋ.
GEN.1.20	Kaxanu re ko: «Ɓëmacar ɓëŋ ñëmbërëlexëni gër amen, do oŝël ol cëgërayindëlexëni ƴaŋ gër ebar, gër anguxar and orën!» 
