GEN.1.1	Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, 
GEN.1.2	nù duka so gee, mɔ bo sɛnɛ na, tum kpee so zu 
GEN.1.3	Sɔ̧ tɔ̧a̧: «Sa̧a̧mɔ a̧ de!» Ɓɛɛ sa̧a̧mɔ de.
GEN.1.4	Sɔ̧ zɔka sa̧a̧mɔ duk nɛ de-a, ɓɛɛ Sɔ̧ kɛ̧ mgbara sa̧a̧mɔ in tum. 
GEN.1.5	Sɔ̧ saa sa̧a̧mɔ «wese», ɓɛɛ a̧ sa nin tum'e «zɛ». Hegɔ zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ kuti ɔɔ-zɛ.
GEN.1.6	Sɔ̧ tɔ̧a̧: «Gba̧a̧-yí-zan a̧ duk mgbara o yì mɛ kɛ̧ mgbara wa!» Ɓɛɛ mɔ de hegɔ.
GEN.1.7	Sɔ̧ dee gba̧a̧-yí-zan, ɓɛɛ kɛ̧ mgbara yì mɛ ŋgɔn in yì mɛ ɗɔɔ. 
GEN.1.8	Sɔ̧ saa nin gba̧a̧-yí-zan «yiwese». Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ yiitoo ɔɔ-zɛ.
GEN.1.9	Sɔ̧ tɔ̧a̧: «O yì mɛ́ ɗɔɔ yiwese a̧ mɔi̧ ŋmaa duk kpɔk fara ha̧ kora fara mɛ gbo!» Ɓɛɛ mɔ de hegɔ. 
GEN.1.10	Sɔ̧ saa nin kora fara «nu», ɓɛɛ a̧ sa nin yì nɛ mɔi̧a ŋmaa'e «gba-tɔp». Sɔ̧ zɔka'e mɔ‘i ɔ dee. 
GEN.1.11	Sɔ̧ tɔ̧a̧: «Nu a̧ dɛm o bɔr-mɔ, o nyɔnɔ nɛ a̧a̧ nɛ kpar-a in o te nɛ wai wai nyɛm nɛ ɗoŋ kpar-wa nɛ tɛ dɛm siti!» Ɓɛɛ mɔ de hegɔ. 
GEN.1.12	Ɓɛɛ nù de ha̧ o bɔr-mɔ mɛ dɛm in o nyɔnɔ nɛ a̧a̧ nɛ kpar-a, in o te nɛ wai wai nyɛm nɛ ɗoŋ kpar-wa. Ɓɛɛ Sɔ̧ zɔka duka nɛ de-a. 
GEN.1.13	Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ taar ɔɔ-zɛ.
GEN.1.14	Sɔ̧ tɔ̧a̧: «O sa̧a̧mɔ a̧ de sɛn yiwese wen kɛ̧ɛ̧ mgbara wese in zɛ, wa tɛ ya nɛ́ mɔɔ-usi-mɔ mgbara o gbaŋa, mgbara o wese in zɛ tɔra pɛ; 
GEN.1.15	wa tɛ́ ya nɛ́ sa̧a̧mɔ sɛn yiwese wen nyɛka-a zu nù.» Ɓɛɛ mɔ de hegɔ. 
GEN.1.16	Ɓɛɛ Sɔ̧ de gasa sa̧a̧mɔ yiitoo: gasa sa̧a̧mɔ wen nyɛka-a nɛ̀ wese, geɗek sa̧a̧mɔ wen nyɛka-a nɛ̀ zɛ. 
GEN.1.17	Sɔ̧ ee o sa̧a̧mɔ nɔ‘i sɛn yiwese wen nyɛka-a zu nù, 
GEN.1.18	wen ha̧ wa mɛ́ ɔ wan zu wese in zɛ, in ha̧ wa mɛ́ kɛ̧ mgbara sa̧a̧mɔ in tum; ɓɛɛ Sɔ̧ zɔka mɔɔ nɔ‘i ɔ dee. 
GEN.1.19	Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ naar ɔɔ-zɛ.
GEN.1.20	Sɔ̧ tɔ̧a̧: «Yì a̧ dun nɛ o be mɔ lɛŋ nɛ ɔm ɔm, ɓɛɛ o nɔ̧́í̧ a̧ bu̧i nɛ yiwese see zu nù.» 
GEN.1.21	Sɔ̧ dee o gasa ŋga saɗi-ɗɔɔ-yì, o mɔ lɛŋ nɛ ɔm ɔm in nɛ fo mɔ foo nyɛm nɛ ɗoŋ duk-wa nɛ duna ɗɔɔ yì, in o nɔ̧́í̧ lɛŋ nyɛm nɛ ɗoŋ duk-wa. Sɔ̧ zɔka mɔ‘i ɔ dee. 
GEN.1.22	Sɔ̧ toka de yoŋgo zu wa, a̧ tɔ̧a̧: «Ɛ̀nɛ̀ dɛ́m, ɛ̀nɛ̀ nyɛ́ɓí, ɛ̀nɛ̀ dún ɗɔɔ gba-tɔp in o nɔ̧́í̧ a̧ dɔ́k sɛn zu nù mbɛt!» 
GEN.1.23	Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ mɔɔrɔ ɔɔ-zɛ.
GEN.1.24	Sɔ̧ tɔ̧a̧: «Nù a̧ dɛm o mɔ nɛ ɔm ɔm nyɛm nɛ ɗoŋ duk-wa; o gasa saɗi in o be saɗi, o saɗi-zaŋbɛɛ nyɛm nɛ ɗoŋ duk-wa!» Ɓɛɛ mɔ de hegɔ. 
GEN.1.25	Sɔ̧ dee o saɗi-zaŋbɛɛ nyɛm nɛ ɗoŋ duk-wa, o mɔ-dai nyɛm nɛ ɗoŋ duk-wa, in o be saɗi zu nù lɛŋ nyɛm nɛ ɗoŋ duk-wa; ɓɛɛ Sɔ̧ zɔka o mɔɔ nɔ‘i ɔ dee.
GEN.1.26	Sɔ̧ tɔ̧a̧: «Ɛ̀ɛ̀ dé bíí hee ɛ́ɛ́ ga, nɛ hɔɔ ŋmaa in yɛɛ ɓɛɛ a̧ tɛ́ kpa ŋgai zu o zoro ɗɔɔ gba-tɔp, o nɔ̧́í̧, o gasa mɔ-dai, o saɗi-zaŋbɛɛ, in o be saɗi-gbur-zaŋ nɛ nù!»
GEN.1.27	Sɔ̧ dee bíí hɔ ŋmaa in a̧ sɛn tɛ gi̧ɔ̧-tɛ-a; a̧ dee bíí, a̧ dee wiwii in okoo.
