MAT.1.1	Koi kani'imari a susunganna puli ni Yesus Kristus, men lee' ni Daud ka' lee' ni Abraham.
MAT.1.2	Abraham tama ni Ishak, Ishak tama ni Yakub, Yakub tama ni Yehuda ka' utusna sambana, 
MAT.1.3	Yehuda tama ni Peres tii Zerah men i Tamar a sinana, Peres tama ni Hezron, Hezron tama ni Ram, 
MAT.1.4	Ram tama ni Aminadab, Aminadab tama ni Nahason, Nahason tama ni Salmon, 
MAT.1.5	Salmon tama ni Boas men i Rahab a sinana, Boas tama ni Obed men i Rut a sinana, Obed tama ni Isai, 
MAT.1.6	Isai tama ni Tomundo' Daud.
MAT.1.6	Daud tama ni Salomo. Sina ni Salomo iya'a boroki' ni Uria. 
MAT.1.7	Salomo tama ni Rehabeam, Rehabeam tama ni Abia, Abia tama ni Asa, 
MAT.1.8	Asa tama ni Yosafat, Yosafat tama ni Yoram, Yoram tama ni Uzia, 
MAT.1.9	Uzia tama ni Yotam, Yotam tama ni Ahas, Ahas tama ni Hizkia, 
MAT.1.10	Hizkia tama ni Manasye, Manasye tama ni Amon, Amon tama ni Yosia, 
MAT.1.11	Yosia tama ni Yekhonya ka' utusna sambana. Raaya'a tumuo' na tempo lipu' Israel ni'atori 
MAT.1.12	Noko daa lipu' Israel ni'atori na Babel, koi kani'imari a susunganna puli ni Yesus: Yekhonya tama ni Sealtiel, Sealtiel tama ni Zerubabel, 
MAT.1.13	Zerubabel tama ni Abihud, Abihud tama ni Elyakim, Elyakim tama ni Azor, 
MAT.1.14	Azor tama ni Zadok, Zadok tama ni Akhim, Akhim tama ni Eliud, 
MAT.1.15	Eliud tama ni Eleazar, Eleazar tama ni Matan, Matan tama ni Yakub, 
MAT.1.16	Yakub tama ni Yusuf, ka' i Yusuf langkai' ni Maria men nangamea'kon i Yesus men uga' ngaanon Kristus.
MAT.1.17	Mbaka' ringkat ni Abraham pataka ni Daud isian koi sompulo' paat sunsun lee'. Ka' ringkat ni Daud pataka na tempo lipu' Israel ni'atori na Babel uga' isian koi sompulo' paat sunsun lee'. Kasi ringkat na tempo lipu' Israel ni'atori na Babel pataka ni Kristus uga' isian koi sompulo' paat sunsun lee'.
MAT.1.18	Koi kani'imari a tundunan nongamea'an ni Yesus Kristus. Koo'po tia i Maria tii Yusuf men motondoloi iya'a nosuo', ni'inti'imo se' nampaiwawamo gause kuasana Alus Molinas.
MAT.1.19	Gause i Yusuf sa'angu' mian men sinampang minglimang men kana', mbaka' ia bude' mampapakamaa' i Maria na mian biai'. Ia mingkira' mansarak salan wuni-wuni bo pengerensai i Maria.
MAT.1.20	Pintanga' i Yusuf mompoo'inarutikon pingkira'na iya'a, notakamo a malaa'ikatna Tumpu na ipionna, ka' norobu taena, “Yusuf, lee' ni Daud! Alia i koo babata momosuo'i i Maria, gause anak men pimpaiwawakononna nosida tia kuasana Alus Molinas. 
MAT.1.21	Maria bo mangamea'kon sa'angu' anak moro'one. Anak iya'a tiodaa ngaanioon i Yesus, gause i Ia men bo pansalamatkon mian-Na na dosana.”
