MAT.1.1	Magtub ke ɔje dè girkà le Jésu-Krist ngonnkà David, ngonnkà Abraham, 
MAT.1.2	Abraham oje Isaac; Isaac oje Jacob, Jacob oje Juda se ngakonnge; 
MAT.1.3	Juda se neen’n Thamar oji Pérets se Zara; Pérets oje Esrom; Esrom oje Aram; 
MAT.1.4	Aram oje Aminadab; Aminadab oje Nasson; Nasson oje Salmon; 
MAT.1.5	Salmon oje Boaz se neen’n Rahab; Boaz se neen’n Ruth oji Obed; Obed oje Jessé, 
MAT.1.6	Jessé oje ngar David.
MAT.1.6	David oje Salomon se neen njèyo Uri; 
MAT.1.7	Salomon oje Roboam; Roboam oje Abiya; Abiya oje Asa; 
MAT.1.8	Asa oje Josaphat; Josaphat oje Yoram; Yoram oje Ozias; 
MAT.1.9	Ozias oje Yotham; Yotham oje Achaz; Achaz oje Ezékias; 
MAT.1.10	Ezékias oje Manassé; Manassé oje Amon; Amon oje Josias; 
MAT.1.11	Josias oje Yékonias se ngakonnge kêm ɓal ke d’uwe’n ngannkà Jacob ɓer d’aw’n se de kêm ɓeekon ke Babylone.
MAT.1.12	Loo ke d’uwe de ɓer d’aw se de Babylone ɓá ɓaa, Yékonias oje Salathiel; Salathiel oje Zorobabel; 
MAT.1.13	Zorobabel oje Abiyud; Abiyud oje Eliakim; Eliakim oje Azor; 
MAT.1.14	Azor oje Sadok; Sadok oje Achim; Achim oje Eliud; 
MAT.1.15	Eliud oje Eléazar; Eléazar oje Matthan; Matthan oje Jacob; 
MAT.1.16	Jacob oje Joseph; Joseph ngaw Marie ke njèkoje Jésu ke dé ɓar’n Krist.
MAT.1.17	Unn gir dè Abraham’t sár tee dè David’t nga, kutu dèkasenange malang è dɔg-gidé-sɔ. Unn gir dè David’t sár tee’n kêm ɓal ke d’uwe’n ngannkà Jacob ɓer nga, è kutu dèkasenange dɔg-gidé-sɔ. Unn gir kêm ɓal ke d’uwe’n ngannkà Jacob ɓer d’aw’n se de kêm ɓeekon ke Babylone sár tee’n dè Krist’t nga, è kutu dèkasenange dɔg-gidé-sɔ.
MAT.1.18	Koje Jésu-Krist nga è titeke bè. Kon’n Marie nga, è njènong le Joseph. Marie ndann ngonn se go tɔgmong le Ndil-Kêmnda kété ɓita dé se Joseph dé ger nan ke dinye se dingem ɓai. 
MAT.1.19	Joseph njènong le Marie nga, è doo ke njèra nyan se dè naje’n. E ndige le tel Marie ke kurkogo le dooge lé. E ɔje kêmn’t le mbate’n se go ngein. 
MAT.1.20	Nè loo ke Joseph ndi à gir tà dè nyan’t nè nga bè ɓai ɓaa, an! doo ke danran ke Kuwe-ɓee ule’n tee dènn’t pan ede’n tà se nin ede nè:
MAT.1.20	– Joseph, ngonn David, i ɓel le taa Marie ke neein lé, tede ngonn ke tò kêmn’t nga in ra Ndil-Kêmnda’t. 
MAT.1.21	Ngonn ke dingem ke a oje’n nga, i a kile ri’n nè Jésu. E kuwe á à ɔr kosdooge le’n dann kaiyage’t le de kaje de.
MAT.1.22	Nyange nè malang aw loon’t deĵ titeke Kuwe-ɓee ade njèribe-dè-tà ke tann’t tam’n ndàt kété ede nè:
MAT.1.23	«An! ngomande ke nal ger dingem ɓai a ndann ngonn,
MAT.1.23	a oje ngonn ke dingem,
MAT.1.23	d’a d’ile ri’n nè Emmanuel.»
MAT.1.23	Tel se tà koje jéi ɓaa, è «Nube nain se jéi».
MAT.1.24	Loo ke Joseph in gir ɓi’t ɓaa, è ra titeke doo ke danran ke Kuwe-ɓee ule’n unn’n ndu’n ade’n kété nga tɔ. E taa Marie ke neen’n. 
MAT.1.25	Nè Joseph tò se’n ke neen’n lé sár ade oje’n ngonn ke dingem ke ile ri’n nè Jésu.
MAT.2.1	Jésu nga, ndɔ ke d’oje’n kêm ɓee-bò ke Bethléhem ɓeekon ke le Juda. E kêm ɓal’n ke ngar Hérode ee’n njèkonɓee ɓeekon ke le Juda. An! baw-nyangerge in-in gugu loo tee’t le kàde, ei reei kêm ɓee-bò’t ke Jérusalem. 
MAT.2.2	Ei deji edi nè:
MAT.2.2	– Ké ngar le Juipge ke d’oje’n ngɔr nè nga è loo ke ra’t wa? Tede jè j’an kɔnyon le’n loo tee’t le kade gugu nú á jè ree le ɗɔi’n.
MAT.2.3	Loo ke ngar Hérode se dooge malang ke kêm ɓee-bò ke Jérusalem ooi tà nè nga titeke bè ɓaa, tà ige de sêl. 
MAT.2.4	E ɓar maw njékuje nyan-mesege se njéndang magtubge le kosdooge ɔse nja de nan’t deje de kade edii loo koje Krist. 
MAT.2.5	Dé tel d’ile’n dè’t d’ede nè:
MAT.2.5	– Krist nga d’oje’n kêm ɓee ke Bethléhem ɓeekon ke le Juda. Njèribe-dè-tà ke tà Nube’t karé ndang tà nè nga titeke bè kêm magtub’t kété ede nè:
MAT.2.6	«I Bethléhem, ɓeekon le Juda nga,
MAT.2.6	ɓee-bòge ke ɓeekon’t le Juda nga, d’a kur dèi ndan lé,
MAT.2.6	tede ngar ke njèkul kosdooge le’m ke ei Juipge nga à in rai’t.»
MAT.2.7	Hérode ade dé ɓar baw-nyangerge se go ngein deje de kade edii ndɔ tee le kɔnyon nè nga get-get. 
MAT.2.8	Go’t gugu è ule baw-nyangerge nè nga kêm ɓee ke Bethléhem ede nè:
MAT.2.8	– Awi i deji tà ke ɔje dè ngonn ke kide nè nga get-get ooi. Loo ke sei ingei ɓá ɓaa, i reei edi man kade man kuwe m’aw m’ɗɔi’n tɔ.
MAT.2.9	Loo ke d’oo tà le ngar Hérode bè ɓaa, d’ɔte d’aw. Nè kɔnyon ke kété d’an’n loo tee’t le kàde nga ɔr non de sár aw nda dè loo ke ngonn ke kide nè tò tutu. 
MAT.2.10	Loo ke baw-nyangerge an-in kɔnyon nè nga ɓaa, kêm de agenan kɔt-kɔt. 
MAT.2.11	Loo ke d’aw kêm kei d’an ngonn ke kide nè se kon’n Marie ɓaa, d’ɔse keje de nang non ngonn ke kide’t nè nga dé ɗɔi’n a tɔ. Go’t gugu, dé tee se nar-ɔr se nyan ke ete sununn titeke katchatcha a, se nyan karé ke ri’n nè myrrhe kêm sanduge le de d’uwe’n se’n noje. 
MAT.2.12	Nube ede de se nin le kade dé tel ree ra Hérode’t gugu lé. E á d’unn rebe ke rang dé tel d’aw ɓeekon’t le de.
MAT.2.13	Loo ke baw-nyangerge ɔti awi ɓá ɓaa, an! doo ke danran le Kuwe-ɓee tee hɔi ke ra Joseph’t se ni ede’n ede nè:
MAT.2.13	– Ɔse nang in, unn ngonn ke kide nè nga se kon’n an-in se de aw se de ɓeekon ke Egypte. I ndi tutu nú sár kade man kuwe m’edi ɓita i tel i ree ɓai tede Hérode sang le tɔl ngonn ke kide nè nga.
MAT.2.14	Joseph ɔse nang in ke loon’t nè, unn ngonn ke kide nè nga se kon’n an-in se de ndɔɔ aw se de kêm ɓeekon ke Egypte. 
MAT.2.15	E ndi tutu nú sár ade Hérode weii’n. Titeke bè á tà ke ndɔ ke kété Kuwe-ɓee ade njèribe-dè-tà ke tann’t tam ede nè: «M’ɓar ngonn’m kade unde loo tee kêm ɓeekon ke Egypte’t kɔke» aw’n loon’t deĵ.
