GEN.1.1	Ese agafare Anumzamo monane mopane trohu'ne. 
GEN.1.2	Ama mopama fore osu'nerera, mago zana omnetfa hu'neane. Hankino tusi'a hanimo tina refite'negeno ana timofo agofetura Anumzamofo Avamumo vono nehiane. 
GEN.1.3	Anante Anumzamo msa fore hino higeno, msa fore hu'ne! 
GEN.1.4	Anumzamo knare higeno keteno, msane hanine refko hu'ne. 
GEN.1.5	Anumzamo msagura zgegane huno agi'a nemino, kumzukura hanine huno agi'a ami'ne. Hanki hani huno ko'matigeno'a pusa kna (fes de) emente'ne.
GEN.1.6	Tinke me'negeno Anumzamo huno mago kankamu amu'nompi me'neno tina refko hanie hu'ne. 
GEN.1.7	Anumzamo tina refkohu fenka netreno hunagamu netreno higeno, kankamu efore hu'ne. 
GEN.1.8	Anumzamo ana kankmumofona agi'a mone huno ante'ne. Hanki, haninkino msa higeno, tare kna (dei tu) emente'ne.
GEN.1.9	Anante Anumzamo huno, timo'a monamofo hinkanaga mago kaziga erizogino evnigeno, ho'mu mopa fore hnie huno higeno, anaza efore hu'ne. 
GEN.1.10	Anumzamo hagagema hiankazigagura mopa nehuno, tima evazu huno omeri atruma hia tinkura, hagerine huno hu'ne. Anumzamo'ma anazama kegeno'a e'i knare hu'ne.
GEN.1.11	Anumzamo amanage huno hu'ne, mopafinti maka'za hagesie. Za'ara zane zafane rumofo rumofo rga'a revava hania zamo hagesie, rga'afina avima'a efore hanie! Hanigeno zafa rgama rente haniana e'i agu'afinka avima'amo'a agri'agna rga rentesie higeno, mopafina ana zantamimo'a efore hu'ne. 
GEN.1.12	Hanki mopamo'a ruzahu ruzahu trazana erifore hanigeno, ruzahu ruzahu ne'zampina avima'a mesie, avima'amo'a agragna rga fore hu'ne. Zafa rgama rentesiana e'i agu'afinka avima'amo'a agri'agna huno me'neno avima'a rentere hugahie. Hanki Anumzamo'ma kegeno'a knare hu'ne. 
GEN.1.13	Haninkino msa higeno tagufa kna (dei tri) emente'ne.
GEN.1.14	Anumzamo huno tavitamimo'a mona kankamumpi me'neno, msane haninema refko'ma nehuno, kfugi zgegi ko knagi hanigu mesie. 
GEN.1.15	Tavitamimo'a mona kankamumpi fore huno mopamofo remsa hanie higeno fore hu'ne. 
