MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
MAT.1.2	Abraham wing hi Ishak, hi Ishak wing hi Yakub, hi Yakub wing hi Yéhuda agu asé-ka’én, 
MAT.1.3	Yéhuda wing hi Pérés agu hi Zéra oné mai hi Tamar, hi Pérés wing hi Hézran, hi Hézran wing hi Ram, 
MAT.1.4	Ram wing hi Aminadab, hi Aminadab wing hi Nahason, hi Nahason wing hi Salmon, 
MAT.1.5	Salmon wing hi Boas, oné mai hi Rahab, hi Boas wing hi Obéd oné mai hi Rut, hi Obed wing hi Isai, 
MAT.1.6	Isai wing hi Raja Daud, hi Raja Daud wing hi Salomo oné mai wina di Uria, 
MAT.1.7	Salomo wing hi Réhabéam, hi Réhabéam wing hi Abia, hi Abia wing hi Asa, 
MAT.1.8	Asa wing hi Yosafat, Yosafat wing hi Yoram, Yoram wing hi Uzia 
MAT.1.9	Uzia wing hi Yotam, Yotam wing hi Ahas, Ahas wing hi Hizkia, 
MAT.1.10	Hizkia wing hi Manasé, Manasé wing hi Amon, Amon wing hi Yosia, 
MAT.1.11	Yosia wing hi Yékhonya agu sanggét asé-ka’én du oké nggereoné Babél, 
MAT.1.12	Du poli oké nggereoné Babél hi Yékhonya wing hi Séaltiél, Séaltiél wing hi Zérubabél, 
MAT.1.13	Zérubabél wing hi Abihud, Abihud wing hi Elyakim, Elyakim wing hi Azor, 
MAT.1.14	Azor wing hi Zadok, Zadok wing hi Akhim, Akhim wing hi Eliud 
MAT.1.15	Eliud wing hi Eléazar, Eléazar wing hi Matan, Matan wing hi Yakub, 
MAT.1.16	Yakub wing hi Yosép rona di Maria, ata loas Mori Yésus hitut caron hi Kristus.
MAT.1.17	Jari, sanggén taung manga campulu-pat empo pu’ung oné mai hi Abraham dengkir agu Raja Daud, campulu-pat empo pu’ung oné mai hi Raja Daud dengkir agu oké nggereoné Babél, agu campulu-pat empo pu’ung oné mai du oké nggereoné Babél dengkir agu oné hi Kristus.
MAT.1.18	Loasn Mori Yésus Kristus nenggo’oy: Du hi Maria Ended Mori Yésus, toé di naca agu hi Yosép, hi Maria polig na’ang wekin le kuasa de Nai Nggeluk, du toé di wina-ronas. 
MAT.1.19	Landing hi Yosép ronan, ata ngalis nai, toé ngoéng te pandé wau ngasang de winan oné ranga data do, hia get kudut seduk kaut te pandé céarn. 
MAT.1.20	Maik du rémé tenang tu-tu’ungn liha te pandé céarn, malékat de Mori Keraéng ita liha oné nipin, agu mai taén: “Yosép, anak Daud, néka rantang hau te emi hi Maria kudut jiri haé kilom, ai anak hitut lari dé’in le kuasa de Nai Nggeluk. 
MAT.1.21	Hia kudut loas anak ata rona, agu téing le hau ngasangn hi Yésus, ai Hia kudut sambé sanggét ro’éngn oné mai ndékokd.” 
MAT.1.22	Sanggéd situ kudut rapak reweng de Mori Keraéng ata poli caingd le nabi: 
MAT.1.23	“Ata tu’ungn, anak molas hitu kudut na’ang wekin, agu loas cengata anak ata rona, agu téing lisé ngasangn hi Émanuél.” (Ngong Mori Keraéng manga baling itéy.) 
MAT.1.24	Du to’o wa mai tokon, hi Yosép lorong ného apa ata baté pedé de malékat de Mori Keraéng agu hia. Itu kali emin liha hi Maria te jiri haé kilon, 
MAT.1.25	maik toé manga nekid dengkir agu loas anakn ata rona agu téing ngasangn li Yosép hi Yésus.
MAT.2.1	Du poli loasn Mori Yésus oné béo Bétléhém tana Yudéa, lété du perénta de raja Hérodés, mais ata majus awo mai par te nggersalé Yérusalém, 
MAT.2.2	nénét kéta réid, mai taéd: “Nia kéta péng Hia, raja data Yahudi hitut loas weru? Polig itan lami ntalan awo par, mai dami ho’o kudut suju Hiakm.” 
MAT.2.3	Dengé kaut tombo situ le raja Hérodés, géga hia agu sanggéd isét Yérusalém. 
MAT.2.4	Itus kali nekek taungs liha sanggéd imam kepala agu ata pecing Taurat data Yahudi, te réi agu isé, nia wan kudut loasn Mésias. 
MAT.2.5	Mai walé disé agu hia: “Oné Bétléhém tana Yudéa, ai nenggitu tulisn oné surak de nabi: 
MAT.2.6	Ngong hau Bétléhém, tana Yéhuda, toé kéta hau dé ata dai koén oné mai baling isé ata perénta Yéhuda, ai oné mai hau dé tuan cengata ata kudut caun landuk, te wintuk ro’éng Daku Israél.” 
MAT.2.7	Itu kali seduk kauts béntad li Hérodés ata majus situ agu kekét kétas liha réid, du nia kéta itan ntala hitu. 
MAT.2.8	Poli hitu, jeras liha ngo nggeroné Bétléhém, taén: “Ngom ga paka mbajik kéta kawén le méu anak hitu, agu émé gélang itan le méu Hia, keréba muing nggércé’é aku, kudut aku kolé néng, ngo suju Hiak.” 
MAT.2.9	Du polig dengén pedé de raja hitu, itus kali ngod ga. Agu itay néng ntala hiot ita disé awo par, dumuk manga koléy bebolo mai isé, agu da’ét be éta mai osang loasn Anak hitu. 
MAT.2.10	Du itan lisé ntala hitu, cembes kéta naid. 
MAT.2.11	Itus kali ocokd isé oné mbaru hitu, agu itag néng lisé Anak hitu, agu endén hi Maria, io agu suju néng lisé Hia. Og emi agu podo cecad oné Hia: emas, kemenyan agu mur. 
MAT.2.12	Landing woko polig toin oné nipi le Mori Keraéng kudut isé néka cénggo kolé oné hi Hérodés, itus kali lako salang bana kolé tanad.
MAT.2.13	Du koléd ata majus situ ga, ita li Yosép oné nipi, malékat de Mori Keraéng, mai taén: “To’o ga, dadé Anak hitu agu endén, losi nggeroné Mesir, agu ka’éng nitum dengkir manga kolé reweng’g Aku agu hau, ai hi Hérodés kudut mbelé Anak hitu.” 
MAT.2.14	Itug kali to’on hi Yosép ga, dadén Anak hitu agu endén, wié hitu kin nggeroné Mesir, 
MAT.2.15	agu ka’éng nitud dengkir matan hi Hérodés. Sanggéd taung situ kudut rapak reweng de Mori Keraéng ata poli caing le nabi: “Oné mai Mesir Aku bénta AnakG.”
MAT.2.16	Woko pecing li Hérodés adong hias ata majus situ, rabo tu’ung hia. Mai hia jera mbelé taungs anak koé oné Bétléhém agu baling main tana hitu ata uwa sua ntaung nggerewa, lut ntaung baté tombo disét majus situ. 
MAT.2.17	Le hitu, rapaks ga reweng de Mori Keraéng ata poli caing agu nabi Yérémia: 
MAT.2.18	“Dengég aor rétang oné mai Rama, lorang agu jéjéng te pandé wéong nai; hi Rahél rétang tenang sanggéd anakn, agu hia toé gorin te lémbuy, ai isé toég manga kolés.”
MAT.2.19	Du polig matan hi Hérodés, ita li Yosép malékat de Mori Keraéng oné nipin lau Mesir, mai taén: 
