GEN.1.1	Ne waro Õꞌacʉ̃ ʉꞌmʉse, tojo nicã diꞌtare bajurẽcʉ niwĩ. 
GEN.1.2	Titare diꞌta ne bajuticaro niwʉ̃. Tojo weero ne apeyenojõ marĩcaro niwʉ̃. Aco diaꞌcʉ̃ nipeꞌtiropʉ nicaro niwʉ̃. Tojo nicã naꞌitĩꞌarõ nicaro niwʉ̃. Espíritu Santu aco buꞌipʉ wʉʉcusiacʉ niwĩ.
GEN.1.3	Õꞌacʉ̃ tere ĩꞌagʉ̃, aꞌtiro nicʉ niwĩ: “Boꞌreyuse niato”, nicʉ niwĩ. Cʉ̃ tojo nicãta, boꞌreyua waꞌacaro niwʉ̃. 
GEN.1.4	Te boꞌreyuse añuse nicã ĩꞌagʉ̃, “Añuꞌu”, nicʉ niwĩ. To beꞌro boꞌreyusere dʉcawaacʉ niwĩ. 
GEN.1.5	Tere dʉcawaagʉ, aꞌtiro wãmeyecʉ niwĩ. Boꞌreyusere “ʉmʉco”, naꞌitĩꞌasere “ñami” wãmeyecʉ niwĩ. Cʉ̃ tojo níca beꞌro ʉmʉco, ñami nʉꞌcãcaro niwʉ̃. Ticʉseta weecʉ niwĩ Õꞌacʉ̃ ne nʉꞌcãrĩ nʉmʉrẽ.
GEN.1.6	Tere wééca beꞌro ape nʉmʉ peꞌe, te acore ĩꞌagʉ̃, Õꞌacʉ̃ aꞌtiro nicʉ niwĩ: “Acore dʉcawaaroʉaꞌa. Apeye ʉꞌmʉsepʉ, apeye nucũcãpʉ tojato”, nicʉ niwĩ. 
GEN.1.7	Cʉ̃ níꞌcaronojõta acore dʉcawaacʉ niwĩ. Apeye ʉꞌmʉsepʉ, apeye nucũcãpʉ tojacaro niwʉ̃. 
GEN.1.8	Ʉꞌmʉarõpʉ oꞌmecurari nirõpʉre “ʉꞌmʉse” wãmeyecʉ niwĩ. Aꞌtere weecʉ niwĩ Õꞌacʉ̃, niꞌcã nʉmʉ beꞌro cja nʉmʉrẽ.
GEN.1.9	Ape nʉmʉrẽ Õꞌacʉ̃ “Diꞌta boposãjã bajuato nígʉ̃, aco ʉꞌmʉse docapʉ nise niꞌcãrõpʉta nerẽato”, nicʉ niwĩ. Cʉ̃ níꞌcaronojõta waꞌacaro niwʉ̃. 
GEN.1.10	Te boposãjãꞌquere ĩꞌagʉ̃, “diꞌta” wãmeyecʉ niwĩ. Aco niꞌcãrõ meꞌrã nerẽꞌquere “dia pajiri maajo” wãmeyecʉ niwĩ. Õꞌacʉ̃ te cʉ̃ weeꞌquere ĩꞌagʉ̃, “Añuꞌu”, nicʉ niwĩ. 
GEN.1.11	Te nipeꞌtise añurõ bajucã ĩꞌagʉ̃, “Diꞌtapʉre noꞌo nise pĩꞌrĩato. Noꞌo nipeꞌtise otese cape oꞌosenojõ, tojo nicã yucʉpagʉ nipeꞌtise dʉcatise cape oꞌosenojõ pĩꞌrĩato. Tojo weero te dʉcata pĩꞌrĩturiarosaꞌa”, nicʉ niwĩ Õꞌacʉ̃. Cʉ̃ tojo níꞌcaronojõta waꞌacaro niwʉ̃. 
