MAT.1.1	Dabíii, Aavaráaa, íjcyámútsiúvúj tsɨɨménémúhaabéhjáa Jetsocríjtó íjcyáábé ɨhdé múnáaúvú ílluúme:
MAT.1.2	Diibyéhjáa Aavaráá tsɨ́ɨ́mavá Itsáake. Aabéhjáa Itsáá tsɨ́ɨ́mavá Jacóóboke. Aabéhjáa Jacóóbó tsɨ́ɨ́mavá Jodáake tsíjtyehjɨ íñahbémuma. 
MAT.1.3	Aabéhjáa Jodáá tsɨ́ɨ́mavá Tamáadívú Pááreé, Tsááraá, íjcyámútsikye. Aabéhjáa Pááre tsɨ́ɨ́mavá Ejróoke. Aabéhjáa Ejróó tsɨ́ɨ́mavá Aráake. 
MAT.1.4	Aabéhjáa Aráá tsɨ́ɨ́mavá Aminadáake. Aabéhjáa Aminadáá tsɨ́ɨ́mavá Naatsóoke. Aabéhjáa Naatsóó tsɨ́ɨ́mavá Tsamóoke. 
MAT.1.5	Aabéhjáa Tsamóó tsɨ́ɨ́mavá Bóóke Raáadívu. Aabéhjáa Bóo tsɨ́ɨ́mavá Obéeke Róótídivu. Aabéhjáa Obéé tsɨ́ɨ́mavá Itsaíikye. 
MAT.1.6	Aabéhjáa Itsaíí tsɨ́ɨ́mavá ávyéjuube Dabíikye. Aabéhjáa Dabíí tsɨ́ɨ́mavá Tsaromóoke Oríá táábadívu.
MAT.1.7	Aabéhjáa Tsaromóó tsɨ́ɨ́mavá Roboáake. Aabéhjáa Roboáá tsɨ́ɨ́mavá Abíake. Aabéhjáa Abíá tsɨ́ɨ́mavá Áátsákeé. 
MAT.1.8	Aabéhjáa Áátsa tsɨ́ɨ́mavá Jotsapáake. Aabéhjáa Jotsapáá tsɨ́ɨ́mavá Joráake. Aabéhjáa Joráá tsɨ́ɨ́mavá Otsíake. 
MAT.1.9	Aabéhjáa Otsíá tsɨ́ɨ́mavá Joatáake. Aabéhjáa Joatáá tsɨ́ɨ́mavá Acáake. Aabéhjáa Acáá tsɨ́ɨ́mavá Etsekíake. 
MAT.1.10	Aabéhjáa Etsekíá tsɨ́ɨ́mavá Manatséeke. Aabéhjáa Manatséé tsɨ́ɨ́mavá Amóoke. Aabéhjáa Amóó tsɨ́ɨ́mavá Jotsíake. 
MAT.1.11	Aabéhjáa Jotsíá tsɨ́ɨ́mavá Jeconíake tsíjtyehjɨ íñahbémuma. Téijyúhjáa Babiróónía múnáá hójtsɨri méɨhdéejte ijraéému.
MAT.1.12	Aaméhjáa diityé hójtsɨ́ pañétú íjchívyéné boone Jeconíá tsɨ́ɨ́mavá Tsaratiéeke. Aabéhjáa Tsaratiéé tsɨ́ɨ́mavá Tsorobabéeke. 
MAT.1.13	Aabéhjáa Tsorobabéé tsɨ́ɨ́mavá Abióoke. Aabéhjáa Abióó tsɨ́ɨ́mavá Eriakíikye. Aabéhjáa Eriakíí tsɨ́ɨ́mavá Atsóoke. 
MAT.1.14	Aabéhjáa Atsóó tsɨ́ɨ́mavá Tsadóoke. Aabéhjáa Tsadóó tsɨ́ɨ́mavá Akíikye. Aabéhjáa Akíí tsɨ́ɨ́mavá Erióoke. 
MAT.1.15	Aabéhjáa Erióó tsɨ́ɨ́mavá Ereatsáake. Aabéhjáa Ereatsáá tsɨ́ɨ́mavá Matáake. Aabéhjáa Matáá tsɨ́ɨ́mavá Jacóóboke. 
