MAT.1.1	Jisu Krista rui ryzâm dân chu: David sapâ, Abraham sapâ kyntâ: 
MAT.1.2	Abraham sapâ Isaak, Isaak sapâ Jakob, Jakob sapâ chu Juda le a parol ngyi; 
MAT.1.3	Tamar le tâ Juda nâu ngyi chu Perez le Zera yng chang; Perez sapâ Herzon, Herzon sapâ Ram, 
MAT.1.4	Ram sapâ Aminadab; Aminadab sapâ Nason, Nason sapâ Salmon, 
MAT.1.5	Rahab le tâ Salmon sapâ chu Boaz; Ruth le tâ Boaz sapâ chu Obed, Obed sapâ Jesai, 
MAT.1.6	Jesai sapâ mylal David, khanung, Uria nupui le David sapâ Solomon, 
MAT.1.7	Solomon sapâ Rehoboam, Rehoboam sapâ Abija, Abija sapâ Asa, 
MAT.1.8	Asa sapâ Jehosaphat, Jehosaphat sapâ Joram, Joram sapâ Uzia, 
MAT.1.9	Uzia sapâ Jotham, Jotham sapâ Ahaz, Ahaz sapâ Hezekia, 
MAT.1.10	Hezekia sapâ Manose, Manose sapâ Amon, Amon sapâ Josia, 
MAT.1.11	Babulon rama sokro yng senâ rang kyn Jekonia le a nâupâ ngyi rang yng nâ nyi.
MAT.1.12	Babulona sokro yng nyng roi zounin tâ Jekonia sapâ Saltiel, Saltiel sapâ Zerubabel, 
MAT.1.13	Zerubabel sapâ Abiud, Abiud sapâ Eliakim, Eliakim sapâ Azor, 
MAT.1.14	Azor sapâ Zadok, Zadok sapâ Akim, Akim sapâ Eliud. 
MAT.1.15	Eliud sapâ Eleazar, Eleazar sapâ Mathan, Mathan sapâ Jakob, 
MAT.1.16	Jakob sapâ Joseph, Mari lompu, hâ Mari sung kân Jisu Krista yng ti chu a zir ta. 
MAT.1.17	Hikhanin Abraham atâ David tenka arui pheng kân yng chang chu sawm lyi milika, David atâ Babulona sokro rangnin yng nyng roi tenka, rui sawm lyi milika yng chang, Babulona sokro rangnin yng nyng roi kyntâ Krista zyrâ rui sawm lyi milika yng chang.
MAT.1.18	Jisu Krista zir dân chu hikhanin â chang: A nu Mari chu Joseph le yng nyng u zounin, munkân yng in mân a, Rythâ Rythyng le tou phung â nyi tinin yng hoi ta. 
MAT.1.19	Hanung a lompu ro Joseph chu mi tha tak â chang a, hamâsik chyukân ma rang a rawthawk ta. 
MAT.1.20	Imyitinung, hâ retep chu a ryvak lâizing kyn, en raw, a rymang tyng ryvânpilâi a kyn a hawng rylang a, “Joseph, David sapâ, ny nupui Mari rang la rang tâsik chi ma raw; asik chu a phungnyi ha Rythâ Rythyng le tâ tou â chang. 
MAT.1.21	Sapâ nyi at tia; a riming chu Jisu pe raw; asik chu atak chu a mi ngyi rang yng thamaknâ kyntâ yng na mawzawk at;” tinin a ril. 
MAT.1.22	Pumâ kyntâ Pilâi mur kân ai ti sai ngyi chu pheng a hawng tung zou ta; 
MAT.1.23	“En raw, nupang rythyng luka chu phung nyi at a, sapâ nyi at, Emmanuel tinin a riming chu pe iyng,” (Emmanuel chu Pathyn yi bylap â awm tinâ â chang). 
MAT.1.24	Joseph ai in kyntâ â thou a, Pumâ Pathyn pilâi a kyn chawng ai pêk kân â thou a; a nupui rang chu a lâk a; 
MAT.1.25	imyitinung, nâu a nyi mak tenka chu inpui mak a; hanung a riming chu Jisu a pêk tâk.
MAT.2.1	Herod mylal a chang lâi, Juda rama Bethlehem kho kyn Jisu a zir kale nung en raw, sak tyngtâ mising ngyi Jerusalem kho kyn yng hawng a, 
