MAT.1.1	Iyan haini mga gin-apuan hi Cristo Jesus. Si Jesus kaliwat hi David sa kaliwat daan hi Abraham.
MAT.1.2	Si Abraham amay hi Isaac. Si Isaac amay hi Jacob. Si Jacob amay hi Juda daw hu mga suled din. 
MAT.1.3	Si Juda amay hi Fares daw hi Zara ha iyan inay dan si Tamar. Si Fares amay hi Esrom. Si Esrom amay hi Aram. 
MAT.1.4	Si Aram amay hi Aminadab. Si Aminadab amay hi Naason. Si Naason amay hi Salmon. 
MAT.1.5	Si Salmon amay hi Boaz daw sa inay hi Boaz iyan si Rahab. Si Boaz amay hi Obed daw sa inay hi Obed iyan si Ruth. Si Obed amay hi Jesse. 
MAT.1.6	Si Jesse amay hi Harì David.
MAT.1.6	Si David amay hi Solomon daw sa inay hi Solomon iyan sa asawa su anay hi Urias. 
MAT.1.7	Si Solomon amay hi Roboam. Si Roboam amay hi Abias. Si Abias amay hi Asa. 
MAT.1.8	Si Asa amay hi Josafat. Si Josafat amay hi Joram. Si Joram amay hi Usias. 
MAT.1.9	Si Usias amay hi Jotam. Si Jotam amay hi Acaz. Si Acaz amay hi Esekias. 
MAT.1.10	Si Esekias amay hi Manases. Si Manases amay hi Amon. Si Amon amay hi Josias. 
MAT.1.11	Si Josias amay hi Jeconias daw hu mga suled din ha maama. Duun taena ha panahun inuwit sa mga kaliwatan hi Israel payanaen diyà ta Babilonia.
MAT.1.12	Su diyà en sidan ta Babilonia namatà pa gayed sidan. Si Jeconias amay hi Salatiel. Si Salatiel amay hi Zorobabel. 
MAT.1.13	Si Zorobabel amay hi Abiud. Si Abiud amay hi Eliakim. Si Eliakim amay hi Asor. 
MAT.1.14	Si Asor amay hi Sadoc. Si Sadoc amay hi Akim. Si Akim amay hi Eliud. 
MAT.1.15	Si Eliud amay hi Eleasar. Si Eleasar amay hi Matan. Si Matan amay hi Jacob. 
MAT.1.16	Si Jacob amay hi Jose ha iyan asawa hi Maria ha inay hi Jesus. Si Jesus iyan tagngaranan ki Cristo.
MAT.1.17	Sampulù daw haepat ha kaliwatan sugud diyà ki Abraham payanaen en diyà ki David. Sugud daan diyà ki David payanaen hu pag-uwit kandan diyà ta Babilonia sampulù daan daw haepat ha kaliwatan. Sugud taena payanaen hu kabataa ki Cristo Jesus sampulù pa daan daw haepat ha kaliwatan.
MAT.1.18	Iyan haini tultulanen mahitenged hu kabataa ki Cristo Jesus. Sa inay din ha si Maria su makagunan en ki Jose na su hurà pa sidan makag-asawa agkabedes en haena pinaagi hu Balaan ha Ispiritu. 
MAT.1.19	Tumenged ta matareng ha etaw si Jose daw harì din agkabayaan ha magayhaan si Maria nahenhenaan din ha magsuwayà sidan ha harì matun-an hu mga etaw.
MAT.1.20	Ba su taghenhenaayen hi Jose haena huminiwal diyà ta kandin sa balinsuguen hu Dios pinaagi hu damugu ha tagyanaen, “Jose sa kaliwat hi David, harì ka tagduwa-duwa hu pagpangasawa ki Maria ta sa igkabedes din pinaagi dà hu Balaan ha Ispiritu. 
MAT.1.21	Saena ku ibatà asem maama gayed daw sa ingaran nu duun iyan si Jesus ta sa mga etaw ha agsunud kandin aglibriyen din duun hu mga salà dan.”
MAT.1.22	Nahitabù haena ta daw matuman sa lalang hu Dios pinaagi hu prupita ha tagyanaen, 
MAT.1.23	“Amin asem mabedes ha laga ha sa batà din maama daw sa ingaran duun Emanuel” ha sa kahulugan taena, “Uminamul en kanuy sa Dios.”
MAT.1.24	Su mapukaw si Jose binuhat din sa inikagi taena ha balinsuguen hu Dios. Inasawa din si Maria 
MAT.1.25	ba hurà gayed bul-ug mag-ubay duun ku asawa din su hurà pa haena magbatà. Su mauma sa panahun ha magbatà en si Maria su batà pigngaranan dayun hi Jose ki Jesus.
MAT.2.1	Si Jesus diyà imbatà ta Bethlehem ha sakup ta Judea su panahun ha iyan pa harì diyà si Herodes. Hurà tungkay kalugay nakauma diyà ta Jerusalem sa mga etaw ha mga matatau ha napuun diyà ta sinibwalan. 
MAT.2.2	Nanginginsà sidan, “Hindu haena imbatà sa Harì hu mga Judio? Ta naahà day sa bituen diyà ta sinibwalan ha iyan timaan hu kabataa kandin aman duminini kay hu pagsimba kandin.”
MAT.2.3	Su mapaliman haena hi Harì Herodes daw hu mga taga-Jerusalem tungkay gayed sidan nasamuk. 
MAT.2.4	Aman inamul din dayun sa mga labaw ha sinaligan hu paghalad daw sa mga manunudlù hu Kasuguan daw insai sidan ku hindu igbatà sa Misiyas. 
MAT.2.5	Tuminubag sidan, “Diyà ta Bethlehem ha sakup ta Judea ta iyan haini insulat hu prupita ha tagyanaen,
MAT.2.6	‘Sinyu sa mga taga-Bethlehem ha sakup ta Judea, mabantug gayed sa banuwa nuy labaw hu alan ha mga banuwa diyan, ta sa magharì hu mga etaw ku ha mga kaliwatan hi Israel diyan ta inyu agkapuun.’”
MAT.2.7	Dayun su mga matatau ha mga etaw pinaelegan hi Harì Herodes daw su iyan dà sidan ininsaan din ku kan-u dan naahà su bituen. 
