GEN.1.1	Pakuyamba Mulungu adalenga dzulu napantsi. 
GEN.1.2	Dziko likhanati lawumbiwa bwino-bwino, likhalibe chinthu. N'dima ukhadagwanila maboo, n'zimu wa Mulungu ukhafamba-famba padzulu pamadzi. 
GEN.1.3	Mulungu adati, “Ngapakhale nakuwinika!” Kuwinika kudakhalapo. 
GEN.1.4	Mulungu adawona kuti kuwinika n'kwabwino. Adapatula kuwinika nan'dima. 
GEN.1.5	Kuwinika, Mulungu adakuchemela kuti, “Masikati” N'dima nkuwuti “Usiku.” Usiku udapita machibese nkubwela, imweyi idawa ntsiku yakuyamba.
GEN.1.6	Mulungu adati, “Ngapakhale nachinthu chipatule madzi.”
GEN.1.7	Mulungu adakonza chinthu, chakulekanisa madzi yapantsi namadzi yakudzulu. 
GEN.1.8	Mulungu adachemela mbuto yapakatiyo kuti “Dzulu.” Usiku udapita machibese nkubwela, imweyi idawa ntsiku yachiwili.
GEN.1.9	Tsapano Mulungu adati, “Madzi yali pantsi padzulu ngayakochezane pambuto ibodzi, kuti pantsi pakuwuma pawoneke.” Bzidachita tenepo. 
GEN.1.10	Mbuto yakuwumayo Mulungu adayipasa dzina lakuti “Dziko.” Madzi yadakochezana pabodzi adayachemela kuti “Nyanja.” Pamwepo Mulungu adawona kuti bzikhali bwino. 
GEN.1.11	Mulungu adati, “Padziko lapantsi ngapamele bzakumela bzakusiyana-siyana, bzakumela bzin'chita mbewu nabzakumela bzim'bala michelo, bzentse kuteyeza mishowo yabzene.” Bzidachitika tenepo. 
GEN.1.12	Padziko lapantsi padamela bzakumela bzakusiyana-siyana, bzim'bala michelo nabzakumela bzin'chita mbewu, bzentse kuteyeza mishowo yabzene. Pamwepo Mulungu adawona kuti bzikhali bwino. 
GEN.1.13	Usiku udapita machibese nkubwela, imweyi idawa ntsiku yachitatu.
GEN.1.14	Mulungu adati, “Dzulu ngalikhale nachakuwinika kuti pawe nawusiku namasikati, pakhale nachilatizo chakuwonesa nyengo nantsiku nagole, 
GEN.1.15	kuwinika kwadzululo kuwinikile pantsi.” Bzidachitika tenepo. 
GEN.1.16	Mulungu adazakonza bzakuwinika bzikulu bziwili, chikulu chikhawinika masikati, ching'ono chikhawinika usiku, adakonza pomwe nyenyezi. 
GEN.1.17	Mulungu adabziyikha mudzulu kuti bzimbawinika pantsi, 
GEN.1.18	bzichitonga usiku namasikati, bzichipatula kuwinika nan'dima. Pamwepo Mulungu adawona kuti bzikhali bwino. 
GEN.1.19	Usiku udapita machibese nkubwela, imweyi idawa ntsiku yachinayi.
GEN.1.20	Mulungu adati, “M'madzi ngamukhale bzakulengewa bzamoyo, n'dzulu mumbuluke mbalami.” 
