MAT.1.1	Ísu Káráísitini akúníꞌo uráan-aai. Ísun-aíwáꞌná Téfítin-iye. Téfítin-aíwáꞌná Émbaramun-iye.
MAT.1.2	Émbaramu Áísáakimba maꞌankówana
MAT.1.2	Áísáaki Yékopumba maꞌankówana
MAT.1.2	Yékopu Yúndaa-iyai afarawainonda matinkówana
MAT.1.3	Yúndaa Pérésinte Sáraante matínkaraimba
MAT.1.3	tinówa Témaan-iye.
MAT.1.3	Pérési Éséronimba maꞌankówana
MAT.1.3	Éséroni Árámumba maꞌankówana
MAT.1.4	Árámu Ámínándapumba maꞌankówana
MAT.1.4	Ámínándapu Násonimba maꞌankówana
MAT.1.4	Násoni Sáómonimba maꞌankówana
MAT.1.5	Sáómoni Póásimba maꞌánkaraimba
MAT.1.5	anówa Réꞌapimaniye.
MAT.1.5	Póási Ópétimba maꞌánkaraimba
MAT.1.5	anówa Rútimaniye.
MAT.1.5	Ópéti Yésimba maꞌankówana
MAT.1.6	Yési Téfítimba maꞌankówana
MAT.1.6	Téfítimo káráwiyaiwai Soromonimbá
MAT.1.6	maꞌánkaraimba anówani aifaráán-kwánkón-áwíꞌa
MAT.1.6	Yúráya úwana ánaaen-kwamba Téfítin-iye.
MAT.1.7	Soromoní Ríyapoamumba maꞌankówana
MAT.1.7	Ríyapoamu Ápáísaamba maꞌankówana
MAT.1.7	Ápáísaa Ésaamba maꞌankówana
MAT.1.8	Ésaa Yíósafatimba maꞌankówana
MAT.1.8	Yíósafati Yórámumba maꞌankówana
MAT.1.8	Yórámu Ásáyaamba maꞌankówana
MAT.1.9	Ásáyaa Yótámumba maꞌankówana
MAT.1.9	Yótámu Éꞌásaamba maꞌankówana
MAT.1.9	Éꞌásaa Ésékayaamba maꞌankówana
MAT.1.10	Ésékayaa Mánásaamba maꞌankówana
MAT.1.10	Mánásaa Émósimba maꞌankówana
MAT.1.10	Émósi Yósáyaamba maꞌankówana
MAT.1.11	Yósáyaa Yékónaya-iyai afarawainonda matinkówasa
MAT.1.11	minkánááfímbá Pépíróni-naopakewi Ísareri-waasi tatíꞌmaesa Pépírónifaꞌa ándáfaꞌa mátínkaraawe.
MAT.1.12	Pépírónifaꞌa mátinkon-kanaafimba
MAT.1.12	Yékónaya Síátiomba maꞌankówana
MAT.1.12	Síátio Sérápáperimba maꞌankówana
MAT.1.13	Sérápáperi Ápáyatimba maꞌankówana
MAT.1.13	Ápáyati Éráyakimumba maꞌankówana
MAT.1.13	Éráyakimu Ésomba maꞌankówana
MAT.1.14	Éso Sétókomba maꞌankówana
MAT.1.14	Sétóko Ékímumba maꞌankówana
MAT.1.14	Ékímu Éráyatimba maꞌankówana
MAT.1.15	Éráyati Éríesaamba maꞌankówana
MAT.1.15	Éríesaa Mátánaamba maꞌankówana
MAT.1.15	Mátánaa Yékopumba maꞌankówana
MAT.1.16	Yékopu Yósepimba maꞌankówana
MAT.1.16	Yósepi Máríyaan-awaaikó úwana Máríyaa
MAT.1.16	Ísun-anówan-iye. Ísuntafesa Maníkó íyáfasinankaraiwaiye sésa Káráísitiye wésewe.
MAT.1.17	Émbaramumo méronkaꞌa sísamaifakemba éíyaimba kumbaimái-waasi 14 waasi agaiyówasa Téfítimo paápé urénamo méronkaꞌa sísamaifakemba éíyaimba kumbaimái-waasi 14 waasi agaiyówasa Pépírónifakewi tatíꞌmaesa Pépírónifaꞌa ándáfaꞌa mátínkarowasa méron-kanaafimba sísamaifakemba éíyaimba kumbaimái-waasi 14 waasi agaiyówana minkáꞌá Máríyaa Ísu Káráísitimba maꞌánkaraiye.
MAT.1.18	Ísu Káráísitimba maꞌankómba maará uráiye. Ísun-anówamba Yósepinkaꞌa aaí símakowana Yósepi ímba weséꞌa kurónkaꞌa ámúꞌa paápé uráiye. Ufaen-ámútánkó Máríyaan-arumpi túwana ámúꞌa paápé úwana 
MAT.1.19	awaaikó kaweꞌá wéuwai séna waási túrankaꞌa aiꞌmáráanana Máríyaa aigaesáféna
MAT.1.19	ifáímpóꞌa aúpáꞌá aiꞌmátuwanaumne-imayaa uráiye.
MAT.1.20	Miyá imáyáa wéena aún-kwérowana Fasiꞌaénkó kísau-waasigo wíyómpakewi kaainampáꞌá simámena séna Yósepiyo Téfítin-andafaken-kwaasi óne. Máríyaamo ámúꞌo káúfímba Ufaen-ámútánkó aantemba ámúꞌa kauwánkáímba po wembá úwoi máínompo ímba ááꞌa íno. 
MAT.1.21	Iyámpóímo maꞌankáínda áwíꞌa Ísuwe simánkaao siyáiye. Mináwíkóní áwáuma wení waási sáwí-imayaagomo taꞌótokaimpinkemba faútinkainiye siyáiye.
MAT.1.22	Naaófáꞌá Maníkón-aaimo simátímakowi siyónkaꞌa póna miyán-tántááꞌá paápé uráiye. 
MAT.1.23	Wemá agaimaréna séna
MAT.1.23	moórá-inaamarugo waaí ímba maiyéna ámúꞌa
MAT.1.23	kaumái iyámpói maꞌankáínasa miníyámpóígón-
MAT.1.23	áwíꞌa Émániyueriye sénááwe
MAT.1.23	agaimaréna siyáimba mináwíkóní áwáuma Maníkó keséta méraiye siyáiye.
MAT.1.24	Yósepi aúfínkémbá íyáfasinena Fasiꞌaénkóní kísau-waasigo wíyómpakewi siyóntemba awaainínkómbá maiyéna 
MAT.1.25	ímba weséꞌa kúmba úwoi ména káráwiyowana iyámpói maꞌankówana áwíꞌa Ísuwe simánkaraiye.
MAT.2.1	Yúndiyaa-marafaken-kawaagon-awiꞌa Éroti méron-kanaafimba Pétaremu-naopaꞌa Máríyaa Ísumba maꞌánkarowasa némpakemba aafáúmó íyáúsupaken-kwaasi kaweꞌ-ímáyááwáráꞌ-wáásí témesa Yérúsaremu-naopaꞌa tésa 
MAT.2.2	sésa Yúndaa-waasiyaꞌa káráwiyiniye sénamo maꞌánkáín-iyampoi nááfara ánkaraao. Aafáúmó íyáúsipaꞌa méta awánáúndasa moórá-oꞌa paápé isatá awánéta séta iyámpói maꞌánkaraimba póta awánéta wenáwíꞌa mósá maránae séta témeta túne siyáawe.
MAT.2.3	Suwaná marará-káwáágó Éroti minááí isówana arunkó sáwíꞌa úwasa Yérúsaremu-naopakewiwaraꞌa ísówana tirunkó sáwíꞌa úwana 
