PSA.1.1	Bannit ta’n dooinney shen ta chea
PSA.1.1	Veih olk dy chooilley raad;
PSA.1.1	Nagh vel lurg coyrle mee-chrauee shooyl,
PSA.1.1	Ny soie ayns stoyl ny craid.
PSA.1.2	Agh mooarane taitnys t’eh dy ghoaill
PSA.1.2	Ayns ynrick leigh e Yee;
PSA.1.2	T’eh jannoo ’churrym jeh ’sy laa
PSA.1.2	As smooinaght er ’syn oie.
PSA.1.3	T’eh goll-rish billey soit rish awin,
PSA.1.3	Ta bishaghey as gaase;
PSA.1.3	Skeayley ’vanglaneyn trome lesh mess,
PSA.1.3	E ghuilley kinjagh glass.
PSA.1.4	Agh vouesyn ta mee-arryssagh
PSA.1.4	Ta’n vaynrys vooar shoh freilt;
PSA.1.4	T’ad goll-rish coau sheebit lesh geay
PSA.1.4	Er feï-ny-cruinney skeaylt.
PSA.1.5	Ayns briwnys kiart ta faagit mooie
PSA.1.5	Ny kimmee kyndagh treih;
PSA.1.5	T’ad eeb'rit magh veih nooghyn Yee,
PSA.1.5	As sheshaght crauee sleih.
PSA.1.6	Son Jee ta moylley raad e noo
PSA.1.6	As leagh mooar ver eh da;
PSA.1.6	Agh eh ta geiyrt da raaidyn camm
PSA.1.6	Ta cherraghtyn dy bra.
PSA.4.1	O Yee, my vriw, m’er chosnee cair,
PSA.4.1	Jean myghin orrym, Hiarn,
PSA.4.1	Veih seaghyn hug oo dou livrey,
PSA.4.1	As ta mee foast er-mayrn.
PSA.4.2	Varvaanee hreih! O caid nee shiu
PSA.4.2	Mysh m’ennym ooasle craid?
PSA.4.2	Caid eiyrys shiu da eer fardail,
PSA.4.2	Da scammyltyn, O caid?
PSA.4.3	Toig-jee dy vel yn dooinney mie
PSA.4.3	Goit stiagh myr reih ec Jee;
PSA.4.3	T’eh geaishtagh rish my phadjeryn
PSA.4.3	Tra ta mee huggey guee.
PSA.4.4	Lesh aggle crauee jean-jee chea
PSA.4.4	Veih eiyrtys peccah trome;
PSA.4.4	Smooinaghtyn mie gow shiu nyn gree,
PSA.4.4	Gys Jee dy injil croym.
PSA.4.5	Yn oural cooie dy ynrickys
PSA.4.5	Jean-jee y hebbal da;
PSA.4.5	Ayns jeerid jeeagh-jee gys y Chiarn,
PSA.4.5	As treisht-jee ayn dy bra.
PSA.4.6	Mooaralee er cooid heihltagh soit
PSA.4.6	Ta kinjagh geearree pooar;
PSA.4.6	Agh lhig da aalid dt’eddin, Yee,
PSA.4.6	Orryms soilshean ayns gloyr.
PSA.4.7	My chree myr shen feer ghennal vees,
PSA.4.7	Roie harrish lane dy vree;
PSA.4.7	Son cha nee feeyn ny arroo lesh,
PSA.4.7	Ver kuïnid cair ’sy chree.
PSA.4.8	Eisht lhie-ym sheese as hem gys fea
PSA.4.8	Lesh aigney lane dy hee;
PSA.4.8	Son uss, O Hiarn, ta my endeil,
PSA.4.8	Ta coyrt dou fea ny hoie.
PSA.8.1	O Hiarn, oo hene nyn ard chiannoort,
PSA.8.1	Dagh nhee ta fo dty reill;
PSA.8.1	Erskyn ny Niaughyn ta dty ghloyr,
PSA.8.1	Ta dt’ennym trooid y theihll.
PSA.8.3	Obbyr dty laue tra hee’m ’syn aer,
PSA.8.3	Ta staaynit lesh dty phooar;
PSA.8.3	Yn ghrian, yn eayst, rollageyn neesht
PSA.8.3	Scart trooid yn ’eaynagh vooar.
PSA.8.4	Hiarn, cre ta dooinney, smooinee mee,
PSA.8.4	Dy ghoaill eh ayns e ghooie?
PSA.8.4	Ny cre ta ’lhuight ’sy chilley ayds,
PSA.8.4	Dy beagh oo daue cha dooie?
PSA.8.5	Eh, sniessey da dty ainleyn noo
PSA.8.5	Ayns gloyr, ren oo pointeil;
PSA.8.6	Coamrit lesh pooar, myr Chiarn y seihll,
PSA.8.6	Er dt’obbraghyn dy reill.
PSA.8.7	Dagh dooghys ren oo bial da,
PSA.8.7	Myr daag oo orroo beoyn;
PSA.8.8	Eeanlee ta bennalt trooid yn aer,
PSA.8.8	As eeaystyn snaue ’sy cheayn.
PSA.8.9	O Hiarn, oo hene nyn ard chiannoort,
PSA.8.9	Dagh nhee ta fo dty reill;
PSA.8.9	Erskyn ny niaughyn ta dty ghloyr,
PSA.8.9	Ta dt’ennym trooid y theihll.
PSA.15.1	Quoi gys dty phlaase reeoil, O Hiarn,
PSA.15.1	Myr reih nee goaill jurnaa;
PSA.15.1	Cha nee myr joarree goaill aaght oie,
PSA.15.1	Agh ayn dy reayll dy bra.
PSA.15.2	She eshyn eh ta leeideil bea
PSA.15.2	Cordail rish leighyn Yee;
PSA.15.2	E smooinaght, obbyr as e raa,
PSA.15.2	Reilt liorish foays e chree.
PSA.15.3	Eh nagh dug scammylt rieau, dy ghoaill
PSA.15.3	Veih ’naboo e ghoo mie;
