MAT.1.1	Lioar sheeloghe Yeesey Creest, mac Ghavid, mac Abraham. 
MAT.1.2	Hooar Abraham Isaac, as hooar Isaac Jacob, as hooar Jacob Judas as e vraaraghyn. 
MAT.1.3	As hooar Judas Phares as Zarah rish Thamar, as hooar Phares Esrom, as hooar Esrom Aram. 
MAT.1.4	As hooar Aram Aminadab, as hooar Aminadab Naason, as hooar Naason Salmon. 
MAT.1.5	As hooar Salmon Booz rish Rachab, as hooar Booz Obed rish Ruth, as hooar Obed Jesse. 
MAT.1.6	As hooar Jesse David yn ree, as hooar David yn ree Solomon reeish v’er ny ve ben Urias. 
MAT.1.7	As hooar Solomon Roboam, as hooar Roboam Abia, as hooar Abia Asa. 
MAT.1.8	As hooar Asa Josaphat, as hooar Josaphat Joram, as hooar Joram Ozias. 
MAT.1.9	As hooar Ozias Joatham, as hooar Joatham Achaz, as hooar Achaz Ezekias. 
MAT.1.10	As hooar Ezekias Manasses, as hooar Manasses Amon, as hooar Amon Josias. 
MAT.1.11	As hooar Josias Jechonias as e vraaraghyn, mysh am yn chappeeys Babylonagh. 
MAT.1.12	As rish earish yn chappeeys Babylonagh hooar Jechonias Salathiel, as hooar Salathiel Zorobabel. 
MAT.1.13	As hooar Zorobabel Abiud, as hooar Abiud Eliakim, as hooar Eliakim Azor. 
MAT.1.14	As hooar Azor Sadoc, as hooar Sadoc Achim, as hooar Achim Eliud. 
MAT.1.15	As hooar Eliud Eliazar, as hooar Eliazar Matthan, as hooar Matthan Jacob. 
MAT.1.16	As hooar Jacob Joseph sheshey Voirrey, j’eeish ruggyr Yeesey, ta enmyssit Creest. 
MAT.1.17	Myr shen ta ooilley ny sheelogheyn veih Abraham gys David, kiare sheelogheyn jeig: as veih David derrey’n chappeeys ayns Babylon, kiare sheelogheyn jeig: as veih’n chappeeys ayns Babylon derrey Creest kiare sheelogheyn jeig.
MAT.1.18	Nish shoh myr haink [Yeesey] Creest er y theihll: Erreish da e voir Moirrey ve nasht rish Joseph, roish my daink ad dy vaghey cooidjagh, v’ee ry-akin dy ve corrym liorish yn Spyrryd Noo. 
MAT.1.19	As myr va Joseph e sheshey ny ghooinney cairal, as neu-wooiagh dy choyrt ee gys nearey foshlit, v’eh smooinaghtyn dy scarrey r’ee dy follit. 
MAT.1.20	Agh choud as va ny reddyn shoh er e aigney, cur-my-ner haink ainle y Chiarn huggey ayns ashlish, gra, Yoseph, vac Ghavid, ny bee aggle ort dy ghoaill hood Moirrey dty ven: son shen t’er ny ghientyn aynjee, te jeh’n Spyrryd Noo. 
MAT.1.21	As ver ee mac son y theihll, as nee oo genmys eh 
MAT.1.22	(Shoh myr va er ny chooilleeney ooilley ny loayr y Chiarn liorish y phadeyr, gra, 
MAT.1.23	Cur-my-ner nee moidyn gientyn, as ver ee mac son y theihll, as nee ad genmys eh Emmanuel, ta shen dy ghra, Jee mârin.) 
MAT.1.24	Tra va Joseph eisht er n’irree veih cadley, ren, eh myr va ainle y Chiarn er chur roish, as ghow eh thie e ven: 
MAT.1.25	As cha row veg echey dy yannoo r’ee, derrey hug ee e ynrycan vac son y theihll, as denmys eh yn ennym echey Yeesey.
MAT.2.1	Nish tra rug Yeesey ayns Bethlehem dy Yudea, rish lhing ree Herod, cur-my-ner haink deiney-creeney veih’n shiar gys Jerusalem, 
MAT.2.2	Gra, Cre vel ree ny Hewnyn t’er jeet er y theihll? son honnick shin y rollage echey ayns y shiar, as ta shin er jeet dy chur ooashley da. 
