MAT.1.1	Ɗe'e ngoni inɗe maama'en Yeesu Almasiihu lenyol Dawda, Dawda lenyol Ibraahim.
MAT.1.2	Ibraahim danyi Iciyaaku, nden Iciyaaku danyi Yaakubu, nden Yaakubu danyi Yahuuda e sakiraaɓe maako, 
MAT.1.3	Yahuuda danyi Feresa e Jeera, maduujo Jeera woni Taamar, Feresa danyi Heseruuna, Heseruuna danyi Aram, 
MAT.1.4	Aram danyi Amiinadab, Amiinadab danyi Naacon, Naacon danyi Salmon, 
MAT.1.5	Salmon danyi Bo'aaja, maduujo Bo'aaja woni Rahab, Bo'aaja danyi Obida, maduujo Obida woni Rut, Obida danyi Jeesi, 
MAT.1.6	Jeesi danyi Dawda Laamiiɗo, Dawda Laamiiɗo danyi Suleymaanu, maduujo Suleymaanu woni debbo Uriya ndenno, 
MAT.1.7	Suleymaanu danyi Rehobowam, Rehobowam danyi Abija, Abija danyi Aasa, 
MAT.1.8	Aasa danyi Jehoocafat, Jehoocafat danyi Jooram, Jooram danyi Ajaariya, 
MAT.1.9	Ajaariya danyi Jootama, Jootama danyi Ahas, Ahas danyi Hejekaaya, 
MAT.1.10	Hejekaaya danyi Manaase, Manaase danyi Amon, Amon danyi Joosaya, 
MAT.1.11	Joosaya danyi Jekooniya e sakiraaɓe maako worɓe, carel ko Yahuudanko'en nangaa njaaraa leydi Baabiila.
MAT.1.12	Gaɗa ɗum yaariiɓe leydi Baabiila, Jekooniya danyi Ceyaltiyal, Ceyaltiyal danyi Jaruubabel, 
MAT.1.13	Jaruubabel danyi Abiihudu, Abiihudu danyi Eliyaakim, Eliyaakim danyi Aajoro, 
MAT.1.14	Aajoro danyi Jaadok, Jaadok danyi Aakim, Aakim danyi Aliiyudu, 
MAT.1.15	Aliiyudu danyi Eleyaajar, Eleyaajar danyi Mataana, Mataana danyi Yaakubu, 
MAT.1.16	Yaakubu danyi Yusufu gorko Maryaama, Maryaama danyi Yeesu bi'eteeɗo Almasiihu.
MAT.1.17	E woodi maama'en sappo e nayo daga jaamanu Ibraahim yaaki jaamanu Dawda. E woodi maama'en sappo e nayo daga jaamanu Dawda yaaki carel ngel Yahuudanko'en njaaraa maccungaaku to leydi Baabiila. E woodi maama'en sappo e nayo daga carel ngel Yahuudanko'en njaaraa maccungaaku to leydi Baabiila yaaki danyngol Almasiihu.
MAT.1.18	Raa no Yeesu Almasiihu danyiraa. Maduujo maako Maryaama waadi alkawal teegal e Yusufu. Ammaa ko ɓe ngaɗa teegal, sey o tawraa reedu daga to Ruuhu Allah.
MAT.1.19	Nde Yusufu o neɗɗo aadiliijo, o yiɗaa o semtinamo e njayri. O darwi o yoofamo e suuɗe. 
