GEN.1.1	Owakira itanta-nakari iwitsikan-taitzi, iriitakira Pawa owitsika-kirori inkiti aajatzi kipatsi. 
GEN.1.2	Tima tikatsi tzima-tsini kipatsiki, oyosiita inkaari, tsitiniki okantaka. Apatziro ikantakaaro Itasorinka Pawa, okinawaitzi inkaariki.
GEN.1.3	Ari iñaa-waitanaki Pawa, ikantzi: “Onkitainkati”, mata-naka ikantakiri. 
GEN.1.4	Iñaatziiro Pawa kamiitha okantaka kitainkari. Inasi-takaro kitainkari, ti intsipatairo tsitinikiri. 
GEN.1.5	Ari ipai-takiro Pawa iroka kitainkari, “Kitaitiri”. Irooma tsitinkiri ipai-takiro “Tsitiniri”. Ari otsitini-tanaki ipoñaa okitai-tamanai. Iroo-taki aparo-nitain-tsiri iroka kitaitiri. 
GEN.1.6	Ipoñaa iñaa-waitanaji Pawa, ikantzi: “Ontzimi otziki-roni nijaa-payi, iroo-taki inasityaaroni.” 
GEN.1.7	Imata-kiro Pawa, tzima-naki otziki-rori nijaa. Tzimatsi nijaa saika-nain-tsiri jinokinta, pasini otapinaki. Mataka ikanta-kiri. 
GEN.1.8	Ipai-takiro Pawa otziki-rori nijaa “inkiti”. Ari otsitini-tanaki ipoñaa okitai-tamanai. Iroo-taki apiti-tanain-tsiri iroka kitaitiri.
GEN.1.9	Ipoñaa iñaa-waitanaji Pawa, ikantzi: “Apatotyaa nijaa-payi okaratzi tzima-tsiri otapinaki inkiti, ontzimi tsika ompiryaa-pathati.” Mata-naka. 
GEN.1.10	Ipai-takiro Pawa tsika opiryaa-patha-tanaki “kipatsi”. Irooma tsika apatotanaka nijaa ipai-takiro “inkaari”. Ikanta yamina-kiro Pawa kamiitha okantaka. 
GEN.1.11	Ari ikantzi Pawa: “Oshooki kipatsiki nasiyita-chari inchato aajatzi pankirintsi, tzimatsini okithoki ithotaitziri aajatzi iwaityaari.” Matanaka ikantakiri. 
GEN.1.12	Ari oshookanaki kipatsiki nasiyita-chari inchato aajatzi pankirintsi. Tzimayi-tanaki okithoki inchato-payi. Ari okimitakari pankirintsi-payi. Yaminakiro Pawa iroka-payi kamiitha okantaka. 
GEN.1.13	Ari otsitini-tanaki ipoñaa okitai-tamanaji. Iro mawa-tanain-tsiri iroka kitaitiri.
GEN.1.14	Ipoñaa ikantzi Pawa, ikantzi: “Intzimi inkitiki oorinta-chani, iriitaki inasi-takaityaa-roni kitaitiri aajatzi tsitiniri. Irootaki iyoi-tantyaa-rori kitaitiri-payi, osarintsi-payi, aajatzi kitaitiri yoimosirinkantaitari, 
GEN.1.15	Iriitaki oorintaachani inkitiki inkitainkatairo kipatsiki.” Matanaka inkantakiri Pawa. 
GEN.1.16	Ari iwitsika-kiri Pawa apiti oorinta-chari. Aparoni antariiti oorinta-chani kitaitiriki, iriima pasini kiripiri oorinta-chani tsitiniriki. Ari iwitsika-kiriri aajatzi maaroni impokiro-payi. 
GEN.1.17	Iwakiri Pawa inkitiki, iriitaki kitainka-takayi-roni maaroni kipatsi, 
GEN.1.18	kitaitiri aajatzi tsitiniri. Irootaki iyotan-taityaarori kitaitiri aajatzi tsitiniri. Ikanta yamina-kiri Pawa yoka-payi kamiitha ikantaka. 
GEN.1.19	Ari otsitini-tanaki ipoñaa okitai-tamanaji. Irootakira 4-tatsiri kitaitiri. 
GEN.1.20	Ipoñaa iñaa-waitanaji Pawa, ikantzi: “Ishikiti nijaaki nasiwai-tachari nijaawiri, aajatzi siwanki-ripayi arayi-tatsini kipatsiki.” 
GEN.1.21	Tima iwitsika-kiri Pawa antari-payi inkaari-wiri, aajatzi maaroni inasiwaitachari nijaawiri, oshiki-yitanaji, Iwitsika-kiri siwanki-tatsiri arayi-tatsiri. Ikanta yamina-kiri Pawa yoka-payi kamiitha ikantaka. 
GEN.1.22	Itasonka-nakiri Pawa, ikantziri: “Intzima-yitaji yanini-payi, ishikitan-tajyaari nijaaki-payi. Ari inkimitai-yaari aajatzi siwankiri-payi ishikiyitai kipatsiki.” 
GEN.1.23	Ari otsitini-tanaki ipoñaa okitai-tamanai. Irootaki 5-tatsi iroka kitaitiri.
GEN.1.24	Ipoñaa iñaa-waitanaji Pawa, ikantzi: “Ishikitai kipatsiki ikaratzi nasitachari, piratsi-payi ipirai-tari, antami-wiri, konthaayi-tatsiri, maaroni tzimatsiri kipatsiki aajatzi.” Mata-naka ikantakiri. 
GEN.1.25	Ikanta iwitsika-yita-kiri Pawa yoka-payi kamiitha ikantaka.
GEN.1.26	Ipoñaa iñaa-waitanaji Pawa, ikantzi: “Iroñaaka thami awitsiki atziri kimitaini aroka. Iri mati-roni yanairi nijaa-wiri, siwankiripayi, piratsi-payi ipiraitari, maaroni tzimatsiri kipatsiki, ari inkimi-tairiri ikaratzi konthaayitatsiri kipatsiki.”
GEN.1.27	Imatakiri Pawa iwitsika-kiri atziri,
GEN.1.27	ari ikimi-takiri tsika ikanta irirori.
GEN.1.27	Iwitsikaki sirampari ipoñaa kooya.
GEN.1.28	Ari itasonkanakiri Pawa ikantziri: “Piwaiyanti pishikitantyaari. Pinampi-taiyaaro maaroni kipatsiki, pimpinkathari-wintanti. Iyotani pinkantyaa panairi maaroni tzimatsini aka kipatsiki. Panairi siwankiri-payi, piratsi-payi ipirai-tari, antami-wiri, aajatsi ikaratzi konthaayitatsiri kipatsiki.”
GEN.1.29	Ari ikanta-naki Pawa: “Nopi-miro okaratzi shookatsiri kipatsiki tzima-tsiri okithoki, aajatzi inchato-payi okaratzi kitho-yitatsiri. Iro piwa-yitajyaari awirokaiti. 
GEN.1.30	Iriima antami-wiripayi, konthaayitatsiri kipatsiki, siwanki-yita-tsiri, iwaitajyaaro incha-sipayi.” Mata-naka ikanta-kiri Pawa. 
GEN.1.31	Yamina-kiri Pawa ikaratzi iwitsika-kiri kamiitha ikantaka. Ari otsitini-tanaki ipoñaa okitai-tamanai. Iro 6-tatsiri iroka kitaitiri.
GEN.2.1	Aritaki iwitsikai-takiro okaratzi tzimatsiri inkitiki aajatzi kipatsiki. 
GEN.2.2	Tima irootaki 7-tatsiri kitaitiri ithonkan-takarori Pawa maaroni iwitsika-yitakiri. Ari imakoryaa-paaki irirori. 
GEN.2.3	Itasonka-kiro Pawa iroka 7-tatsiri kitaitiri, ikantaki: “Tasonkaaro onatyii iroka kitaitiri.” Tima iroka kitaitiri irootaki imakoryaan-takari Pawa iwitsika-yitantaka-rori okaratzi tzimayi-tatsiri.
GEN.2.4	Iroka ikinkitha-takoi-tziro owitsikan-takari inkiti aajatzi kipatsi. Tima pairani owakira iwitsika-kiro Pawa inkiti aajatzi kipatsi, 
GEN.2.5	tikatsi pankirintsi shooka-tsini, tikatsi aajatzi towari-payi. Ti iwaryiiro inkani kipatsiki, tikatsi antawai-tatsini. 
GEN.2.6	Apatziro ositowaatzi nijaa kipatsiki, irootaki tsinka-patha-tzirori maaroni. 
GEN.2.7	Ipoñaa yaaki Pawa kipatsi iwitsika-kiri atziri. Itasonka-kiri ikirimasiki, añaanaki. Aripaiti yañaanaki itanakarori atziri.
GEN.2.8	Ikantakaa-karo Pawa ontzimi pankirin-tsimasi tsika isitowa-piintzi ooryaatsiri, ipaitakiro Posiñaarini. Ari imisaika-kiri yoka atziri iwitsika-kiri. 
GEN.2.9	Ari ishookakaaki Pawa inasiwai-tachari pankirin-tsipayi, owaniinka-yitachari, okaratzi iwaitari okithoki. Ishookakaaki aajatzi niyaankiniki pankirin-tsimasi apiti pankirintsi. Aparoni yañaantaitari, pasini iyotantai-tarori kamiithari aajatzi kaaripirori. 
GEN.2.10	Tzimatsi anta Posiñaariniki aparoni nijaa, irootaki tsinkirori pankirin-tsimasi. Tzimatsi iroka nijaa okaratzi 4 ochiwaa. 
GEN.2.11	Itanakarori ochiwaa ipaitai-tziro Sinchaari, irootaki tapotachari anta Tapotaariniki, ari itzimiri ooro. 
GEN.2.12	Iriipirori inatzi ooro tzimatsiri anta, tzimatsi iriipirori tziritatsiri, tzimatsi aajatzi mapipayi poriryaa-tatsiri. 
GEN.2.13	Irooma apiti-tatsiri ochiwaa ipaitai-tziro Sipopojaarini, irootaki tapotachari anta Kisaapororiniki. 
GEN.2.14	Iroka pasini mawatatsiri ochiwaa ipaitai-tziro Tampishaarini, irootaki tapotachari anta tsika isitowa-piintzi ooryaatsiri Aatzikawiniki. Pasini 4-tatsiri ochiwaa, irootaki ipaitai-tziri Antaraani. 
GEN.2.15	Aritaki imisaika-kiri Pawa yoka atziri pankirin-tsimasiki Posiñaariniki, iriitaki kaankiityaa-kotzirori pankirin-tsimasi, yaamaakowin-tyaaro aajatzi. 
GEN.2.16	Iroka ikantakiri: “Kamiitha-tatsi pinthotiro okaratzi tzimatsiri pankirin-tsimasiki. 
GEN.2.17	Irooma okithoki pankirintsi iyotantai-tarori kamiithari aajatzi kaaripirori, airo pithotziro. Aririka pinthotakiro, aritaki pinkamaki.”
GEN.2.18	Ipoñaa ikantanaki Pawa: “Ti okamiithatzi isaikawaiti apaniroini atziri. Ontzimatyii nowitsiki-niri amitako-tirini.” 
GEN.2.19	Tima owakira iwitsikan-taka-riri Pawa maaroni ipiraitari-payi, aajatzi maaroni siwankiri-payi, kipatsi yaaki. Yamakiniri atziri ipaitai-tziri aajatzi Adán, iwiniri iwairo-payi. Okaratzi iwakiniriri iwairo-payi iwitsikani Pawa, irojatzi iwairoyitari iroñaaka. 
GEN.2.20	Imatakiro Adán iwakiniri iwairo maaroni antami-wiri-payi, maaroni siwankiri-payi, aajatzi ipiraitari-payi. Titzimaita iñii aparoni amitako-tirini irirori. 
GEN.2.21	Ikantakaa-karo Pawa impochokiti Adán. Ikanta imaapiro-tanaki Adán, yayitakiri imiriki, iwitana-jiri kamiitha iwathaki. 
GEN.2.22	Irootaki imiriki atziri iwitsika-kiri Pawa aparoni kooya. Yamakiro Pawa iñiiro atziri. 
GEN.2.23	Ikanta iñaawakiro Adán, ikantanaki:
GEN.2.23	¡Naaka asitaro nowatha iroka!
GEN.2.23	Irootaki notonki.
GEN.2.23	Kooya ompaityaa,
GEN.2.23	Tima iwatha sirampari iwitsikai-taki. 
GEN.2.24	Irootaki airo isaikantaja mainari-payi asitaririki aririka yaawakaa-najyaa, tima aparoni inkanta-najyaa iwathaki osiyawaityaaro iwichaa-wakaa-jyaami.
GEN.2.25	Tima kaanki-miriki ikantaka atziri aajatzi iina, titzimaita ipasikijii-tzi.
GEN.3.1	Pairani yotani ikantawita maranki, yanairi maaroni antami-wiri ikaratzi iwitsika-kiri Pawa. Ikanta apaata maranki ari isampitakiro kooya, ikantziro: “¿Omaapiroma ikantzimi Pawa: ‘Airo pithotziro okaratzi pankitachari pankirin-tsimasiki?’ ” 
GEN.3.2	Akanakiri kooya, okantziri: “Kantacha nonthotiro okaratzi pankitachari anta, 
GEN.3.3	irooma satikainchari niyaanki-masiniki, airo nothotziro. Tima ikantakina Pawa: ‘Airo pithotziro ironta, airo pairikiro kapichiini, pikami = kari.’ ” 
GEN.3.4	Ikantzi maranki: “Thaiyaantsi, airo pikami. 
