MAT.1.1	Kitsy re xseety pxusykoltoo Jesucrist. Lo xtiiy David ni lo xtiiy Abraham sëëd Jesús.
MAT.1.2	Abraham kok pxosy Isaac, lëë Isaac na kok pxosy Jacob, lëë Jacob na kok pxosy Judá ni betsy Judá. 
MAT.1.3	Chop Judá Tamar kop Fares ni Zara. Lëë Fares kok pxosy Esrom, lëë Esrom na kok pxosy Aram. 
MAT.1.4	Lëë Aram kok pxosy Aminadab, lëë Aminadab na kok pxosy Naasón, lëë Naasón na kok pxosy Salmón. 
MAT.1.5	Chop Salmón Rahab kop Booz. Chop Booz Rut kop Obed. Lëë Obed kok pxosy Isaí. 
MAT.1.6	Lëë Isaí kok pxosy rey David aan chop rey David kwnaa nii kok tsiil Urías kop Salomón.
MAT.1.7	Lëë Salomón kok pxosy Roboam, lëë Roboam na kok pxosy Abías, lëë Abías na kok pxosy Asa. 
MAT.1.8	Lëë Asa kok pxosy Josafat, lëë Josafat na kok pxosy Joram, lëë Joram na kok pxosy Uzías. 
MAT.1.9	Lëë Uzías kok pxosy Jotam, lëë Jotam na kok pxosy Acaz, lëë Acaz na kok pxosy Ezequías. 
MAT.1.10	Lëë Ezequías kok pxosy Manasés, lëë Manasés na kok pxosy Amón, lëë Amón na kok pxosy Josías. 
MAT.1.11	Lëë Josías kok pxosy Jeconías ni betsy Jeconías. Mer tiemp ko lëë xaa Babilonia sikni xoo xaa Israel nëz Babilonia.
MAT.1.12	Aan loxsye ptsiñ xaa Babilonia, lëë Jeconías kop Salatiel. Lëë Salatiel kok pxosy Zorobabel. 
MAT.1.13	Lëë Zorobabel kok pxosy Abiud, lëë Abiud na kok pxosy Eliaquim, lëë Eliaquim na kok pxosy Azor. 
MAT.1.14	Lëë Azor kok pxosy Sadoc, lëë Sadoc na kok pxosy Aquim, lëë Aquim na kok pxosy Eliud. 
MAT.1.15	Lëë Eliud kok pxosy Eleazar, lëë Eleazar na kok pxosy Matán, lëë Matán na kok pxosy Jacob. 
MAT.1.16	Lëë Jacob kok pxosy José, lëë José kok tsiil Mariy, lëë Mariy na kok xñaa Jesús, xaa nii kwloolë no Crist.
MAT.1.17	Tsida pxusykoltoo meñ Israel kwtedy lo kislyu re destye Abraham axte David. Stsida xaa kwtedy destye David axte tse nii lëë meñ Israel sey nëz Babilonia. Stsida xaa kwtedy destye worñee lëë meñ Israel sey nëz Babilonia axte worñee lëë Crist koly.
MAT.1.18	Sinrii mod koly Jesucrist. Lëë xñaa xaa Mariy no nii ktsiilña chop José. Per antes nii ktsiilña xaa, lëë Mariy kok xiñ por Kyalbini Ntson. 
MAT.1.19	Per como tu xaa buen nak José, koklasty xaa nii nyeñ meñ nii lëë xaa blaa Mariy. Por ngo lëë xaa kwlokyeñ klaa tsilaan xaa me. 
MAT.1.20	Lëë xaa lox kwlokyeñ nii singo kuuñtsyey xaa, tsiñee lëë tu xangly Dios kunee lo xaa lo mgaal chëb:
MAT.1.20	—José, lo xtiiy David sëëdoo. Ptsiilña Mariy, por xiñ Kyalbini Ntson kap me. 
MAT.1.21	Lëë Mariy kap tu mëëdpkiy aan no nii kolël xaa Jesús. Singo kcholë xaa por lëë xaa kteelaa meñ xkyedzy xaa lo tol.
MAT.1.22	Kchësyo kok parñee kak cumplir tiits nii pxaal Dios lo profet tsiñee chëb xaa:
MAT.1.23	Lëë tu kwnaa yeeñ kakxiñ aan lëë me kap tu mëëdpkiy,
MAT.1.23	aan lëë mëëd ko kcholë Emanuel.
MAT.1.23	(Tiits ko nak sinak xñee ñe: Lëë Dios nakni lëë no.)
MAT.1.24	Tsiñee lëë José bna, lëë xaa beeñtsyey nii kwnabey xangly Dios. Lëë xaa ptsiilña Mariy. 
MAT.1.25	Per kwyonidy xaa Mariy, sink lëë xaa kwlës axte nii lëë Mariy kop mëëd. Aan lëë xaa kwloolë mëëd ko Jesús.
MAT.2.1	Tsiñee lëë Jesús lox koly leñ kyedzy Belén nii ngab Judea, lëë bla xaa chak nii sëëd nëz laa xlyañ ngbidz ptsiñ Jerusalén. Lëë Herodes nak rey tiemp ko. 
MAT.2.2	Lëë xaa chak ko kwnabtiits chëb:
MAT.2.2	—¿Ko xrey meñ Israel nii koly? Por lëë noo syoopnaal tu mëly nii kwlañ nëz laa xlyañ ngbidz. Mëly go bluuy loo noo nii lëë xaa koly aan lëë noo syoop ksoxib lo xaa.
MAT.2.3	Tsiñee lëë rey Herodes biñ nii chëb xaa chak ko, lëë xaa kwyo kyalnë kchë xaa meñ Jerusalén. 
MAT.2.4	Tsigo lëë rey Herodes kwnabey koktsyetsy kchësy xaa nii xñabey lo pxosy ni kchësy maestre ley, aan lëë xaa kwnabtiits chëb xaa:
MAT.2.4	—Pa no nii kaly Crist.
MAT.2.5	Lëë xaa go chëb:
MAT.2.5	—Tu kyedzy nii lë Belén nii ngab Judeaw, por lëë profet pkëë sinrii:
MAT.2.6	Lëë lëë do meñ Belén,
MAT.2.6	nikxe nii wiñ xkyedzy to,
MAT.2.6	mastre nono lo kchë kyedzy nii ngab Judá,
MAT.2.6	por leñ xkyedzy to kchoo tu xaa nii kñabey,
MAT.2.6	aan lëë xaa kantsi meñ Israel.
MAT.2.7	Loxsye ngo lëë Herodes kwtsyetsy tsilaan ksa xaa chak ko, aan lëë xaa kwnabtiits pa woortyee kon xaa mëly go. 
MAT.2.8	Tsigo lëë xaa pxaal xaa Belén, aan lëë xaa chëb lo xaa:
MAT.2.8	—Kol tsi siko, aan kol kyub mëëd ko. Aan tsiñee ktsil do xaa, kol kluuy tiits lon parñee kaksoxibaa lo xaa.
MAT.2.9	Loxsye kwnee rey lo xaa, lëë xaa si. Aan lëë mëly nii kon xaa kwlañ tugak sinech lo xaa, aan lëë ma kwsobtse axte laañee nix Jesús. 
MAT.2.10	Tsiñee lëë ksa xaa chak ko kon nii lëë mëly kwsobtse, per nli busy ble xaa. 
MAT.2.11	Lëë xaa kwsëëb leñ yu, aan tsiñee lëë xaa kon mëëd chop xñaa mëëd Mariy, lëë xaa pkady or, yaal ni ngwaan xlyaa nex nii lë mirra. 
MAT.2.12	Per lëë Dios kwnee lo xaa lo mgaal. Chëb Dios nii nody nii tsiktedy xaa lo Herodes. Por ngo lëë xaa kwseñ stu nëz par kyey xaa xkyedzy xaa.
MAT.2.13	Tsiñee lëë ksa xaa chak ko bi, lëë tu xangly Dios kunee lo José lo mgaal chëb:
MAT.2.13	—Kuxche, biy mëëd ni biy xñaa mëëd aan pxooñ kwey nëz Egipto. Por lëë Herodes kyub mëëd par kuty xaa mëëd. Kwyo siko axte nii kñen lool stub.
MAT.2.14	Lëë José kuxche aan kyool sini xaa mëëd chop xñaa nëz Egipto. 
MAT.2.15	Siko kwyo xaa axte nii lëë Herodes kuty. Kchësy nrii ptsyool xaa parñee kak cumplir xtiits Dios nii kwnee profet tsiñee chëb xaa: “Egipto byakxin xiñaa.”
MAT.2.16	Tsiñee lëë Herodes byeñ nii lëë ksa xaa chak ko pkëëti xaa, per nli busy blëë xaa. Aan lëë xaa kwlii cuent pa wortyee kon xaa chak ko mëly, aan lëë xaa kwnabey kuty kchësy mëëdpkiy nii chap chop iz par kyety nii no leñ kyedzy Belén ni leñ kyedzy nii nche kexka siko. 
MAT.2.17	Singo mod lëë tiits nii kwnee profet Jeremías kok cumplir tsiñee chëb xaa:
MAT.2.18	Leñ kyedzy Ramá biiñ Raquel,
MAT.2.18	porñee lëë kchë xiñ me kuty,
MAT.2.18	aan nikxe xñee meñ lo me,
MAT.2.18	per xekwty me, lëë me choon.
MAT.2.19	Per loxsye kuty Herodes, lëë tu xangly Dios kunee lo José lo mgaal xtañ meñ Egipto chëb:
MAT.2.20	—Kuxche, aan byey Israel ksal mëëd ni xñaa mëëd, por lëë kchësy xaa nii kokladzy nyuty mëëd kuty.
MAT.2.21	Tsigo lëë José kuxche aan lëë xaa sikni mëëd chop xñaa nëz Israel. 
MAT.2.22	Per tsiñee biñ xaa nii lëë xiñ Herodes nii lë Arquelao sob xñabey Judea, lëë xaa ptsyeb nyey xaa siko. Aan como lëë Dios kaa kwneel lo xaa lo mgaal, lëë xaa sey nëz Galilea. 
MAT.2.23	Tsiñee lëë xaa ptsiñ Galilea, lëë xaa kwtedyso tu kyedzy nii lë Nazaret. Singo mod lëë xtiits profet kok cumplir tsiñee chëb xaa nii xaa Nazaret kak Jesús.
MAT.3.1	Leñ tse go lëë Juan Bautist bislo xluuy xtiits Dios tañ pidzy nii nche Judea, 
MAT.3.2	xñee xaa:
MAT.3.2	—Kol ktikche styoo do lo Dios, porque lëë wor kutsiñ nii lëë Dios kñabey.
MAT.3.3	Lëë Juan nak xaa nii pseety profet Isaías tsiñee chëb xaa:
MAT.3.3	Son meñ tsiy xaa tsiñee lëë xaa kñee lo meñ tu tañ pidzy këb xaa:
MAT.3.3	“Kol kxixkwaa nëz nii tedy xaa nii xñabey.
MAT.3.3	Kol kwii tu nëz tubli.”
MAT.3.4	Kits lady camey kwyaa xab Juan, lëë xcinturón xaa kwyaa con kidy. Nkwxandx ni tsiñ tañ taw xaa. 
MAT.3.5	Tsigo lëë meñ Jerusalén, ni meñ nii no nëz Judea ni kchësy meñ nii ncheno kex chu kiigwpee Jordán kwey laañee so Juan. 
MAT.3.6	Aan tsiñee lëë meñ lox xobtol xtol lo Dios, lëë Juan xchoobnis meñ chu kiigwpee Jordán.
MAT.3.7	Per tsiñee kon Juan nii ndaly xaa fariseo ni xaa saduceo ptsiñ chakladzy chobnis, lëë Juan chëb:
MAT.3.7	—¡Nak to sinak mëël! ¿Cho në nii lëë do telaa lo kyalntseeb nii kxaal Dios? 
MAT.3.8	Kol kpañ sinak xñabey Dios parñee kak nyoo nii nli lëë do ptikche styoo do lo Dios. 
MAT.3.9	Kak nyaady to nii Abraham nak pxosy to. Por nli xñen nii schilo kyuñ Dios kyo re xiñ Abraham. 
MAT.3.10	Lëë kiibyag kaa tse so mbës parñee chug silu yag nii xkyëdy nex aan tsow lo ki. Singo ktsyool meñ nii xtikchedy styoo lo Dios. 
MAT.3.11	Nli naa xchoobnis lëë do con nis parñee kpikche styoo do lo Dios. Per lëë xaa nii kiid tsiñee lëën kpi kchoobnis meñ nii kniladzy xtiits Dios con Kyalbini Ntson, ni lëë xaa ksaksi meñ nii knilasty con ki. Porque mastre non xaa lon, ni lab xaa xyaldy koyaa. 
MAT.3.12	No xpal xaa ña xaa par kuuñnyë xaa xobxtily ni kwii xaa tixob tublad. Lëë xaa kotsey xobxtily leñ ngoch, per lëë xaa ksaay tixob lo tu ki nii kyuuydy.
MAT.3.13	Galilea pchoo Jesús, lëë xaa kwey lo Juan chu kiigwpee Jordán parñee kchoobnis Juan xaa. 
MAT.3.14	Klo kwnëdy Juan nchoobnis Juan xaa, chëb Juan:
MAT.3.14	—Naa no nii nyely lool par kchoobnisoo naa. ¿Penak nii lii sëëd lon?
MAT.3.15	Tsigo lëë Jesús chëb:
MAT.3.15	—Pchoobnis naa, por no nii kuuñ no cumplir nii xñabey Dios.
MAT.3.15	Lëë Juan ptee tiits. 
MAT.3.16	Aan siikñee lëë Jesús lox kwchobnis, lëë kpaa byaly, aan lëë Jesús kon nii lëë xKyalbini Ntson Dios sëëd sëëb sinak tu palom byab lady xaa. 
MAT.3.17	Ni lëë xaa biñ tsiy tu xaa nii xñee:
MAT.3.17	—Lëë xiñaa nii xkëstyoon so ske. Xlen lo xaa.
MAT.4.1	Loxsye kwchobnis Jesús, lëë Kyalbini Ntson kuni xaa tañ pidzy par kuñ xaatox xaa preb.
MAT.4.2	Ni tu pe tawdy Jesús lo choow kpidz ni choow kyool nii kwyo xaa tañ pidzy ko. Por ngo, tsiñee lëë xaa kwlaañ, 
MAT.4.3	lëë xaatox kwey lo xaa chëb:
MAT.4.3	—Deelñee nli Xiñ Dios nakoo, kwnabey nii kyak kyo nii nche ske kyaxtily.
MAT.4.4	Per lëë Jesús chëb:
MAT.4.4	—Leñ kitsy nii kë xtiits Dios xñee: “Lëdy nonsy kyaxtily kaw meñ parñee kpañ meñ, sink no nii kuuñtsyey meñ kchë nii xñabey Dios.”
MAT.4.5	Loxsye ngo lëë xaatox kuni xaa leñ kyedzy Jerusalén, aan lëë xaatox blëëp xaa kik lidzy Dios laañee mastre klaa, 
MAT.4.6	ni lëë xaatox chëb lo xaa:
MAT.4.6	—Deel nli Xiñ Dios nakoo, kwyas nu aan byab lyu, por leñ xkitsy Dios xñee:
MAT.4.6	Lëë Dios kxaal xangly kakni lii.
MAT.4.6	Lëë angly kñaasy lii con ña xaa,
MAT.4.6	parñee lasty kyo niyoo.
MAT.4.7	Tsigo lëë Jesús chëb:
MAT.4.7	—Leñ xkitsyak Dios xñee: “Kuñdyoo Dios nii xñabey lii preb.”
MAT.4.8	Lëë lultime lëë xaatox kuni Jesús tu kik kiy nii per nli busy klaa, aan lëë xaatox bluuy kchësy kyedzy nii nche lo kislyu ni kchësy cos non nii no low, 
MAT.4.9	aan lëë xaatox chëb lo Jesús:
MAT.4.9	—Snetsyaa kchësyo lool deelñee soxiboo lon.
MAT.4.10	Lëë Jesús chëb:
