MAT.1.1	Yesu Kristi azakwoyi aye nu nyi, Dauda nugun n Ibrahim yi.
MAT.1.2	Ibrahim ɓei zhin Ishaku dada nu Ishaku wa zhin Yakubu dada, Yakubu wa zhin Yahuda dada ɓedo n wa zajeyi.
MAT.1.3	Yahuda wa zhin Perez dada n Zerah yi. Tamar nu ɓei zhin ɓa ʼya. Perez wa zhin Hazren dada; Hezron wa zhin Aram dada.
MAT.1.4	Aram wa zhin Aminadaba dada, Aminadaba wa zhin Nahshon dada, Nahshon wa zhin Salmon dada.
MAT.1.5	Salmon wa zhin Boaz dada, Rahab nu ɓei zhin wo ʼya. Boaz wa zhin Obed dada, Ruth nu ɓei zhin wo ʼya, Obed wa zhin Jesse dada.
MAT.1.6	Jesse wa zhin Esu Dauda dada. Dauda wa zhin Solomon dada, Uriya nyikwo nu ɓei zhin owo ʼya.
MAT.1.7	Solomon wa zhin Rohoboam dada, Rohoboam wa zhin Abija dada. Abija wa zhin Asa dada.
MAT.1.8	Asa wa zhin Jehoshafat dada, Jehoshafat wa zhin Joram dada, Joram wa zhin Uziya dada.
MAT.1.9	Uziya wa zhin Jotam dada, Jotam wa zhin Ahaz dada, Ahaz wa zhin Hezekiya dada.
MAT.1.10	Hezekiya wa zhin Mannase dada, Mannase wa zhin Amon dada, Amon wa zhin Josiya dada.
MAT.1.11	Josiya wa zhin Jokoniya dada n wa zaje yi (ama ɓa esa n na ɓei lo fyenu tnu-tnu nceyi n Babila nyi.)
MAT.1.12	Nfyenu tnu-tnu avun, Jokoniya ɓei zhin Shetil dada nu, Shetil wa zhin Zarubbabila dada.
MAT.1.13	Zarubbabila wa zhin Abiu dada, Abiu wa zhin Eliyakim dada, Eliyakim wa zhin Azor dada.
MAT.1.14	Azor wa zhin Zadok dada, Zadok wa zhin Akim dada, Akim wa zhin Eliu dada.
MAT.1.15	Eliu wa zhin Eliyazar dada, Eliyazar wa zhin Mattan dada, Mattan wa zhin Yakubu dada.
MAT.1.16	Yakubu wa zhin Yusufu dada (wato Maryamu ɓa – Yesu Kristi Masifu ʼya).
MAT.1.17	Nya kwo laka n Ibrahim koyi lo Dauda – Esu, a chala awo-cei-anyi nu. Kwa laka n Dauda Esu kwa lo fyenu tnu-tnu sa n Babila a chala awo-cei-anyi. A chala awo-cei-anyi n fyenu tnu-tnu sa kwoyi lo Kristi sa.
