MAT.1.1	Jesukristo mräkä känekäne jrei Davikri amne Abrahamkri abko nere:
MAT.1.2	Abraham abko Isaac rün,
MAT.1.2	Isaac abko Jacob rün,
MAT.1.2	Jacob abko Judá rün amne
MAT.1.2	Judá etbakantre mda mda rün arato,
MAT.1.3	Judá abko Fares amne Zara rün amne,
MAT.1.3	Fares btä Zara meye abko Tamar,
MAT.1.3	Fares abko Esrom rün amne,
MAT.1.3	Esrom abko Aram rün,
MAT.1.4	Aram abko Aminadab rün amne,
MAT.1.4	Aminadab abko Naasón rün amne,
MAT.1.4	Naasón abko Salmón rün,
MAT.1.5	Salmón abko Booz rün,
MAT.1.5	(Booz ne meye abko Rahab. Rahab ne abko ñakare israelita.)
MAT.1.5	Booz abko Obed rün,
MAT.1.5	(Obed meye abko ni ñakare israelitare kädian nämane Rut.)
MAT.1.5	Obed abko Isaí rün amne,
MAT.1.6	Isaí abko jrei David rün.
MAT.1.6	Jrei David abko Salomón rün.
MAT.1.6	(Salomón ne meye abko nämane käne Uríabe.)
MAT.1.7	Salomón abko Roboam rün,
MAT.1.7	Roboam abko Abías rün,
MAT.1.7	Abías abko Asa rün,
MAT.1.8	Asa abko Josafat rün amne,
MAT.1.8	Josafat abko Joram rün amne,
MAT.1.8	Joram abko Uzías rün,
MAT.1.9	Uzías abko Jotam rün amne,
MAT.1.9	Jotam abko Acaz rün amne,
MAT.1.9	Acaz abko Ezequías rün,
MAT.1.10	Ezequías abko Manasés rün amne,
MAT.1.10	Manasés abko Amón rün amne,
MAT.1.10	Amón abko Josías rün,
MAT.1.11	Josías abko Jeconías amne mräkä mda mda rün,
MAT.1.11	(Jeconías näire abko nitre israelita jänikani ngite kä Babiloniate.)
MAT.1.12	Abti nükaninta kä Israelite,
MAT.1.12	yebti abko Jeconías abko Salatiel rün,
MAT.1.12	Salatiel abko Zorobabel rün,
MAT.1.13	Zorobabel abko Abiud rün amne,
MAT.1.13	Abiud abko Eliaquim rün amne,
MAT.1.13	Eliaquim abko Azor rün,
MAT.1.14	Azor abko Sadoc rün,
MAT.1.14	Sadoc abko Aquim rün amne,
MAT.1.14	Aquim abko Eliud rün,
MAT.1.15	Eliud abko Eleazar rün amne,
MAT.1.15	Eleazar abko Matán rün amne,
MAT.1.15	Matán abko Jacob rün,
MAT.1.16	Jacob abko José rün.
MAT.1.16	José ne mden abko ben María namani.
MAT.1.16	María ne mden abko Jesu meye amne,
MAT.1.16	Jesu ne mden abko ie nita Kristo niere.
MAT.1.17	Ne aisete Abraham näire nebebe jrei David näire nitre israelita ja mräkärebe namani ni jätäbti nibkä ja täritäri. Yebti David näire abti nitre israelita jänikani ngite kä Babiloniate, ye näire nitre israelita ja mräkärebe namani ni jätäbti nibkä ja täritäri arato. Abti nitre israelita jänikani ngite kä Babiloniate ye täbti nitre ja mräkärebe namani ni jätäbti nibkä ja täritäri nebe Kristo därebare ye näire.
MAT.1.18	Jesukristo därebare abko nakaninkä krörö: Jesu ngämi därere, känenkri María, Jesu meye abko nämane mikani jakrä kwärikwäri Josébe. Akwa María ngämi nebe Josébe, ye känenkri María ñan namani mobe, bren kwe kisete Ngöbö Üai Deme köböire. 
MAT.1.19	Angwane José, ben María rabadre, José ye abko nämane nüne metre Ngöbö ngwärekri amne ñan tö namani María mikai ene ni jökrä ngwärekri, aisete María tuadremetre kwe kä bube tiebe abko namani nütüre.
MAT.1.20	Ye erere José jatanina nuene, btäräbe angele ni Dänkienkwe jatani, käkwe niebare krörö köböre ie:
MAT.1.20	José, jrei David mräkä, makwe ñan kä jürä ngwian jabtä María kare ngäbti ja nän mukore, ñobtä ñan angwane ngäbäkre rabadi kwe, ye abko namani btä Ngöbö Üai Deme di kri köböire. 
MAT.1.21	Mdakäre abko, ngäbäkre däredi brare Maríakwe ye abko makwe kädian Jesu,
MAT.1.22	Ni Dänkien abko käkwe blitabare kira niara kukwei niekä köböire, ye erere rabadre bare täte, abkokäre kukwe nakaninkä kore. Kukwe niebare ni Dänkienkwe abko tä tikani krörö niara Kukweibtä:
MAT.1.23	Meri iti kaibe deme ñan rabadi mobe bren kwe kisete amne ngobo rabadi iti kwe.
MAT.1.23	Ngäbäkre ye abko kädiandi Emanuel, 
MAT.1.23	abko niebare ni Dänkienkwe. (Emanuel abko “Ngöböta nibe” nieta.)
MAT.1.24	Yebti José nükaninta ngwäte angwane, angelekwe dre dre nuemna ie, ye erere nuenbare kwe, käkwe María kani ngäbti ja nän mukore. 
MAT.1.25	Akwa María ngobo ngämi därere kwe, ye känenkri namanintre ñakare jabe abti ngobo därebare kwe. Ngäbäkre ye abko Josékwe kädiani Jesu.
MAT.2.1	Jesu därebare juta Belénte kä Judeate angwane, ni iti kädian nämane Herodes nämane jreire. Jesu därebare, abti nitre töbtä nünanka mobe kä Judeabtä kä driri nükani juta Jerusalén yete. Nitre ye abko nämane ja töitike mukebtä abko nükani, 
MAT.2.2	käkwe kukwe ngwianintari krörö:
MAT.2.2	¿Jrei nitre israelitakwe därebare abko tä mdente? Muke kwati käkwe niara därebare mikaba gare, ye abko nunkwe tuaba nüke käin kä driri yete, aisete nun jatani mike ütiäte jae, niebare kwetre.
MAT.2.3	Nitre töbtä ja töitikaka mukebtä käkwe kukwe niebare kore, ye gani jrei Herodekwe angwane, niara namani töbike kri. Erere arato, nitre nünanka juta Jerusalénte namani töbike kri arato. 
MAT.2.4	Abtä jrei ye käkwe nitre blitaka Ngöböbe ni mda mda diäre dänkientre käräbare amne Kukwe Biani Ngöbökwe Moiséye dirikätre käräbare kwe arato, bti kukwe ngwianintari krörö kwe ietre:
MAT.2.4	¿Ni Dianinkä Ngöbökwe abko däredre mdente metre? niebare kwe ietre.
MAT.2.5	Angwane niaratre käkwe niebare mda Herodeye:
MAT.2.5	Jrei däredre juta Belénte kä Judeate abko gare nunye, ñobtä ñan angwane ni Ngöbö kukwei niekä käkwe tikani krörö:
MAT.2.6	Belén, ma abko juta chi kä Judá känti nete.
MAT.2.6	Akwa ma abko ütiäte kri, juta mda mda ngätäite kä Judá ye känti,
MAT.2.6	ñobtä ñan angwane gobran kri däredi yete abko käkwe nitre israelita tikwetikwe ngibiadibti, 
MAT.2.6	abko tä tikani Ngöbö Kukweibtä, niebare kwetre Herodeye.
MAT.2.7	Yebti Herodekwe nitre töbtä ye käräbare tiebe, bti muke tuani ñongwane metre kwetre abko ngwianintari kwe ietre. 
MAT.2.8	Angwane Herodekwe niebare ietre:
MAT.2.8	Mun nän Belén sete amne ngäbäkre ye tä mdente abko munkwe ngwiantari kuin jökrä. Abti kwan munye angwane, tä mdente abko mun jatata niere tie, ti rikadre mike ütiäte siba abkokäre, niebare kwe ietre.
MAT.2.8	Bti juani kwe Belén. 
MAT.2.9	Jrei Herodes käkwe blitabare ünän kore, yebti nitre töbtä ye nikani ta; nikanintre ta angwane muke tuani nüke käin kä driri kwetre, ye ara nikaninta niaratre jie ngwenante abti batibe ngäbäkre nämane, ye känti muke ye namani nünaninkä käin. 
MAT.2.10	Nitre töbtä käkwe muke tuani kore angwane, kä namani nuäre kri btätre. 
MAT.2.11	Nikanintre gwä angwane, ngäbäkre ye nämane gwi meye Maríabe, btä okwä namani. Angwane namani ngukudokwäbti temen, käkwe ngäbäkre ye mikani ütiäte jae. Yebti kaja ngwian nämane kwetre, ye jue tikani kwetre, bti oro amne kri ngwäri ütiäte kri rä bäne bäne kädianta incienso amne mirra biani ngwarbe kwetre ngäbäkre yeye. 
MAT.2.12	Yebti jatanintre nikenta angwane, ñan rikadreta Herodes känti ta abko Ngöbökwe mikani gare köböre ietre, aisete nikaninta ji mdabti nebeta ja käite.
MAT.2.13	Abti nitre töbtä ye nikaninante angwane, angele ni Dänkienkwe nükani blite köböre Josébe, käkwe niebare ie:
MAT.2.13	Näin krö amne ngäbäkre ye btä meye kwe, ye ben nän ngitie jötrö Egipto sete. Ye känti mun raba nüne abti tikwe kukwe mda niedi mae abko makwe ngibia, ñobtä ñan angwane Herodes bike ngäbäkre ye känentari kämikadre. Abko kore se, niebare angelekwe Joséye.
MAT.2.14	Ye btäräbe José nükani dikekä krö, nikani jibti Egipto kukwäre ngitie ngäbäkre yebe amne ngäbäkre ye meyebe kä ikote deo. 
MAT.2.15	Ye känti namanintre nünentbe abti Herodes krütani. Kukwe nakaninkä kore, angwane kukwe niebare krörö ni Dänkienkwe niara kukwei niekä köböire ye namani bare:
MAT.2.15	Ti Odei nämane Egipto, tikwe käräbareta mento, 
MAT.2.15	abko niebare kwe.
MAT.2.16	Nitre töbtä abko käkwe Herodes ngökani, ye gani Herodekwe angwane, Herodes mätä namani kri krübäte, aisete ñongwane nitre töbtä käkwe muke tuani abko niebare kwetre Herodeye, yebtä Herodekwe töbikabare, käkwe ngäbäkre kiakia därebe nebebe kä kubu ie nämane nüne Belén amne Belén kenta temen abko Herodekwe kämikamna jökrä. 
MAT.2.17	Herodekwe ngäbäkre kiakia kämikamna jökrä kore, ye köböire abko ni Ngöbö kukwei niekä kädian nämane Jeremías käkwe Ngöbö kukwei tikani abko namani bare krörö:
MAT.2.18	Ni kukwei ruen ngetrekä krikri krübäte juta Ramate, ye abko Raquel ngäbriänkä kiakia kämikani jökrä kän, mden abko tä müaire ye.
MAT.2.18	Niara moto mika tö nebeta jäme, akwa ngäbriänkä kämikani jökrä kän, aisete moto ñan rabadreta jäme, 
MAT.2.18	abko tikani kore, mden erere namani bare.
MAT.2.19	Abti Herodes krütani angwane, angele ni Dänkienkwe nükani bliteta köböre Josébe Egipto, 
MAT.2.20	käkwe niebare ie:
MAT.2.20	Näin krö amne ngäbäkre ye btä meye kwe ye ben nänta kä Israelite, ñobtä ñan angwane nitre tö namani ngäbäkre ye kämikai abko krütanina jökrä, aisete mun rikata, niebare angelekwe Joséye.
MAT.2.21	Ye btäräbe José nükani dikekä krö, bti nikani jibti ngäbäkre yebe amne ngäbäkre ye meyebe nebeta kä Israelite. 
MAT.2.22	José nikaninta kore, nikani, nikani, nikani akwa ni iti kädian nämane Arquelao nämane gobrane mda rün mrö Herodes täte, ye gani kwe angwane, kä jürä namani kri btä. Abtä ñan nikani nebe kä Judeate. Angwane niara ñan rabadre nüne yete abko Ngöbökwe mikani gare köböre ie, abtä käkä Galilea, känti nikani jirekäbe. 
MAT.2.23	Namani Galilea angwane, nikani nüne juta Nazarete. Jesu abko nazarebo niedre btä abko nitre Ngöbö kukwei niekä köböire Ngöbökwe kukwe niebare, ye erere namani bare jökrä kore.
MAT.3.1	Abti kä nikanina raire ta angwane, batibe ni iti kädian nämane Juan Bautista
MAT.3.2	Juan nikani dirire krörö: Ngöbö kä käinbti kebera nüke gobrane ni ngätäite, aisete kukwe kämekäme kite temen, bti ja töi kwiteta Ngöbö kukwäre abko nikani niere kore. 
MAT.3.3	Juan ne mden abko btä Ngöbökwe kukwe niebare kira niara kukwei niekä Isaías köböire abko krörö:
MAT.3.3	Ni iti näin ñäke jume ja dibti kä kaibete, käkwe niedi krörö:
MAT.3.3	Ji ükateta kuin biare jrei känenkri, ye kwrere ja töi mike kuin biare ni Dänkien käne munkwe.
MAT.3.3	Ji ükateta niken metre ta, ye kwrere ja töi ükete metre ni Dänkien käne munkwe abko näin niere, 
MAT.3.3	abko Ngöbökwe niebare kore Juanbtä Isaías köböire.
MAT.3.4	Juan abko nämane kameo drüen dikani dänre kite jabtä amne nämane mäkete nbikwatabti jae amne mrö kweta nämane kwe abko tröda btä munkö känsenta.
MAT.3.5	Juan nämane dirire kore angwane, ni kwati nünanka juta Jerusalén amne kä Judeate btä ni kwati nünanka känimekänime Ñö Jordán bäre temen abko nükani jökrä niara kukwei nuen. 
MAT.3.6	Angwane nitre ye abko namani ja ngite niere Ngöböye angwane, Juan namani ngökö Ñö Jordánte. 
MAT.3.7	Akwa Juan nämane nitre ngökö ñöte, ye känti nitre bariseo amne nitre saduseo nükani kwati siba abko btä Juan okwä namani angwane, Juankwe niebare krörö ietre:
MAT.3.7	¡Mun abko tbi krübäte kwrere! ¿Ngöbö kebera mun mike ja ngie nuen kri krübäte, yebtä nirekwe mun mikani mokre amarebti mun kite nüke siba nete ye? 
MAT.3.8	Munkwe ja töi kwitadreta era metre Ngöbö kukwäre bkänä tödekakäre bti abko erere munkwe nüna ni mda mda okwäbti. 
MAT.3.9	Erere arato, munkwe ñan töbika krörö jabtä: Nun abko Abraham mräkä, aisete Ngöbökwe ñan nun mikadi ja ngie nuen, munkwe ñan nütü, ñobtä ñan angwane jä tuen temen sete, se abko ngwarbe, akwa Ngöbö raba kwite Abraham mräkäre arato abko ti tö nibi niei metre kore munye. 
MAT.3.10	Mdakäre abko, kri mden mden ñan ngwä nebe kuin, ye abko kräke ü mikanina biare tikakakrä ngätrite ta. Abti tikakata jökrä angwane, ñukwä mikata btä, ye kwrere jire Ngöbökwe mun mikadi ja ngie nuen, munkwe ñan ja töi kwitadre Ngöbö kukwäre angwane.
MAT.3.11	Nire nire käta ja töi kwiteta Ngöbö kukwäre, käta kukwe kämekäme kite temen, ye abko tita ngökö ñö aibe te, akwa ni jatadi iti ti jiebti abko bäri di kri ti ngwä, aisete ti abko ja ñan rükadre töre jire chi tie sandalia ngwena kräke. 
MAT.3.12	Ne abko, niarakwe dre nuendi abko ti bike niere munye abko krörö: Nura kädianta trigo juankata mürete amne trigo kwä kuinkuin aibe ükakröta jenena, bti ükata gwi. Kwata abko kukwata ñukwä jutrate, ye kwrere ni ye abko tä juto biare ni Ngöbökwe erere ükakrökä jökrä nünakäre jabe amne tä juto biare ni kukwe kämekäme nuenkä abko erere kitakäre ñukwä jutra nötöte ñakare te ja tare nikakäre kärekäre. Munkwe ñan ja töi kwitadre Ngöbö kukwäre ne ngwane, kukwe rakadikä kore munbtä arato. Abko kore se, niebare Juankwe ietre.
MAT.3.13	Kä ye ngwane abko, Jesu nämane Galilea, nikani nebe Juan känti Ñö Jordánte mda, Juankwe ngökadre ñöte abkokäre. 
MAT.3.14	Akwa namanina yete angwane, Juan ñan tö namani ngökai ñöte, käkwe niebare ie:
MAT.3.14	Ma bäri ütiäte ti ngwä, aisete makwe ti ngökadre ñöte bä amarebti ma kite ja mike ngökadre ñöte tie se, niebare kwe Jesuye.
MAT.3.15	Angwane Jesukwe niebare mda ie:
MAT.3.15	Jändrän mden mden tuen kuin Ngöböye, yebtä abko nikwe Ngöbö Kukwei mikadre täte, aisete makwe ti ngökadre ñöte, niebare kwe Juanye.
MAT.3.15	Ye erere nükaninbti Juanye angwane, Jesu ngökani ñöte kwe. 
MAT.3.16	Jesu ngökani ñöte, jataninta ñöte käin angwane, kä käin se namani tuen ñäkänintbe ie angwane, Ngöbö Üai jatani ütü bä kwrere timonkwäre, nükani mate Jesubti, namani tuen ie. 
MAT.3.17	Ye btäräbe ni kukwei jarabare kä käinbti, käkwe niebare:
MAT.3.17	Ni ne abra ti Ngobo tikwe. Niara tare kri tikwe. Niara käi nuäre kri tibtä, niebare kore kä käinbti.
MAT.4.1	Yebti diablukwe Jesu nuadrete ja käne, abkokäre Ngöbö Üai nikani ngwena kä kaibete mda. 
MAT.4.2	Ye känti köbö gre ketebu dibire rare Jesukwe mröbare ñakare amne mrö jatani krübäte ie. 
MAT.4.3	Angwane diablu jatani nüke Jesu ken, Jesu nuatekäre ja käne, käkwe niebare ie:
MAT.4.3	Ma abko Ngöbö Odei era metre bkänä ne ngwane, jä se kwite mröre jae, niebare kwe ie.
MAT.4.4	Akwa Jesu käkwe niebare mda diabluye:
MAT.4.4	Ñakare. Ngöbö Kukwei tä tikani krörö:
MAT.4.4	Ñan mrö aibebti ni rabadre nüne, akwa kukwe kwatirekwatire niebare Ngöbökwe, yebti ni rabadre nüne, 
