MAT.1.1	អ្យា​នាវ​ងក៝ច​យៅ​អូ​ចែ​
MAT.1.2	​អី​ឞឹ​
MAT.1.3	​ឆ៝ៈ​អូរ​រាញា​ពាង់​
MAT.1.4	​
MAT.1.5	​ឆ៝ៈ​អូរ​រាញា​ពាង់​
MAT.1.6	​អី​ឞឹ​កាដាច់​
MAT.1.6	កាដាច់​
MAT.1.7	កាដាច់​
MAT.1.8	កាដាច់​
MAT.1.9	កាដាច់​
MAT.1.10	កាដាច់​
MAT.1.11	កាដាច់​
MAT.1.12	ជេស​ឞូ​វែង​គ្រ៝​ប៝ន​លាន​
MAT.1.13	​
MAT.1.14	​
MAT.1.15	​
MAT.1.16	​អី​ឞឹ​
MAT.1.17	កើត​នទ្រី នតើម​ឞើស​
MAT.1.18	ឞើស​ទ៝ង់​អ្យា​ងក៝ច​ឞ្រី​នាវ​ទែស​
MAT.1.19	​
MAT.1.20	ញចោ​អែ​មា​ពាង់​ងក្ល៝ន់​កើត​នៃ គែស​តោង​ពារ់​តាៈ​ឞើស​កោរាញ​ឞ្រាស​មឞើស​អ៝ន់​ពាង់​មា​នាវ​មឞើយ៖ “ហើយ​
MAT.1.21	ពាង់​គុ​អ៝ស​ឞូ​ក្លោ ជេសរី​មៃ​តេៈ​រាញា​
MAT.1.22	លែៈ​នាវ​អ្យា​គែស​គៃ​មា​តឹម​ទី​ងាន់​ដាស​នាវ​កោរាញ​ឞ្រាស​នតិញ​តឹង​ទូ​ហ្វេ​ឞូនុយ្ស​នតើយ្ស​នាវ​ងើយ​កោរាញ​ឞ្រាស​កាល់​អែ​នើស៖
MAT.1.23	«អ្វាញ់​តៃ​យឹ! ទូ​ហ្វេ​ឞូ​អូរ​ទ្រោស​អេ​ហ៝ៈ​គែស​គុ​នទ្រែល​ឞូ​ក្លោ​មរា​នត្រែវ ពាង់​គុ​អ៝ស​ឞូ​ក្លោ‌
MAT.1.23	ជេសរី​ឞូ​ក្វាល់​
MAT.1.23	«
MAT.1.24	ត៝ត់​
