MAT.1.1	Gyoo Defidi na Aberaham be naanabii Yesu Kristo duuluŋ man balaŋ yaa.
MAT.1.2	Aberaham lolana Asiki
MAT.1.2	te Asiki mɔ lola Gyekɔpo
MAT.1.2	te Gyekɔpo mɔ lola Gyuda na ɔ naabia.
MAT.1.3	Gyuda lolana Peresi na Sera baŋ
MAT.1.3	be naa yɛna Tama nɛ,
MAT.1.3	te Peresi mɔ lola Heserɔn,
MAT.1.3	te Heserɔn mɔ lola Ram.
MAT.1.4	Ram lolana Aminadabo
MAT.1.4	te Aminadabo mɔ lola Nasɔn
MAT.1.4	te Nasɔn mɔ lola Salimɔn.
MAT.1.5	Salimɔn na ɔ wɛɛle Rahabo lolana Boase
MAT.1.5	te Boase na ɔ wɛɛle Ruute mɔ lolana Obedi
MAT.1.5	te Obedi mɔ lolana Gyese.
MAT.1.6	Gyese mɔ lolana gyoo Defidi te gyoo Defidi mɔ lolana Solomɔn. Solomɔn ɔ naa yɛna Yuria lialo ŋon gyoo Defidi ba mo yala nɛ.
MAT.1.7	Solomɔn mɔ lolana Rehoboam
MAT.1.7	te Rehoboam mɔ lolana Abigya
MAT.1.7	te Abigya mɔ lolana Asa.
MAT.1.8	Asa lolana Gyehosafate
MAT.1.8	te Gyehosafate mɔ lolana Gyehoram
MAT.1.8	te Gyehoram mɔ lolana Yusia.
MAT.1.9	Yusia lolana Gyotam
MAT.1.9	te Gyotam mɔ lolana Ahase
MAT.1.9	te Ahase mɔ lolana Hesekia.
MAT.1.10	Hesekia lolana Manase
MAT.1.10	te Manase mɔ lola Amɔn
MAT.1.10	te Amɔn mɔ lola Gyosia.
MAT.1.11	Gyosia lolana Gyekonia na ɔ naabia debaŋ keŋ bɔɔ kyaŋ Iseraetena yoo man mo gyu Babilɔn tɛɛle man nɛ.
MAT.1.12	Ba ke kyaŋ Iseraetena gyu Babilɔn tɛɛle man wɔle nɛ
MAT.1.12	te Gyekonia lola Selateli
MAT.1.12	te Selateli mɔ lola Serubabeli.
MAT.1.13	Serubabeli lolana Abiudi
MAT.1.13	te Abiudi mɔ lola Eliakim
MAT.1.13	te Eliakim mɔ lola Asɔ.
MAT.1.14	Asɔ lolana Sadoki
MAT.1.14	te Sadoki mɔ lola Akim
MAT.1.14	te Akim mɔ lola Eliudi.
MAT.1.15	Eliudi mɔ lolana Eliasa
MAT.1.15	te Eliasa mɔ lola Matan
MAT.1.15	te Matan mɔ lola Gyekɔpo.
MAT.1.16	Gyekɔpo mɔ lolana Gyosɛfo.
MAT.1.16	Te Gyosɛfo yala Mɛɛre ŋon ɔ ba lola Yesu
MAT.1.16	ŋon bɛɛ baake e nyi Kristo nɛ.
MAT.1.16	Ŋon yɛna nyeelɛɛre ŋon Wurubuarɛ be yako see nyi waa kɔŋ nɛ.
MAT.1.17	Mena dɔɔ lee Aberaham dɔɔ kelii gyoo Defidi dɔɔ yɛɛ kalola kegyakaare kufu anaara. Te lee gyoo Defidi dɔɔ kelii debaŋ keŋ bɔɔ kyaŋ Iseraetena gyu Babilɔn nɛ yɛɛ kalola kegyakaare kufu anaara. Te lee debaŋ keŋ bɔɔ kyaa Babilɔn kelii debaŋ keŋ bɔɔ lola Kristo mɔ nɛ yɛɛ kalola kegyakaare kufu anaara.
MAT.1.18	Yesu Kristo kalola wose man nombia yaa. Gyosɛfo na Yesu ɔ naa Mɛɛre yakowɔ see nyi baa yala dɔŋa. Mɔna Gyosɛfo ta kpeo ta e ya, te Wurubuarɛ feliŋ yela Mɛɛre kyaŋa fulu. 
MAT.1.19	Na Gyosɛfo yɛɛ walaŋ ŋon ɔ gbɛɛneŋ tenɛɛ Wurubuarɛ siaman, te ɔ bɛɛ gyae nyi waa do Mɛɛre desɛŋ balaŋ man dɔɔ ya nɛ, ɔ yɛɛ wa agyueŋ nyi waa yo bɛɛ e keŋ ŋolo na ŋolo ba gyem ya. 
MAT.1.20	Debaŋ keŋ Gyosɛfo na mo mena agyueŋ kei nɛ, te de Gbeŋgyoo Wurubuarɛ kpilale ŋolo kaa lese ɔ wose wola e dosɛɛ man, te ɔ yako e nyiaa, “Defidi ɔ naanabii Gyosɛfo, na yee Mɛɛre ke yala ya. Nawolo nyi Wurubuarɛ feliŋ yele la te ɔ kyaŋa fulu kei. 
MAT.1.21	Waa lola bu baale na n ka do e yele nyi Yesu. Nawolo nyi ŋon ne gyae la waa lese ɔ balaŋ lee be nombiakumɛɛ man.”
MAT.1.22	Kɛŋa pou kɔŋawɔ mena, na kpene keŋ de Gbeŋgyoo Wurubuarɛ be tɛɛ ɔ dekpeŋkpeŋgyɔɔre Yesaya dɔɔ yako see nɛ ke kɔŋ mena ampaŋ. Nombia ŋenaŋ yɛna nyiaa, 
MAT.1.23	“Alebu ŋon ɔ te doo ta na baale see ya nɛ waa kyaŋ fulu na waa lola bu baale na baa baake e nyi Imanuɛle.” Keŋ nawolo nyi “Wurubuarɛ kyaa de man.” 
MAT.1.24	Mena dɔɔ Gyosɛfo kefoŋ nɛ, ɔ moo Mɛɛre yala ŋgba mena keŋ de Gbeŋgyoo Wurubuarɛ kpilale ŋon be yako e nɛ. 
