MAT.1.1	Yeezu, a Mɛzaaya
MAT.1.2	Aboraham dɔge la Aziki, ka Aziki dɔge Gyekɔb, ka Gyekɔb dɔge Gyuda ane o yɔɔmine. 
MAT.1.3	Ka Gyuda de Taama a dɔge Pɛrɛze ane Zɛra, ka Pɛrɛze dɔge Hɛzeron, ka Hɛzeron dɔge Aram, 
MAT.1.4	ka Aram dɔge Aminadab, ka Aminadab dɔge Nasɔn, ka Nasɔn dɔge Salmɔn. 
MAT.1.5	Ka Salmɔn de Urahabu a dɔge Boaze, ka Boaze de Urut a dɔge Obɛdi, ka Obɛdi dɔge Gyesi, 
MAT.1.6	ka Gyesi dɔge Naa Davil.
MAT.1.6	Ka Davil de Yuriya pɔge a dɔge Solomɔn, 
MAT.1.7	ka Solomɔn dɔge Urehoboam, ka Urehoboam dɔge Abigya, ka Abigya dɔge Asafu, 
MAT.1.8	ka Asafu dɔge Gyɛhosafa, ka Gyɛhosafa dɔge Gyoram, ka Gyoram dɔge Uzaaya, 
MAT.1.9	ka Uzaaya dɔge Gyotam, ka Gyotam dɔge Ahazi, ka Ahazi dɔge Hɛzɛkaya, 
MAT.1.10	ka Hɛzɛkaya dɔge Manaasɛ, ka Manaasɛ dɔge Emɔse, ka Emɔse dɔge Gyozaaya, 
MAT.1.11	ka Gyozaaya dɔge Gyɛkoniya ane o yɔɔmine, a saŋ na ba naŋ nyɔge ba fere gaa ne Baabilɔŋ.
MAT.1.12	A ba Baabilɔŋ nyɔge fere gaabo puoriŋ, Gyɛkoniya dɔge la Salateɛl, ka Salateɛl dɔge Zɛrubabɛl, 
MAT.1.13	ka Zɛrubabɛl dɔge Abide, ka Abide dɔge Eliyakim, ka Eliyakim dɔge Azɔ, 
MAT.1.14	ka Azɔ dɔge Zadɔke, ka Zadɔke dɔge Akim, ka Akim dɔge Eludi, 
MAT.1.15	ka Eludi dɔge Eliyaza, ka Eliyaza dɔge Maatan, ka Maatan dɔge Gyekɔb, 
MAT.1.16	ka Gyekɔb dɔge Yuzɛb, a Mareya serɛ. A Mareya la dɔge a Yeezu, ba naŋ boɔlɔ a Mɛzaaya.
MAT.1.17	Azuiŋ a sããkommine dɔge-tu-taa a piili Aboraham te tɔ Davil da e la pie ne anaare, a yi Davil te ta saŋ na ba naŋ da nyɔge ba fere gaa ne Baabilɔŋ teŋɛ da waa la sããkommine dɔge-tu-taa pie ne anaare. A pãã la yi ba Baabilɔŋ nyɔge fere gaabo puoriŋ a te ta a Mɛzaaya dɔgebo saŋ, da waa la sããkommine dɔge-tu-taa pie ne anaare.
MAT.1.18	Ŋaa la ka Yeezu, a Mɛzaaya dɔgebo da tu. A saŋ na O ma Mareya ne Yuzɛb naŋ da eŋ noɔre ka ba na kuli la taa, ba da naŋ ba laŋ kpɛ sɛre kyɛ ka a Vooroŋ Soŋ e ka Mareya taa poɔ. 
MAT.1.19	A o serɛ Yuzɛb naŋ da waa nemmeŋɛ zuiŋ, o da ba boɔrɔ ka o eŋ o vi noba poɔ. Lɛ la ka o da nare ka o sɔgle bare o. 
MAT.1.20	Kyɛ o naŋ da wa nare a yɛlɛ ama biŋ baare la ka a Daana maleke da wa o zie zannoo poɔ, a wa yeli ko o, “Yuzɛb, Davil bie, ta zoro dabeɛ̃ ka fo de a Mareya ka o waa fo pɔge, bonso, a poɔ o naŋ taa yi la a Vooroŋ Soŋ zie. 
MAT.1.21	O na dɔge la bidɔɔ ka fo pore O yuori ka Yeezu, bonso, O na faa la O noba a yi ne ba yelbebe poɔ.” 
MAT.1.22	A yɛlɛ ama zaa da eɛɛ la ka ka a Daana yelbie O naŋ da tu a Ŋmen-yelmanna zie kyɛ yeli, na tu a tuubu:
MAT.1.23	“Nyɛ, bitoro
MAT.1.23	ka ba pore o yuori Emaawɛl,”
MAT.1.23	a tɛgɛ la, “Naaŋmen be la te zie.” 
MAT.1.24	A Yuzɛb naŋ da wa iri a o goɔŋ poɔ, o da e la a lɛ a Daana maleke naŋ da yeli ka o e. O da de la a Mareya ka o e o pɔge, 
MAT.1.25	kyɛ o da ba baŋ o sɛŋ poɔ, kyɛ ka o te dɔge o bidɔɔ dɛndɛŋ; ka o pore O yuori Yeezu.
MAT.2.1	A Naa Hɛrɔde naaloŋ saŋ, ba naŋ da dɔge a Yeezu Bɛtelɛhɛm naŋ be Gyudiya paaloŋ poɔ, a lɛ puoriŋ, yɛmbaŋnema mine da yi la sapare wa Gyɛruzɛlɛm, 
MAT.2.2	a wa soorɔ, “Yeŋ la ka ba dɔge a bie na naŋ waa a Gyuumine Naa? Bonso, te nyɛ la a O ŋmarbiri puriyiibu a sapareŋ, a wa ka te puori O ne emmo.” 
MAT.2.3	A Naa Hɛrɔde naŋ da wa woŋ a yɛlɛ ama, o ne a Gyɛruzɛlɛm deme zaa pɔlle da teɛɛ la. 
MAT.2.4	Ka o da boɔle a Naaŋmen bagmaalkare ane a Naaŋmen bege wulwulibo lantaa a peɛre ba ka o baŋ zie na ba naŋ na dɔge a Mɛzaaya.
MAT.2.5	Ka ba da yeli ko o, “Bɛtelɛhɛm teŋɛ naŋ be Gyudiya paaloŋ poɔ la, bonso, lɛ la ka a Ŋmen-yelmanneba da sɛge biŋ:
MAT.2.6	‘Fõõ, Bɛtelɛhɛm naŋ be Gyuda paaloŋ poɔ,
MAT.2.6	fo ba waa a Gyuda namine zaa poɔ bile soba;
MAT.2.6	bonso, fo poɔŋ la ka naa na yi,
MAT.2.6	ona la na kyẽẽ N boorɔ noba Izerayɛl.’ ”
MAT.2.7	Lɛ la ka a Naa Hɛrɔde sɔgle boɔle a yɛmbaŋnema a soore ba nɛnɛ ka o baŋ saŋ na ba naŋ nyɛ a ŋmarbiri. 
