GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
GEN.1.2	Lelek naa, dae-inak bei ta dadi, ma basa-basan bei runggu-rangga. Bei hambu kada oe, ma makiu-makahatuk tatana nalan. Manetualain Dula-dalen laa-laa neu-mai nai oe naa bafon lain.
GEN.1.3	Basa boe ma Manetualain kokolak nae, “Muste hambu manggaledok.” Kokolak basa nae talo naa, boe ma manggaledok dadi. 
GEN.1.4	Ana mete-nita manggaledok naa, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk. De Ana tada feꞌe manggaledok numa makiuk mai fo esa-esak no fai heli-helin. 
GEN.1.5	Ana foi manggaledok naa nade, ‘leledok’, ma makiuk naa, ‘leꞌodaek’. Naa, fai kaesan.
GEN.1.6+GEN.1.7	Basa boe ma Manetualain kokolak seluk bali nae, “Dadi mamana rouk, fo tada feꞌe oe. Huu naa de hambu oe nai tadak lain, ma hambu oe nai tadak dae.” Kokolak basa nae talo naa, boe ma oe naa tada baꞌen neu dua. 
GEN.1.8	De Ana foi mamana rouk manai tadak lain naa nade, ‘lalai’. Naa, fai kaduan.
GEN.1.9	Basa boe ma Manetualain kokolak seluk bali nae, “Oe manai tadak dae naa muste nakabubua neu mamanak esa, mita fo hambu dae madak.” Kokolak basa talo naa, boe ma dae madak dadi. 
GEN.1.10	De dae madak naa Ana foin nade, ‘mada lai’; ma oe mana makabubuak naa, Ana foin nade ‘tasi’. Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk. 
GEN.1.11	Boe ma Manetualain kokolak seluk bali nae, “Mada lai muste mori sele-tandek. Muste hambu sele-tandek mana maboak, kadeꞌek, ma mana madoo momodok. Mita fo sele-tandek esa-esak nabuna-boa tungga mata-aon.” Kokolak basa talo naa, boe ma basa sele-tandek dadi. 
GEN.1.12	Nai mada lai, basa sele-tandek kara rabuna-boa tungga esa-esak mata-aon. Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk. 
GEN.1.13	Naa, fai katelun.
GEN.1.14+GEN.1.15	Basa boe ma Manetualain kokolak seluk bali nae, “Nai tadak lain naa, muste hambu buas manggaledok mata-matak fo tao manggaledo dae-inak ia. Muste hambu mana tao manggaledo fai leledok, ma muste hambu laen mana tao manggaledo fai leꞌodaek. Basa sara dadi reu tanda, mita fo bisa reke fai, teuk, ledo-fair bula lalalin.” Kokolak basa talo naa, boe ma basa buas manggaledok kara dadi. 
GEN.1.16	Ana nakadadadik buas manggaledok moꞌok matak dua. Mana moꞌon lenak, nasaꞌa nai fai leledok; kadiꞌik nasaꞌa nai fai leꞌodaek. Ana oo nakadadadik nduuk kara boe. 
GEN.1.17	Ma Ana koladu buas sara raa reu lalai, fo ara rasaꞌa tao manggaledo dae-inak. 
GEN.1.18	Boe ma ara tao manggaledo fai leledok, ma manggaledo fai leꞌodaek. No dalak naa, ara tada baꞌe manggaledok numa makiuk mai. Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk. 
GEN.1.19	Naa, fai kahaan.
GEN.1.20	Basa boe ma Manetualain kokolak seluk bali nae, “Muste hambu banda mata-matak kara, leo rai oe dale. Ma muste hambu mbuik mata-matak kara, lambu rai dae-inak lain.” 
GEN.1.21	Boe ma Ana nakadadadik basa iꞌak mata-matak kara ro banda moꞌok mana leo nai oe dale. Ana oo nakadadadik basa mbuik mata-matak kara, lambu rai lalai boe. Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk. 
GEN.1.22	Basa boe ma Ana kokolak fee babaꞌe-babatik neu basa bandar raa lalaꞌen nae, “Iꞌak kara muste tamba ramanoꞌu, fo rasofe basa oer rai bee a mesan. Ma mbuik kara oo muste tamba ramanoꞌu boe.” 
GEN.1.23	Naa, fai kaliman.
GEN.1.24+GEN.1.25	Basa boe ma Manetualain kokolak seluk bali nae, “Muste hambu banda mata-matak kara, leo rai mada lai. Ndia banda neni nekeboik, banda fuir, ma banda mana manodo-manamak nai daer, esa-esak no mata-aon.” Kokolak basa talo naa, boe ma basa bandar dadi. Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulauk.
GEN.1.26	Basa boe ma Manetualain kokolak seluk bali nae, “Mai fo Ita adu hatahori dae-bafok tungga Ita mata-aon. Mita fo ara lopo-linu ma kiu-lolo basa iꞌak kara marai tasi dale, basa mbuik kara marai lalai, basa banda neni nekeboik kara, ma basa banda laen nara mana leo rai dae-inak.”
GEN.1.27	De Ana adu hatahori dae-bafok tungga Ndia mata-aon. Ana adu sara, touk ma inak. 
GEN.1.28	Boe ma Ana kokolak fee babaꞌe-babatik neu sara nae, “Ei muste bonggi tamba mamanoꞌu, fo tao masofe ma faduli dae-bafok ia. Au oo fee haak neu ei fo faduli iꞌak kara, mbuik kara, ma basa bandar marai mada lai boe. 
GEN.1.29	Nenene matalolole! Au fee ei nanaꞌak mata-matak kara rai dae-bafok ia. Ndia: sele-tande kaboak ma kadeꞌek, ma mana madoo momodok. 
GEN.1.30	Au oo fee basa sele-tandek mata-matak kara, fo dadi neu basa banda mata-matak kara nanaꞌan boe. Hambu nanaꞌak soa-neu banda nekeboik, banda fuir, banda mana manodo-manamak, ma mbuik kara.” Kokolak basa talo naa, boe ma basa nanaꞌak mata-matak kara dadi. 
GEN.1.31	Ana mete-nita basa naar, boe ma dalen namahoko, nahuu hata fo Ana nakadadadi nalak naa, memak neulaun seli. Naa, fai kaneen.
