MAT.1.3	Yúda mú byâ Farɛs bá Zára, nyɔɔŋgʉ́ wáŋ wə́ Tamar. Farɛs mú byâ Ɛsrom. Ɛsrom byâ Aram. 
MAT.1.4	Aram byâ Aminadab. Aminadab byâ Naáson. Naáson byâ Salʉmon. 
MAT.1.5	Salʉmon bá Ráhab bwə́ mú byâ Bowaz. Bowaz bá Rut bwə́ mú byâ Obɛd. Obɛd mú byâ Yése, 
MAT.1.6	Yése ka byâ Dávid.
MAT.1.6	Njwú-buud Dávid bá kúsə́ mə́ Uri bwə́ mú byâ Sə́lʉmun. 
MAT.1.7	Sə́lʉmun mú byâ Robwam. Robwam byâ Abiya. Abiya byâ Azaf. 
MAT.1.8	Azaf byâ Zhwozafat. Zhwozafat byâ Zhworam. Zhworam byâ Oziyas. 
MAT.1.9	Oziyas byâ Yótam. Yótam byâ Akwaz. Akwaz byâ Ezekyas. 
MAT.1.10	Ezekyas byâ Manase. Manase byâ Amon. Amon byâ Zhwoziyas. 
MAT.1.11	Zhwoziyas músə byâ Zhekoniyas bə́nɔ̂ŋ omínyɔŋʉ̂ bɛ́. Ja jɔɔŋgʉ̂ wə́ buud ɔ́ *Izʉrəyɛ̂l bwə́ á kə míkwám mí dɔ́ɔ́mb dɨ́ *Babilɔn yí.
MAT.1.12	Nûŋ Babilɔn, Zhekoniyas músə byâ Salátiyɛl. Salátiyɛl mú byâ Zorobábɛl. 
MAT.1.13	Zorobábɛl byâ Abyûd. Abyûd byâ Eliyakim. Eliyakim byâ Azor. 
MAT.1.14	Azor byâ Sadog. Sadog byâ Ashim. Ashim byâ Eliyud. 
MAT.1.15	Eliyud byâ Elyazar. Elyazar byâ Mátan. Mátan byâ Yákwab. 
MAT.1.16	Yákwab byâ Yósɛb, ŋgwúm mə́ Maríya. Maríya wɔɔŋgʉ̂ wə́ nyə a byâ Yésus, bwə́ dʉ jɔ̂w nə́ Krîst, Cʉgye buud Zɛmbî nyə á bwey kaag yɛ́.
MAT.1.17	Ntɔ́ ikala í búúd í á byɛ̂l wûm nə inɔ̧̂, tɛ́ɛ́dʉ́lə wə́ Abʉraham kə jé wə́ Dávid. Í á bə wûm nə inɔ̧̂ wúlə wə́ Dávid kə jé ja buud ɔ́ Izʉrəyɛ̂l bwə́ á kə míkwám mí dɔ́ɔ́mb dɨ́ Babilɔn yí. Bíl wûm nə inɔ̧̂ í á nyiŋgə byɛ̂l tɛ́ɛ́d ja bwə́ á kə míkwám dɨ́ yí kə jé wə́ Krîst.
MAT.1.19	Yósɛb nyɛ mú tə́dʉga nə́ a wɛ̂ny cɛ̧ɛ̧lá bâ wɔɔŋgʉ̂. Njɨ nda nyə á bə tʉ́təlí muud nə́ nyə á cɛɛl béégya nə Maríya shwoó, kú wá nyə shwôn. 
MAT.1.20	A ŋgə́ tə́dʉga ntɔ́, *éŋgəles mə́ Yawé mú zə lésha nə nyə ntámə́d nə́: «Yé Yósɛb Mwân mə́ *Dávid, wo kú fúndə bálə Maríya, nəcé mwán jɨ́ nyə mwɔ̧́ dɨ́ ɛ́nɛ ŋgə zhu wə́ Ŋkɛ̧́ŋkɛ̧̂ Shíshim. 
MAT.1.21	A bá byâ mwámudûm, wo bá gwiid nyə nə́ Yésus, nəcé nyə wə́ mə́ bá cʉg kúl búúd jé nə *misə́m.»
