MAT.1.1	Ọkwukwo osnusno ọmumu Jizọsi Karaịsi, nnwọ Devidi, nnwọ Ebereham.
MAT.1.2	Ebereham mụrnu Aziki, Aziki mụhia Jekọpu, Jekọpu mụhia Juda nụ rụmu nne a. 
MAT.1.3	Juda mụhia Pẹrezi nụ Zẹra, nne be bụ Tama, Pẹrezi mụhia Hezirọni, Hezirọni mụhia Ram, 
MAT.1.4	Ram mụhia Aminadabụ, Aminadabụ mụhia Nasọni, Nasọni mụhia Salịmoni, 
MAT.1.5	Salịmoni mụhia Boazi, nne a bụ Rehabụ, Boazi mụhia Obedi, nne a bụ Rutu, Obedi mụhia Jesi, 
MAT.1.6	Jesi mụhia Eze Devidi.
MAT.1.6	Devidi mụhia Solomọni, nne a bụ nnwerne Uraya, 
MAT.1.7	Solomọni mụhia Rehoboam, Rehoboam mụhia Abija, Abija mụhia Asa, 
MAT.1.8	Asa mụhia Jehosafati, Jehosafati mụhia Joram, Joram mụhia Uzaya, 
MAT.1.9	Uzaya mụhia Jọtam, Jọtam mụhia Ehazị, Ehazị mụhia Hezikaya, 
MAT.1.10	Hezikaya mụhia Manase, Manase mụhia Amọni, Amọni mụhia Josaya, 
MAT.1.11	Josaya mụhia Jekonaya nụ rụmu nne a. Ka bụ ige ele Babịloni vuru be la n'ẹli Babịloni.
MAT.1.12	Nga be vukworu be zne nụ Babịloni, Jekonaya mụhia Seatẹli, Seatẹli mụhia Zerubabẹli, 
MAT.1.13	Zerubabẹli mụhia Abiudu, Abiudu mụhia Ẹliakim, Ẹliakim mụhia Azọ, 
MAT.1.14	Azọ mụhia Zadọku, Zadọku mụhia Akịm, Akịm mụhia Eliudu, 
MAT.1.15	Eliudu mụhia Eleza, Eleza mụhia Matanị, Matanị mụhia Jekọpu, 
MAT.1.16	Jekọpu mụhia Josefu nzi Meri. Meri bụ nye mụrnu Jizọsi, nye be kwu Karaịsi.
MAT.1.17	Kpakara ẹbnurnu hite n'Ebereham dụ Devidi bụ nri ẹbnurnu nụ ẹno, hite nụ Devidi dụ nga be vuru be zne n'ẹli Babịloni bụ nri ẹbnurnu nụ ẹno, hite nụ nga be wuru nụ Babịloni dụ nụ ọmumu Karaịsi bụ nri ẹbnurnu nụ ẹno.
MAT.1.18	Ka bụ kpa be jiri mụ Jizọsi Karaịsi. Nga be kweru nụ Josefu jọolu nne a Meri,
MAT.1.19	Josefu bụ nzi a bụ ọmamarna badnụ, ọ chọ́la ọ kpasị a iwhnerne nụ ruwhnu ọhna, o pioru ọ gba a nnam nụ mgwụgwa.
MAT.1.20	Kọvu nga ọ zị naarị kpakara nhne ka nụ mkpọma a, enine izi Nyenwe aị vakwnusiri a nụ mbọro, kaa, “Josefu, nnwọ Devidi, ị tụ́ko ogwnu o kwuru nnwerne i Meri, nnwọ ọ zị rime a hi n'aka Enine Nsọ. 
MAT.1.21	Ọ jọomuhia nnwọ rukna, i jookwu a Jizọsi, kwnornu nụ o jọoznohia ele ke a nụ kpakara mmehie be.”
MAT.1.22	Ka bụ ma nhne Nyenwe aị kwuru hite n'ọnu nye ọwhnurninya mezu, 
MAT.1.23	“Otu woknornokno máa nyerukna jọotu rime, ọ jọomuhia nnwọ rukna, be jookwu a Imanụeli,” ke bụ, “Chiokike zịnu aị.”
MAT.1.24	Nga Josefu tnenyarnụ nụ anyarna, o lizọ, o mee kpa enine izi Nyenwe aị nyernu a iwu, o kwuru Meri nnwerne a. 
MAT.1.25	Kọvu ya nụ a dnányina dụ nga ọ mụhiaru nnwọ rukna, ọ jịta rẹwhna a Jizọsi.
MAT.2.1	Nga be mụrnu Jizọsi nụ Bẹtilehem n'ẹli Judiya, nga Erọdu bụ eze, ele akọ
MAT.2.2	nẹesikwa, “Ndaa hne ọ zị bụ nye be mụrnu, eze ele Ju? Kwnornu nụ a whnụrnu mbọ a n'ọbosi ẹhnam, a varụ ma a kpọnu a risi ẹli.”
MAT.2.3	Nga Eze Erọdu nụrnu nhne ka, mkpọma larụ a mini, ya nụ kpakara ele zị nụ Jerusẹlem. 
MAT.2.4	Nga o sukwukọtaru kpakara ele risi arịohna nụ ele zni iwu ele Ju, ọ sịkwa be hne be jọomu Karaịsi wam.
MAT.2.5	Be kanụ a nụ Bẹtilehem n'ẹli Judiya, ọ bụ kpa be gbarụ a n'ọkwukwo hite n'ọnu nye ọwhnurninya, kaa,
MAT.2.6	“Jị Bẹtilehem, n'ẹli Juda,
MAT.2.6	ị zị́la matị kakwo n'esilawụru risi ẹli Juda rịa rịa,
MAT.2.6	kwnornu nụ hite nụ jị hne nye risi jeehi whụya,
MAT.2.6	nye jọoznu ele ke m Izirẹli lele atnụrnu.”
MAT.2.7	Nga Erọdu sukwuru ele akọ wam nụ mgwụgwa, ọ sịkwahia be nga mbọ wam whụyaru iwhne. 
MAT.2.8	Ọ kanụ be zne Bẹtilehem, kaa, “Anụ zne piosi nnwọ ikne wam rikne, nga anụ piohịaru a, anụ va kanụ m, m jeezne kpọnu a risi ẹli masị.” 
