GEN.1.1	Anns an toiseach
GEN.1.2	Agus bha an talamh
GEN.1.3	Agus thubhairt Dia
GEN.1.4	Agus chunnaic Dia an solas, gu robh e math: agus chuir Dia dealachadh eadar an solas agus an dorchadas.
GEN.1.5	Agus thug Dia mar ainm air an t‑solas Là
GEN.1.6	Agus thubhairt Dia
GEN.1.7	Agus rinn Dia an t‑adhar
GEN.1.8	Agus thug Dia mar ainm air an adhar Nèamh. Agus b’iad am feasgar agus a’ mhadainn an dara là.
GEN.1.9	Agus thubhairt Dia
GEN.1.10	Agus thug Dia mar ainm air an tìr thioraim Talamh; agus air cruinneachadh nan uisgeachan thug e mar ainm Fairgeachan: agus chunnaic Dia gu robh e math.
GEN.1.11	Agus thubhairt Dia, Thugadh an talamh a‑mach
GEN.1.12	Agus thug an talamh a‑mach feur, luibh a ghineas sìol a rèir a gnè, agus craobh a bheir a‑mach meas, aig a bheil a sìol innte fhèin, a rèir a gnè: agus chunnaic Dia gu robh e math.
GEN.1.13	Agus b’iad am feasgar agus a’ mhadainn an treas là.
GEN.1.14	Agus thubhairt Dia, Biodh
GEN.1.15	Agus biodh iad mar sholais ann an speuran nèimh, a thoirt solais air an talamh: agus bha e mar sin.
GEN.1.16	Agus rinn Dia dà sholas mhòr; an solas as mò a riaghladh an là, agus an solas as lugha a riaghladh na h‑oidhche: agus na reultan.
GEN.1.17	Agus shuidhich Dia iad ann an speuran nèimh, a thoirt solais air an talamh,
GEN.1.18	Agus a riaghladh
GEN.1.19	Agus b’iad am feasgar agus a’ mhadainn an ceathramh là.
GEN.1.20	Agus thubhairt Dia, Thugadh na h‑uisgeachan a‑mach gu pailt an creutair gluasadach anns a bheil beatha
GEN.1.21	Agus chruthaich Dia mucan‐mara mòra, agus gach uile chreutair beò a ghluaiseas, a thug na h‑uisgeachan a‑mach gu pailt, a rèir an gnè, agus gach eun iteagach a rèir a ghnè: agus chunnaic Dia gu robh e math.
GEN.1.22	Agus bheannaich Dia iad, ag ràdh, Sìolaichibh, agus fàsaibh lìonmhor, agus lìonaibh na h‑uisgeachan anns na fairgeachan, agus fàsadh an eunlaith lìonmhor air an talamh.
GEN.1.23	Agus b’iad am feasgar agus a’ mhadainn an còigeamh là.
GEN.1.24	Agus thubhairt Dia, Thugadh an talamh a‑mach an creutair beò a rèir a ghnè, sprèidh, agus gach nì a shnàigeas, agus beathaichean na talmhainn a rèir an gnè: agus bha e mar sin.
GEN.1.25	Agus rinn Dia beathaichean na talmhainn a rèir an gnè, agus an sprèidh a rèir an gnè, agus gach nì a shnàigeas air an talamh a rèir a ghnè: agus chunnaic Dia gu robh e math.
GEN.1.26	Agus thubhairt Dia, Dèanamaid duine nar dealbh fhèin, a rèir ar coslais fhèin, agus biodh uachdaranachd aca os cionn èisg na mara, agus os cionn eunlaith nan speur, agus os cionn na sprèidhe, agus os cionn na talmhainn uile, agus os cionn gach nì a shnàigeas a tha a’ snàigeadh air an talamh.
GEN.1.27	Agus chruthaich Dia an duine na dhealbh fhèin
GEN.1.28	Agus bheannaich Dia iad, agus thubhairt Dia riu, Sìolaichibh, agus fàsaibh lìonmhor, agus lìonaibh an talamh, agus ceannsaichibh e: agus biodh uachdaranachd agaibh os cionn èisg na mara, agus os cionn eunlaith nan speur, agus os cionn gach nì beò a ghluaiseas air an talamh.
GEN.1.29	Agus thubhairt Dia, Feuch, thug mi dhuibh gach luibh a ghineas sìol, a tha air aghaidh na talmhainn uile, agus gach craobh anns a bheil meas craoibhe a ghineas sìol
GEN.1.30	Agus do uile bheathaichean na talmhainn, agus do uile eunlaith nan speur, agus do gach nì a shnàigeas air an talamh, anns a bheil beatha
GEN.1.31	Agus chunnaic Dia gach nì a rinn e, agus, feuch, bha e ro‑mhath. Agus b’iad am feasgar agus a’ mhadainn an siathamh là.
GEN.2.1	Agus chrìochnaicheadh na nèamhan agus an talamh, agus an sluagh uile.
GEN.2.2	Agus chrìochnaich Dia air an
GEN.2.3	Agus bheannaich Dia an seachdamh là, agus naomhaich e e: do bhrìgh gur ann air a ghabh e fois o a obair uile a chruthaich Dia
GEN.2.4	Is iad seo ginealaichean nan nèamh agus na talmhainn nuair a chruthaicheadh iad, anns an là anns an do rinn an Tighearna Dia an talamh agus na nèamhan.
GEN.2.5	Agus cha robh aon de phreasan na machrach fhathast anns an talamh, agus cha d’fhàs fhathast aon de lusan na machrach; do bhrìgh nach tug an Tighearna Dia air uisge frasadh air an talamh, agus cha robh duine ann a shaothrachadh na talmhainn.
GEN.2.6	Ach chaidh ceò suas on talamh, agus dh’uisgich e aghaidh na talmhainn uile.
GEN.2.7	Agus dhealbh an Tighearna Dia an duine
GEN.2.8	Agus
GEN.2.9	Agus thug an Tighearna Dia air gach uile chraoibh fàs as an talamh a tha taitneach don t‑sealladh, agus math a‑chum bìdh
GEN.2.10	Agus chaidh abhainn a‑mach à Eden a dh’uisgeachadh a’ ghàrraidh; agus as a sin roinneadh i, agus dh’fhàs i na ceithir cinn.
GEN.2.11	Is e ainm na ciad aibhne Pison; seo i a tha a’ cuartachadh
GEN.2.12	Agus tha òr na tìre sin math: an sin tha bdellium agus a’ chlach onics.
GEN.2.13	Agus is e ainm na dara aibhne Gihon: is i sin a tha a’ cuartachadh tìr Chuis
GEN.2.14	Agus is e ainm na treas aibhne Hidecel
GEN.2.15	Agus ghabh an Tighearna Dia
GEN.2.16	Agus dh’àithn an Tighearna Dia don duine, ag ràdh, De gach uile chraoibh anns a’ ghàrradh
GEN.2.17	Ach de chraoibh eòlas a’ mhaith agus an uilc
GEN.2.18	Agus thubhairt an Tighearna Dia, Chan eil e math gum biodh an duine na aonar
GEN.2.19	Agus dhealbh an Tighearna Dia as an talamh uile bheathaichean na machrach, agus uile eunlaith nan speur; agus
GEN.2.20	Agus thug Adhamh ainmean don sprèidh uile, agus do eunlaith nan speur, agus do uile bheathaichean na machrach; ach do Adhamh cha d’fhuaireadh còmhnadh da rèir fhèin.
GEN.2.21	Agus thug an Tighearna Dia air
GEN.2.22	Agus thog an Tighearna Dia an aisne a thug e on duine suas na mnaoi, agus
GEN.2.23	Agus thubhairt Adhamh, Seo a‑nis cnàimh
GEN.2.24	Air an adhbhar sin
GEN.2.25	Agus bha iad le chèile lomnochd, an duine agus a bhean, agus cha robh nàire orra.
GEN.3.1	Agus bha
GEN.3.2	Agus thubhairt a’ bhean ris an nathair, De mheas craobhan a’ ghàrraidh faodaidh sinn ithe:
GEN.3.3	Ach de mheas na craoibhe a tha ann am meadhon a’ ghàrraidh, thubhairt Dia, 
GEN.3.4	Agus thubhairt
GEN.3.5	Oir tha fhios aig Dia, anns an là a dh’itheas sibh dheth, gum fosglar ur sùilean, agus gum bi sibh mar dhiathan, fiosrach air math agus air olc.
GEN.3.6	Agus chunnaic a’ bhean gu robh a’ chraobh math a‑chum bìdh, agus na craoibh ra miannachadh a dhèanamh neach glic: agus ghabh i de a meas agus dh’ith i, agus thug i mar an ceudna da fear maille rithe, agus dh’ith e.
