MAT.1.1	Tô môɲ wo Jésu wo na *kuŋga kelma Dabid wo na kuŋga *Abraham a men hen a na: 
MAT.1.2	Abraham yê Isak, Isak yê Jakwôb, Jakwôb yê Juda naɲ yênêri. 
MAT.1.3	Juda yê Parês naɲ Jara wo yori na Tamar hen, Parês yê Esrôm, Esrôm yê Aram, 
MAT.1.4	Aram yê Aminadab, Aminadab yê Nasôn, Nasôn yê Salmôn, 
MAT.1.5	Salmôn yê Bohoj wo yori na Rahab hen, Bohoj yê Obêd wo yori na Rut hen, Obêd yê Jésé, 
MAT.1.6	Jésé yê kelma Dabid. Dabid yê Salomôn wo yori na tam Uri hen, 
MAT.1.7	Salomôn yê Roboham, Roboham yê Abiya, Abiya yê Asap, 
MAT.1.8	Asap yê Josapat, Josapat yê Joram, Joram yê Ojiyas, 
MAT.1.9	Ojiyas yê Johatam, Johatam yê Akaj, Akaj yê Ejékiyas, 
MAT.1.10	Ejékiyas yê Manasé, Manasé yê Amôn, Amôn yê Josiyas, 
MAT.1.11	Josiyas yê Jékwoniyas naɲ yênêri. Na elê bi wo hen aɲa bay ré pôriɲ balêrji ôriɲ Babilôn a lemnare hen. 
MAT.1.12	Kam *Israyêl ka bay yêji Babilôn a tô lemnare a a na: Jékwoniyas yê Salatiyêl, Salatiyêl yê Jorobabêl, 
MAT.1.13	Jorobabêl yê Abiyud, Abiyud yê Eliyakim, Eliyakim yê Ajôr, 
MAT.1.14	Ajôr yê Sadôk, Sadôk yê Akim, Akim yê Eliyud, 
MAT.1.15	Eliyud yê Eléyajar, Eléyajar yê Matan, Matan yê Jakwôb, 
MAT.1.16	Jakwôb yê Josêp woɲ ôbi kurô Mari to yê Jésu wo bay uwôgeri *Krist, kwo Emen dôri hen hen.
MAT.1.17	Ayiɲ tôri sa Abraham a kwôy saɲ sa kelma Dabid a na, na tô môɲ môj kibi pôrbu, men, hena sa kelma Dabid kwôy sa to bay pôrji lemnare hen na, na tô môɲ môj kibi pôrbu men, hena wulê wo bay pôrji lemnare Babilôn a hen kwôy saɲ sa Krist a na, na tô môɲ môj kibi pôrbu a men.
MAT.1.18	Na derêŋge kwôli yê wo bay yê Jésu Krist. Mari toɲ yori na, na hendi gusô Josêp, niɲba, bay yiɲ né tô, menba, hende yi kwoo naɲ néé wo Tunu toɲ hendi bô bôrê. 
MAT.1.19	Josêp woɲ ôbi gusôre bi wo hen na, na gawra woɲ derôre, ôbi genge ɗiré kaɲêre jegê mera ɗiba ɗiré kelê kwôli ta bi tayre ré duru ré. 
MAT.1.20	Kiriɲa ôbi erem bôri a hen iyôŋ ba ya tô, menba, *mana wo derômaraŋ a sa kôli bô wônê a iyôŋ ba: «Josêp kuŋga kelma Dabid, meremné ré, niɲba, ju bô Mari mega tamnem iyôŋ, 
MAT.1.21	wôsa kwoo wo hende yi hen na, na naɲ néé wo Tunu toɲ hendi bô bôrê, aɲ hende a yê kema iba aɲ já uwôgeri Jésu, wôsa na ôbi a gôliɲ naɲ balêri sa têriɲ lêreji a hen.» 
MAT.1.22	Are bay ka hen yi hen iyôŋ bi kwôlo Emen na biɲ ôbi kibri na kôl hen na, ariri ré liɲ. Ôbi na kôl iyôŋ ba: 
MAT.1.23	«Môni temale a yé kwoo aɲ a yê kema iba aɲ bay a uwôgeri Emanuwêl
MAT.1.24	Kiriɲa Josêp eŋgiɲ tô kum a menba, ôbi li mega bi wo mana wo Kelma kôli hen iyôŋ. Ôbi gô naɲ Mari. 
MAT.1.25	Niɲba, bay yiɲ né kwôy wo hende yêɲ kema iba aɲ ôbi uwôgeri Jésu.
MAT.2.1	Bay yê Jésu Bêteléhêm môni iyére to bô emê wo Judé a, wulê bi wo hen a na, na *Hérôd a na na ôbi emê sa iyére. Kiriɲ bay ka hen na, bay henê are henaji si tô emen iyôŋ saji Jérusalêm a. 
