MAT.1.1	Taku̱rda-o̱ u̱n baag-o Ye̱so 
MAT.1.3	Perez matu̱ru̱ He̱zu̱ron,
MAT.1.3	He̱zu̱ron matu̱ru̱ Aram,
MAT.1.4	Aram matu̱ru̱ Aminadab,
MAT.1.4	Aminadab matu̱ru̱ Nashon,
MAT.1.4	Nashon matu̱ru̱ Sarmon.
MAT.1.5	Sarmon matu̱ru̱ Bo'az (inu u̱n wu̱ Rahab),
MAT.1.5	Bo'az matu̱ru̱ Obe̱d (inu u̱n wu̱ Rutu),
MAT.1.5	Obe̱d matu̱ru̱ 
MAT.1.7	Re̱hebowam matu̱ru̱ Abija,
MAT.1.7	Abija matu̱ru̱ Asa,
MAT.1.8	Asa matu̱ru̱ Je̱hoshapat,
MAT.1.8	Je̱hoshapat matu̱ru̱ Je̱horam,
MAT.1.8	Je̱horam matu̱ru̱ Uzziya.
MAT.1.9	Uzziya matu̱ru̱ Jo̱tam,
MAT.1.9	Jo̱tam matu̱ru̱ Ahaz,
MAT.1.9	Ahaz matu̱ru̱ He̱ze̱kiya,
MAT.1.10	He̱ze̱kiya matu̱ru̱ Manase,
MAT.1.10	Manase matu̱ru̱ Amon,
MAT.1.10	Amon matu̱ru̱ Jo̱saya.
MAT.1.11	Jo̱saya matu̱ru̱ Je̱ko̱niya u̱n hen-ne̱ ye̱ u̱n wu̱ ne̱, cin ba a u̱n ku̱u̱s ye̱ m-gu̱w so̱ u̱n dak-o̱ o-
MAT.1.12	Bo̱ a wo̱tte̱ ye̱ o-
MAT.1.12	Je̱ko̱niya matu̱ru̱ Shetiyer,
MAT.1.12	Shetiyer matu̱ru̱ Ze̱rubabe̱r,
MAT.1.13	Ze̱rubabe̱r matu̱ru̱ Abihudu,
MAT.1.13	Abihudu matu̱ru̱ E̱riyakim,
MAT.1.13	E̱riyakim matu̱ru̱ Azo̱r.
MAT.1.14	Azo̱r matu̱ru̱ Zado̱k,
MAT.1.14	Zado̱k matu̱ru̱ Akim,
MAT.1.14	Akim matu̱ru̱ Eriwuda,
MAT.1.15	Eriwuda matu̱ru̱ E̱re̱yazar,
MAT.1.15	E̱re̱yazar matu̱ru̱ Matana.
MAT.1.15	Matana ne̱ wu̱ matu̱ru̱ 
MAT.1.17	Cir-mo̱ u̱n zaman-o 
MAT.1.18	Mat-o Ye̱so 
MAT.1.19	Wan-ryap-de u̱n wu̱ 
MAT.1.20	Amba wu̱ ro̱ u̱n ká barag-se, wan-to̱m-wu̱ Wan-Ko̱yan rwu̱u̱nu̱ru̱ wu̱ ru̱ru̱ wu̱ n-te̱ o-bo, wu̱ ze̱e̱ru̱ wu̱, “
MAT.1.21	Wu̱a met wà, wo̱a e̱gu̱ wu̱ u̱r-jin 
MAT.1.22	Ka rii-yo u̱n ko̱r kap remen a shooste̱ rii-yo Wan-Ko̱yan rwo̱re̱ à, cin n-ga ne̱ u̱n nu-o̱ u̱n 
MAT.1.23	“Wan-ne'a-wu̱ nape̱ campo̱ á wu̱a nom u̱r-uub,
MAT.1.23	wu̱a met wà, wan-campo̱.
MAT.1.23	Komo a e̱gu̱ wu̱ u̱r-jin 
MAT.1.23	Ka jin-de 
MAT.1.24	Bo̱ 
MAT.1.25	Amba wu̱ nap wu̱ ne'a á, se̱ da-o̱ wu̱ messe̱ wà u̱n wu̱ à wan-campo̱. 
MAT.2.1	Da-o̱ ko-Gwo̱mo 
MAT.2.2	Ye̱ citu̱ru̱ hun-ne̱ o-cot, “¿Kene̱ ka wà-wu̱ a mate̱ à ro̱, wu̱ he m-warag ko-Gwo̱mo no̱ 
MAT.2.3	Bo̱ ko-Gwo̱mo 
MAT.2.4	Wu̱ karaksu̱ru̱ kap o̱ u̱n Gwo̱mo-ne̱ ye̱ u̱n ko̱n-se Shir u̱n 
MAT.2.5	Ye̱ shasu̱ru̱ wu̱, “U̱n bo̱-o̱ o-Be̱tarami, n-me̱ u̱n dak-o̱ o-Judiya. Te̱ nak remen kaane̱ 
MAT.2.6	“ ‘No̱ hun-ne̱ ye̱ o-Be̱tarami u̱n dak-o̱ o-Judiya,
MAT.2.6	wan-gaan be-u̱r no̱ a warag caari-wu̱ u̱n ko-Gwo̱mo,
MAT.2.6	Komo wu̱a do̱ru̱tte̱ hun-ne̱ re 
MAT.2.6	bo̱ wa-u̱t-gu̱t ro̱ m-do̱ru̱tte̱ u̱n gu̱t-to̱ u̱n wu̱ à.
MAT.2.6	Remen kaane̱ bo̱-o no̱ a warag
MAT.2.6	caari-o̱ o-bo̱ u̱n dak-o̱ o-Judiya.’
MAT.2.7	Bo̱ 
MAT.2.8	Bo̱ ye̱ ru̱ru̱te̱ wu̱ à, wu̱ to̱mu̱ru̱ ye̱ ha-mo̱ o-Be̱tarami, wu̱ zee, “Ha no̱ cekrendu̱ me̱ ma-to̱ u̱n ká wà-wu̱ ce̱e̱n. U̱n ra-o̱ no̱ hyente̱ wu̱ à, no̱ mu̱u̱n, no̱ ru̱ru̱ me̱, remen me̱ u̱n ce re u̱m heet m-kwu̱ktu̱ wu̱.”
MAT.2.9	Komo bo̱ ye̱ komte̱ ho̱ge̱ u̱n ma-to̱ u̱n ko-Gwo̱mo à, ye̱ argu̱ arag-mo̱ u̱n ye̱. U̱n co̱w-yo u̱n ye̱, ye̱ hyanu̱ru̱ ká re̱ge̱n-yo, yo ye̱ hyane̱ u̱r-ho̱ran à. Zak-o ho̱o̱ru̱ ye̱ de̱e̱n bo̱ ye̱ hyane̱ yo komo à. Ká re̱ge̱n-yo ro̱ u̱n co-o̱ u̱n ye̱, ye̱ ro̱ yo m-do̱re̱ har yo haaru̱ yo e̱su̱ru̱ o-Be̱tarami be-de wà ro à. 
MAT.2.10	Bo̱ ye̱ hyente̱ o-re̱ge̱n à, me̱n-to̱ u̱n ye̱ shiiru̱ o-zak de̱e̱n. 
MAT.2.11	Ka ya-u̱s-nap-ye̱ co̱wu̱ru̱ o-hur. Ye̱ hyanu̱ru̱ wà u̱n inu u̱n wu̱ ne̱ 
MAT.2.12	Ye̱ wargu̱ru̱ u̱n dak-o̱ u̱n ye̱ u̱n co̱w-o ho̱r-yo, remen Shir ka'aksu̱tu̱ ye̱ m-bo ye̱ jar ye̱ warag be-u̱r 
MAT.2.13	Bo̱ ka ya-u̱s-nap-ye̱ aragsu̱te̱ à, wan-to̱m-wu̱ Wan-Ko̱yan ru̱ru̱ 
MAT.2.15	Wu̱ she'etu̱ru̱ re̱e̱no̱ o-
MAT.2.16	Bo̱ 
MAT.2.17	U̱n kaane̱ a shoose̱ rii-yo a rwo̱re̱ u̱n nu-o̱ u̱n ko-
MAT.2.18	“A ho̱gu̱te̱ u̱s-'wo̱n u̱n bo̱-o̱ o-Rama,
MAT.2.18	'wo̱n-se u̱n tu̱k-mo̱ u̱t-me̱n de̱e̱n.
MAT.2.18	Wu̱ kwangu̱te̱ u̱t-kwe̱e̱mse̱
MAT.2.18	remen yakar-ye̱ u̱n wu̱ mereste̱.”
