MAT.1.1	In e nhag rɨp Yesu Kristo
MAT.1.2	Mərɨg rɨp Yesu yame rəkupən, Ebraham. Kɨni Ebraham in rɨm Aesak, kɨni Aesak in rɨm Jekob, kɨni Jekob in rɨm Juda mɨne naorahini mɨnə,
MAT.1.3	kɨni Juda in rɨm Peres mɨne Zera, nɨsɨnriu e Tamara, kɨni Peres in rɨm Hesron, kɨni Hesron in rɨm Ram,
MAT.1.4	kɨni Ram in rɨm Aminadab, kɨni Aminadab in rɨm Nason, kɨni Nason in rɨm Salmon,
MAT.1.5	kɨni Salmon in rɨm Boas, e nɨsɨni e Rehab, kɨni Boas in rɨm Obed e, nɨsɨni e Rut, kɨni Obed in rɨm Jese,
MAT.1.6	kɨni Jese in rɨm King Deved.
MAT.1.7	kɨni Solomon in rɨm Rehoboam, kɨni Rehoboam in rɨm Abia, kɨni Abia in rɨm Asa,
MAT.1.8	kɨni Asa in rɨm Jehosafat, kɨni Jehosafat in rɨm Jehoram, kɨni Jehoram in rɨp Usia,
MAT.1.9	kɨni Usia in rɨm Jotam, kɨni Jotam in rɨm Ahas, kɨni Ahas in rɨm Hesekia,
MAT.1.10	kɨni Hesekia in rɨm Manase, kɨni Manase in rɨm Amon, kɨni Amon in rɨm Josaea,
MAT.1.11	kɨni Josaea in rɨm Jehoeakin mɨne piauni mɨnə, kɨni kwasɨg ikɨn, nəmə Babilonia kɨmnhavən apa Isrel, mhavəh-si ta nəmə Isrel tuk tanə atuatuk kapəriə, mhapɨk əriə mhavən apa Babilonia.
MAT.1.12	Kɨni in e nhag rɨp Yesu mɨnə, rɨrikakun ye nɨpɨg yame kwənərəus mɨnə kape Isrel kɨmnɨsarə Babilonia.
MAT.1.12	Jehoeakin in rɨm Sealtiel, kɨni Sealtiel in rɨp Serubabel,
MAT.1.13	kɨni Serubabel in rɨm Abiud, kɨni Abiud in rɨm Eliakim, kɨni Eliakim in rɨm Asor,
MAT.1.14	kɨni Asor in rɨm Jadok, kɨni Jadok in rɨm Aki, kɨni Aki in rɨm Eliud,
MAT.1.15	kɨni Eliud in rɨm Eleasara, kɨni Eleasara in rɨm Matan, kɨni Matan in rɨm Jekob,
