GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
GEN.1.4	Gud så at lyset var godt, og Gud skilte lyset fra mørket. 
GEN.1.5	Gud kalte lyset dag, og mørket kalte han natt. Og det ble kveld, og det ble morgen, første dag.
GEN.1.6	Gud sa: «Det skal bli en hvelving midt i vannet! Den skal skille vann fra vann.» 
GEN.1.7	 Gud laget hvelvingen og skilte vannet som er under hvelvingen, fra vannet som er over hvelvingen. Og det ble slik. 
GEN.1.8	Gud kalte hvelvingen himmel. Og det ble kveld, og det ble morgen, andre dag.
GEN.1.10	Gud kalte det tørre landet jord, og vannet som hadde samlet seg, kalte han hav. Og Gud så at det var godt.
GEN.1.11	Gud sa: «Jorden skal bli grønn! Grønne vekster skal gro på jorden, planter som setter frø, og frukttrær som bærer frukt med frø i, av alle slag.» Og det ble slik. 
GEN.1.12	Jorden bar fram grønne vekster, planter som setter frø, av alle slag, og trær som bærer frukt med frø i, av alle slag. Og Gud så at det var godt. 
GEN.1.13	Og det ble kveld, og det ble morgen, tredje dag.
GEN.1.15	De skal være lys på himmelhvelvingen og skinne over jorden.» Og det ble slik. 
GEN.1.16	 Gud laget de to store lysene, det største lyset til å herske over dagen og det minste lyset til å herske over natten, og stjernene. 
GEN.1.17	Gud satte dem på himmelhvelvingen til å lyse over jorden, 
GEN.1.18	til å herske over dagen og over natten og til å skille lyset fra mørket. Og Gud så at det var godt. 
GEN.1.19	Og det ble kveld, og det ble morgen, fjerde dag.
GEN.1.20	Gud sa: «Vannet skal myldre av levende skapninger! Fugler skal fly over jorden, under himmelhvelvingen.» 
GEN.1.21	Og Gud skapte de store sjødyrene og hver levende skapning av alle de slag som vannet kryr og myldrer av, og alle slags fugler med vinger. Og Gud så at det var godt. 
GEN.1.22	Gud velsignet dem og sa: «Vær fruktbare og bli mange og fyll vannet i havet! Og fuglene skal bli mange på jorden.» 
GEN.1.23	Og det ble kveld, og det ble morgen, femte dag.
GEN.1.24	Gud sa: «Jorden skal bære fram alle slags levende skapninger: fe, kryp og ville dyr av alle slag!» Og det ble slik. 
GEN.1.25	Gud laget alle slags ville dyr og alle slags fe og alle slags kryp på marken. Og Gud så at det var godt.
GEN.1.27	 Og Gud skapte mennesket i sitt bilde, i Guds bilde skapte han det, som mann og kvinne skapte han dem. 
GEN.1.28	 Gud velsignet dem og sa til dem: «Vær fruktbare og bli mange, fyll jorden og legg den under dere! Dere skal råde over fiskene i havet og over fuglene under himmelen og over alle dyr som det kryr av på jorden.» 
GEN.1.29	 Og Gud sa: «Se, jeg gir dere alle planter som setter frø, alle som finnes på hele jorden, og alle trær som bærer frukt med frø i. Det skal dere ha å spise. 
