GEN.1.4	Gud så lyset, at det var godt. Og Gud skilte lyset fra mørket.
GEN.1.8	Gud kalte hvelvingen himmel. Det ble kveld, og det ble morgen den andre dagen.
GEN.1.10	Gud kalte det tørre landet for jord, og oppsamlingen av vannene kalte Han hav. Og Gud så at det var godt.
GEN.1.12	Jorden bar fram gress, planter som setter frø etter sitt slag, og trær som gir frukt med frø i, etter sitt slag. Og Gud så at det var godt.
GEN.1.13	Det ble kveld, og det ble morgen den tredje dagen.
GEN.1.15	De skal være til lys på himmel-hvelvingen for å gi lys på jorden.» Og det ble slik.
GEN.1.17	Gud satte dem på himmelhvelvingen for å gi lys på jorden,
GEN.1.19	Det ble kveld, og det ble morgen den fjerde dagen.
GEN.1.20	Da sa Gud: «Det skal vrimle av levende skapninger i vannene, og fuglene skal fly under himmelhvelvingen over jorden.»
GEN.1.23	Det ble kveld, og det ble morgen den femte dagen.
GEN.1.24	Da sa Gud: «Jorden skal bære fram levende skapninger etter sin art: fe og kryp og jordens villdyr, hver etter sin art.» Og det ble slik.
GEN.1.25	Gud gjorde jordens villdyr etter sin art, feet etter sin art og hvert kryp etter sin art. Og Gud så at det var godt.
GEN.1.30	Og til hvert dyr på jorden, hver fugl i luften og hvert kryp som har liv på jorden, har Jeg gitt hver grønn plante til mat.» Og det ble slik.
GEN.2.4	Dette er historien
GEN.2.6	Men dogg steg opp fra jorden og vannet hele jordens overflate.
GEN.2.10	Ut fra Eden rant det en elv for å vanne hagen, og derfra delte den seg i fire hovedstrømmer.
GEN.2.11	Navnet på den første er Pisjon. Det er den som omgir hele Havilalandet, der det er gull.
GEN.2.13	Navnet på den andre elven er Gihon. Det er den som omgir hele Kusj
GEN.2.14	Navnet på den tredje elven er Hiddekel
GEN.2.15	Så tok Herren Gud Adam og satte ham i Edens hage så han kunne dyrke den og ta vare på den.
GEN.2.16	Herren Gud bød Adam og sa: «Av hvert tre i hagen kan du fritt spise,
GEN.2.20	Adam ga navn til alt feet, til fuglene i luften og hvert villdyr på marken. Men for Adam fantes det ingen hjelper som passet til ham.
GEN.3.3	men om frukten på treet som er midt i hagen, har Gud sagt: Dere skal ikke spise av den og ikke røre den, ellers skal dere dø.»
GEN.3.5	For Gud vet at på den dagen dere spiser av det, vil øynene deres bli åpnet. Dere vil bli slik som Gud og kjenne godt og ondt.»
GEN.3.9	Da kalte Herren Gud på Adam og spurte ham: «Hvor er du?»
GEN.3.10	Han svarte: «Jeg hørte stemmen Din i hagen, og jeg ble redd fordi jeg var naken, så jeg gjemte meg.»
GEN.3.12	Da sa Adam: «Kvinnen som Du ga meg til å være sammen med, hun ga meg av treet, og jeg spiste.»
GEN.3.14	Så sa Herren Gud til slangen: «Fordi du har gjort dette, skal du være forbannet framfor alt fe, og framfor hvert dyr på marken. På buken skal du krype, og støv skal du ete alle ditt livs dager.
GEN.3.22	Så sa Herren Gud: «Se, mennesket er blitt som en av Oss til å kjenne godt og ondt. Bare han nå ikke rekker ut hånden og eter av livets tre, så han lever evig.»
GEN.3.23	Derfor sendte Herren Gud ham ut av Edens hage for å dyrke den jorden han selv var tatt av.
GEN.4.1	Adam var sammen med
GEN.4.5	Men på Kain og hans offer så Han ikke med velbehag. Da ble Kain rasende, og slo blikket ned.
GEN.4.6	Så sa Herren til Kain: «Hvorfor er du så sint? Og hvorfor slår du blikket ned?
GEN.4.12	Når du dyrker jorden, skal den ikke lenger gi deg sin grøde. En flyktning og en omstreifer skal du være på jorden.»
GEN.4.13	Kain sa til Herren: «Min skyld
GEN.4.16	Så gikk Kain bort fra Herrens ansikt og slo seg ned i landet Nod, øst for Eden.
GEN.4.18	Henok fikk sønnen Irad, og Irad fikk Mehujael. Mehujael fikk Metusjael, og Metusjael fikk Lamek.
