MAT.1.1	Aanna Yisuu Kirisiinna oyaiya kuavai. Aaparahaamooya Davuitiiya oyaivakidiri Yisuuva diiteeravai.
MAT.1.2	Aaparahaamo ari mmaapuuvaa
MAT.1.2	Isaakaa mmata kiooduu
MAT.1.2	Isaako Yakoopaa mmata kiooduu
MAT.1.2	Yakoopo Yutaanna mmata kioo
MAT.1.2	ari kata vayaidaatama mmata kieeravai.
MAT.1.3	Yutaava ari mmaapuuvaitana
MAT.1.3	Pereseeya Seraaya mmata kiooduu
MAT.1.3	ngiari kaanaa nnutuuvo Tamaarovee.
MAT.1.3	Pereseeva Eseroonaa mmata kiooduu
MAT.1.3	Eseroono Araamaa mmata kiooduu
MAT.1.4	Araamo Aminataapaa mmata kiooduu
MAT.1.4	Aminataapo Nasoonaa mmata kiooduu
MAT.1.4	Nasoono Saramoonaa mmata kiooduu
MAT.1.5	Saramoono Buaasaa mmata kiooduu
MAT.1.5	inna kaanaa nnutuuvo Rahaapovee.
MAT.1.5	Buaaso Yoveteenna mmata kiooduu
MAT.1.5	inna kaanaa nnutuuvo Ruutovee.
MAT.1.5	Yoveteeva Isainna mmata kiooduu
MAT.1.6	Isaivaano kieeta vaidiivaa
MAT.1.6	Davuitiinna mmata kieeravai.
MAT.1.6	Davuitiiva vaidiivaa nnutuuvo Uriaanna
MAT.1.6	muaadaivaa vara kioo
MAT.1.6	mmaapuuvaa Soromoonaa mmata kiooduu
MAT.1.7	Soromoono Rekaviaamaa mmata kiooduu
MAT.1.7	Rekaviaamo Aviaanna mmata kiooduu
MAT.1.7	Aviaava Asaanna mmata kiooduu
MAT.1.8	Asaava Yosapataa mmata kiooduu
MAT.1.8	Yosapato Yoraamaa mmata kiooduu
MAT.1.8	Yoraamo Usiaanna mmata kiooduu
MAT.1.9	Usiaava Yotaamaa mmata kiooduu
MAT.1.9	Yotaamo Akasaanna mmata kiooduu
MAT.1.9	Akasaava Isikiaanna mmata kiooduu
MAT.1.10	Isikiaava Manaseenna mmata kiooduu
MAT.1.10	Manaseeva Amoosoonna mmata kiooduu
MAT.1.10	Amoosoova Yosiaanna mmata kiooduu
MAT.1.11	Yosiaava Yekoniaanna mmata kioo
MAT.1.11	ari kata vayaidaatama mmata kiooduu
MAT.1.11	iya varuu suaivaki vaidi Bapuroonaaya
MAT.1.11	numa gioonna kiaapuuya vitada
MAT.1.11	ngiari yoosinnaivaki yapa kieeravai.
MAT.1.12	Yekoniaava Seratiereenna mmata kiooduu
MAT.1.12	Seratiereeva Seruvavereenna mmata kiooduu
MAT.1.13	Seruvavereeva Avituunna mmata kiooduu
MAT.1.13	Avituuva Eriakiimaa mmata kiooduu
