GEN.1.1	Kechengsi, Arnam sining-heihei lapen pirthe kepinchong ahut, 
GEN.1.2	pirthe arje avelang lapen thangnatta ave, lapen lang-lom athak kangtingsi dolang; lapen Arnam Akarjong lang-heihei athak damlo.
GEN.1.3	Lapen Arnam pulo, “kethe-ang padonang;” lapen the-angdang-lo. 
GEN.1.4	Lapen Arnam thek-long-lo kethe-ang mesen; lapen Arnam kethe-ang pen kangting thak-lo. 
GEN.1.5	Kethe-ang aphan Anerlo pusi Arnam irlo, lapen kangting aphan Ajo pusi irlo. Lapen aningve lapen adap nangdolo, la kecheng arni lo.
GEN.1.6	Anke Arnam pulo, “Lang-heihei angbong sining-inghun angpong padonang, lapen lang-heihei pen lang-heihei thakdak lonang.” 
GEN.1.7	Lapen Arnam sining-inghun angpong selamsi la aber kedo alang-heihei lapen la athak kedo alang-heihei pen thakdak-lo. Lasi la plang-lo. 
GEN.1.8	Lapen Arnam angpong aphan “Sining-inghun” pusi irlo. Ningve apor jut si adap nangtheang-lo, la ke hini arnilo.
GEN.1.9	Anke Arnam pulo, “sining-heihei kedo aber alang-heihei an elong adim padopet lonang, lapen kekrengdang alongle nangpaklang lonang.” Lapen la plang-lo. 
GEN.1.10	Kekrengdang alongle aphan Arnam Pirthe pusi irlo, lapen kechingrumtang alang-heihei aphan Alangli Talo-heihei pusi irlo. Lapen Arnam thek-long-lo la mesen. 
GEN.1.11	Lapen Arnam pulo, “Pirthe athak bap-bi, arong kevang athengpi-thengphrang ason ason, lapen athe-kepathe lapen aklim-kevang athesere arong-heihei arong pavangnang, arongtin ta ajat ajat ateng le pirthe athak pavangnang.” Lapen la plang-lo. 
GEN.1.12	Pirthe athak bap, ajat ateng arong kevang athengpi arong-heihei, aklim kevang athesere athengpi arong-heihei, arongtin ajat ateng pen arong vang-lo. Lapen Arnam thek-long-lo, la mesen. 
GEN.1.13	Lapen ningvelo lapen adap nangklang-lo, la kethom arni lo.
GEN.1.14	Lapen Arnam pulo, “ajo pen anerlo kepaprekjisi sining-heihei a-archok along kethe-ang-heihei padonang; lapen lahei isi angthek-heihei aphan lapen asek aphan lapen arni arni aphanlo lapen aningkan-ningkan aphanlo, 
GEN.1.15	lapen pirthe athak kepathe-angjile sining-heihei archok along kethe-ang-heihei padonang.” Lapen la plang-lo. 
GEN.1.16	Lapen Arnam kethedung akethe-ang-heihei pinchong-lo, thedung akethe-ang ke anerlo aputhak kepangriji aphan lapen bimuchot akethe-ang ke ajo kepangriji aphan lo; Alangli chiklolongso-heihei ta pinchong-lo. 
GEN.1.17	Pirthe athak kepathe-angjisi Arnam lahei sining-heihei archok along bilo, 
GEN.1.18	anerlo lapen ajo aputhak kepangrijisi lapen kangting pen kethe-ang kepaprekjisi bilo. Lapen Arnam thek-long-lo la mesen. 
GEN.1.19	Lapen arni ningvelo, lapen adap nangklang-lo, la phli arnilo.
GEN.1.20	Lapen Arnam pulo, “Lang-heihei arlo lang-api ahur-heihei padonang, lapen pirthe athak sining-heihei archok angbong vo atum pangjarnang.” 
GEN.1.21	Lasi talo apithepi keklimvoi api-an, lang a-ok ahur lapen halatum ajat kedo-an avo-heihei Arnam thip-lo, lapen Arnam thek-long-lo, la langmesen. 
GEN.1.22	Lapen latum aphan Arnam hirjume pisi pulo, “Chanri-chanjainon, ongdung-ra talo-heihei alang arlo dothipnon; lapen vo atum pirthe athak pachanlonang.” 
GEN.1.23	Ningvelo lapen adap nangklang-lo, la pho arnilo.
GEN.1.24	Anke Arnam pulo, “Pirthe athak ajat ajat amarat api padonang: Kepangreng lapen keklimjam marat api akethe lapen akebi ajat ajat pirthe athak padonang.” Lapen la plang-lo. 
GEN.1.25	Lasi pirthe athak ajat ajat api mate kepangreng api ajat ajat lapen longle athak keklim ajat ajat api Arnam pinchong-lo. Lapen Arnam thek-long-lo la mesen.
GEN.1.26	Anke Arnam pulo, “Etum e-arje atengthot monit pinchong lonang, Etum asonthot; lapen latum talo alang-ok aputhak lapen kangjar avo atum aputhak, lapen pi atum aputhak, lapen pirthe adang aputhak, lapen pirthe athak keklimjam kebi-kethe an aputhak latum papangri lonang.” 
GEN.1.27	Lasi monit aphan Arnam amethang a-arje asonthot pinchong-lo, Arnam a-arjesi Alangli la aphan pinchong-lo; pinso lapen arlo ta Alangli latum aphan pinchong-lo, 
GEN.1.28	Lapen latum aphan Arnam ahirjume pisi pulo, “Chanri-chanjai-non, lapen nangso-nangsu pirthe athak plengset-ra latum aphan pangrinon, lapen talo alang-ok aputhak lapen kangjar avo atum aputhak, lapen pirthe athak kejuijam kereng-et api-heihei aputhak chepahemphu non.” 
GEN.1.29	Lapen Arnam pulo, “Langtha, pirthe adang amu pen arong kevang athengpi arongtin, lapen athe pen arong kevang athengpi asontin Ne nangtum aphan nangpitang-lo; nangtum lahei cholong-lo. 
GEN.1.30	Lapen pirthe api-an, lapen kangjar avo-an, lapen pirthe athak keklimjam api an, achethe kevangphun api an, nangtum kechoji aphan kelirseng ahan arong nangpitang-lo.” Lapen la plang-lo. 
GEN.1.31	Lapen Arnam kepinchong asontin chethek-longsi aning chedokpik-lo. Lapen ningvelo, lapen adap nangklang-lo, la throk arnilo.
GEN.2.1	Lasonsi sining-heihei lapen pirthe kethip papleng-lo, lapen hadak kedo api an aphan kethip papleng-lo. 
GEN.2.2	Lapen throksi arni Arnam Alangli keklemtang akam an patang-lo, lapen alangli keklemtang an akam pen throksi arni alangli sang-lo. 
GEN.2.3	Lasi Arnam throksi arni hirjume pilo, lapen la pangthirlo, pima laso arni si Arnam Alangli kam keklemtang kepinchong an pen sang-lo.
GEN.2.4	Lahei helo sining-heihei lapen pirthe kepinchong ahut a-ove-heihei.
GEN.2.5	ingnam ajo athengpi pirthe athak avelang, lapen nampi abap-heihei chingjokjelang-athema pirthe athak 
GEN.2.6	bonta pirthe pen hunmelan pathursi longle adang-bithe pacham lo 
GEN.2.7	anke longle enlo lapen 
GEN.2.8	Lapen 
GEN.2.9	Lapen 
GEN.2.10	Beri lang kepapiji aphan Iden pen langroi eroi lilo, lapen hadak la chethak si roiphli dolo. 
GEN.2.11	Kechengsi abang ke Pishon; la ke Havilah alongle adang-bithe lilo, hadak ser dolo; 
GEN.2.12	lapen halaso adet aser mepik; Dellium lapen Onyx pu bor a-arlong ta hadak do. 
GEN.2.13	Hini aroi amen ke Gihon; la ke Kush pu adet adang-bithe si lilo. 
GEN.2.14	Lapen kethom aroi amen ke Taigris, lake Assiria anihang si lilo. Lapen phli aroi ke Euphratis.
GEN.2.15	Iden aberi kepatikiji lapen kepalangjisi monit aphan 
GEN.2.16	Lapen 
GEN.2.17	bonta me-hingno agian athengpi athe nang chori, athema nang la kecho arni amat nang thivekpo.”
GEN.2.18	Anke 
GEN.2.19	Lasi longle pen 
GEN.2.20	Chainong ajat an aphan, lapen kangjar avo an aphan, lapen nampi api an aphan monitsi amen-heihei irlo; bonta monit aphan keparapdun abang longle det-lo. 
GEN.2.21	Lasi 
GEN.2.22	lapen monit pen 
GEN.2.23	Anke Adam pulo:
GEN.2.23	“La ke non nerrepi-heihei pen arrepi-lo lapen ne-ok pen a-ok-lo;
GEN.2.23	bangpi aphan ‘Arloso’ pusi hangpo,
GEN.2.23	pima bangpi ke Pinso pensi enlo.”
GEN.2.24	La apotsi inut amonit apo lapen apei che-osi apiso pen dorappet po, lapen latum a-ok isinatpo. 
GEN.2.25	Lapen monit lapen la apiso latum banghinita areng-angse lapen therak-re det-lo.
GEN.3.1	Non 
GEN.3.2	Pherui aphan arloso abang pulo, “Beri arlo athengpi-heihei athe netum cholong; 
GEN.3.3	bonta Arnam pulo, ‘Nangtum beri angbong chittim athengpi athe chori, lapen la nangtum paphori, kalite nangtum thiji.’ ” 
GEN.3.4	Bonta arloso aphan pherui thak-lo, “Nangtum thithe. 
GEN.3.5	Athema nangtum la kecho ahut nangtum amek chingpu dangpo, lapen nangtum Arnam ason plangpo, keme lapen kehingno chini-unpo pu Alangli chini.” 
GEN.3.6	Lasi arloso abang halaso athengpi kecho aphan mesenji pu thek-long-lo, lapen la emek aphan kelangmesen, lapen halaso athengpi gian kelongji ar-imeme, bangso athengpi athe bangpi ensi chodet-lo; lapen bangpi apenan aphan ajehak pilo lapen alanglita chodet-lo. 
GEN.3.7	Anke banghini ta amek chingpudang-lo, lapen latum areng-angse pu chechinilo; lapen latum thebo arong arvosi latum chedip-i-lo.
GEN.3.8	Lapen kangsamdop arni beri arlo 
GEN.3.9	Bonta 
GEN.3.10	Lapen la thak-lo, “Beri arlo nang kevang arki ne arjulong-lo, lapen ne pherelo, pima nereng-angse; lapen ne chepatulo.” 
GEN.3.11	Alangli pulo, “Nangreng-angse pu komatsi nangphan nangkepulo? Ne chori pu nangphan hukum nangkepi athengpi athe nang chodetma?” 
GEN.3.12	Monit abang pulo, “Nang nelong nang-kepadodunji pu nekepi a-arloso, bangpi si thengpi athe nekepi lapen neli chodet-lo.” 
GEN.3.13	Anke 
GEN.3.14	Pherui aphan 
GEN.3.14	“Pima nang la keklem apot,
GEN.3.14	Kepangreng api-an angbong apar lapen
GEN.3.14	nampi api-an angbong apar nang ahirjuno kepho abang-lo;
GEN.3.14	nangpok pensi nang dam nangpo,
GEN.3.14	nangkai isi nang longle aduk si chonangpo.
GEN.3.15	Nang lapen arloso angbong, nangsomar lapen bangpi
GEN.3.15	asomar angbong hotur pacheplangpo;
GEN.3.15	la nangphu pangje po,
GEN.3.15	lapen nang la akengti pangjepo.” 
GEN.3.16	Arloso aphan Alangli pulo,
GEN.3.16	Oso mahang kepathek ahut nang keso jasemetsi pa-ongpo;
GEN.3.16	sopik pensi nang oso chopathe nangji,
GEN.3.16	seta nangpenan aphan si nangning do-eji,
GEN.3.16	lapen la nangphuthak pangripo.
GEN.3.17	Lapen Alangli Adam aphan pulo,
GEN.3.17	“Pima nang nangpiso alam karju apot,
GEN.3.17	lapen ‘Nang la chori’ pu Ne nangphan
GEN.3.17	hukum nangkepi athengpi chodet apot,
GEN.3.17	nang pen apot longle pahirjuno lo;
GEN.3.17	nangkai isi chepaduk-khrup pensi nang cholongji;
GEN.3.18	Ingsu lapen bapsudo-heihei nangphan doji
GEN.3.18	lapen hidi ajo athengpi arong athe-heihei si nang chonangji. 
GEN.3.19	Nang-ing-i buprup si nang an cholongji
GEN.3.19	ha longle along nang chevoivetik,
GEN.3.19	athema nangphan la pensi nangke-en lo;
GEN.3.19	nang longle aduk lo,
GEN.3.19	lapen longle aduk along si nang chevoinangji.”
GEN.3.20	Adam apiso aphan Iv pusi amen irlo, pima bangpi ke kereng an amar apei lo. 
GEN.3.21	Lapen Adam lapen apiso aphan 
GEN.3.22	Anke 
GEN.3.23	La apotsi la aphan ke-en alongle kepatikijisi laphan Iden aberi pen toijuilo. 
GEN.3.24	Alangli laphan phlungjuilo lapen Iden aberi anihang anat Cherubim bilo, lapen chethe athengpi atovar keraijisi ame-akar kedo anokjir epak hevikdirlo.
GEN.4.1	Non Adam, la aphisi Iv pen che-enlo lapen bangpi oso chopathelo lapen Kein aphan mahangpathek si pulo, “
GEN.4.2	Lapen bangpi puthot la amu Abel amahang pathek-lo. Non Abel ke biresak kevi abang, lapen Kein ke inut longle asai ketiki abang-lo. 
GEN.4.3	Ahut nanglesi Kein abang 
GEN.4.4	lapen Abel ta la api ahur pen athukedonei kechingthok-cheng api van pilo. Lapen Abel adan 
GEN.4.5	bonta Kein lapen la adan Alangli dengde det-lo. Lasi Kein aningthihak-lo, lapen la amahang ikkui lo. 
GEN.4.6	Kein aphan 
GEN.4.7	Nang jongsi keklem mesensete, pap ke nang inghap along chotonding-lo; la nangphan si aning hang-lo, bonta nang la aphan chepahaidet nangji.”
GEN.4.8	Kein amu Abel aphan pulo, “Etum hidi barlonang.” Lapen latum hidi along kedo un ahut, Kein ke amu Abel aphuthak thurkrap-lo, lapen laphan pathilot-lo. 
GEN.4.9	Anke Kein aphan 
GEN.4.10	Lapen 
GEN.4.11	Non lasi nang ke longle pen hirjuno long-lo, la nangmu avi nangrideng ke-enjisi angho chingpudang-lo. 
GEN.4.12	Nang longle ketiki ahut, la nangphan kepathe-oji ajakong avelo; nang chongvir nangpo lapen pirthe athak kedamtap abang plangpo.” 
GEN.4.13	 aphan Kein pulo, “Ne karchak un apar neduk themulo, 
GEN.4.14	langtha, pini arni Nang nephan longle pen phlungtang-lo lapen Nang ingno pen ne chepatu nangpo; lapen ne chongvir nangpo, lapen pirthe athak damtap nangpo, lapen nephan nekelong aling abang nepathipo.” 
GEN.4.15	Anke 
GEN.4.16	Anke Kein 
GEN.4.17	Kein ta piso enlo, lapen bangpi aso chopathelo, lapen Enok amahang pathek-lo; lapen la rongsopi isi kimlo, lapen asopo Enok amen rongsopi irlo. 
GEN.4.18	Enok aphan Erad amahang thekpilo; lapen Erad ke Mehujael apolo, Mehujael ke Methushael apolo, lapen Methushael ke Lamek apolo. 
GEN.4.19	Lamek piso banghini enlo, inut abangpi amen ke Adah lapen anut kaprek abangpi amen ke Zillah. 
GEN.4.20	Adah ta Jabal amahang pathek-lo; la ke pehem-heihei lapen kepangreng api kedo atum apolo. 
GEN.4.21	La akorte amen ke Jubal; la ke kumbeleng-chongdeng lapen pongsi kerim atum apolo. 
GEN.4.22	Zillah ta Tubal-kein pu a-oso mahang pathek-lo; la ke tam lapen ingchin kerot-kevut ajohton ahemailo. Tabulkein angjir ke Naamah helo.
GEN.4.23	Lamek apiso atum aphan chepulo:
GEN.4.23	“Adah lapen Zillah, nelam arjutha;
GEN.4.23	nang Lamek apiso atum, ne kepu alamthe no chedentha:
GEN.4.23	Nephan nepasodak amat ne inut amonit pathilot-lo,
GEN.4.23	inut ariso nephan nekechok apot.
GEN.4.24	Kein phanthroksi alar chehuilote,
GEN.4.24	chenamsi Lamek ke phanthroksi kep-ra throksilo.” 
GEN.4.25	Lapen Adam apiso pen che-enthusi puthot, bangpi inut sopo mahang pathek-lo, la amen ke Seth, athema bangpi pulo, “Abel alar 
GEN.4.26	Seth aphan ta inut asopo mahang thekpilo, lapen alangli la aphan amen Enosh pusi irlo. Halaso ahut monit atum 
